	kort/adj	ik/pron	oog/noun	variant/noun	zwart/noun	slag/noun	Marat/name	laag_DIM/noun	veeleer/adv	verf/noun	kijker/noun	e/noun	kunststof/noun	lethargie/noun	gelatenheid/noun	poeder/noun	oog_DIM/noun	kleur/noun	blad/noun	voorstelling/noun	het/det	sfeer/noun	koper/noun	klinker/noun	knal/noun	werkelijkheid/noun	oppervlak/noun	ze/pron	poging/noun	gevoel/noun	toon/noun	kreet/noun	o/noun	ritme/noun	enigszins/adv	verdriet/noun	herhaling/noun	schoen/noun	en/vg	signaal/noun	indruk/noun	zucht/noun	teleurstelling/noun	tamelijk/adj	dikwijls/adj	berusting/noun	glans/noun	heerlijk/adj	theater_zaal/noun	razernij/noun	opgenomen/adj	klop/noun	pijn/noun	beton_blok/noun	zo/adv	die/det	haar/noun	bewust/adj	wat/adv	papier/noun	klik/noun	beetje/noun	te/adv	schot/noun	blazoen/noun	explosie/noun	leegte/noun	Ahmet/name	trom/noun	punt/noun	miserie/noun	verkeer_ellende/noun	streep/noun	dreun/noun	geluid/noun	klank/noun	klap/noun	schoot/noun	ellende/noun	zang_stem/noun	huid/noun	lijden/noun	blik/noun
kort/adj	0.0	0.90303123	0.90521693	0.85980594	0.8655284	0.93358976	0.9466113	0.87729365	0.8606057	0.89299375	0.8970405	0.9146138	0.8741553	0.9502256	0.9094973	0.8978049	0.90675545	0.84124017	0.8578038	0.83034647	0.8735657	0.90706205	0.91034085	0.9047997	0.8767282	0.8935665	0.8921835	0.86931455	0.91517395	0.93242884	0.84075105	0.8514682	0.9190328	0.8530115	0.8732639	0.88096154	0.87487316	0.8719107	0.81952643	0.9221341	0.9114712	0.90560764	0.8949992	0.8161603	0.8455719	0.92547303	0.8959198	0.85357714	0.9049101	0.91789824	0.81048846	0.93915	0.9076465	0.93482494	0.86687195	0.8073813	0.82843596	0.8871673	0.8655167	0.8959829	0.9387264	0.9111653	0.87127614	0.91124153	0.92742765	0.86849487	0.89524853	0.9337886	0.9169645	0.9542771	0.92033726	0.91408575	0.8606224	0.9229833	0.8747489	0.87675124	0.90847147	0.89403623	0.8936726	0.92149925	0.87327063	0.9075967	0.8998493
ik/pron	0.90303123	0.0	0.8294998	0.91195166	0.8773222	0.92551214	0.90461797	0.9081932	0.80515975	0.90138197	0.7436377	0.9266041	0.91932446	0.90212303	0.8518446	0.8847926	0.85516965	0.8945913	0.88815224	0.89691544	0.8928155	0.83263195	0.8614775	0.9135451	0.8493919	0.85113025	0.90768373	0.32746673	0.9222919	0.75374687	0.84239554	0.8269128	0.88101757	0.80936044	0.76887923	0.7712084	0.8804756	0.81887853	0.812845	0.888948	0.85562724	0.82395005	0.79966956	0.8210202	0.6963316	0.8363778	0.87331986	0.75125617	0.9279519	0.88115835	0.9222309	0.85529304	0.72704536	0.94041103	0.6030623	0.6989548	0.85278827	0.8349586	0.669086	0.8822438	0.86949384	0.55833524	0.7595879	0.9049319	0.9264183	0.9131789	0.81070375	0.8564426	0.91102976	0.9225105	0.790013	0.9190472	0.8789084	0.8705126	0.83491963	0.8564263	0.9037746	0.87074137	0.784106	0.8887546	0.8736538	0.8305517	0.7992016
oog/noun	0.90521693	0.8294998	0.0	0.85156775	0.76502645	0.95102686	0.92922837	0.78902006	0.8019201	0.75367993	0.8169555	0.93526196	0.8505376	0.9218951	0.86619866	0.8312079	0.67375004	0.7431239	0.8416853	0.8913454	0.88114893	0.87089133	0.9173121	0.82795715	0.8336445	0.8154466	0.7582189	0.75593174	0.9126943	0.82313025	0.79664856	0.77416086	0.88942134	0.84355974	0.78606486	0.76940763	0.9026965	0.78772557	0.7338097	0.87967944	0.81382096	0.81691873	0.8485548	0.7939813	0.79346514	0.82198596	0.8332321	0.8375782	0.9042632	0.8325224	0.9042368	0.8908267	0.78571385	0.9053813	0.8063032	0.8371585	0.5981268	0.8701137	0.7649253	0.8521762	0.88496757	0.7695383	0.81843114	0.8805162	0.8985883	0.8736751	0.7927195	0.9150008	0.9323974	0.9389953	0.85559165	0.9423473	0.7772739	0.8695619	0.7875748	0.80459476	0.9015661	0.78729457	0.8207564	0.87872946	0.6190011	0.85017365	0.53118134
variant/noun	0.85980594	0.91195166	0.85156775	0.0	0.77277756	0.9482621	0.9138883	0.77556586	0.67518264	0.7830262	0.83548635	0.83924985	0.77509755	0.8864628	0.90495896	0.78992677	0.88835275	0.6967659	0.75810987	0.76734537	0.80461544	0.78158236	0.8375317	0.8304399	0.8997511	0.766139	0.7872203	0.83945614	0.8561232	0.85427785	0.6898691	0.7610735	0.86575	0.7447151	0.78142786	0.8575913	0.80258834	0.84369123	0.6682321	0.8647219	0.8612398	0.8458942	0.8827702	0.64664984	0.75269806	0.8568052	0.81103146	0.75209296	0.8757169	0.873844	0.7889106	0.91199815	0.9119853	0.9254921	0.74019784	0.79441315	0.81737936	0.8685558	0.7428155	0.8270467	0.88126904	0.8103231	0.7773883	0.92074746	0.88525057	0.84702265	0.8109689	0.9378154	0.8931381	0.93200403	0.89309376	0.91766584	0.8699906	0.8967152	0.7440337	0.6779007	0.9288364	0.87759995	0.8504141	0.85762787	0.77780044	0.84654427	0.7846434
zwart/noun	0.8655284	0.8773222	0.76502645	0.77277756	0.0	0.91157377	0.8953261	0.73186266	0.7679262	0.6824162	0.87973917	0.86514866	0.7468751	0.9221709	0.8990431	0.8131815	0.820603	0.5331241	0.84518397	0.8479818	0.83668417	0.8258902	0.83270794	0.82861775	0.8601123	0.82644874	0.81093043	0.8018989	0.8909935	0.87903124	0.7908435	0.7948451	0.85291535	0.8201937	0.81482375	0.8535199	0.85356396	0.72040224	0.66141415	0.8840471	0.8856558	0.85893315	0.8663588	0.76694715	0.79949063	0.86960304	0.78053516	0.8290656	0.89925	0.8939681	0.86559695	0.8938713	0.8934152	0.9000259	0.8374362	0.81487584	0.66786504	0.8646847	0.79195166	0.7846891	0.88508296	0.8323	0.84039676	0.87742704	0.9043167	0.9011375	0.8204503	0.92484945	0.907192	0.90672296	0.87860465	0.9492575	0.7196102	0.8782505	0.79724646	0.77915	0.9283504	0.84451824	0.8566393	0.8984531	0.71593654	0.9050779	0.77068114
slag/noun	0.93358976	0.92551214	0.95102686	0.9482621	0.91157377	0.0	0.91291094	0.94200397	0.9223448	0.92950964	0.92442596	0.9036655	0.9401014	0.9619914	0.93933916	0.9352321	0.9148508	0.94313896	0.96962416	0.9451737	0.90219903	0.9411482	0.9454163	0.9194721	0.8559521	0.9613118	0.9249858	0.8898729	0.8254044	0.95287097	0.9559906	0.93142366	0.9100283	0.91396207	0.933917	0.9332225	0.9286037	0.9472701	0.8310746	0.93599147	0.91955066	0.9131118	0.89858276	0.92883384	0.88599634	0.9406891	0.91290146	0.93555003	0.9624318	0.9405828	0.93665767	0.8757518	0.8855439	0.8945693	0.93329924	0.91598415	0.9366315	0.9338426	0.9211476	0.9351341	0.949058	0.9394032	0.9326052	0.81944287	0.9374486	0.8868132	0.9387475	0.9427072	0.9277732	0.8232181	0.9102976	0.9532121	0.8573923	0.81290805	0.9532177	0.941116	0.70510733	0.87661356	0.9212924	0.9502176	0.91367453	0.9175121	0.9516835
Marat/name	0.9466113	0.90461797	0.92922837	0.9138883	0.8953261	0.91291094	0.0	0.95838934	0.9120779	0.953511	0.93639255	0.95324683	0.9488257	0.8876685	0.92271215	0.94736636	0.94933325	0.93089104	0.94367254	0.9337152	0.92712396	0.9363959	0.95191395	0.95060897	0.91137815	0.92348945	0.9558186	0.8928093	0.90787697	0.9426437	0.9326991	0.92881626	0.9484088	0.89799476	0.9107535	0.92503726	0.9156124	0.9164725	0.89208424	0.95805395	0.9119735	0.894356	0.8883587	0.9043494	0.8936755	0.9187878	0.8612946	0.92626953	0.95887977	0.9253438	0.9408006	0.87245524	0.91966504	0.9427469	0.9257795	0.923444	0.9213557	0.95011497	0.9047195	0.92884386	0.95576674	0.92050505	0.9098794	0.90928066	0.955055	0.9319459	0.9371542	0.9576292	0.93393373	0.8877641	0.93362945	0.960184	0.8878234	0.9128006	0.9416523	0.9333785	0.93231404	0.9252752	0.9457143	0.928656	0.9277753	0.925354	0.92963684
laag_DIM/noun	0.87729365	0.9081932	0.78902006	0.77556586	0.73186266	0.94200397	0.95838934	0.0	0.81913954	0.5531633	0.89385617	0.8920221	0.61126447	0.9221093	0.923475	0.652197	0.8340653	0.59341514	0.753031	0.8572168	0.8329982	0.86385334	0.8309394	0.72414947	0.8736336	0.8169451	0.5862913	0.7985998	0.9129453	0.8421024	0.82267404	0.838606	0.88996917	0.8112712	0.8142246	0.84744465	0.9016907	0.7012739	0.6311437	0.89824975	0.897996	0.85989976	0.8740244	0.78999007	0.7931738	0.90188915	0.75808316	0.69178367	0.91560036	0.9002993	0.87143266	0.8708399	0.8810915	0.80991566	0.82100374	0.8069628	0.63796407	0.8975255	0.78843564	0.73968613	0.8822887	0.8048055	0.8389003	0.9156256	0.89890206	0.848847	0.76591104	0.9515123	0.9137046	0.9431017	0.84537435	0.93160504	0.73818207	0.8702278	0.7471422	0.74223936	0.9058161	0.85123104	0.8448555	0.8862314	0.57821786	0.8945102	0.73488164
veeleer/adv	0.8606057	0.80515975	0.8019201	0.67518264	0.7679262	0.9223448	0.9120779	0.81913954	0.0	0.7945154	0.77116007	0.84608316	0.81273866	0.8708003	0.82282525	0.8586894	0.86865747	0.69791096	0.7862857	0.71104026	0.76084834	0.68459094	0.80142	0.84597206	0.8764986	0.6669601	0.7903861	0.7727597	0.801119	0.70072347	0.6422847	0.70821667	0.8369602	0.7248057	0.64274836	0.7550234	0.75214726	0.8485539	0.57840806	0.78939396	0.76632845	0.74970126	0.7537621	0.52807444	0.59509814	0.7640101	0.7713777	0.75352657	0.85057217	0.8121619	0.7808799	0.9108985	0.834895	0.90408677	0.7133845	0.63199055	0.838135	0.70435864	0.64289653	0.8375877	0.84549785	0.70043063	0.6979149	0.904536	0.8818197	0.81911844	0.70798635	0.9183857	0.8956349	0.91458094	0.83327603	0.9259478	0.86957574	0.85811204	0.7208709	0.6526268	0.9037247	0.83512807	0.7677806	0.86375093	0.8031051	0.7623532	0.7160799
verf/noun	0.89299375	0.90138197	0.75367993	0.7830262	0.6824162	0.92950964	0.953511	0.5531633	0.7945154	0.0	0.8783848	0.87907714	0.599496	0.93237156	0.9203659	0.6526278	0.8228107	0.52952415	0.7428602	0.82803106	0.8018418	0.8586179	0.77515924	0.72033465	0.80848134	0.81160676	0.62330174	0.7856478	0.9164967	0.88067794	0.82513714	0.8012535	0.8683317	0.7905525	0.8160913	0.86020434	0.8740111	0.6646182	0.6342399	0.901982	0.8868212	0.85687053	0.87904716	0.7768751	0.7632108	0.89807254	0.7517034	0.7495676	0.8800784	0.8878574	0.8466091	0.8987326	0.8855012	0.78100556	0.8293531	0.77769864	0.62626344	0.8522761	0.8042141	0.6309427	0.8760851	0.8437835	0.8255443	0.8903168	0.89548856	0.8080456	0.78962123	0.9249893	0.90564734	0.9280245	0.8564368	0.914338	0.6774738	0.86494726	0.74347156	0.735824	0.8810951	0.81734824	0.8500893	0.90142566	0.58170044	0.8808913	0.7190809
