	Hot/name	Risseeuw/name	Rowan/name	Self/name	The/name	aankondiging/noun	actie_film/noun	af/adv	aflevering/noun	anekdote/noun	antwoord/noun	aria/noun	arrogantie/noun	bedoeld/adj	beeld/noun	behoorlijk/adj	beschrijving/noun	bijdrage/noun	bijrol/noun	bijzonder/adj	bloes_DIM/noun	boek/noun	buitengewoon/adj	cast/noun	column/noun	combinatie/noun	commentaar/noun	contrasteer/adj	cynisme/noun	dandy/noun	dat/det	debuut/noun	detail/noun	dialoog/noun	draai/noun	duivel_DIM/noun	echt/adj	effect/noun	en/vg	erg/adj	even/adj	even/adv	film/noun	film_DIM/noun	gast/noun	gedicht/noun	genoeg/adv	gesprek/noun	gesprekspartner/noun	geweldig/adj	gewoon/adj	gezicht/noun	heel/adj	heel/adv	heerlijk/adj	hij/pron	hoe/adj	karikatuur/noun	kwartet/noun	lady/noun	lied/noun	man/noun	manier/noun	mengeling/noun	min/adj	mix/noun	moment/noun	musical/noun	nogal/adv	observatie/noun	obsessie/noun	of/vg	om_kade_ring/noun	onbedaarlijk/adj	onderdeel/noun	oneliner/noun	ongekend/adj	ongelooflijk/adj	onnavolgbaar/adj	onwaarschijnlijk/adj	onweerstaanbaar/adj	ook/adv	opmerking/noun	opvallend/adj	passage/noun	performance/noun	plaat/noun	portret/noun	presentator/noun	rap/noun	reactie/noun	rol/noun	roman/noun	satire/noun	script/noun	scène/noun	sketch/noun	soms/adv	speel_film_debuut/noun	stoutmoedig/adj	stuk/noun	toch/adv	toneelstuk/noun	trailer/noun	typering/noun	uitval/noun	vaak/adj	variant/noun	variatie/noun	veel/adj	verhaal/noun	vers/noun	verslag/noun	vervolg/noun	vondst/noun	vooral/adv	voordracht/noun	voorstelling/noun	vooruitzicht/noun	waanzinnig/adj	wat/pron	weerzinwekkend/adj	werk_DIM/noun	wijze/noun	wissel_af/adj	ze/pron	zeer/adv	zelden/adj	zelfs/adv	zo/adj	zo/adv
Hot/name	0.0	0.98265475	0.93007153	0.9444347	0.7707724	0.9525716	0.91097707	0.89571005	0.8514182	0.91804445	0.97297484	0.8945985	0.97491103	0.9277393	0.91290265	0.9274481	0.9485418	0.9174189	0.9263064	0.9065851	0.9575849	0.8901863	0.935391	0.9071434	0.90190506	0.90036064	0.937822	0.9157285	0.9415039	0.9573877	0.9564353	0.88959473	0.9382377	0.9056895	0.9132156	0.95329815	0.92755055	0.9616364	0.8981506	0.9320561	0.9263268	0.91203886	0.8663887	0.8740108	0.9111877	0.8966996	0.9323848	0.92776793	0.95185167	0.91176194	0.9425792	0.9533914	0.9168203	0.9402915	0.8949773	0.9202169	0.94311315	0.97380424	0.82971627	0.89154583	0.8820053	0.9514257	0.9318448	0.8953806	0.9195851	0.8544943	0.89660996	0.8776617	0.9144173	0.9568065	0.96209615	0.90047723	0.9641112	0.9808865	0.9561367	0.96040666	0.9453138	0.9333085	0.9244522	0.939437	0.88594204	0.92858624	0.95521396	0.9019423	0.8901821	0.9048354	0.82056296	0.9014555	0.9052833	0.8535483	0.9746623	0.95066166	0.9188304	0.90194315	0.9307761	0.8945187	0.83757377	0.9034034	0.96120536	0.9619017	0.9116688	0.9447913	0.9179543	0.93085855	0.9555438	0.9595135	0.9197501	0.9376179	0.9291819	0.9599317	0.9030226	0.93530667	0.93516535	0.950055	0.92443615	0.90683293	0.95823354	0.8865649	0.95119697	0.8987302	0.9377413	0.9595305	0.94478625	0.91774404	0.88504535	0.91597867	0.9255928	0.9073803	0.9120029	0.96210366	0.92607474
Risseeuw/name	0.98265475	0.0	0.9297589	0.9734771	0.98065585	0.92108476	0.980625	0.95212466	0.967611	0.95851666	0.9351317	0.96535814	0.9618581	0.9588649	0.96746725	0.9457195	0.9648778	0.9733374	0.9675542	0.9110405	0.97443223	0.968444	0.90241444	0.97260606	0.95972914	0.9593184	0.94028836	0.96496284	0.9625074	0.98412406	0.90695643	0.98222864	0.9238543	0.94995326	0.94454545	0.9771178	0.96207356	0.96991116	0.94425166	0.9373249	0.9286629	0.932195	0.97216856	0.9583266	0.9439714	0.9619654	0.92681634	0.9348197	0.92820555	0.961972	0.9524004	0.9853586	0.9481913	0.9059266	0.9598901	0.8955557	0.9181105	0.9817179	0.9743281	0.96956533	0.96917266	0.9520875	0.9334512	0.9535162	0.929105	0.95205605	0.93740165	0.95071816	0.9166311	0.95475054	0.9731277	0.95530456	0.9436362	0.98054355	0.960877	0.9369107	0.94735986	0.9645021	0.9519861	0.9583532	0.93868685	0.9065847	0.95330775	0.96193475	0.95386064	0.9587104	0.9694002	0.9703255	0.97116333	0.9589782	0.94638616	0.94324076	0.9683445	0.962074	0.9606078	0.95539737	0.95276135	0.9335775	0.97966975	0.9703676	0.96789885	0.91841036	0.96702147	0.97630566	0.95188093	0.9576079	0.9211048	0.9586228	0.9292568	0.91443163	0.9694391	0.94924384	0.94704163	0.95641327	0.9437937	0.9114113	0.9284662	0.9778172	0.94381964	0.93979186	0.90666974	0.9739176	0.9627182	0.9223943	0.9749328	0.9106797	0.92286223	0.92640084	0.9423741	0.95652485	0.8907151
Rowan/name	0.93007153	0.9297589	0.0	0.94644034	0.9063085	0.95768464	0.9266347	0.96506286	0.93088007	0.9351278	0.9638027	0.9512458	0.9333114	0.9507544	0.9587685	0.9470181	0.95158404	0.97831386	0.913925	0.951683	0.9856901	0.95718694	0.9565767	0.90147763	0.9488879	0.94922024	0.9556703	0.97641325	0.9476691	0.9478771	0.9616673	0.94450665	0.9570155	0.9215029	0.9537981	0.94339764	0.9306425	0.98825616	0.9336607	0.9580136	0.9647857	0.94182444	0.9104675	0.9399663	0.9590725	0.9395669	0.9415737	0.9506789	0.9658203	0.93455505	0.9505934	0.9707301	0.9660322	0.9509737	0.9506354	0.9259126	0.9564238	0.9438489	0.9126506	0.90591127	0.94715154	0.94628304	0.95203626	0.93370795	0.92861336	0.9159519	0.97021204	0.90880924	0.95074254	0.9439136	0.92387587	0.94249856	0.959363	0.97392195	0.9706854	0.92149526	0.9537038	0.9523893	0.9146284	0.947694	0.9143837	0.9525184	0.9622417	0.96137273	0.94962215	0.94455457	0.94363457	0.9273659	0.9124217	0.9281212	0.9648582	0.94932914	0.9400749	0.87740874	0.9249806	0.92383623	0.8680626	0.93769747	0.9020936	0.9573034	0.9477127	0.95711046	0.9131607	0.9646997	0.9319923	0.99087846	0.93004227	0.93575656	0.95173454	0.9495517	0.953467	0.9588865	0.9654605	0.96849453	0.94041467	0.9320537	0.9593713	0.9294139	0.98033184	0.9471381	0.9614282	0.96938616	0.9583632	0.94690293	0.9049994	0.93634915	0.9458328	0.9299653	0.9589006	0.9603684	0.94337696
Self/name	0.9444347	0.9734771	0.94644034	0.0	0.8604251	0.95918965	0.95081013	0.96906984	0.9250577	0.9336525	0.9551241	0.9264563	0.9508574	0.94690746	0.9194198	0.9612116	0.92614895	0.9609202	0.93314177	0.9515127	0.9790994	0.8787223	0.96144235	0.935708	0.9253617	0.9585204	0.94970345	0.9527161	0.93482894	0.9605947	0.94758517	0.93670267	0.9455814	0.93945485	0.95719016	0.9811526	0.9472351	0.9650298	0.92654073	0.9667874	0.9507022	0.9251033	0.9000139	0.95032483	0.92973644	0.9195678	0.95778894	0.9572022	0.96611136	0.9617354	0.97271496	0.95757616	0.9469557	0.9510787	0.9323642	0.9489975	0.926912	0.93463814	0.9522465	0.94586205	0.9158027	0.9678452	0.9531296	0.94446665	0.9723581	0.9170736	0.9686833	0.9157091	0.95201707	0.92745113	0.9628983	0.9452386	0.95635843	0.959013	0.95372444	0.94230014	0.9773885	0.9529398	0.94626695	0.95609117	0.91666275	0.94543475	0.95926934	0.96560997	0.94024545	0.9393678	0.9326702	0.9233955	0.93190795	0.9099557	0.9659943	0.96060807	0.89830863	0.9098848	0.9395977	0.9167055	0.9022493	0.9246196	0.9632381	0.9741251	0.9487201	0.96508366	0.9158909	0.94728994	0.9300351	0.93984807	0.94037735	0.96912205	0.9653772	0.9645695	0.9187977	0.952738	0.91622865	0.959716	0.94568133	0.96070826	0.9623823	0.91803426	0.9934586	0.95123625	0.94563085	0.9513987	0.94023037	0.9325418	0.92940235	0.9451456	0.95456386	0.9416887	0.9495044	0.94879365	0.9147218
The/name	0.7707724	0.98065585	0.9063085	0.8604251	0.0	0.89689666	0.7646639	0.8719779	0.65496516	0.8589417	0.9186238	0.85098004	0.9382825	0.86938155	0.8298608	0.8823054	0.86942744	0.8516346	0.8084132	0.85632414	0.9820463	0.6847199	0.88098204	0.80510837	0.79779226	0.84927344	0.83376646	0.9362355	0.92442846	0.9002366	0.9571852	0.72148985	0.85992056	0.83025676	0.92452	0.95235384	0.8406825	0.9097586	0.834732	0.9128736	0.89250857	0.8374324	0.5676379	0.80437195	0.8634288	0.78224677	0.892146	0.89332056	0.95105857	0.8193874	0.923894	0.8944017	0.886059	0.9274706	0.85357654	0.8888736	0.92019856	0.8632604	0.7892836	0.79845023	0.79797226	0.913953	0.92303425	0.80101645	0.8979335	0.7515758	0.8954555	0.6457405	0.8444315	0.91262174	0.9232618	0.8251536	0.9619968	0.9504546	0.91610754	0.90315485	0.8897271	0.8948679	0.86414015	0.8668737	0.8510599	0.8985906	0.91984105	0.84134626	0.8153267	0.82864386	0.6746327	0.74447525	0.8257565	0.78022796	0.91766226	0.849933	0.6701951	0.77706444	0.76412904	0.74279296	0.809141	0.8428221	0.86678845	0.9605452	0.83760697	0.9364695	0.73158705	0.8696433	0.90894043	0.9653838	0.8630542	0.83585685	0.8846513	0.9304954	0.7520228	0.87251604	0.81980246	0.8206953	0.89254075	0.85572505	0.92450655	0.7465985	0.9481293	0.879656	0.9395264	0.9116259	0.8896123	0.8643256	0.82569885	0.9230294	0.8862176	0.83471096	0.83331674	0.88472784	0.8756271
aankondiging/noun	0.9525716	0.92108476	0.95768464	0.95918965	0.89689666	0.0	0.9440831	0.89191616	0.8948769	0.87752205	0.858725	0.92481655	0.93420297	0.8531989	0.8826124	0.8665791	0.85655093	0.8559425	0.9396101	0.8614456	0.95251995	0.8645178	0.84594285	0.9425655	0.8731042	0.89043486	0.8110666	0.95294154	0.9085947	0.94121236	0.89746195	0.8969261	0.86886764	0.8419011	0.92374897	0.96295536	0.9069572	0.822408	0.84300005	0.8684511	0.85212314	0.8355949	0.8788808	0.89260525	0.88183206	0.85946494	0.8922443	0.82065225	0.89618015	0.8959761	0.9101406	0.8938647	0.88309157	0.86582583	0.91427916	0.8574898	0.8945703	0.92743653	0.89998263	0.94089377	0.8676189	0.9180373	0.89866364	0.9247659	0.8580651	0.89411056	0.89876306	0.88921404	0.8477152	0.9155036	0.93627024	0.86490446	0.93402565	0.9555878	0.86348295	0.8873988	0.8940068	0.8938057	0.90422887	0.8864477	0.9030868	0.86583704	0.8185905	0.8684194	0.83615285	0.89735866	0.9002454	0.8644238	0.8830408	0.9106995	0.7896446	0.91534984	0.8598282	0.903904	0.92074513	0.8660278	0.90561604	0.8508069	0.9369551	0.9367065	0.89826465	0.8950832	0.9017443	0.9317306	0.9446549	0.8973582	0.87205106	0.9010236	0.8938856	0.89414895	0.85632724	0.9071876	0.82350063	0.84596336	0.89224136	0.87419957	0.8603647	0.8679399	0.81638694	0.89328796	0.9170342	0.89834374	0.90081084	0.86989766	0.8991858	0.8895666	0.84872943	0.85060847	0.84622157	0.8746584	0.86741376
actie_film/noun	0.91097707	0.980625	0.9266347	0.95081013	0.7646639	0.9440831	0.0	0.87043774	0.8201405	0.88106877	0.9330765	0.90836465	0.9070218	0.87582743	0.7896111	0.8379078	0.8290235	0.9209788	0.8462448	0.81233096	0.9418105	0.82443863	0.8104913	0.7579995	0.8908726	0.83546567	0.8950707	0.9063291	0.8752615	0.9356046	0.90985	0.8250811	0.8223467	0.77873904	0.88337725	0.9612272	0.8396665	0.884688	0.8147497	0.82350427	0.8837454	0.76290345	0.60518163	0.7859256	0.89611554	0.86897373	0.835328	0.92694306	0.9282916	0.84593356	0.927161	0.8630191	0.88267124	0.8581298	0.8725312	0.9016846	0.8659979	0.8417657	0.86644506	0.87941736	0.8619884	0.88456124	0.85512924	0.8517623	0.8146911	0.798796	0.8937017	0.76604885	0.7915871	0.8668879	0.8858854	0.8636295	0.92046267	0.91564953	0.8947019	0.8313411	0.8614262	0.85140854	0.87165177	0.8258958	0.8798498	0.89816165	0.870196	0.8489154	0.82487893	0.85926455	0.83837	0.7796356	0.87433934	0.8381681	0.88680255	0.87550694	0.7631355	0.74749887	0.77706414	0.7317823	0.864158	0.7847495	0.8902742	0.95886624	0.8281497	0.8824899	0.811592	0.95619625	0.8928088	0.9069061	0.8153255	0.82190835	0.86198926	0.8786477	0.730999	0.913848	0.8641796	0.8072563	0.8659713	0.8473215	0.94383985	0.78142756	0.9263635	0.82118714	0.93607813	0.86682254	0.8770516	0.7738215	0.84158057	0.92093235	0.80539876	0.84014004	0.8389669	0.8328932	0.82610846
af/adv	0.89571005	0.95212466	0.96506286	0.96906984	0.8719779	0.89191616	0.87043774	0.0	0.8295065	0.79780275	0.8438468	0.8829814	0.88757366	0.84853566	0.7393699	0.75465465	0.82303053	0.8999782	0.8964487	0.77313685	0.9299505	0.81655306	0.8144343	0.85546917	0.87149453	0.7636184	0.7916617	0.9148921	0.84202343	0.952275	0.82692236	0.8469711	0.7920221	0.79733187	0.8788626	0.95128566	0.75659454	0.82302505	0.6166295	0.7589571	0.5624122	0.6981702	0.8086917	0.8041635	0.72669494	0.7798387	0.77276754	0.836663	0.8988583	0.76040626	0.72900784	0.69738	0.74071074	0.75976884	0.6906086	0.68723	0.76601624	0.8784713	0.85219365	0.936484	0.8001891	0.7766014	0.78654724	0.80987287	0.78890115	0.8046733	0.7608237	0.85512495	0.6670096	0.8275458	0.8841908	0.6734173	0.950772	0.8327629	0.8900755	0.8483347	0.87357867	0.7805343	0.83423	0.8178965	0.8132394	0.77463096	0.7860531	0.7734749	0.772053	0.8889013	0.7597456	0.8187588	0.8032207	0.8531982	0.8245115	0.85489106	0.8091184	0.86303216	0.86471725	0.7286278	0.8662905	0.5110407	0.94413024	0.91442496	0.77837855	0.71238136	0.84957856	0.93496716	0.87589294	0.90817803	0.6358826	0.8137626	0.8505062	0.75536585	0.7543862	0.856521	0.85587204	0.84079266	0.8572229	0.75129586	0.8697594	0.7533937	0.8805655	0.8029407	0.85483503	0.9315627	0.89719266	0.75773835	0.77351916	0.6503605	0.80356586	0.70317197	0.6476481	0.76484436	0.7442013
aflevering/noun	0.8514182	0.967611	0.93088007	0.9250577	0.65496516	0.8948769	0.8201405	0.8295065	0.0	0.8119885	0.87158275	0.8808602	0.92543995	0.8282772	0.76682955	0.8574125	0.8156384	0.812564	0.8623131	0.8380475	0.9609381	0.70618474	0.850129	0.8512129	0.8234105	0.8556391	0.8511302	0.9261686	0.9092236	0.926244	0.9153938	0.8148847	0.8033594	0.8169326	0.9232929	0.94811344	0.8410382	0.8731557	0.7988789	0.8908326	0.87756854	0.82955	0.62069416	0.75581574	0.82253695	0.7862052	0.8588324	0.8280706	0.9514972	0.83684486	0.8780562	0.8520665	0.83356243	0.8709813	0.8635043	0.8876182	0.8288056	0.8950353	0.8689893	0.915838	0.7988967	0.9045598	0.86458606	0.8639883	0.8663894	0.8228825	0.83838093	0.7560537	0.83795685	0.8684391	0.8862039	0.80686873	0.9572986	0.9495916	0.8616767	0.89151704	0.89527404	0.8718708	0.8835295	0.85927606	0.89899945	0.8718473	0.872566	0.8313185	0.8018599	0.845726	0.7819071	0.7575961	0.7676477	0.87898594	0.9061042	0.8327711	0.7058166	0.83165634	0.81518877	0.7047378	0.76981264	0.80481297	0.8640464	0.9497822	0.79574645	0.8637919	0.76811105	0.8893156	0.91296583	0.94349366	0.8249115	0.82349753	0.8477515	0.8951487	0.68710536	0.8975475	0.79691845	0.82152665	0.8337175	0.849215	0.8836995	0.7069729	0.91742766	0.8731156	0.8850212	0.91137093	0.87638164	0.8231863	0.8462884	0.873569	0.8698158	0.80885696	0.84406805	0.8868495	0.85295314
anekdote/noun	0.91804445	0.95851666	0.9351278	0.9336525	0.8589417	0.87752205	0.88106877	0.79780275	0.8119885	0.0	0.83196545	0.8688816	0.8793641	0.83388644	0.7089548	0.85189563	0.7013614	0.8564129	0.87389654	0.7705014	0.9400593	0.67035574	0.7931919	0.8566402	0.75811166	0.8395544	0.7306464	0.899291	0.822597	0.8989486	0.87545353	0.84883964	0.70537233	0.7142139	0.90349615	0.9259533	0.85477203	0.8877341	0.771199	0.81973803	0.82158756	0.76625824	0.736519	0.7804755	0.824705	0.6904645	0.8573679	0.8082855	0.8897627	0.83790433	0.8781166	0.82414365	0.82917625	0.80499285	0.80815464	0.82797945	0.7820713	0.81287956	0.8891864	0.9015616	0.78614146	0.8764638	0.8254106	0.7927109	0.8300744	0.8190044	0.8429376	0.82677287	0.7745902	0.69414437	0.8288417	0.8351425	0.9350259	0.8896796	0.89136994	0.8004416	0.8525548	0.7932563	0.8250682	0.82545567	0.8118346	0.82985544	0.7609035	0.82055104	0.7094977	0.8344821	0.81486434	0.73284477	0.78799707	0.86473525	0.8565166	0.8857467	0.71006274	0.8194909	0.8407734	0.6801055	0.7846612	0.69104946	0.8982921	0.92621595	0.79515743	0.85354036	0.79151565	0.9325458	0.809059	0.93274766	0.7419659	0.85658133	0.8386233	0.8572559	0.5623094	0.79237187	0.72895306	0.84450114	0.7937746	0.80841506	0.8251817	0.720066	0.91181743	0.82286626	0.838825	0.885188	0.8285793	0.7800062	0.7915129	0.8480479	0.7878376	0.7851262	0.8338181	0.8345483	0.7919786
