	lid_kaart/noun	altijd/adv	verblijf_status/noun	ten/adv	frank/noun	gezien/adj	bekentenis/noun	voorwaarde/noun	vonnis/noun	bouw_aanvraag/noun	gewoon/adj	besluit/noun	patent/noun	tarief/noun	kaart/noun	toelating/noun	onbeperkt/adj	door/adj	arrangement/noun	goal/noun	paspoort/noun	alternatief/noun	enquête/noun	regel/noun	advies/noun	boord_document/noun	gemeente/noun	treffer/noun	conventie/noun	rijbewijs/noun	bon/noun	stem_biljet/noun	slechts/adv	excuus/noun	juridisch/adj	status/noun	en/vg	referendum/noun	huur_contract/noun	onverminderd/adj	strip_kaart/noun	wagen/noun	euro/noun	Habibie/name	die/det	bod/noun	uitslag/noun	offerte/noun	dagvaarding/noun	licentie/noun	reis_pas/noun	adres/noun	niet/adv	wijze/noun	reden/noun	visum/noun	lang/adj	vervoer_bewijs/noun	huwelijk/noun	handtekening/noun	wereldwijd/adj	nog/adv	algemeen/adj	alibi/noun	ze/pron	biljet/noun	eind_uitslag/noun	document/noun	stem/noun	aanbieding/noun	universeel/adj	goedkeuring/noun	verklaring/noun	arbeid_vergunning/noun	papier/noun	reservatie/noun	diploma/noun	wil_beschikking/noun	vergunning/noun	wet/noun	typering/noun	enkel/adj	accoord/noun	rechtbank/noun	aanbesteding/noun	overeenkomst/noun	identiteitsbewijs/noun	ticket/noun	betaal_middel/noun	poging/noun	werk_vergunning/noun	alleen/adj	trein_kaart_DIM/noun	verblijfsvergunning/noun	verzekering/noun	dit/det	toestemming/noun	jaar/noun	uitkomst/noun	doelpunt/noun	kandidatuur/noun	abonnement/noun	principe/noun	rede/noun	verzoek/noun	exploitatie_vergunning/noun	argument/noun
lid_kaart/noun	0.0	0.9279453	0.9087463	0.91741514	0.80362034	0.95449877	0.9065404	0.90204364	0.9263302	0.8962885	0.8891143	0.91755974	0.8986387	0.868044	0.7894138	0.8629589	0.8638141	0.93030053	0.8635645	0.9675902	0.78859043	0.9196536	0.8609688	0.92633533	0.8927136	0.88051057	0.85298723	0.9635672	0.9130368	0.7911396	0.7821384	0.8327935	0.8819128	0.90578735	0.9169381	0.8909465	0.89831936	0.8931721	0.8589404	0.9324491	0.7908654	0.92695254	0.82198477	0.9174417	0.89287394	0.9111989	0.9515366	0.8614039	0.88369966	0.82579225	0.8176367	0.8591131	0.9221474	0.948725	0.9390086	0.82895225	0.9720684	0.78219193	0.93532056	0.8205377	0.89519256	0.9396861	0.9076893	0.8938862	0.8706803	0.7858763	0.9480289	0.80667233	0.92325747	0.8634527	0.9159099	0.8573829	0.90244204	0.84119236	0.8368476	0.8581419	0.8456806	0.9417257	0.8178944	0.8990034	0.96732694	0.8573057	0.85861576	0.95053613	0.8953236	0.879166	0.79681545	0.7443814	0.8825173	0.9680801	0.86364126	0.8938604	0.84241784	0.8275479	0.83458626	0.91955036	0.864865	0.9234281	0.9486029	0.97273636	0.90956974	0.6995045	0.88161486	0.9111897	0.8847696	0.8639746	0.9298363
altijd/adv	0.9279453	0.0	0.92277956	0.8438644	0.9741238	0.7899138	0.85432434	0.8862311	0.8834105	0.92456824	0.6307305	0.8849059	0.87707925	0.90616566	0.91223097	0.8848385	0.8344523	0.74571025	0.8058716	0.8851892	0.8863145	0.82177484	0.9126332	0.8401973	0.8834784	0.916428	0.923276	0.9089116	0.84535587	0.93255097	0.87735564	0.87181115	0.8393802	0.81910145	0.8532822	0.82572126	0.7003231	0.895011	0.9324999	0.79384077	0.9240649	0.90689796	0.9679017	0.87145555	0.6805488	0.9008798	0.86834544	0.87826693	0.91172254	0.9023894	0.9299012	0.85695577	0.6330106	0.7603774	0.84906214	0.88239354	0.7737422	0.8926328	0.8689304	0.87390155	0.8924776	0.6427903	0.87325686	0.8118232	0.5739977	0.87453675	0.8862345	0.8736685	0.81265205	0.8227202	0.7403739	0.9114088	0.8485704	0.9258593	0.8390148	0.90217525	0.86924064	0.91024864	0.92015266	0.8746776	0.77734864	0.74381185	0.9185668	0.9465032	0.9175562	0.91200423	0.9194279	0.9137641	0.90450186	0.8697898	0.90969706	0.6770441	0.91094065	0.8905399	0.89968336	0.8295983	0.9319909	0.9254477	0.833449	0.9178796	0.86884964	0.89363617	0.7762413	0.7772839	0.8971513	0.93587726	0.8083033
verblijf_status/noun	0.9087463	0.92277956	0.0	0.8834037	0.9395934	0.93696684	0.9141048	0.8282225	0.8761206	0.8708172	0.92910284	0.8794322	0.88527477	0.8837476	0.90744245	0.7596718	0.8553597	0.9465738	0.94523424	0.95164406	0.7862865	0.9137503	0.9223801	0.884963	0.891724	0.91684717	0.8258298	0.9510751	0.91943914	0.8347614	0.9171994	0.89207315	0.8714305	0.9204171	0.8384051	0.74241877	0.92260796	0.87541974	0.84250104	0.9215777	0.9177875	0.950061	0.9357347	0.927726	0.8825542	0.9191653	0.89449465	0.884564	0.90078646	0.77963847	0.8335928	0.87863445	0.88838637	0.89938277	0.89144415	0.7213946	0.91561794	0.88775456	0.9065055	0.88053215	0.92816395	0.87187433	0.92462957	0.90199006	0.8963614	0.8927818	0.90895545	0.865662	0.93478346	0.8922392	0.91935235	0.8558228	0.913763	0.74398077	0.860432	0.9602164	0.86749995	0.9313308	0.7110697	0.8483813	0.94791085	0.8471061	0.86101913	0.87291753	0.8640063	0.8808378	0.8034264	0.88595897	0.91235733	0.95625603	0.65223366	0.8473151	0.88913345	0.48753124	0.853133	0.9243418	0.81840813	0.9137108	0.90531063	0.94094974	0.8998623	0.8793527	0.8728658	0.88641036	0.8504502	0.82410556	0.90659946
ten/adv	0.91741514	0.8438644	0.8834037	0.0	0.83332056	0.88132703	0.81864476	0.8013134	0.76172644	0.85881156	0.8813893	0.7884367	0.8489617	0.7942028	0.90763986	0.8167661	0.79837734	0.86493075	0.8912738	0.9082391	0.8381216	0.84593296	0.82256585	0.83089066	0.8571144	0.93818724	0.79392827	0.89142823	0.8290812	0.8855087	0.8632328	0.86334515	0.7182675	0.85635954	0.7502097	0.7951449	0.8030515	0.82000816	0.87797976	0.8178691	0.9292959	0.9069278	0.81968045	0.8453294	0.7113699	0.8255964	0.85473186	0.87016684	0.82147264	0.86511517	0.8969942	0.88099635	0.7660447	0.7777953	0.88923764	0.8544327	0.871187	0.89298385	0.8690496	0.8852952	0.77515626	0.8191129	0.81965804	0.8428965	0.77452075	0.8614164	0.8895002	0.80756664	0.89175737	0.8741611	0.80626285	0.8335182	0.8095617	0.9001187	0.87393475	0.92508256	0.8543277	0.8873775	0.82611144	0.7877042	0.8852821	0.7170139	0.81911135	0.77424777	0.8373899	0.8277851	0.8746366	0.90809375	0.9184762	0.83534914	0.85670525	0.7519044	0.911253	0.83125424	0.8124165	0.7280017	0.8771006	0.8307024	0.79121804	0.9108094	0.82049257	0.85881793	0.77938265	0.81712556	0.81939304	0.90517837	0.7899051
frank/noun	0.80362034	0.9741238	0.9395934	0.83332056	0.0	0.938044	0.9446729	0.84349215	0.93018305	0.9280833	0.89100486	0.9497255	0.9257602	0.7604896	0.7714479	0.9131927	0.8034339	0.9248561	0.8575034	0.95032185	0.8719289	0.92282563	0.93680483	0.9514721	0.9315227	0.9045014	0.73702836	0.95067066	0.9545885	0.8886027	0.7764696	0.9028318	0.7673563	0.9329712	0.93013597	0.93514425	0.86598074	0.9401346	0.8769581	0.93914884	0.8393297	0.8989074	0.15513462	0.9605223	0.8879528	0.84563744	0.958746	0.8333038	0.90521103	0.8063002	0.87423986	0.8584334	0.9555782	0.94789594	0.9633347	0.8900611	0.95342374	0.87140375	0.9568247	0.8561749	0.83695877	0.91951483	0.91736096	0.9226308	0.90875715	0.74297225	0.93366355	0.87860626	0.9501142	0.8607328	0.9528064	0.89501953	0.9561471	0.92993003	0.8725871	0.77404106	0.8961368	0.9649352	0.85896766	0.94721967	0.97323704	0.81147385	0.91244054	0.8835226	0.8396752	0.921312	0.8919793	0.64793813	0.8574848	0.96352285	0.91826427	0.89722455	0.77999914	0.8998241	0.73848057	0.89016426	0.92108124	0.8033151	0.9579613	0.9478653	0.9459053	0.66697764	0.9057363	0.9484784	0.894257	0.93010473	0.94256514
gezien/adj	0.95449877	0.7899138	0.93696684	0.88132703	0.938044	0.0	0.8822833	0.8027038	0.8807748	0.90251166	0.81421566	0.8335125	0.8260081	0.872835	0.88840294	0.8335543	0.8358743	0.85583687	0.83810276	0.9062355	0.902159	0.79040015	0.90013725	0.8153356	0.8183318	0.94892734	0.89162076	0.9229393	0.8072928	0.9252447	0.8864582	0.900424	0.85805243	0.86057425	0.74028116	0.79116154	0.7351293	0.87704736	0.9048039	0.8334812	0.93829113	0.94044083	0.93080896	0.89298517	0.7655989	0.90549964	0.8790446	0.8857222	0.9065308	0.8833945	0.92574024	0.8960326	0.7809828	0.73034483	0.6947076	0.9013309	0.900094	0.94677377	0.86669874	0.9069811	0.82900876	0.841755	0.8487755	0.8513897	0.85071427	0.8881843	0.89761174	0.8497889	0.86912036	0.86697	0.79362035	0.86268544	0.825474	0.9414022	0.86378324	0.91870743	0.8538549	0.92605644	0.8922578	0.8699875	0.85500425	0.7826216	0.86863995	0.91604716	0.87051415	0.84673804	0.91023594	0.93514806	0.8746264	0.88495517	0.9171839	0.73227245	0.92320424	0.90276045	0.84351975	0.78314066	0.8953589	0.9050173	0.8077827	0.925918	0.8755424	0.8989946	0.7543797	0.7938177	0.90150136	0.93575543	0.6905633
bekentenis/noun	0.9065404	0.85432434	0.9141048	0.81864476	0.9446729	0.8822833	0.0	0.8674469	0.70755553	0.9119067	0.9054385	0.7986685	0.8629463	0.9035044	0.906552	0.84915	0.8733778	0.87596726	0.8744396	0.92393637	0.8228121	0.90380734	0.8340224	0.8784816	0.861668	0.8908537	0.91392803	0.92323536	0.85991704	0.8469141	0.8916476	0.8856236	0.87741363	0.7524981	0.7984149	0.8573727	0.8074574	0.8784867	0.8891652	0.8773047	0.929505	0.90208834	0.95533305	0.85111296	0.81356984	0.8395698	0.8520198	0.88271713	0.7367033	0.8731031	0.9268459	0.83421826	0.8521577	0.7664382	0.86969525	0.86385787	0.91431	0.93571544	0.84473085	0.86304575	0.9008101	0.89188164	0.8905829	0.7696353	0.7961258	0.87100875	0.88051975	0.723593	0.9050311	0.8824406	0.8473189	0.8372602	0.5767138	0.9082053	0.85806483	0.9664653	0.90652466	0.8886275	0.88432217	0.84512967	0.8750604	0.80941826	0.8335143	0.69354403	0.8740648	0.8113868	0.8635141	0.93871146	0.92628306	0.7585143	0.8828794	0.852677	0.92594045	0.85509807	0.8733676	0.8384563	0.8300035	0.9120784	0.8010783	0.9389775	0.8109757	0.91367114	0.8711786	0.7966181	0.7810885	0.91334254	0.77934533
voorwaarde/noun	0.90204364	0.8862311	0.8282225	0.8013134	0.84349215	0.8027038	0.8674469	0.0	0.7884882	0.7752279	0.91859144	0.70318055	0.80092305	0.67474854	0.91158134	0.6811428	0.7412056	0.9144693	0.86294496	0.9554142	0.82040983	0.7626187	0.88709676	0.5598265	0.6989876	0.96299994	0.67555	0.9487287	0.74025404	0.82730675	0.89409095	0.8797362	0.8398895	0.8736279	0.68816006	0.788073	0.8270438	0.7304611	0.74188054	0.832728	0.9106021	0.9453979	0.8203184	0.84919226	0.7671138	0.7830988	0.89752185	0.76445067	0.821914	0.7184329	0.8679146	0.8633194	0.8077069	0.77695775	0.7818503	0.7931566	0.91902465	0.8839818	0.85010666	0.8368353	0.8349582	0.88025624	0.7682621	0.8666884	0.8571991	0.8620525	0.9001658	0.7942411	0.90709215	0.8449193	0.81482625	0.6526427	0.81850386	0.8272788	0.87044644	0.91921985	0.8527598	0.8113004	0.6398997	0.5838177	0.9035929	0.72495127	0.62878996	0.80474734	0.72880435	0.6436363	0.8561652	0.8745289	0.84899384	0.88293695	0.7829415	0.75497663	0.8739644	0.7388304	0.6753855	0.849502	0.6988435	0.88227975	0.8105968	0.95666224	0.79802763	0.81098914	0.6063593	0.81760085	0.6404662	0.74286634	0.7328432
vonnis/noun	0.9263302	0.8834105	0.8761206	0.76172644	0.93018305	0.8807748	0.70755553	0.7884882	0.0	0.77416146	0.9208814	0.49212247	0.8299482	0.8438382	0.90911853	0.78967273	0.8751214	0.91287714	0.9070714	0.8876076	0.86560833	0.90140367	0.81932676	0.7390191	0.7152001	0.9288553	0.8303029	0.864185	0.7600459	0.87275124	0.8753618	0.85388935	0.88102293	0.7927409	0.67913157	0.8489392	0.8809406	0.7664387	0.80392814	0.8746064	0.92885053	0.95924157	0.9354033	0.81897974	0.7833053	0.7877751	0.72325623	0.87383854	0.66224945	0.8489533	0.9337984	0.8994641	0.82021856	0.7966287	0.84502757	0.8651396	0.9284897	0.9159172	0.81865054	0.8739418	0.8988212	0.8758617	0.8341549	0.8611789	0.8272382	0.8888073	0.82800794	0.7506432	0.8979312	0.8818602	0.8398142	0.7527315	0.6938744	0.87122476	0.90484464	0.9480398	0.9045349	0.851009	0.76473886	0.64476603	0.8702226	0.7696788	0.6958225	0.47594857	0.80673766	0.73254323	0.9072145	0.94652396	0.9282725	0.8152778	0.8979663	0.8441732	0.93739045	0.8341508	0.8820098	0.79346496	0.80856943	0.872113	0.68522036	0.8787197	0.74205446	0.91965795	0.7878865	0.74857354	0.6331935	0.8649506	0.69444394
bouw_aanvraag/noun	0.8962885	0.92456824	0.8708172	0.85881156	0.9280833	0.90251166	0.9119067	0.7752279	0.77416146	0.0	0.933887	0.7538701	0.86274654	0.8333676	0.90386075	0.7461387	0.91599685	0.93702364	0.90392846	0.9046405	0.8596348	0.88268477	0.8716709	0.82293355	0.69564635	0.9414392	0.68707055	0.8956201	0.8526024	0.8802645	0.8970135	0.8362606	0.887936	0.9142398	0.7631511	0.91698164	0.88385135	0.8056124	0.8036696	0.90845966	0.91795015	0.9290585	0.91903454	0.9002134	0.83819306	0.7674705	0.85681146	0.71605897	0.798247	0.79442734	0.8185946	0.87077796	0.8974175	0.8839367	0.89786005	0.80756414	0.9134493	0.8903049	0.8896744	0.8243201	0.9284377	0.8711621	0.87729955	0.9217003	0.894967	0.8689776	0.90191025	0.8178882	0.9285208	0.88073355	0.9201029	0.7294536	0.8558643	0.84487545	0.8660933	0.93834925	0.9086063	0.8845769	0.6212208	0.79079294	0.9392349	0.8203991	0.7787687	0.79987955	0.7027949	0.7748651	0.8992065	0.9196231	0.90972084	0.94720185	0.8252084	0.8890839	0.9094068	0.78480196	0.8401583	0.8616973	0.8173769	0.8802643	0.85466695	0.9008056	0.78475654	0.8747449	0.8374538	0.88395643	0.7420376	0.68890214	0.88867396
