	lid_kaart/noun	altijd/adv	verblijf_status/noun	ten/adv	frank/noun	gezien/adj	bekentenis/noun	voorwaarde/noun	vonnis/noun	bouw_aanvraag/noun	gewoon/adj	besluit/noun	patent/noun	tarief/noun	kaart/noun	toelating/noun	onbeperkt/adj	door/adj	arrangement/noun	goal/noun	paspoort/noun	alternatief/noun	enquête/noun	regel/noun	advies/noun	boord_document/noun	gemeente/noun	treffer/noun	conventie/noun	rijbewijs/noun	bon/noun	stem_biljet/noun	slechts/adv	excuus/noun	juridisch/adj	status/noun	en/vg	referendum/noun	huur_contract/noun	onverminderd/adj	strip_kaart/noun	wagen/noun	euro/noun	Habibie/name	die/det	bod/noun	uitslag/noun	offerte/noun	dagvaarding/noun	licentie/noun	reis_pas/noun	adres/noun	niet/adv	wijze/noun	reden/noun	visum/noun	lang/adj	vervoer_bewijs/noun	huwelijk/noun	handtekening/noun	wereldwijd/adj	nog/adv	algemeen/adj	alibi/noun	ze/pron	biljet/noun	eind_uitslag/noun	document/noun	stem/noun	aanbieding/noun	universeel/adj	goedkeuring/noun	verklaring/noun	arbeid_vergunning/noun	papier/noun	reservatie/noun	diploma/noun	wil_beschikking/noun	vergunning/noun	wet/noun	typering/noun	enkel/adj	accoord/noun	rechtbank/noun	aanbesteding/noun	overeenkomst/noun	identiteitsbewijs/noun	ticket/noun	betaal_middel/noun	poging/noun	werk_vergunning/noun	alleen/adj	trein_kaart_DIM/noun	verblijfsvergunning/noun	verzekering/noun	dit/det	toestemming/noun	jaar/noun	uitkomst/noun	doelpunt/noun	kandidatuur/noun	abonnement/noun	principe/noun	rede/noun	verzoek/noun	exploitatie_vergunning/noun	argument/noun
lid_kaart/noun	0.0	0.66319036	0.95477486	0.9470685	0.659933	0.9026562	0.9917608	0.9161579	0.9809826	0.98026186	0.87320757	0.87286925	0.9954259	0.7456857	0.60697085	0.9271186	0.8387022	0.97391474	0.8647652	0.97876245	0.76351553	0.98852295	0.97694284	0.8384055	0.9576446	0.624601	0.926759	0.9962592	0.94185305	0.75141394	0.8655024	0.99080217	0.7134161	0.96056074	0.9659369	0.99895537	0.82824737	0.9818382	0.6095003	0.99011767	0.8010924	0.97852695	0.6874707	0.9963611	0.9014277	0.864527	0.84882617	0.9285995	0.9387904	0.9428656	0.9529096	0.74492836	0.7681368	0.984242	0.9835496	0.7884298	0.9688245	0.96105254	0.9967127	0.84146273	0.9904991	0.91731185	0.7813331	0.96586746	0.7880031	0.48361224	0.91263187	0.832809	0.9598207	0.82517236	0.9528612	0.94646096	0.809297	0.9457944	0.74261415	0.64924204	0.6629236	0.99005145	0.94366145	0.87750083	0.99752563	0.77539766	0.9681288	0.9896252	0.90476114	0.9727657	0.942757	0.6140682	0.825134	0.9371928	0.7460425	0.71861887	0.76751316	0.78283584	0.86909056	0.950205	0.80237246	0.8969153	0.9987919	0.9518535	0.9693931	0.69508684	0.8856314	0.9920582	0.96994	0.9928771	0.9613134
altijd/adv	0.66319036	0.0	0.9458351	0.8897649	0.9206276	0.8787184	0.93542206	0.911457	0.93867046	0.9126299	0.7773196	0.86142373	0.9834716	0.89676553	0.8732549	0.89743775	0.8914815	0.9634262	0.97262627	0.92309463	0.82966286	0.9057444	0.97888774	0.8217639	0.93824404	0.72293484	0.8962046	0.94419515	0.9506146	0.81431675	0.87852526	0.922157	0.7627541	0.725883	0.7648803	0.9772782	0.8623712	0.94404405	0.6956242	0.91709256	0.9348643	0.8232956	0.932141	0.9910327	0.8162099	0.98112965	0.9032713	0.89879584	0.916485	0.92045796	0.9623713	0.83475506	0.59728265	0.9542245	0.79334664	0.85773754	0.6383376	0.9347561	0.988407	0.79138947	0.9432014	0.856925	0.717412	0.7526009	0.69041187	0.8604733	0.8979264	0.7894628	0.95909333	0.8457058	0.8654815	0.8526988	0.70701694	0.9859534	0.7651234	0.9837329	0.8095168	0.98449486	0.874051	0.86596674	0.9693801	0.66364247	0.87639487	0.9570529	0.8651924	0.8700624	0.8203511	0.9503164	0.91040397	0.9564611	0.8383442	0.7458766	0.94908863	0.8412651	0.8624521	0.800614	0.7662587	0.8912343	0.944159	0.99273556	0.9543169	0.87815565	0.894247	0.8667431	0.8272304	0.80472845	0.80608356
verblijf_status/noun	0.95477486	0.9458351	0.0	0.84009016	0.9834041	0.98597646	0.87980855	0.7752319	0.86021256	0.891072	0.91940755	0.8749118	0.9208044	0.9193821	0.92818874	0.78601915	0.98108983	0.98850334	0.9998456	0.9779529	0.71895355	0.9707426	0.97886246	0.62693346	0.9056626	0.93476677	0.8934136	0.9804636	0.8855065	0.7728567	0.98658496	0.94994986	0.76629204	0.96108836	0.8586911	0.9796248	0.8406198	0.8962199	0.85873	0.9434196	0.9862915	0.97388357	0.98559105	0.9140868	0.818741	0.8703005	1.0	0.89716595	0.82949424	0.8851336	0.9324952	0.95782804	0.85200953	0.7383057	0.91684103	0.63752	0.95383745	0.9820216	0.8148825	0.7812335	0.98684746	0.843748	0.77761877	0.97184366	0.74591947	0.9656321	0.9468795	0.7362734	0.97228223	1.0	0.9346719	0.8227715	0.937792	0.92347324	0.79024625	0.9788636	0.6484641	0.8963626	0.64344347	0.77029055	0.9959427	0.87662065	0.8260025	0.87311757	0.87751114	0.83862484	0.6946863	0.8663916	0.9556601	0.9667789	0.58098316	0.84111303	0.9883654	0.53763044	0.74943423	0.8673325	0.83235824	0.8809	0.99127465	0.98653936	0.8887288	0.96555436	0.9596183	0.9526759	0.7516323	0.7695136	0.88339716
ten/adv	0.9470685	0.8897649	0.84009016	0.0	0.7304615	0.8715998	0.80744916	0.7492832	0.7508596	0.62091434	0.6841699	0.78017914	0.9422179	0.78623474	0.845336	0.80960065	0.8762735	0.93040353	0.8526703	0.8870154	0.7391143	0.894191	0.93977886	0.914421	0.8714256	0.9645228	0.717822	0.87595344	0.8744247	0.6864158	0.9019198	0.8100127	0.6898922	0.8639865	0.797088	0.81201565	0.85387146	0.82139695	0.7592044	0.563189	0.7825949	0.9610352	0.77541196	0.9199247	0.7513231	0.80705917	0.97104925	0.8192166	0.7109647	0.8147236	0.62094074	0.80043805	0.90315145	0.9302261	0.6576692	0.7401446	0.8570937	0.8195606	0.81006235	0.80237234	0.8550853	0.6218154	0.7374493	0.82273567	0.7969403	0.81705534	0.9238101	0.67596865	0.8598598	0.9018239	0.7910187	0.71655464	0.80918884	0.8908653	0.6997499	0.9165287	0.68471944	0.80780125	0.75355893	0.7967089	0.8059956	0.6937828	0.71800536	0.8071716	0.881107	0.71149063	0.85185856	0.82873034	0.80528384	0.89243394	0.8321213	0.8898487	0.8602127	0.7473969	0.8397492	0.741651	0.8332166	0.77606165	0.9290359	0.9261632	0.7555202	0.81235874	0.8329122	0.9128121	0.83796567	0.8693401	0.7967051
frank/noun	0.659933	0.9206276	0.9834041	0.7304615	0.0	0.9345464	0.99610704	0.8654187	0.9979893	0.86381495	0.6651393	0.9314719	0.9668081	0.609355	0.30650133	0.93113375	0.73191464	0.9910605	0.68458986	0.95272946	0.8521011	0.90652144	0.9783164	0.90412533	0.95526326	0.9424616	0.8203351	0.9724076	0.8772207	0.8711405	0.77869326	0.8592615	0.6234062	0.9847149	0.9623474	0.88776445	0.6079868	0.9453781	0.9131325	0.8658142	0.7193219	0.9432502	0.07898623	0.9971167	0.9300939	0.72719455	0.989531	0.8094244	0.93226165	0.9370135	0.87509865	0.92754555	0.9947012	0.851632	0.917641	0.8649816	0.97331613	0.74687374	0.9749598	0.95043296	0.9511369	0.796458	0.7933028	0.866479	0.9394934	0.44064838	0.9558013	0.9135221	0.90647745	0.73655444	0.91435856	0.9471144	0.9738685	0.9052888	0.8492511	0.30460978	0.9474617	0.97153735	0.91789126	0.9461593	0.9973525	0.56566167	0.9758864	0.9983711	0.8477708	0.92150104	0.8288986	0.3039688	0.6098064	0.93159866	0.92948294	0.8764941	0.773434	0.9324729	0.81223315	0.9072932	0.9446476	0.86008286	0.9804035	0.9320384	0.9802894	0.39948428	0.88230366	0.9486251	0.97071975	0.9431476	0.99224013
gezien/adj	0.9026562	0.8787184	0.98597646	0.8715998	0.9345464	0.0	0.9240142	0.6284166	0.78161335	0.87538576	0.85127145	0.623635	0.627437	0.87312466	0.91137046	0.87047654	0.85724187	0.75956494	0.9767781	0.97608155	0.9778944	0.9617091	0.91642356	0.7498965	0.41635072	0.970281	0.6500723	0.96754307	0.689055	0.9651329	0.861056	0.87681884	0.7893917	0.86255467	0.7271378	0.56288004	0.80745023	0.9447027	0.79399556	0.8883565	0.8875784	0.95399815	0.8892263	0.9775492	0.8179	0.7595061	0.9099642	0.933627	0.87642634	0.842682	0.93210757	0.94296885	0.7616832	0.8927335	0.6982072	0.9580466	0.6752671	0.84875274	0.92686033	0.8472228	0.8093037	0.71570814	0.78915626	0.8738743	0.878627	0.8425933	0.9437766	0.8026172	0.9210355	0.9495913	0.7046143	0.76551425	0.8933761	0.8798517	0.9459966	0.9364706	0.93037915	0.80240214	0.6732019	0.79052484	0.8875625	0.8037383	0.8050031	0.9283029	0.8150052	0.68385625	0.8838735	0.95081544	0.8209173	0.842043	0.9893173	0.6162921	0.94451874	0.88411844	0.779642	0.88217914	0.8445824	0.69911456	0.78185743	0.9882628	0.8462437	0.9402832	0.46466213	0.7883182	0.8055726	0.7674092	0.537498
bekentenis/noun	0.9917608	0.93542206	0.87980855	0.80744916	0.99610704	0.9240142	0.0	0.8706621	0.7012737	0.9705843	0.93271166	0.86040413	0.86670935	0.989745	0.9654087	0.8576974	0.93605757	0.8931239	0.9934341	0.9741842	0.90545356	0.98407614	0.99583995	0.9214773	0.9630659	0.94064945	0.9425799	0.95582366	0.93647665	0.9086833	0.9586998	0.9642858	0.8637994	0.58880746	0.86406815	0.8324107	0.87858564	0.95264655	0.9428256	0.9258102	0.99466646	0.9605545	0.9929701	0.93574893	0.6223619	0.9231827	0.9399714	0.9837152	0.5549674	0.7697049	0.92492706	0.81892973	0.9199081	0.7466934	0.8722722	0.9200432	0.98117507	0.9640306	0.92009777	0.8109609	0.8463948	0.9194991	0.9262767	0.7612423	0.85747415	0.9788798	1.0	0.7408832	0.96771646	0.9818835	0.5661562	0.88260424	0.5109204	0.8853559	0.7878271	0.9816191	0.82231045	0.7699662	0.8871486	0.89301354	0.59657365	0.7831084	0.8863229	0.57836163	0.9703758	0.9092249	0.9023374	0.99465436	0.90773624	0.7870744	0.9294698	0.9225599	0.89949393	0.894379	0.9167066	0.9123608	0.8747574	0.9811618	0.96805453	0.99588805	0.7813241	0.97745043	0.8774906	0.797696	0.816813	0.9820521	0.77953327
voorwaarde/noun	0.9161579	0.911457	0.7752319	0.7492832	0.8654187	0.6284166	0.8706621	0.0	0.82889616	0.7508775	0.8425968	0.52964675	0.7695056	0.7318059	0.8683046	0.42859936	0.6185265	0.9704122	0.97473836	0.9599364	0.72852993	0.8571354	0.9165264	0.49534327	0.56187654	0.9007309	0.37224972	0.9613842	0.82892424	0.7172761	0.8625332	0.865611	0.6735468	0.96139085	0.69246197	0.8561023	0.82610774	0.78397685	0.7122525	0.92117655	0.94082785	0.88610923	0.85382396	0.81297165	0.7137019	0.57931805	0.8583292	0.64202166	0.9139961	0.43762213	0.7754539	0.91849196	0.81912804	0.74763936	0.612296	0.6167826	0.81083214	0.9520564	0.6023158	0.62504506	0.83226335	0.72825503	0.67373824	0.91616607	0.6178432	0.9410842	0.9039536	0.69094986	0.8544585	0.8013111	0.8902671	0.4058988	0.8848207	0.60758054	0.63968337	0.932238	0.7620549	0.8345883	0.35729283	0.5839816	0.9372947	0.59951365	0.57054657	0.7545267	0.5305305	0.5453149	0.6827129	0.8478059	0.9372432	0.74240255	0.5768485	0.60962415	0.89388746	0.63336104	0.5124874	0.8420995	0.60953367	0.7888969	0.7701118	0.9844696	0.6849475	0.89529824	0.42738044	0.7317599	0.46686333	0.72108924	0.73065203
vonnis/noun	0.9809826	0.93867046	0.86021256	0.7508596	0.9979893	0.78161335	0.7012737	0.82889616	0.0	0.9242343	0.9368548	0.63496685	0.8651049	0.9753294	0.982892	0.77814305	0.94825166	0.98762417	0.9817002	0.9415348	0.94685054	0.965353	0.84515303	0.88727176	0.7937606	0.98885304	0.76843315	0.89539516	0.93502325	0.9426667	0.90463686	0.81503826	0.8316477	0.88060284	0.6310941	0.84505945	0.9581599	0.7729149	0.76823646	0.88489574	1.0	0.96687925	0.99374175	0.9517525	0.90301377	0.934239	0.97579616	0.90180224	0.4136399	0.9178373	0.95174336	0.71944433	0.89920574	0.95201135	0.7678108	0.9420161	0.8677801	1.0	0.8870297	0.80119336	0.9281956	0.8386141	0.86303383	0.90844357	0.94668067	0.9235981	0.9528507	0.71718645	0.8739305	0.9556408	0.81298685	0.767971	0.8352113	0.99143964	0.89830697	0.9715496	0.92336345	0.8760704	0.81483626	0.7892397	0.9405736	0.75060976	0.62558675	0.36318916	0.90482134	0.7896221	0.91846573	0.99051934	0.976938	0.7234297	0.96458703	0.87761855	0.8784467	0.9025525	0.8994807	0.7366347	0.72745895	0.78554624	0.8143226	0.9085304	0.9225157	0.9901366	0.76153654	0.9023563	0.5661654	0.8975557	0.4126671
bouw_aanvraag/noun	0.98026186	0.9126299	0.891072	0.62091434	0.86381495	0.87538576	0.9705843	0.7508775	0.9242343	0.0	0.79044807	0.68520784	0.8643666	0.9166891	0.97652656	0.7513128	0.95805866	0.9665133	0.9955245	0.98997724	0.82704985	0.8882885	0.97165227	0.82759404	0.5225141	0.9892849	0.42472732	0.97578824	0.93608797	0.7596358	0.9800282	0.93191195	0.9061184	0.99025387	0.6822958	0.95568025	0.89977825	0.79664075	0.7724166	0.59272814	0.94463116	0.9938482	0.96921974	0.94721454	0.8690809	0.7334906	0.9991095	0.6458636	0.919134	0.8934561	0.5650096	0.9610692	0.9160476	0.59527737	0.6223767	0.7613859	0.9649078	0.9644932	0.8390821	0.82287055	0.96800363	0.7060367	0.72199035	0.9759918	0.9448026	0.977649	0.99281794	0.73545897	0.99334556	0.97959083	0.93180954	0.555814	0.92325765	0.97341037	0.83619964	0.94907284	0.9784492	0.9227996	0.7020067	0.71158695	0.98836774	0.80140334	0.70902574	0.94938016	0.52136326	0.6389891	0.9665825	0.9882765	0.9574005	0.9783229	0.95662934	0.867576	0.9893159	0.78107035	0.9601095	0.7407557	0.87593865	0.9634261	0.98788023	0.9966472	0.81744266	0.98674667	0.73848677	0.9632721	0.8372784	0.63390124	0.91372395
