	Chantal/name	Esther/name	Kim/name	Madonna/name	Waal/noun	aanmerkelijk/adj	bas_lijn/noun	bedrieger/noun	beetje/noun	bespreking/noun	bijzonder/adj	blessure/noun	blok/noun	bluesy/noun	broodje/noun	campagne/noun	charmant/adj	chef/noun	complot/noun	criticus/noun	daad/noun	dat/comp	dat/det	deler/noun	dijk/noun	ding/noun	ding_DIM/noun	door/adv	drempel/noun	echt/adj	elleboog_stoot/noun	ernstig/adj	fantasie/noun	fout/noun	genoeg/adv	gevoel/noun	glimlach/noun	god/noun	grimas/noun	grond/noun	haai/noun	heel/adj	heel/adv	helling/noun	hij/pron	hoe/adj	iets/adv	ik/pron	in_borst/noun	inslag/noun	jood/noun	kanker/noun	kindervriend/noun	klank/noun	kop/noun	kop_stoot/noun	kwasi/adj	lek/noun	lief/noun	loer/noun	machine/noun	man/noun	manier/noun	mens/noun	met/prep	min/adj	naar/adj	nicht_DIM/noun	nogal/adv	ondertoon/noun	ontzettend/adj	oog_DIM/noun	ook/adv	opmerking/noun	overtreding/noun	overval/noun	paal_DIM/noun	pleeg_ouder/noun	portret/noun	producent/noun	racist/noun	rap/adj	reactie/noun	recht/noun	rivale/noun	ronduit/adv	rotzooi/noun	schilderij/noun	schrijnend/adj	schuiver/noun	schurk/noun	sheriff/noun	soort/noun	spel/noun	spel_DIM/noun	sprookje/noun	spul/noun	stem/noun	streek/noun	stroper/noun	syfilis/noun	tackle/noun	tand_DIM/noun	tante/noun	tegenstander/noun	tovenaar/noun	trap/noun	uiterst/adj	vaak/adj	val/noun	val_partij/noun	veel/adj	veelvoud/noun	vernedering/noun	virus/noun	voetballer/noun	volk/noun	volwassene/noun	vraag/noun	waarin/pp	wat/adv	weide/noun	wel/adv	windstoot/noun	woestijn/noun	zaak/noun	ze/pron	ziektekiem/noun	zo/adv
Chantal/name	0.0	0.90880585	0.85240346	0.9227441	0.9520379	0.9679833	1.0	0.9922624	0.9779497	0.95080674	0.9614384	0.96714914	0.94869506	0.996362	0.982257	0.9512635	0.95328355	0.93329763	0.9804101	0.9766451	0.98188716	0.97250074	0.98925185	0.9935369	0.9819817	0.9660756	0.98858094	0.9429941	0.9702164	0.98454076	0.9590242	0.9394519	0.9497234	0.94471425	0.9530162	0.9529609	0.95791584	0.96981364	0.9576654	0.95362395	0.972097	0.97088754	0.9578242	0.95921475	0.96149963	0.9818935	0.9591991	0.9965149	0.9894532	0.9242376	0.97125983	0.9374679	0.94402105	0.97374684	0.9324882	0.9351509	0.9732557	0.9831961	0.9418883	0.956237	0.94596213	0.85817856	0.9882678	0.9456411	0.9523554	0.95235425	0.96379167	0.906159	0.9679792	0.9678599	0.9523354	0.9666268	0.9798949	0.9586564	0.95177764	0.9103639	0.9509674	0.9573231	0.93056476	0.95460045	0.9635303	0.9662617	0.9497368	0.9763217	0.936478	0.9492082	0.9689707	0.9540103	0.97267264	0.9684359	0.9885147	0.9742261	0.9635462	0.96932507	0.9743016	0.9307028	0.9693804	0.8952481	0.9689883	0.9615394	0.91214615	0.9572946	0.9801965	0.91739434	0.9652976	0.96978694	0.9673803	0.94790787	0.96121746	0.9390497	0.9502275	0.96067864	0.977118	0.98226076	0.9830448	0.91454375	0.9632143	0.9480959	0.963615	0.9323624	0.97229964	0.9490342	0.9714	0.9578645	0.9771678	0.9514454	0.9686379	0.9601078	0.9908106
Esther/name	0.90880585	0.0	0.89080155	0.9649553	0.9144355	0.95383424	0.9974601	0.99209005	0.9687393	0.9412716	0.95495385	0.9276361	0.9570436	0.9844631	0.9556963	0.9492138	0.97565913	0.9446197	0.98401856	0.94065714	0.9782661	0.96669066	0.9702109	0.9734045	0.9462592	0.97539824	0.9995938	0.9670376	0.95616657	0.94796526	0.9712465	0.93497956	0.9442487	0.9556458	0.9699134	0.9734361	0.94230866	0.9628978	0.9612048	0.97867084	0.96743846	0.97279847	0.97213095	0.9710367	0.91273034	0.9898237	0.9661662	0.990034	0.98974866	0.9585692	0.978426	0.95305014	0.95563596	0.96396506	0.9577825	0.9178728	0.9930666	0.9781647	0.9548788	0.97182965	0.9833331	0.8870902	0.96114755	0.9759616	0.9709986	0.9785386	0.9491066	0.86875325	0.9740658	0.97742134	0.9455812	0.9646185	0.97102827	0.9629024	0.9222568	0.90728724	0.96274835	0.941418	0.89710134	0.9338835	0.9752135	0.9515801	0.92005855	0.97692144	0.9422065	0.9558356	0.95985985	0.91035134	0.95327556	0.9947532	0.95631564	0.96809626	0.9663637	0.9569844	0.9593208	0.96009	0.9409602	0.9250604	0.97021806	0.98561305	0.9727077	0.9579084	0.9406225	0.8613984	0.9696134	0.9543716	0.9484569	0.9642819	0.97676414	0.95563376	0.9403503	0.9995582	0.96930826	0.9327869	0.9737585	0.89514095	0.9836751	0.9407821	0.96202743	0.9331542	0.9786304	0.9424089	0.9861883	0.97580236	0.96361476	0.9724389	0.99941254	0.97788334	0.97710025
Kim/name	0.85240346	0.89080155	0.0	0.90156233	0.9311804	0.98164105	0.9900721	0.97279704	0.92621696	0.94964653	0.92834246	0.8787888	0.9421079	0.97436017	0.9598371	0.92541003	0.8865013	0.92251253	0.95316094	0.9438151	0.94680965	0.9698646	0.97722405	0.98627436	0.95363766	0.95888066	0.9973126	0.9571424	0.95998436	0.9347087	0.97530746	0.8941014	0.9727784	0.9123144	0.91655815	0.94558525	0.9235562	0.9492377	0.98211473	0.9469897	0.95431805	0.96417886	0.9526217	0.9306736	0.9271694	0.9658061	0.95523226	0.9452974	0.9875319	0.9735031	0.96590567	0.9088226	0.949794	0.94964916	0.9287091	0.9242645	0.9543039	0.9465948	0.95243067	0.973863	0.95060843	0.80439717	0.9716423	0.96178335	0.8750808	0.95166457	0.93326044	0.88671	0.93631613	0.96973455	0.95437336	0.9546668	0.9486014	0.963997	0.9299872	0.902791	0.94034415	0.94415903	0.89980936	0.95830506	0.94807875	0.9331732	0.94166595	0.95623	0.9155196	0.9280652	0.99244493	0.90710866	0.95686233	0.95790935	0.8850676	0.9472909	0.95808285	0.89170027	0.94044113	0.9178059	0.9487647	0.89449894	0.9377259	0.97849256	0.992405	0.940384	0.9521122	0.88362515	0.905745	0.9676035	0.9147134	0.93600106	0.97253054	0.9226327	0.92216176	0.9711933	0.98745626	0.9331326	0.94742954	0.90463483	0.9366197	0.94225633	0.947444	0.8971792	0.9574274	0.9453513	0.96200013	0.9511585	0.9687255	0.94663966	0.9591382	0.9848278	0.96342015
Madonna/name	0.9227441	0.9649553	0.90156233	0.0	0.9859693	0.97646487	0.9602977	0.999547	0.9253758	0.95447505	0.9074373	0.97567993	0.9713346	0.97417027	0.96370006	0.92797357	0.89082277	0.9312345	0.96713215	0.93279934	0.9780631	0.97393364	0.9608013	0.9620422	0.9684734	0.92597	1.0	0.95275223	0.9640232	0.90963763	0.9778886	0.94520193	0.95831215	0.9814345	0.93598825	0.9374575	0.9670626	0.9402469	0.9898401	0.95612067	0.94338787	0.9502588	0.9664361	0.98135436	0.8801303	0.94393563	0.94059014	0.9911967	0.99916416	0.96893466	0.9571528	0.89295954	0.9899386	0.89100444	0.9451478	0.96375906	0.982837	0.99403346	0.9626857	0.9818915	0.96277833	0.91604865	0.9396579	0.9423014	0.89981097	0.9381508	0.97542155	0.9476119	0.9460446	0.9762056	0.97557014	0.9397301	0.894858	0.9741904	0.9558156	0.945463	0.98912674	0.995309	0.87739724	0.90946156	0.9709053	0.8995608	0.96684855	0.9586483	0.9420025	0.93380684	0.9777993	0.9216272	0.9737345	0.98813975	0.92385906	0.93580115	0.91967136	0.9385913	0.9828887	0.93151295	0.96271676	0.88671386	0.9611191	0.9688785	0.9884704	0.9701422	0.9674745	0.90886205	0.96043247	0.94748	0.97017	0.9567085	0.9541349	0.9355356	0.95808625	0.94543225	0.9791539	0.989925	0.95620453	0.9268417	0.9511255	0.96269417	0.98381394	0.83973885	0.9480197	0.9830651	0.9699394	0.9843619	0.96904695	0.9618082	0.94676024	0.9950005	0.9816176
Waal/noun	0.9520379	0.9144355	0.9311804	0.9859693	0.0	0.9603166	1.0	0.9544162	0.96147245	0.98771656	0.9581528	0.9466741	0.96825635	1.0	0.9714695	0.9741888	0.9845325	0.9748583	0.9763974	0.9710689	0.9724544	0.9488059	0.9370579	0.99548656	0.9349058	0.95344	0.9938339	0.9767006	0.9757566	0.9563363	0.9778645	0.9507954	0.9932277	0.95355856	0.97135866	0.9666581	0.9593208	0.978239	0.94407994	0.95602727	0.9754918	0.9663432	0.9673839	0.9646873	0.96595484	0.942014	0.93342346	0.97544354	0.9965462	0.98168707	0.91619956	0.94692177	0.99486506	0.98681444	0.9612181	0.96265185	0.88770026	0.9900032	0.99204	0.9921838	0.9597622	0.8944328	0.9743531	0.9357758	0.87755024	0.9695264	0.9470173	0.97417915	0.96263075	0.9689087	0.9640437	0.9882827	0.9399195	0.9807523	0.9314579	0.9524292	0.98197234	0.996193	0.958317	0.96089435	0.9733331	0.9399141	0.9776625	0.9597746	0.94930345	0.96851337	0.9915454	0.94755816	0.9833035	0.96360373	0.9956282	0.9917368	0.9695682	0.9484355	0.97831255	0.9718934	0.94135976	0.90222025	0.96903443	0.98670685	0.9780968	0.9615642	0.9567306	0.96893454	0.9487157	0.96218187	0.9444262	0.958928	0.966115	0.9810476	0.95708317	0.92233014	0.9859922	0.9739398	0.9349931	0.94252485	0.9638108	0.942398	0.94804263	0.9567087	0.9499657	0.9574279	0.9410237	0.9835334	0.9585301	0.97820586	0.97066355	0.96702313	0.98536736
aanmerkelijk/adj	0.9679833	0.95383424	0.98164105	0.97646487	0.9603166	0.0	0.98059285	0.9946582	0.99322796	0.94282746	0.96220803	0.97734684	0.96483594	1.0	0.9769385	0.9343786	0.9924511	0.96293914	0.98359495	0.94898254	0.9367784	0.94495785	0.9701001	0.98229915	0.9724118	0.99947834	0.98145795	0.9552188	0.94412583	0.963165	0.9970668	0.97781503	0.98293567	0.9659157	0.963006	0.97894216	0.95732695	0.9887654	0.9714504	0.93213665	0.9478334	0.9892829	0.96876454	0.96538705	0.95166904	0.9937411	0.8926222	0.9998941	0.98768586	0.9377621	0.92750233	0.96691823	0.99501294	0.9688526	0.9843712	0.9970893	0.9824697	0.99392396	0.97533494	0.9927557	0.96645534	0.94679767	0.96836436	0.88390446	0.90976954	0.8786132	0.9696923	0.9859619	0.9783282	0.95353776	0.9730597	0.97556174	0.94160056	0.9773407	0.9503343	0.96257687	0.9925802	0.978762	0.9616166	0.9088532	0.9785639	0.939626	0.97648746	0.94430155	0.9566151	0.976953	0.9517177	0.9703433	0.99117863	0.997059	0.9829488	0.9812256	0.9676342	0.9637215	0.9788429	0.9644878	0.929137	0.92840207	0.9810175	0.99207246	0.99485326	0.98892766	0.98405945	0.9772847	0.96099246	0.99090487	0.9675978	0.97018623	0.9410653	0.9513778	0.95838976	0.98441416	0.9071079	0.9897173	0.9400182	0.9546636	0.96119225	0.9186304	0.9923032	0.9607236	0.9620348	0.974149	0.98945296	0.9907399	0.97430056	0.9799887	0.97892773	0.9777032	0.9963671
bas_lijn/noun	1.0	0.9974601	0.9900721	0.9602977	1.0	0.98059285	0.0	0.97229767	1.0	0.96855533	1.0	0.9933002	0.95587635	0.90168077	0.9677039	0.95306605	0.9667606	0.98935467	0.9667667	0.9688701	0.9802972	0.9973378	1.0	1.0	1.0	1.0	1.0	0.9892611	1.0	1.0	1.0	0.9991298	0.9875728	1.0	1.0	0.99393624	0.9931628	0.99890643	1.0	0.99842495	1.0	1.0	1.0	0.99660164	0.976378	1.0	0.9998568	1.0	1.0	0.9792247	0.99959856	0.9868748	1.0	0.97834057	0.9975896	0.91201234	1.0	1.0	0.97796446	1.0	0.9955514	0.99339616	1.0	0.991897	0.9821464	0.9990311	0.9824487	0.9879005	0.9971924	0.9620788	0.99777627	1.0	0.9960762	0.99921775	0.9951087	0.99167484	1.0	1.0	0.985882	0.97400755	0.98403037	0.99165714	0.9959106	1.0	0.9764802	0.95463437	0.8912098	0.97790295	0.98852885	1.0	0.9914663	1.0	0.9788103	0.9885026	0.98239684	0.97223926	1.0	0.9917882	0.9945899	0.9795305	1.0	0.98163515	0.9102274	0.9938778	0.9897999	0.9727215	1.0	0.9992351	0.99592185	0.986501	1.0	0.9934742	1.0	0.99533486	0.9928758	0.98174566	0.989093	0.9765203	0.99668986	0.9814684	1.0	0.99109846	0.9891551	0.9907315	0.9359048	0.9971047	1.0	1.0	0.99768317
bedrieger/noun	0.9922624	0.99209005	0.97279704	0.999547	0.9544162	0.9946582	0.97229767	0.0	1.0	0.9982218	1.0	0.9984003	0.96538675	0.99890614	0.9934669	0.943985	0.99090934	0.99571687	0.98064184	0.96525246	0.9242773	0.9735025	1.0	0.99998856	0.99778986	1.0	1.0	0.98697746	0.96841323	0.98931396	0.99798924	0.9822514	0.90160143	0.98573977	0.99459386	1.0	0.99831307	0.96146977	1.0	0.9947446	1.0	0.97407955	0.97297424	0.985077	0.97567993	0.92645985	0.9987457	1.0	0.9651253	0.9930015	0.96876967	0.9859041	0.99063927	0.9718204	0.9844855	0.9849157	0.99510837	0.9976488	0.916167	1.0	0.9890681	0.97890186	0.9852995	0.970689	0.99733347	0.99951464	0.9986206	0.95546496	1.0	0.89574337	1.0	0.99883574	1.0	0.98495305	0.99739337	0.99927336	0.98819625	1.0	0.977435	0.9968794	0.994944	0.9949619	0.98929316	0.9827364	0.9899698	0.9965383	1.0	0.97709334	1.0	0.9960071	0.97834224	0.98789495	0.99521416	0.96561575	0.9996347	0.985423	0.97770137	0.9881656	0.97720844	0.98488593	1.0	0.9801804	1.0	1.0	0.9363878	0.96533245	0.9999528	0.98538554	0.97415936	0.954116	0.9994883	0.9852912	0.999132	0.99184966	0.9682069	0.97654575	0.97152543	0.97216505	0.99676126	0.962455	0.9870824	0.94835526	1.0	0.996116	0.983827	0.9925895	0.9948938	0.97677577	0.96935195
beetje/noun	0.9779497	0.9687393	0.92621696	0.9253758	0.96147245	0.99322796	1.0	1.0	0.0	0.94164443	0.8408313	0.93236107	0.9391987	0.9858191	0.9782859	0.901267	0.93162274	0.9629776	0.9707897	0.95052505	0.9740949	0.9513788	0.90152025	0.9894127	0.9780426	0.87724084	0.99939	0.9535149	0.97785294	0.82909447	0.9897198	0.9157155	0.9281513	0.90710604	0.8661842	0.8589923	0.913905	0.9128726	0.99214256	0.91443145	0.99921876	0.87373984	0.86644626	0.96897566	0.9336714	0.8605068	0.9117142	0.8684945	0.9312665	0.9347385	0.95264673	0.96232575	0.98966825	0.9479322	0.933121	0.9708531	0.9729986	0.97736293	0.9657177	0.99921596	0.96689856	0.92685235	0.8947419	0.9694465	0.8931706	0.9167791	0.9385277	0.96755224	0.86026144	0.9829271	0.9496259	0.94324195	0.8286783	0.92128974	0.961648	0.98575854	1.0	0.9938497	0.9227797	0.9353956	0.9778931	0.933107	0.89531523	0.91781485	0.9379593	0.95644236	0.99921787	0.93739766	0.9741484	0.9737	0.97048265	0.98488927	0.8135451	0.8514392	0.9757937	0.93786097	0.92825806	0.9172153	0.94224095	0.9968732	1.0	0.99882	0.9967841	0.94602776	0.91914636	0.98678094	0.944132	0.9183262	0.8631256	0.96753144	0.9845911	0.8412401	0.9933374	0.982594	0.9326595	0.91896546	0.8887206	0.9535779	0.8818379	0.8279064	0.83075964	0.9317124	0.8927995	0.98974675	0.9543045	0.9168891	0.8998278	0.96895456	0.95475465
bespreking/noun	0.95080674	0.9412716	0.94964653	0.95447505	0.98771656	0.94282746	0.96855533	0.9982218	0.94164443	0.0	0.8979793	0.9558207	0.9523947	0.99647003	0.9740958	0.8732345	0.97894734	0.89799577	0.93282485	0.8935195	0.8837923	0.8050504	0.96120846	0.9587907	0.9756903	0.9628142	0.9825676	0.9507594	0.97600716	0.9419843	0.9721294	0.9369708	0.97908086	0.9557357	0.9439148	0.94805413	0.972313	0.9345576	0.9888012	0.9510893	0.98678744	0.96253705	0.9505831	0.93682563	0.94042593	0.97545666	0.9591786	0.95181686	0.9884236	0.93734145	0.9286159	0.95855	0.9910212	0.9595373	0.9628731	0.9783996	0.9853997	0.98116976	0.9727032	0.965028	0.97688776	0.9577915	0.95060945	0.9778485	0.9348196	0.95140296	0.94963884	0.96161056	0.9647553	0.9743975	0.9762447	0.9358462	0.90413874	0.9022356	0.9786028	0.96562415	0.9706529	0.9613568	0.92795706	0.9183496	0.991568	0.981079	0.8985028	0.91671944	0.88636124	0.9570416	0.9920743	0.9503432	0.9545975	0.9970691	0.99177593	0.9799225	0.9387954	0.94541067	0.9731986	0.9303495	0.975271	0.953319	0.9461948	0.99906194	0.9995391	0.980314	0.9667462	0.95753	0.92461216	0.96693355	0.97064686	0.8979464	0.97237474	0.9327126	0.9794107	0.9626647	0.98532087	0.9308303	0.9725398	0.9498555	0.90262717	0.98368776	0.9385681	0.88985443	0.95073235	0.9687234	0.9672107	0.9925413	0.92868435	0.928281	0.97914225	0.9724957	0.9782514
