	BMW/name	Brussel/name	Gill/name	Kinepolis/name	Konmar/name	Unilever/name	aandeel/noun	aanzienlijk/adj	abonnement/noun	alles/noun	alternatief/noun	amusement/noun	antibioticum/noun	appartement/noun	arbeid/noun	arbeid_kracht/noun	artikel/noun	bedrijf/noun	bedrijf_investering/noun	bel/verb	bewering/noun	bier/noun	boek/verb	bus/noun	charme/noun	coke/noun	consument/noun	dat/det	devaluatie/noun	die/det	diesel/noun	ding/noun	dollar/noun	echt/adj	effectbejag/noun	elektriciteit/noun	en/vg	erg/adj	eten/noun	euro/noun	extreem/adj	fabrikant/noun	factuur/noun	flink/adj	formule/noun	genees_middel/noun	gerecht/noun	goud/noun	grafiek/noun	grond/noun	grondstof/noun	ham/noun	heel/adv	heruitgave/noun	het/noun	hoe/adj	hoofdzakelijk/adj	hotel/noun	hout_soort/noun	huisvuil_zak/noun	huur_woning/noun	iets/noun	inkoop/noun	inseminatie/noun	internet/noun	juist/adv	kamer/noun	kantoor_ruimte/noun	kleding/noun	kool/noun	kop_DIM/noun	krediet/noun	kwaliteit/noun	lekker/adj	lening/noun	leven_middel/noun	lijn_dienst/noun	luchtvaart_maatschappij/noun	maaltijd/noun	maatschappij/noun	makelaar/noun	medicijn/noun	meestal/adv	merk/noun	merkelijk/adj	mest/noun	middel/noun	mode/noun	model/noun	niet/adv	nog/adv	om/comp	onderwijs/noun	oog/adj	opvang/noun	overigens/adv	pak_DIM/noun	paraplu/noun	pc/noun	permanent/adj	pin/verb	populist/noun	prijs/noun	product/noun	productie/noun	programma/noun	reis/noun	relatief/adj	rij_DIM_huis/noun	rij_auto/verb	rommel/noun	rook/verb	sperma/noun	spul/noun	spul_DIM/noun	ster_restaurant/noun	strafschop/noun	strafschop_doelpunt/noun	stroom/noun	stuk/noun	tarief/noun	te/comp	techniek/noun	technologie/noun	telecom_aandeel/noun	ticket/noun	trip/noun	truc/noun	tweewieler/noun	type/noun	uiteindelijk/adj	uitgave/noun	vaak/adj	veel/adj	versie/noun	vervanging/noun	vervoer/noun	vlag/noun	vlees/noun	vlucht/noun	vooral/adv	vrij/adj	wao/noun	was_poeder/noun	wij/pron	winkel/noun	woning/noun	ze/pron	zo/adj	zo/adv
BMW/name	0.0	0.8766911	0.8946232	0.82161754	0.86781716	0.74676895	0.79783946	0.81280273	0.9693073	0.9551708	0.6797855	0.90579504	0.91728836	0.9352463	0.96328413	0.95715374	0.8928168	0.8353496	0.90887177	0.98133945	0.9552096	0.8699622	0.8772648	0.8664764	0.9411273	0.96672094	0.76185656	0.9302862	0.9726498	0.9273841	0.4406796	0.99953747	0.8777574	0.9028527	0.950909	0.7884611	0.8306117	0.9950929	0.9838334	0.8135265	0.8263684	0.67180884	0.90317214	0.8975905	0.9159741	0.8106591	0.9818288	0.9410173	0.8787556	0.9370466	0.789966	0.9828728	0.95418966	0.8789002	0.9942503	0.984387	0.7427988	0.9625074	0.9761725	0.9361267	0.9235104	0.9838528	0.8208402	0.9760786	0.9083164	0.8695638	0.96808326	0.9333722	0.7547661	0.8807794	0.9364684	0.81560445	0.8748473	0.97027886	0.8719584	0.8739237	0.97000086	0.89691406	0.9422639	0.9208204	0.845322	0.8097805	0.71563804	0.42472452	0.7029016	0.96011454	0.89367425	0.8529776	0.35422117	0.97665083	0.9450689	0.8720898	0.91561115	0.72124314	0.9842901	0.820349	0.8736527	0.9407173	0.86133033	0.95981395	0.94912976	0.949821	0.7479075	0.78265595	0.67373466	0.90969193	0.8935656	0.87332654	0.89698696	0.9265828	0.97341526	0.9003688	0.94719	0.8374431	0.9949954	0.998719	0.9980504	0.9899034	0.8817066	0.9478252	0.93023455	0.8993739	0.75832397	0.8762943	0.9407213	0.926085	0.98403126	0.8813667	0.56369436	0.4916312	0.9566826	0.93931526	0.88643265	0.9275971	0.8001002	0.9116	0.9354347	0.98725677	0.9430284	0.9231746	0.82219696	0.97213835	0.97478175	0.7710661	0.9819377	0.87223715	0.87149626	0.9628241	0.938251	0.9865808
Brussel/name	0.8766911	0.0	0.9981919	0.4627903	0.9925983	0.8703433	0.82623476	0.87733185	0.77584434	0.9415612	0.8477281	0.8313289	0.9744044	0.82674587	0.97180295	0.9313451	0.7366377	0.8776975	0.92556185	0.76379097	0.9547766	0.9378351	0.64119333	0.6543487	0.90354645	0.98772967	0.9384726	0.96892536	0.9749038	0.9382548	0.8640617	0.93808985	0.92286617	0.94323224	0.9266281	0.8956291	0.7215499	0.90395534	0.7850174	0.7575848	0.94791025	0.8215461	0.8509797	0.8651668	0.89203507	0.9613354	0.6167028	0.9655994	0.93247974	0.91043043	0.8627267	0.96076477	0.93779075	0.89917535	0.8860789	0.94918627	0.80083674	0.5915872	0.99750715	0.9832514	0.9293661	0.9547919	0.9377786	0.91777855	0.83527243	0.9502598	0.9044093	0.85795903	0.84725565	0.8214799	0.9825043	0.9673357	0.8022307	0.9081828	0.88222665	0.85128534	0.71878076	0.7161281	0.675133	0.73441195	0.88829887	0.93770295	0.9218294	0.8641087	0.87474597	0.91450405	0.8278533	0.88118625	0.90338314	0.98023546	0.9167126	0.91710323	0.8674118	0.95996296	0.84257376	0.84716845	0.8065275	0.97751504	0.9753524	0.91290665	0.9622708	0.9974402	0.8139986	0.8395083	0.83288693	0.8535042	0.724208	0.8448261	0.9643016	0.8927544	0.96464896	0.9547254	0.8889176	0.8340113	0.93295944	0.8182178	0.99903506	0.99500287	0.9253924	0.9592369	0.7740151	0.95815635	0.92531514	0.8653523	0.9509578	0.55528474	0.76671565	0.9746382	0.9902415	0.9209106	0.91231704	0.8537059	0.94119036	0.962135	0.85406697	0.9791477	0.7458043	0.98339707	0.8740661	0.6473857	0.8347559	0.84608716	0.9716194	0.9240226	0.97814965	0.8350304	0.8442322	0.9318342	0.8783611	0.94689715
Gill/name	0.8946232	0.9981919	0.0	0.9846459	0.9511888	0.9330995	0.9463408	0.9200124	0.96194917	0.9109409	0.9876701	0.8620832	0.8983145	0.96852475	0.8909269	0.8641312	0.9897399	0.8151217	0.9895651	0.98622406	0.96546715	0.94636846	0.9834149	0.97857606	0.95180565	0.9365204	0.88545144	0.89884883	0.95328337	0.89121974	0.9192145	0.9752537	0.9721991	0.9514528	0.9846113	0.8764076	0.8288685	0.9531845	0.9605466	0.9768123	0.8995616	0.89390224	0.95792395	0.96037716	0.9868641	0.8757108	0.98774576	0.96384984	0.94625205	0.99235475	0.8544537	0.9587388	0.9592497	1.0	0.8624712	0.8183973	0.9104779	0.9800477	0.8941276	0.87474215	0.9265622	0.9806595	0.91444886	0.99128985	0.8972519	0.9154855	0.97376895	0.96997535	0.94299346	0.9323459	0.9793917	0.98094046	0.7893252	0.97802925	0.9828372	0.8780494	0.97906953	0.957378	0.9398265	0.9239976	0.9679363	0.887569	0.91301185	0.8781237	0.96860087	0.93874025	0.9307192	0.93663454	0.8851646	0.9276794	0.98161227	0.90751356	0.794019	0.9550172	0.92559034	0.9761725	0.97560775	0.96832514	0.8854638	0.9898272	0.98800063	0.9424684	0.87821436	0.8430165	0.7383787	0.9095062	0.9847466	0.8998378	0.9052788	0.9042276	0.96267897	0.98576075	0.8952859	0.96876323	0.98892754	0.99602836	0.93760085	0.8298718	0.92161936	0.9601004	0.98054296	0.9576694	0.8708092	0.6176927	0.84515196	0.97383475	1.0	0.9876923	0.9226841	0.7128211	0.658248	0.9701953	0.88153744	0.9399424	0.95304245	0.9304388	0.9490252	0.98446035	0.9188769	0.96424633	0.88417965	0.9613746	0.9490369	0.88274413	0.89127064	0.9641343	0.916343	0.92394555	0.7924433	0.98263586
Kinepolis/name	0.82161754	0.4627903	0.9846459	0.0	0.8937625	0.8374593	0.678452	0.8472372	0.78594387	0.97995824	0.90901095	0.90774786	0.9909555	0.96389085	0.98057055	0.967237	0.89447993	0.8334831	0.9235267	0.8890788	0.9724838	0.9433805	0.6624626	0.8887355	0.9644416	0.98455	0.96621805	0.92784756	0.9531748	0.94428426	0.9050944	0.99264914	0.79614097	0.96939355	0.91957194	0.867916	0.9029825	0.9716984	0.9745654	0.6085824	0.9631994	0.93567437	0.9141101	0.81829983	0.792789	0.97610503	0.8790306	0.94171846	0.8384683	0.9329633	0.924535	0.9970486	0.9890397	0.9393084	0.94249946	0.99864525	0.95513886	0.87738013	0.9882183	0.93969095	0.9456547	1.0	0.8234289	0.99018854	0.8622687	0.98205006	0.9116391	0.93479115	0.9477161	0.6223625	0.9849128	0.88040745	0.9653529	0.9415047	0.8631357	0.89151525	0.8231275	0.7694577	0.91472477	0.87796503	0.95216787	0.99186236	0.95536864	0.94876164	0.93387115	0.92305547	0.98092616	0.95591885	0.9298597	0.965315	0.8995675	0.948349	0.9552076	0.9872099	0.9851916	0.9416172	0.9438035	0.99783283	0.97113556	0.98095745	0.93800986	0.99521494	0.8544557	0.980458	0.9082393	0.79153335	0.8150525	0.85759443	0.9514357	0.930071	0.991374	0.99999213	0.9739836	0.97399545	0.99490905	0.8971802	1.0	1.0	0.8800887	0.8863526	0.8534845	0.9549288	0.93678033	0.97391933	0.80703187	0.53404236	0.84741676	0.9805085	0.9325427	0.96575034	0.9672503	0.9281442	0.958422	0.97299564	0.9337901	0.82789934	0.8369948	0.9989845	0.92238235	0.7651572	0.9677072	0.9655533	0.977242	0.94394755	0.97037226	0.96004033	0.9795874	0.96662194	0.7973713	0.96735275
Konmar/name	0.86781716	0.9925983	0.9511888	0.8937625	0.0	0.6453338	0.9410429	0.93660456	0.76789284	0.940828	0.8028025	0.76166207	0.82493186	0.86444503	0.8641999	0.926729	0.57444406	0.8008137	0.9185912	0.93066204	0.89884603	0.6347295	0.89217585	0.9833178	0.84373647	0.93818986	0.5955303	0.92863286	0.9326299	0.7844049	0.8550586	0.9634265	0.95936036	0.90321064	0.77846545	0.84306395	0.77676094	0.9372806	0.8762646	0.96152246	0.92194057	0.67206	0.97154343	0.93287987	0.41191566	0.7874688	0.88896537	0.929872	0.75091124	0.9817925	0.79036295	0.9094859	0.9191052	0.97353554	0.9595823	0.95859504	0.7376251	0.845435	0.918354	0.85468566	0.93124986	0.9889886	0.80804217	0.9357653	0.80872893	0.8270408	0.94185126	0.843752	0.61510515	0.85867697	0.96751505	0.89702874	0.79249597	0.8922907	0.9054352	0.5525877	0.9894141	0.9439293	0.8989113	0.9639866	0.8937888	0.79226613	0.8472042	0.5750156	0.91625327	0.9611884	0.939209	0.8836769	0.7895943	0.9569101	0.93471926	0.86240387	0.938322	0.97370684	0.98218054	0.8901297	0.83319026	0.9282542	0.887785	0.88073087	0.8289982	0.9748809	0.65642154	0.5662937	0.8329317	0.7870238	0.9775597	0.7124735	0.8139028	0.8120632	0.9572421	0.9182951	0.9708395	0.7477426	0.81494796	0.94969654	0.9960056	0.98040015	0.815047	0.9834017	0.8839474	0.923768	0.92547953	0.8512077	0.930303	0.94569516	0.9648677	0.97639453	0.8788389	0.7402736	0.881021	0.82009864	0.83063304	0.85490894	0.961296	0.7290956	0.81581783	0.93492985	0.76616836	0.9817862	0.76553327	0.92770797	0.95793813	0.68054616	0.9167384	0.43668687	0.87102044	0.9313539	0.88055557	0.9113566
Unilever/name	0.74676895	0.8703433	0.9330995	0.8374593	0.6453338	0.0	0.46775508	0.76670927	0.8730542	0.9316945	0.91557133	0.7695918	0.8360823	0.9640621	0.80998063	0.71799684	0.6276674	0.40283936	0.760666	0.8977265	0.9350151	0.68267834	0.60412586	0.94599	0.9437597	0.95288587	0.4885425	0.9276755	0.8567702	0.8788967	0.84800136	0.9783377	0.56922567	0.94027346	0.83746463	0.8142916	0.6935494	0.94618756	0.8852582	0.6295206	0.9172088	0.3783387	0.79639584	0.74881184	0.7772549	0.68920386	0.7896143	0.85505605	0.7039485	0.96348107	0.55568266	0.9271264	0.95145345	0.97796136	0.8950503	0.9098862	0.6974317	0.8954871	0.86890095	0.9255581	0.91582173	0.969017	0.6382227	0.9451474	0.70933217	0.82927024	0.90385485	0.9129925	0.55403364	0.8016866	0.89158523	0.6731026	0.6776271	0.931499	0.69518566	0.5084103	0.908693	0.83126676	0.82653993	0.89255023	0.8604387	0.68882525	0.8198935	0.41203874	0.82134795	0.9009676	0.74919826	0.78214157	0.7359626	0.9675614	0.88827723	0.783574	0.93469095	0.9801232	0.92781985	0.82448673	0.67454994	0.92762	0.8090788	0.82147557	0.90106666	0.9954766	0.62022984	0.3831917	0.5550497	0.9328558	0.85898304	0.62424767	0.9409312	0.88056934	0.92561054	0.8785093	0.98964196	0.6328752	0.9144219	0.9311535	0.99763626	0.9877586	0.73295915	0.8189374	0.8598748	0.8650097	0.78766006	0.60851765	0.66102284	0.8802552	0.8880817	0.89086545	0.8891773	0.7967031	0.83398795	0.7240641	0.83811283	0.85941076	0.82297367	0.77424276	0.8152196	0.9895854	0.70767987	0.91666436	0.6389899	0.8287854	0.8737966	0.47050422	0.9211055	0.6712073	0.97919476	0.90997297	0.9009752	0.9023665
aandeel/noun	0.79783946	0.82623476	0.9463408	0.678452	0.9410429	0.46775508	0.0	0.7602556	0.8560464	0.9354874	0.9030772	0.9509565	0.9768858	0.85532665	0.9066904	0.8232844	0.7145821	0.5037302	0.7299067	0.95527965	0.9918973	0.88260424	0.47752023	0.9076242	0.9804668	0.9413525	0.65574026	0.9488494	0.7649597	0.9148706	0.8175948	0.96497834	0.33523083	0.9745104	0.9318562	0.8295324	0.7820621	0.9328945	0.96665347	0.46551508	0.95314825	0.7558483	0.7075223	0.61947584	0.8042811	0.75311005	0.9974508	0.764474	0.765803	0.9295156	0.71014327	0.981896	0.9471607	0.9985399	0.90853983	0.94553864	0.8157514	0.911377	0.9097707	0.84948295	0.7920118	0.94458956	0.77850735	0.9637527	0.73165435	0.75694424	0.9149711	0.85925204	0.86220145	0.7753316	0.8428138	0.40737534	0.8785366	0.95884037	0.47925782	0.8460164	0.8306467	0.70612454	0.8817809	0.8130739	0.8603204	0.7173841	0.79850364	0.76001644	0.7804751	0.9507188	0.871846	0.9100144	0.8978801	0.997731	0.85060996	0.8451928	0.8954921	0.9924075	0.9261759	0.77957594	0.8930863	0.9821129	0.9093135	0.9272552	0.9153904	0.996799	0.72372997	0.69595003	0.7685926	0.90440536	0.7846415	0.6349919	0.9240487	0.92291313	0.9790591	0.9768281	0.9810463	0.87671	0.95181054	1.0	0.9852444	0.9774089	0.7166314	0.7642797	0.7301934	0.8528924	0.8621792	0.7595837	0.61525285	0.71749866	0.86767715	0.9398951	0.9621507	0.93896675	0.9485296	0.72640324	0.8528842	0.8734612	0.975244	0.9538286	0.9024507	0.99974525	0.8899196	0.8297806	0.6188849	0.7981158	0.88299096	0.852011	0.96139026	0.8702253	0.8416731	0.9499359	0.9450511	0.986702
aanzienlijk/adj	0.81280273	0.87733185	0.9200124	0.8472372	0.93660456	0.76670927	0.7602556	0.0	0.7774318	0.9382249	0.71168494	0.91875666	0.77134645	0.70933855	0.7048749	0.6602163	0.88991904	0.5732434	0.78526086	0.8593473	0.8681893	0.8229531	0.8272095	0.87999535	0.88639444	0.78593075	0.63965476	0.9371427	0.7378351	0.8002025	0.74765325	0.9678248	0.6216973	0.9438558	0.96010584	0.6756569	0.6623254	0.91302836	0.9193337	0.62188315	0.7054625	0.7680763	0.7898051	0.58804464	0.81402993	0.6184773	0.94851565	0.7208085	0.7641327	0.817468	0.7079673	0.8914776	0.89938736	0.85724163	0.9358601	0.87764496	0.63919014	0.779819	0.72796094	0.6431998	0.59625804	0.9471809	0.6470082	0.87390333	0.78574306	0.7895762	0.7042457	0.7813974	0.8480915	0.8102542	0.92119086	0.7081027	0.6715983	0.88919353	0.6543474	0.68335485	0.7805668	0.7194461	0.8416422	0.733485	0.6226653	0.7098148	0.70004004	0.8487549	0.7295513	0.7798423	0.71377206	0.9406516	0.86153406	0.89498687	0.8029045	0.7128732	0.67292744	0.94756293	0.7495152	0.7930351	0.84015095	0.96850294	0.8264344	0.7043736	0.8383624	0.96951586	0.5793793	0.6157943	0.6833842	0.92018056	0.73967016	0.5103527	0.73293334	0.87590986	0.8327689	0.8578593	0.6384723	0.7492486	0.9184189	0.9887882	0.9498733	0.9971077	0.7003275	0.94135624	0.69271266	0.73501825	0.67032826	0.77936184	0.80768627	0.7949805	0.84679306	0.8451488	0.9182402	0.7399521	0.73299956	0.7068817	0.7385925	0.7103289	0.8147334	0.79137814	0.72614795	0.9793453	0.7984584	0.75792456	0.6981752	0.720822	0.7362106	0.8061725	0.84788835	0.8197788	0.65717715	0.8864914	0.8721148	0.93048996
abonnement/noun	0.9693073	0.77584434	0.96194917	0.78594387	0.76789284	0.8730542	0.8560464	0.7774318	0.0	0.93553555	0.7605704	0.77937555	0.95015955	0.9101726	0.8937025	0.8352864	0.88758665	0.74895906	0.93300736	0.45605695	0.90268016	0.921118	0.7495531	0.4795249	0.92003953	0.9310783	0.6504362	0.9595347	0.875654	0.7625083	0.79353863	0.953928	0.80182815	0.97889644	0.8252664	0.63210064	0.82271206	0.9482216	0.9235969	0.5465902	0.8533759	0.8694006	0.53092706	0.8401953	0.7318187	0.8269656	0.94666666	0.9177537	0.81785995	0.9774615	0.8575671	0.96853215	0.9757782	0.89911103	0.949631	0.940586	0.7979678	0.7753453	0.8897735	0.6682309	0.91430366	0.94677216	0.75744313	0.95928806	0.6544701	0.9061729	0.92737126	0.81708556	0.7760462	0.86958134	0.9438754	0.71676826	0.85954493	0.975901	0.71765447	0.75252104	0.71403646	0.7106561	0.78323174	0.72927827	0.5762261	0.86096776	0.8082428	0.8612027	0.8479534	0.88172364	0.87512964	0.9336468	0.8641634	0.95221686	0.8497306	0.81467956	0.8452091	0.8814202	0.84671235	0.83688176	0.7309905	0.9383297	0.7235824	0.91373646	0.72391844	0.99354494	0.647084	0.77023613	0.92711616	0.8100266	0.6679506	0.7096795	0.9231472	0.78035533	0.88086164	0.9459644	0.8966882	0.80640113	0.8943358	0.998754	0.97351456	0.9956285	0.7108983	0.9018326	0.44850928	0.81910473	0.9367172	0.86916804	0.8794113	0.39885134	0.8179687	0.9223602	0.9082924	0.88368875	0.7784556	0.7292878	0.8156164	0.93667793	0.8772123	0.8759358	0.5332314	0.94551957	0.8915325	0.77763665	0.8741826	0.82485485	0.9440904	0.8936736	0.93961954	0.8014651	0.8986397	0.86713845	0.95048404	0.9778631
alles/noun	0.9551708	0.9415612	0.9109409	0.97995824	0.940828	0.9316945	0.9354874	0.9382249	0.93553555	0.0	0.83210623	0.7212985	0.93715084	0.9558868	0.886306	0.85211766	0.9273149	0.9198019	0.9852117	0.8669429	0.9351596	0.8607196	0.9459944	0.9765736	0.9291253	0.792725	0.8590452	0.62016404	0.9307524	0.8051018	0.9529452	0.6047565	0.97908384	0.521755	0.78687704	0.926544	0.78681326	0.6662814	0.6956363	0.9988259	0.83663356	0.94029516	0.93504566	0.88885415	0.88682395	0.9044369	0.8515478	0.82296306	0.8916941	0.89714515	0.92651975	0.90340114	0.74073136	1.0	0.6579746	0.6365851	0.91074264	0.9298195	0.8975899	0.95490485	0.9287466	0.57092965	0.9006094	0.9679734	0.8152831	0.7466165	0.92377925	0.9512082	0.8165603	0.91159785	0.9134222	0.93840474	0.8987022	0.6515889	0.928823	0.9027183	0.97394925	0.9818469	0.8720506	0.88761556	0.98364365	0.8900277	0.7850665	0.91527224	0.9255338	0.92586285	0.7174603	0.65040624	0.9038409	0.58393216	0.6857253	0.6852853	0.9570441	0.9150573	0.9897095	0.8104396	0.9228871	0.944793	0.89600307	0.9076793	0.8794364	0.90141743	0.91253686	0.86670816	0.92020106	0.86067337	0.8426584	0.81285954	0.98183733	0.78664213	0.8621438	0.8437755	0.92238617	0.77753603	0.63716733	0.9262323	0.90112853	0.7056533	0.93226504	0.932884	0.92111063	0.60860753	0.77550226	0.74422294	0.8335962	0.93933535	0.9355506	0.73887396	0.88628477	0.9367626	0.7900101	0.9251871	0.71753454	0.7123056	0.8969992	0.96290773	0.94878453	0.90190095	0.8991415	0.95610356	0.8448828	0.8332635	0.8581717	0.95786023	0.55744064	0.8978148	0.9808524	0.6522503	0.62647116	0.6407122
