	Flandria/noun	achtergrond/noun	alles/noun	aluminium/noun	ambtenaar/noun	baard/noun	baard_DIM/noun	bak/noun	bastion/noun	bestaan/noun	beton/noun	blad/noun	blok/noun	brij/noun	brommer/noun	brood/noun	dag/noun	deur/noun	doek/noun	doos/noun	druk/noun	dun/adj	erg/adj	even/adv	figuur/noun	gans/noun	garnaal/noun	gebied/noun	gevel/noun	gewaad/noun	glans/adj	golf/noun	graniet/noun	haar/noun	haar/pron	haar_kleur/noun	handel/noun	heer/noun	hemel/noun	hersencellen/noun	hoed/noun	hoofd/noun	hout/noun	imago/noun	inmiddels/adv	jas/noun	kapsel/noun	kimono/noun	klei/noun	klinker/noun	kort/adj	kous/noun	krijt_streep/noun	krul/noun	kubus/noun	kuif/noun	licht/noun	lok/noun	lucht/noun	lul/noun	man/noun	marmer/noun	massa/noun	midden/noun	middenmoot/noun	mist/noun	monster/noun	morgen/adv	muis/noun	muis_DIM/noun	natuur_steen/noun	nauwelijks/adv	nevel/noun	omlijsting/noun	outfit/noun	overweeg/adj	pak/noun	pantalon/noun	panter/noun	plastic/noun	poeder/noun	poes_DIM/noun	pruik/noun	raam/noun	regenjas/noun	robot/noun	rok_DIM/noun	rook_gordijn/noun	rookwolk/noun	rot/noun	sanitair/noun	schakering/noun	schelp/noun	schemer_zone/noun	seizoen/noun	sok/noun	stad/noun	start/noun	steen/noun	straat/noun	tand/noun	tapijt/noun	te/adv	tint/noun	tovenaar/noun	uiterst/adj	vaak/adj	veelal/adv	verleden/noun	vest/noun	vilt/noun	vloer/noun	vlucht_wagen/noun	voorstad/noun	vooruitblik/noun	vuilniszak/noun	waas/noun	wat/adv	water/noun	werkelijkheid/noun	wolf/noun	wolk/noun	wolkendek/noun	zak/noun	zeehond/noun	zo/adv	zone/noun	zoveelste/num
Flandria/noun	0.0	0.99782753	1.0	0.98781997	0.9712601	0.9945516	0.99886227	0.988163	0.9894284	0.9929964	0.97140026	0.9953049	0.95980394	0.996914	0.9805822	0.9956187	0.96387875	0.9643205	0.9804208	0.9920934	0.99769765	0.9772257	1.0	0.98801357	0.98504984	0.9749809	0.9504025	0.98426366	0.9937754	1.0	0.98838544	0.9996288	0.99364823	0.9973779	0.9990872	1.0	0.9882676	0.98230034	0.9990506	0.98804307	1.0	0.98066956	0.99238706	0.99406546	0.98241234	0.9988684	0.9936626	0.9645002	0.9953116	0.9851274	0.99833137	0.9921517	0.99016786	0.9917303	0.96331435	0.98636883	0.9865865	0.98272246	0.99755657	0.9830099	0.98782027	0.9944571	0.9973188	0.98847175	0.97692496	0.9889163	0.9869701	0.95262504	0.99663526	0.9899672	0.9853641	0.9680956	0.9980419	0.96738315	0.98879045	0.9949506	0.99491817	0.9808995	0.9804908	0.9941628	0.99471074	0.97516954	1.0	0.9982625	0.9988196	0.9980036	0.9958487	0.971055	0.99819314	0.98220277	0.9890071	0.9482185	0.9873234	0.97669184	0.97211516	0.9977044	0.9904875	0.9625228	0.9922315	0.99003756	1.0	0.9833826	1.0	0.99371684	0.9964204	0.9731121	1.0	0.9992968	0.99769413	0.9731249	0.9899007	0.9771988	0.9901373	0.99581695	0.97573113	0.93660665	0.99956334	1.0	0.98281586	0.9944198	0.9996708	0.9895594	0.98265535	0.96599925	0.97272974	0.99625105	0.9516213	0.9933001
achtergrond/noun	0.99782753	0.0	0.9176637	0.9937006	0.95367724	0.971968	0.95923585	0.9352968	0.9617755	0.94758993	0.97855085	0.88828015	0.97304153	1.0	0.9943709	0.9557618	0.95818424	0.9449847	0.9181514	0.9626999	0.9326948	0.9695393	0.902887	0.92896694	0.8491525	0.99472654	0.9594976	0.93944156	0.94872487	0.96079344	0.9607269	0.95340693	0.99318004	0.9484745	0.865114	1.0	0.9443236	0.8298066	0.9386827	1.0	0.9717356	0.88195395	0.9545764	0.91074365	0.8952575	0.95844287	0.9511129	1.0	0.9468044	0.98984146	0.90616924	0.98214775	0.98484343	0.9838227	0.99087447	1.0	0.93938375	0.9883568	0.93772525	0.94239897	0.9360282	0.9874676	0.90781444	0.94586366	0.97748566	0.9611501	0.94365466	0.94109	0.966227	0.96228933	0.99842477	0.91387343	0.9717002	0.9787616	0.95011336	0.919701	0.9320512	0.9847588	0.97537076	0.9733693	0.97087646	0.9726169	0.9853283	0.95984584	0.9834668	0.98173857	0.9823823	0.99661094	0.9971272	0.9923559	0.99916	0.98846805	0.97955304	1.0	0.9563578	0.9698833	0.92940104	0.9508744	0.92990845	0.9322325	0.95266813	0.9583887	0.9560715	0.97739375	0.98544794	0.89109105	0.8818687	0.89741445	0.8396467	0.95942485	0.991042	0.9632299	0.99952096	0.9358289	0.98689806	0.9825387	0.94927686	0.919565	0.953962	0.86130166	0.9666097	0.96850765	1.0	0.9597671	0.9950264	0.96946716	0.9464375	0.9277463
alles/noun	1.0	0.9176637	0.0	0.9883879	0.9525462	0.962063	1.0	0.9629895	0.9967089	0.94897765	0.9758267	0.9612062	0.9344347	0.99561286	0.9905657	0.9487073	0.93589854	0.90895855	0.923932	0.9627876	0.9020617	0.9653821	0.8756407	0.9046801	0.9445679	1.0	0.9999979	0.92239594	0.9810943	0.99626166	0.9673543	0.9720927	1.0	0.9130484	0.8233064	1.0	0.95978945	0.9022902	0.9246349	0.9965916	0.9522994	0.8869195	0.96898735	0.9256799	0.9009361	0.9557145	0.9871497	1.0	0.9692946	1.0	0.8798439	0.99591815	1.0	0.96553814	0.9660302	0.99086046	0.9439976	0.99593437	0.8846091	0.93766683	0.9451338	0.9800215	0.96797246	0.9655862	0.9712866	0.9885825	0.9690608	0.9047465	0.9634053	0.9974853	0.88336027	0.9193887	0.9869751	0.97413075	0.9861132	0.9719771	0.942632	0.99020284	1.0	0.92036015	0.9996091	0.98627555	0.9990226	0.94107246	1.0	1.0	0.9945237	1.0	1.0	0.9768173	0.9972105	0.996896	0.98375994	1.0	0.89736	0.9697054	0.9226218	0.9455018	0.95624375	0.9529702	0.93372184	0.98611546	0.91058385	0.99132514	0.982845	0.8940029	0.9236258	0.97045004	0.91528684	0.9990726	0.97907823	0.91973686	1.0	0.9890894	0.982321	0.982217	1.0	0.82974917	0.9398863	0.9377954	0.98345715	0.91020334	1.0	0.95649594	0.9920209	0.9406417	0.9609637	0.92580885
aluminium/noun	0.98781997	0.9937006	0.9883879	0.0	0.97107744	0.99513817	0.9960243	0.98009545	0.9933925	0.99238557	0.97667956	0.9890317	0.95040405	0.9785843	0.9872308	0.95530957	0.9286662	0.97211814	0.95315063	0.9426346	0.98940665	0.97169834	0.9898927	0.9571359	0.98878145	0.9770708	0.9721784	0.9724535	0.9862452	0.9368938	0.9693023	0.96125966	0.9898032	0.97857404	0.9929743	0.96460414	0.95196843	0.98354834	0.9930753	0.9957267	0.99995327	0.9965513	0.94354254	0.9554565	0.92918694	0.96905696	0.9918502	0.99603325	0.9892705	0.99974054	0.9586393	1.0	1.0	0.9997773	0.9899686	0.94421494	0.9474894	0.9893723	0.96416306	1.0	0.9657497	0.9968661	0.9536055	0.9978638	0.9234081	0.99906373	0.9599775	0.9842187	0.9977	0.9895293	0.97701645	0.96029437	0.9795096	0.98803824	0.98596334	0.95655954	0.9849144	0.9882265	1.0	0.9921042	0.9615482	1.0	0.9855701	0.9923035	0.99986523	0.97954065	0.97143096	1.0	1.0	0.98697203	0.94606817	0.9870511	0.9985274	1.0	0.9853675	0.9879626	0.95682406	0.98521996	0.96962696	0.9724992	0.99090004	0.9702586	0.98342377	0.9920401	0.9988672	0.9844015	0.9987923	0.9841152	0.9757531	0.9909368	0.94718105	0.96318954	0.9472143	0.9918717	0.9984219	0.9814049	1.0	0.9874705	0.9678691	0.9941526	0.98573506	0.98688716	1.0	0.9715141	0.9589117	0.9998745	0.93942755	0.98928154
ambtenaar/noun	0.9712601	0.95367724	0.9525462	0.97107744	0.0	0.9597396	0.99793804	0.93112206	0.9705783	0.91230017	0.87032294	0.85229456	0.9164852	0.9768036	0.97325176	0.91444635	0.80642754	0.856363	0.9168074	0.91698	0.8992454	0.9446369	0.9342736	0.92727834	0.939024	0.92651516	0.9356328	0.84684145	0.945589	0.9789719	0.9612447	0.93268424	0.9802606	0.9515327	0.9415011	0.9954144	0.9041649	0.9025295	0.9594602	0.9912564	0.956661	0.8698909	0.9355754	0.9371927	0.7163301	0.9378311	0.9930753	0.9888578	0.9635081	0.93247306	0.89424205	0.9428059	0.9999498	0.9760095	0.9734255	0.99499136	0.9335198	0.9821649	0.93104655	0.9797821	0.77467656	0.9654435	0.9287799	0.923601	0.9801872	0.9781114	0.95223755	0.9012792	0.9633811	0.9952824	0.9733784	0.9089589	0.97412527	0.99847305	0.9915307	0.91295624	0.9205668	0.97610873	1.0	0.97416174	0.93345237	0.94852155	0.9580174	0.9555519	0.9807606	0.97484004	0.97887915	0.99816	0.9501091	0.97674525	0.9235472	0.98915637	0.9426333	0.9986312	0.95674175	0.96801555	0.8391776	0.92249155	0.9015536	0.8627272	0.94479936	0.9121887	0.96771973	0.9766605	0.98471636	0.911572	0.92191243	0.89698195	0.94706404	0.9381726	0.9922312	0.7719573	0.9574306	0.96459055	0.9906466	0.93727756	0.9665916	0.9702793	0.8490416	0.92986536	0.9443705	0.95923203	0.9999185	0.8596878	0.87068677	0.9857159	0.9017881	0.94393027
baard/noun	0.9945516	0.971968	0.962063	0.99513817	0.9597396	0.0	0.9995905	0.97266006	0.9677081	0.98436016	0.9777398	0.9641323	0.9920408	1.0	0.9917043	0.9620547	0.99150085	0.9801812	0.9768608	0.9960597	0.9463446	0.9491307	0.99100566	0.95252365	0.9444481	0.9973655	0.95710725	0.95677507	0.98974854	0.94035923	0.962338	0.9536118	0.99499136	0.9833922	0.972603	1.0	0.9730815	0.95677084	0.97371894	0.9987431	0.96918327	0.91465545	0.96333253	0.9482504	0.9271129	0.9395396	0.93756855	1.0	0.97512686	0.9825043	0.9882139	0.9850067	0.96675193	0.93926024	0.9243697	1.0	0.93568027	0.9699914	0.9717856	0.95307827	0.9211245	0.97921044	0.9839544	0.9627501	0.98522544	0.96839774	0.97307295	0.96921444	0.9834315	0.9818356	0.9769653	0.9874796	0.9999426	0.99889696	0.9392088	0.9686819	0.9736724	0.9811436	0.9871117	0.9856635	0.9972326	1.0	0.9761174	0.9597815	0.9954574	0.9831342	0.9935814	0.9776945	0.91609895	0.9599044	0.99997026	0.95731384	0.999882	1.0	0.9869949	0.98127323	0.97218287	0.9823385	0.94642735	0.97933954	0.9832508	0.95537835	0.9950532	0.96594524	0.98027015	0.9756295	0.9640067	0.9680846	0.968913	0.98781925	1.0	0.98316455	1.0	0.9662968	1.0	0.99126756	0.9367963	0.9881916	0.98256594	0.9929713	0.98704106	0.9897851	1.0	0.987334	0.9974303	0.9991507	0.9991116	0.9167207
baard_DIM/noun	0.99886227	0.95923585	1.0	0.9960243	0.99793804	0.9995905	0.0	0.99975103	0.9791003	0.96811146	0.9990487	0.9920754	0.9864381	0.9985151	0.9877633	1.0	0.97993684	0.946237	0.973184	0.99966156	0.97591734	0.92371917	0.9581883	0.9836916	0.93697035	0.998865	0.9059658	0.96363527	0.9982157	1.0	1.0	0.97935945	0.9998471	0.91624856	0.96337885	1.0	0.9628258	0.9889128	1.0	0.917924	1.0	0.965077	0.98993415	1.0	0.9701712	0.94297075	0.9859293	0.9965311	1.0	0.99745274	0.9930789	0.9700703	1.0	0.94872016	0.9822408	1.0	0.97180945	0.98462594	0.999992	1.0	0.90564126	1.0	0.9693397	0.99690074	0.99565756	1.0	0.9931819	0.99783504	1.0	0.99705845	0.8752135	0.98979217	1.0	1.0	1.0	0.9815956	0.9401314	0.99824536	1.0	0.98842645	0.9948496	0.95517176	1.0	0.98402345	0.99938476	1.0	0.9877911	0.9991614	1.0	0.98321944	1.0	1.0	0.97135526	1.0	0.9702698	0.99859065	0.98425317	0.996894	0.9481064	0.9451209	0.89021903	0.98849106	1.0	1.0	0.9988644	0.87572527	0.9228361	0.98441356	0.9658905	0.9962373	0.99780947	0.99987674	1.0	1.0	1.0	0.9974943	1.0	0.95454127	0.9970727	0.96783435	0.9411068	0.9781622	1.0	0.97171575	0.98821443	0.9894543	0.98319644	0.9395117
bak/noun	0.988163	0.9352968	0.9629895	0.98009545	0.93112206	0.97266006	0.99975103	0.0	0.99021345	0.9775953	0.9668327	0.958381	0.90756196	0.9970361	0.9708278	0.97003704	0.9052223	0.9576921	0.93041223	0.9659955	0.92943597	0.90800136	0.93480575	0.93874013	0.96835804	0.96153396	0.9475312	0.9633352	0.9624353	0.97069615	0.9685055	0.9593957	0.9470723	0.9585875	0.96611327	1.0	0.9562411	0.9440397	0.9428594	0.960782	0.96824425	0.94529027	0.97148085	0.9620857	0.8925141	0.97598016	0.97012347	0.97964734	0.97387415	0.97108364	0.9583248	0.96649903	0.9985718	0.9939545	0.92289823	1.0	0.9857435	0.9959431	0.9740444	0.9761545	0.91084915	0.9790718	0.9621798	0.94324744	0.942679	0.96550554	0.98752594	0.9340556	0.9271274	0.99800235	0.966878	0.9525342	0.99448335	0.9974309	0.9562153	0.9815815	0.9694272	0.9723993	1.0	0.9972995	0.9715824	0.99790156	0.9520874	0.9748977	0.9988887	0.9949825	0.98827773	0.99500865	0.9510837	0.95825106	0.9476035	0.99932235	0.9893443	0.98721886	0.91397166	0.9248452	0.9500325	0.9293537	0.9585823	0.9651865	0.9627926	0.9841906	0.9825147	0.96928614	0.9753057	0.9419788	0.98130673	0.97239333	0.9461153	0.93570507	0.9996645	0.9355457	0.9402052	0.98733944	0.99679065	0.9670573	0.9999366	0.93190426	0.92941004	0.9639793	0.982082	0.9620593	0.9936796	0.9400043	0.95923483	0.979444	0.9580164	0.9651254
bastion/noun	0.9894284	0.9617755	0.9967089	0.9933925	0.9705783	0.9677081	0.9791003	0.99021345	0.0	0.98929304	0.9954585	0.97151107	0.97293866	0.9993252	0.9525378	0.976318	0.9460227	0.9706227	0.9842206	0.9733674	0.9443067	0.9974583	0.99538887	0.93385315	0.95506454	0.9804536	0.94049335	0.91889924	0.97305596	0.9155911	0.9519834	0.93775934	0.99140924	0.99572796	0.98799306	1.0	0.9591482	0.98197013	0.95223844	0.99903566	0.9949253	0.9895545	0.9675973	0.9654546	0.96462846	0.98661405	0.97522753	0.92994887	0.9631378	0.9995884	0.9884008	0.9852967	0.982137	0.9627637	0.9887738	0.9818496	0.98317575	0.98067373	0.9896947	0.9878655	0.9714923	0.99954206	0.98504984	0.9526086	0.992025	0.9666939	0.9856583	0.9776979	0.99421924	0.9982617	0.9881527	0.9781293	0.99902195	0.9842732	0.9952431	0.9245799	0.9708897	0.9859295	0.9811412	0.9797086	0.9468841	0.9690764	0.9970521	0.9866732	0.9994924	0.98860556	0.97963065	0.9845183	0.991249	0.99485785	0.9953007	0.9639371	0.98948133	0.9950545	0.9877117	0.9959173	0.9058757	0.9927841	0.9586491	0.96384376	0.9659097	0.942619	0.9900577	0.9688601	0.9995872	0.95979184	0.93214446	0.94065046	0.96935326	0.993645	0.9985162	0.956598	0.997848	0.9093317	0.9872138	0.9966306	0.9435974	0.9897427	0.97229207	0.95061326	0.9642603	0.9756122	0.9978373	0.9766184	0.9764453	0.9932606	0.9701048	0.98988634
bestaan/noun	0.9929964	0.94758993	0.94897765	0.99238557	0.91230017	0.98436016	0.96811146	0.9775953	0.98929304	0.0	0.9756538	0.903965	0.94579786	0.9977489	0.9773179	0.9416854	0.91465527	0.916559	0.8875456	0.91700816	0.9287213	0.95333034	0.9186445	0.9332636	0.8989799	0.9849457	0.9657285	0.9205087	0.90139914	0.98769456	0.9683796	0.92734957	0.9886355	0.955055	0.8651593	1.0	0.9472509	0.8775859	0.9249462	0.99782544	0.9550991	0.890814	0.9660026	0.9323841	0.7704263	0.96342313	0.97339106	0.99012417	0.9514345	0.96434635	0.915516	0.98418105	0.99024355	0.97480613	0.9903547	0.99945396	0.9382269	0.99530107	0.9165934	0.97138643	0.76854974	0.99580055	0.9471841	0.92045385	0.97833526	0.96835375	0.9741887	0.8581096	0.9865778	0.9998622	0.99677676	0.9389726	0.9897762	0.9784241	0.9675852	0.9452598	0.94532275	0.9921494	0.98161453	0.9400712	0.9749516	0.9815181	0.9848797	0.9175147	0.97245836	0.9783425	0.9706192	1.0	0.9878803	0.9624194	0.97735435	0.9907823	0.9106201	0.96933746	0.89851826	0.96395624	0.93577474	0.9362583	0.9251484	0.91856086	0.94024676	0.9501765	0.9398848	0.95344806	0.9497923	0.9327903	0.9503429	0.94893	0.8904259	0.96103674	0.9981004	0.93873703	0.93290234	0.98271334	0.94052356	0.96357256	0.9928794	0.9289269	0.93026245	0.9394774	0.94727105	0.94354606	0.9992995	0.9482018	0.9665612	0.97520703	0.9610129	0.88374275
