	hersencellen/noun	deur/noun	morgen/adv	inmiddels/adv	waas/noun	hoofd/noun	vilt/noun	nevel/noun	pantalon/noun	kuif/noun	blok/noun	Flandria/noun	gewaad/noun	klei/noun	alles/noun	kort/adj	natuur_steen/noun	bastion/noun	brij/noun	bak/noun	muis_DIM/noun	lul/noun	omlijsting/noun	poes_DIM/noun	regenjas/noun	sok/noun	poeder/noun	gans/noun	krul/noun	lucht/noun	water/noun	stad/noun	massa/noun	zak/noun	druk/noun	vloer/noun	outfit/noun	klinker/noun	tand/noun	zo/adv	wolf/noun	figuur/noun	hoed/noun	kimono/noun	aluminium/noun	pruik/noun	zeehond/noun	schemer_zone/noun	gevel/noun	tovenaar/noun	haar_kleur/noun	krijt_streep/noun	imago/noun	steen/noun	erg/adj	kapsel/noun	overweeg/adj	zoveelste/num	uiterst/adj	vest/noun	schelp/noun	plastic/noun	schakering/noun	jas/noun	veelal/adv	man/noun	hout/noun	vlucht_wagen/noun	pak/noun	werkelijkheid/noun	brood/noun	heer/noun	dun/adj	midden/noun	rot/noun	voorstad/noun	lok/noun	golf/noun	bestaan/noun	haar/noun	haar/pron	vooruitblik/noun	ambtenaar/noun	garnaal/noun	marmer/noun	tint/noun	te/adv	brommer/noun	even/adv	doek/noun	robot/noun	doos/noun	handel/noun	straat/noun	rookwolk/noun	kubus/noun	licht/noun	gebied/noun	muis/noun	middenmoot/noun	graniet/noun	vuilniszak/noun	hemel/noun	monster/noun	raam/noun	dag/noun	seizoen/noun	verleden/noun	kous/noun	vaak/adj	wolk/noun	zone/noun	sanitair/noun	wat/adv	blad/noun	achtergrond/noun	mist/noun	start/noun	rok_DIM/noun	baard/noun	tapijt/noun	beton/noun	nauwelijks/adv	wolkendek/noun	baard_DIM/noun	glans/adj	rook_gordijn/noun	panter/noun
hersencellen/noun	0.0	0.9902264	1.0	0.9223925	0.9293935	0.92763066	0.99103224	0.94275755	0.9687922	0.9119276	0.9504792	0.99588424	0.98591673	0.9680041	0.99881846	0.98769057	0.97064394	0.96345997	0.96253073	0.8974281	0.85965264	0.96529955	0.9999726	0.8315677	0.94829303	0.9152786	0.9646807	0.86853564	0.9435064	0.93519276	0.9379648	0.9542009	0.9225894	0.92914164	0.8136941	0.9351562	0.94770855	0.9536699	0.95769817	0.9697259	0.9364873	0.9456911	0.89741623	0.96140975	0.9574034	0.94945455	0.98175645	0.9516962	0.96679276	0.951999	0.997128	0.9290836	0.9790931	0.96501464	0.9974479	0.9507505	0.985729	0.9199149	0.99720365	0.8947755	0.9389011	0.9656909	0.91386396	0.94644165	0.9437195	0.9069228	0.971132	1.0	0.89602405	0.99930847	0.9100101	0.9425842	0.9433298	0.81469727	0.93097544	0.9364774	0.94420034	0.95239294	0.969465	0.92105633	0.9759588	0.9205719	0.99421674	0.9619483	0.9616232	0.9473828	0.8448501	0.9960713	0.98508054	0.9152325	0.9927625	0.8597399	0.9997658	0.9298374	0.9988919	0.924878	0.7260237	0.9795892	0.34323543	0.99852836	0.9602772	0.9432884	0.9384594	0.9472131	0.9367512	1.0	1.0	0.9883806	0.9678868	0.96873647	0.9140963	0.9833161	0.95302814	0.9812186	0.77895284	0.9809791	0.9654955	0.9998563	0.8964012	0.9535111	0.9485923	0.9815489	0.985624	0.95806855	0.9569695	0.91931796	0.99643135	0.9907419
deur/noun	0.9902264	0.0	0.84967506	0.7936837	0.88836914	0.8179519	0.7622506	0.95014006	0.9541205	0.96593994	0.678249	0.9157803	0.9341881	0.77903634	0.793007	0.9745257	0.68241566	0.9527885	0.8569398	0.7408672	0.74996334	0.931874	0.48882526	0.69739103	0.8444228	0.9282624	0.8398083	0.7320769	0.8552343	0.78291583	0.7628895	0.94430494	0.80664885	0.8236398	0.9896119	0.46814722	0.9437481	0.8384439	0.9547241	0.85683906	0.92277604	0.78514427	0.8609589	0.9499207	0.53073686	0.88012797	0.790128	0.9939446	0.40939647	0.9066418	0.9840727	0.88255155	0.9561796	0.6123167	0.95584947	0.9550043	0.902948	0.8321441	0.89305186	0.8947804	0.82469606	0.5695702	0.97943604	0.8491156	0.84182274	0.9199411	0.57040703	0.96315664	0.8851952	0.8545873	0.8844467	0.9422704	0.8382915	0.7218354	0.77312756	0.99389124	0.9668105	0.9204809	0.9075973	0.9235603	0.85222477	0.9634599	0.9900084	0.88264143	0.6876017	0.79969007	0.9066947	0.8660889	0.7960304	0.6779877	0.94958377	0.5821699	0.81972027	0.6548847	0.85250056	0.60772574	0.69385946	0.94149446	0.82537234	0.9922485	0.7114156	0.5983679	0.86992615	0.90047354	0.3428808	0.9317698	0.9991922	0.9087447	0.9325756	0.9102213	0.9286934	0.9516954	0.5286257	0.9262644	0.77923894	0.8900225	0.93696105	0.88403225	0.91275305	0.9808554	0.6499101	0.6140816	0.86847305	0.9840881	0.9756781	0.6926681	0.957926	0.81584924
morgen/adv	1.0	0.84967506	0.0	0.9024575	0.57102764	0.77988404	0.9845814	0.5259018	0.99644876	0.9858579	0.9938181	1.0	0.9103645	0.889305	0.89669496	0.9486855	0.942414	0.790946	0.77105474	0.9501237	0.95631564	0.91400933	0.90389144	0.9721636	0.9915098	0.97348833	0.85014254	0.9249165	0.93818027	0.7449124	0.7776773	0.7656015	0.8579144	0.9571281	0.9824878	0.9452256	0.94762623	0.99029404	0.9925908	0.990364	0.919208	0.9197871	0.9712899	0.9807632	0.9356926	0.94958687	0.8925879	1.0	0.91065866	0.96680164	1.0	0.99656624	0.99569464	0.8792838	0.90031886	0.93997335	0.5407064	0.9906931	0.78716564	0.98859346	0.92271036	0.9470471	1.0	0.9680515	0.74981916	0.9156337	0.9373855	0.91387695	0.90863526	0.9304985	0.9587724	0.89222723	0.7275001	0.97060794	0.97515386	0.7760471	1.0	0.7998202	0.8964152	0.95007175	0.9830973	0.84140235	0.87315947	0.94523484	0.9999886	0.7671304	0.9993937	0.97445846	0.7377243	0.76783574	0.9960521	0.96998286	0.9304579	0.9824052	0.7624761	0.9676823	0.6521288	0.77436984	0.9940146	0.85483897	0.89905906	0.9586472	0.5640012	0.967638	0.8360118	0.40620667	0.6379751	0.8400964	0.99486214	0.8195794	0.4507845	0.8720041	0.9715761	0.81627285	0.90411186	0.73568916	0.45105582	0.6329475	0.99030244	0.93469244	0.8476571	0.9489354	0.82809377	0.5205866	0.9779322	0.9595526	0.7961632	0.9817582
inmiddels/adv	0.9223925	0.7936837	0.9024575	0.0	0.8457451	0.78155386	0.85500896	0.90884876	0.9836401	0.6416874	0.93594015	0.7198218	0.87136334	0.8436315	0.8306936	0.83721215	0.9255953	0.918489	0.887697	0.9009708	0.79000777	0.95002335	0.9838981	0.74536806	0.9476124	0.9596884	0.7883489	0.9585482	0.82378066	0.7418543	0.87880695	0.9187057	0.9075157	0.93301255	0.8812251	0.8517943	0.97391343	0.99132717	0.8521973	0.8920764	0.784421	0.70754504	0.71651214	0.98989093	0.86427045	0.64635366	0.9305572	0.9549509	0.737154	0.8270887	0.7759632	0.8684747	0.83133686	0.9491711	0.6557942	0.68336797	0.9278074	0.82227606	0.93450016	0.8862802	0.9141913	0.8269844	0.9522408	0.76554304	0.872427	0.9478569	0.7730889	0.9983949	0.8168994	0.8981162	0.8424398	0.8421196	0.76299876	0.6893247	0.84137213	0.97674644	0.7281153	0.950668	0.7111107	0.70934254	0.6804056	0.9352517	0.8517599	0.8636826	0.8298885	0.75456583	0.9341077	0.8797898	0.9456682	0.9065907	0.9295459	0.8073637	0.96815157	0.9871252	0.98299015	0.7849101	0.8519676	0.86724484	0.7954895	0.91435105	0.93084	0.9672347	0.91369545	0.9302014	0.8390186	0.8529197	0.8665776	0.8939563	0.984811	0.8453781	0.9560906	0.96779513	0.9216692	0.69460535	0.7637346	0.7046311	0.9298125	0.8691379	0.86982864	0.84773904	0.90395683	0.87753165	0.95023185	0.98891526	0.78389823	0.785529	0.99593276	0.81765366
waas/noun	0.9293935	0.88836914	0.57102764	0.8457451	0.0	0.78303915	0.94737506	0.4437462	0.91327757	0.77882886	0.97176063	0.9921353	0.8268364	0.8439923	0.510551	0.9390548	0.9835771	0.9195127	0.8409882	0.79566723	0.9606268	0.8781995	0.8814788	0.9846187	0.8488067	0.9039824	0.7441153	0.81534165	0.8078532	0.6017982	0.6515319	0.88803566	0.79775465	0.7873273	0.9506426	0.9014139	0.92700535	0.9423475	0.9193712	0.84725595	0.91376966	0.87371016	0.88179195	0.90919137	0.82133085	0.8814065	0.9067109	0.9241909	0.9211768	0.9306808	0.9611286	0.8775463	0.95660424	0.80589277	0.81825435	0.8711901	0.7243742	0.992487	0.8581558	0.90878063	0.90843844	0.6747644	0.8475211	0.8781187	0.89462453	0.89579076	0.8543318	0.9164327	0.77797055	0.8022653	0.8053453	0.8295093	0.6287124	0.91001	0.915957	0.9667036	0.9001029	0.7618264	0.8919939	0.86228466	0.9241382	0.95316863	0.9553118	0.91430175	0.9013697	0.7200385	0.86384255	0.9588386	0.797526	0.83781344	0.95628417	0.87266034	0.8853712	0.9305216	0.7002157	0.8374558	0.4504543	0.8604501	0.97469103	0.9902476	0.8052722	0.8130226	0.6363796	0.82326293	0.7650794	0.86064494	0.87014395	0.7893966	0.9291898	0.7272373	0.40129274	0.9837017	0.89587575	0.8133593	0.93851167	0.8423463	0.32991397	0.7459572	0.900546	0.8592735	0.7908727	0.857081	0.8353144	0.7563963	0.8618505	0.8506016	0.7927844	0.9823417
hoofd/noun	0.92763066	0.8179519	0.77988404	0.78155386	0.78303915	0.0	0.6239864	0.7356049	0.8280351	0.5164829	0.831651	1.0	0.58515894	0.67619526	0.89622563	0.57049537	0.8005905	0.9433913	0.6983518	0.7754507	0.94326305	0.8893055	0.7921118	0.910977	0.6122803	0.55636996	0.63710475	0.85794693	0.3995729	0.66714525	0.7194389	0.90050083	0.7028332	0.6746928	0.90136874	0.7648444	0.4744076	0.8949449	0.5899706	0.87264097	0.8856647	0.6209531	0.42089522	0.8099833	0.8657208	0.4282989	0.93421793	0.9914033	0.77729553	0.7497963	0.63376224	0.8708476	0.9667052	0.6563339	0.9141365	0.49706256	0.73356986	0.7553967	0.8568993	0.560846	0.6675899	0.6809796	0.81478626	0.41572088	0.8090604	0.5014589	0.7224071	0.7849097	0.41971093	0.89840204	0.77739316	0.629037	0.4358173	0.6770297	0.9779149	0.9750387	0.3823474	0.64732313	0.95023316	0.4262867	0.43140084	1.0	0.9067698	0.8517321	0.79652464	0.6449401	0.8797355	0.8380204	0.6709335	0.69910336	0.88588625	0.71315426	0.95354426	0.73348284	0.8209706	0.86687326	0.71785355	0.94249994	0.8066157	0.99984616	0.7974721	0.71866983	0.7133206	0.8035137	0.7372637	0.72059983	0.9642318	0.8882558	0.6087681	0.84880733	0.6730522	0.9499128	0.8744774	0.6633389	0.8096043	0.73850596	0.77434444	0.9246073	0.6157975	0.38113445	0.77687204	0.78266466	0.80147946	0.7580935	0.6025046	0.5834211	0.88518786	0.93776244
vilt/noun	0.99103224	0.7622506	0.9845814	0.85500896	0.94737506	0.6239864	0.0	0.88999075	0.7275083	0.8025733	0.77067536	0.9916759	0.79279184	0.52375287	0.8408941	0.8889715	0.7202705	0.87749314	0.79781806	0.80248547	0.9883855	0.95549315	0.9526227	0.9821321	0.57379824	0.7040371	0.7043765	0.99576783	0.6357561	0.82857037	0.8135494	0.9826861	0.71316016	0.7729846	0.93144107	0.6728926	0.631745	0.80174464	0.8157683	0.8210013	0.9418273	0.6276575	0.49191666	0.89420444	0.7536031	0.5805626	0.9437494	0.94822264	0.840171	0.85654473	0.6304649	0.9660055	0.93144345	0.68265855	0.88024217	0.72286755	0.71938705	0.9014434	0.7866674	0.53484535	0.76044536	0.62848353	0.77969515	0.5237912	0.83018756	0.76884735	0.6157053	0.85019726	0.65145564	0.80604404	0.9371059	0.8024226	0.64733624	0.7843066	0.91211563	1.0	0.81749904	0.989835	0.9902769	0.7144067	0.79489994	0.9794529	0.9826495	0.94474405	0.7071435	0.6487615	0.84760743	0.9412074	0.8637558	0.6771664	0.88215667	0.78459716	0.8303642	0.87842053	0.9969266	0.82525903	0.871387	0.94212776	0.88324434	0.99450475	0.79277015	0.94093823	0.84170467	0.83368784	0.80825925	0.999676	0.9970657	0.8689259	0.7083845	0.8033699	0.8650262	0.9452071	0.8881373	0.7025819	0.901601	0.7618904	0.83910537	0.99551684	0.55907404	0.6699194	0.69688785	0.65240306	0.94071907	0.90563184	0.7507329	0.6740874	0.9846994	0.94365066
nevel/noun	0.94275755	0.95014006	0.5259018	0.90884876	0.4437462	0.7356049	0.88999075	0.0	0.9576048	0.8038955	0.81538606	0.99835443	0.75131017	0.7192167	0.71567	0.9216189	0.7519134	0.8615433	0.7805137	0.9215863	0.899444	0.93568206	0.9279628	0.9330601	0.8679737	0.91277325	0.717722	0.79163945	0.8160347	0.5625764	0.5921078	0.8662939	0.7485367	0.8578851	0.942691	0.7331214	0.86813974	0.800337	0.8408598	0.9181988	0.8476722	0.7976583	0.9242227	0.94146746	0.7933297	0.79479825	0.8819759	0.9437877	0.78731763	0.87285715	0.9150538	0.9848013	0.977647	0.7656666	0.7551875	0.7534816	0.5952175	0.9102645	0.7951918	0.97132015	0.8857621	0.7772533	0.76177007	0.8776365	0.8723742	0.8993842	0.74926853	0.9531362	0.81415075	0.8514711	0.8126506	0.87390053	0.615054	0.76403457	0.9752312	0.87059593	0.87464046	0.66631734	0.9073347	0.8047047	0.89896035	0.95976007	0.94170576	0.89825535	0.7083971	0.6298531	0.89774853	0.9470457	0.8192268	0.75838405	0.9664355	0.8439884	0.800935	0.8803722	0.6884581	0.936399	0.58523667	0.75823396	0.9465873	0.9667621	0.7686129	0.95106757	0.60885	0.8436918	0.7585105	0.88438165	0.7822387	0.8250659	0.94894725	0.6957931	0.41081244	0.9558199	0.96454406	0.7608857	0.7184966	0.7470012	0.42119354	0.6975232	0.88659525	0.8240484	0.78384745	0.81177825	0.82224023	0.6704488	0.8237833	0.7698164	0.68193376	0.99584
pantalon/noun	0.9687922	0.9541205	0.99644876	0.9836401	0.91327757	0.8280351	0.7275083	0.9576048	0.0	0.8739646	0.9991645	0.9841266	0.92181385	0.9300335	0.9785224	0.56631404	0.9979452	0.9532363	0.91869664	0.8855734	0.99665207	0.81822556	1.0	0.9906564	0.4894929	0.51710844	0.8748234	0.98039645	0.86815953	0.9004626	0.9471103	0.9932548	0.88066727	0.53591514	0.97320914	0.8885834	0.55677795	0.94447714	0.94936526	0.91082495	0.99397594	0.89732754	0.51789606	0.6170769	0.83796203	0.62263274	0.8999729	0.99860156	0.9845779	0.8914433	0.9355339	0.68724185	0.86722475	0.8936382	0.76305336	0.8000148	0.94437444	0.9249133	0.79662466	0.30708104	0.9545183	0.8629714	1.0	0.40886003	0.88873696	0.6031126	0.93532467	0.8109753	0.34792	0.95634586	0.85744286	0.48150367	0.7315594	0.906201	0.8284737	0.9950466	0.8796697	0.9825929	0.97303647	0.6558131	0.7564539	0.95952594	0.96102434	0.9502015	0.9847538	0.82424736	0.7497305	0.8463193	0.9163333	0.8829016	0.8731518	0.8364459	0.73753893	0.7254781	0.9986221	0.9588632	0.98519176	0.9568225	0.7840378	0.99833995	0.97767675	0.88242847	0.98025036	0.9519555	0.9666207	0.9626135	0.95945036	0.9919847	0.5277747	0.8318536	0.9151642	0.96609014	0.98619044	0.87270266	0.9672048	0.94404894	0.9612336	0.9998837	0.39768463	0.6511729	0.96039164	0.9579719	0.8210842	0.9248449	0.59200126	0.7475708	0.9955441	0.9981162
kuif/noun	0.9119276	0.96593994	0.9858579	0.6416874	0.77882886	0.5164829	0.8025733	0.8038955	0.8739646	0.0	0.96163803	0.994975	0.5218667	0.85513604	0.9659841	0.7016639	0.844416	0.91179925	0.7613612	0.9114897	0.97726196	0.8216081	0.93950117	0.9566327	0.74936783	0.8019711	0.7169206	0.99576664	0.44140863	0.80059075	0.84830403	0.97743344	0.7821535	0.90082216	0.9044952	0.81178606	0.8047834	0.9123589	0.68459225	0.8720144	0.92353505	0.8230502	0.64950466	0.86612856	0.8599552	0.4896186	0.9228252	0.96678364	0.8565264	0.9025123	0.7462431	0.64360476	0.84919363	0.92126405	0.8253585	0.4377523	0.9349173	0.7242946	0.7996581	0.7720549	0.8776318	0.82559454	0.8704672	0.57801354	0.90693724	0.7758805	0.8161969	0.9284809	0.61655337	0.9176659	0.8026124	0.67783	0.62588716	0.67695624	0.9789957	0.97162825	0.32642186	0.79134965	0.88459754	0.43041545	0.48246986	0.9151661	0.9995573	0.9524059	0.7673744	0.74325764	0.7993241	0.8082644	0.8949269	0.76898843	0.9095384	0.8702901	0.84623843	0.9395521	0.9602335	0.876775	0.8547002	0.92901945	0.9567996	0.988986	0.8790841	0.91291	0.9092253	0.82040274	0.83946854	0.99562615	0.99665666	0.9503812	0.7655999	0.9001204	0.8536972	0.9825026	0.8890712	0.6204457	0.7079009	0.7453712	0.8621779	0.86728245	0.62984854	0.4552843	0.85707915	0.9294622	0.9666024	0.8369124	0.40590417	0.63616145	0.9954237	0.9958436
