	al/adv	avontuur/noun	behoorlijk/adj	besluit/noun	bestaan/noun	bijzonder/adj	capriool/noun	dans/noun	dat/det	even/adj	even/adv	exercitie/noun	genoeg/adv	het/det	hoe/adj	impasse/noun	klus/noun	koor/noun	kwestie/noun	meest/adj	moment/noun	omstandigheid/noun	onderdeel/noun	onderneming/noun	onderweg/adj	onderwerp/noun	op/adj	opdracht/noun	operatie/noun	opgaaf/noun	oversteek/noun	parkoers/noun	plotseling/adj	poging/noun	positie/noun	prognose/noun	publicitair/adj	reis/noun	rit/noun	situatie/noun	soms/adv	sport/noun	stand_DIM/noun	standpunt/noun	steeds/adv	strijd/noun	structuur/noun	stunt_werk/noun	tafereel/noun	toch/adv	tocht/noun	toer/noun	toestand/noun	trek_aan/verb	uiterst/adj	veiligheid_situatie/noun	vergelijk/verb	voorspel/verb	wat/adv	zaak/noun	zo/adj	zo/adv
al/adv	0.0	0.88112634	0.8276957	0.8815215	0.8754236	0.888942	0.9362323	0.9371971	0.8367589	0.8137198	0.8624855	0.94644505	0.8547002	0.8538175	0.85116315	0.8929251	0.8785558	0.93212557	0.88161856	0.84579223	0.84829444	0.87055314	0.91483265	0.87742543	0.86528397	0.8560946	0.8349385	0.8990333	0.8624212	0.898202	0.9242575	0.90201724	0.8230455	0.87950426	0.8979447	0.8905658	0.92967296	0.8833297	0.9002269	0.88148147	0.82671434	0.8870512	0.9432745	0.9095816	0.7391449	0.889112	0.9114752	0.91076505	0.9024318	0.72222435	0.88603485	0.89952576	0.8732474	0.890124	0.8881477	0.9384764	0.9017702	0.8477028	0.8401129	0.8842691	0.8623966	0.7927891
avontuur/noun	0.88112634	0.0	0.8033874	0.89261454	0.7679639	0.7879203	0.83583015	0.7270993	0.870968	0.8169873	0.74619734	0.8629096	0.8232842	0.85682154	0.78659004	0.8679995	0.84486735	0.8434805	0.8423138	0.78686357	0.7886402	0.828528	0.8807434	0.8138766	0.8132199	0.80890834	0.8264878	0.84475577	0.8286947	0.8426379	0.86077046	0.8545113	0.8057224	0.8170884	0.8714105	0.90979683	0.8933073	0.72122437	0.8443842	0.8075717	0.7039226	0.8488444	0.84957236	0.86941856	0.81395775	0.81133235	0.8539129	0.86854345	0.7162571	0.79684603	0.72918046	0.8269	0.7827598	0.8548528	0.79152024	0.9195519	0.8207594	0.8399839	0.80052376	0.87991846	0.82962596	0.78517556
behoorlijk/adj	0.8276957	0.8033874	0.0	0.8567269	0.8257118	0.6564636	0.8869728	0.8194502	0.77191335	0.7328778	0.6675546	0.9395206	0.6948528	0.78912085	0.7086843	0.9296984	0.8569336	0.84830344	0.7993771	0.7054093	0.81625634	0.77705556	0.8262761	0.8131825	0.82394516	0.80637926	0.85649765	0.8506416	0.8587582	0.8717661	0.9217387	0.82440144	0.76866835	0.82574797	0.82833457	0.87316895	0.91549027	0.85831714	0.8495787	0.797909	0.6117256	0.82143927	0.89735496	0.8047905	0.678781	0.8772496	0.75505835	0.8933306	0.808435	0.68505424	0.85378796	0.8164557	0.79494876	0.80792326	0.65835047	0.92379147	0.81336194	0.81911945	0.5938871	0.8594135	0.6196063	0.6504667
besluit/noun	0.8815215	0.89261454	0.8567269	0.0	0.8643037	0.84173024	0.9516039	0.9299537	0.8063619	0.878863	0.83400583	0.9068944	0.86624616	0.8238436	0.85507554	0.85910493	0.902877	0.9124717	0.79325765	0.85509205	0.8756156	0.82590574	0.8417617	0.82545984	0.92229223	0.8375977	0.87944317	0.81209344	0.789443	0.8872831	0.95102125	0.91999733	0.8587476	0.7828126	0.8176789	0.82127076	0.938725	0.90550196	0.93559587	0.81123644	0.8534987	0.9225074	0.9399151	0.6273554	0.85340166	0.84574616	0.82568496	0.9417319	0.9145035	0.8560224	0.92911816	0.9261594	0.83983153	0.8954242	0.8145746	0.85954857	0.88889176	0.8706118	0.87381506	0.79874223	0.8846637	0.83791196
bestaan/noun	0.8754236	0.7679639	0.8257118	0.8643037	0.0	0.78499097	0.90719664	0.81722265	0.8397143	0.8408388	0.7756087	0.918143	0.83912265	0.79719406	0.7906256	0.9062462	0.8943436	0.8646188	0.8466675	0.79648066	0.82130337	0.78658915	0.84043896	0.8287788	0.8575885	0.82397604	0.8347985	0.84805906	0.8659021	0.8688187	0.9118505	0.8939822	0.79564804	0.8173226	0.8076712	0.9150941	0.9425881	0.7897882	0.87643534	0.8058295	0.7474004	0.8486907	0.9180545	0.8595376	0.79093987	0.81965315	0.78640264	0.9312636	0.80557686	0.81936115	0.78194785	0.8985568	0.8017466	0.85395885	0.8078509	0.9298012	0.8328001	0.84659165	0.8170383	0.8545471	0.8317141	0.7981753
bijzonder/adj	0.888942	0.7879203	0.6564636	0.84173024	0.78499097	0.0	0.887006	0.75407934	0.81803465	0.7471428	0.6064074	0.88111484	0.63153833	0.8346756	0.66998917	0.91365886	0.83746564	0.8124728	0.8168044	0.599635	0.7918362	0.7709258	0.7845778	0.8259169	0.8438634	0.72317505	0.84788036	0.82085216	0.8495922	0.86990935	0.91364896	0.8495244	0.7897917	0.83410877	0.85335666	0.888825	0.88138425	0.8207356	0.9033755	0.7943176	0.60949254	0.7995886	0.87854886	0.82284826	0.7100246	0.8764976	0.74328685	0.90428126	0.7742756	0.74412704	0.81591964	0.85550106	0.8052447	0.82200116	0.50250614	0.91402173	0.8041347	0.85984343	0.6673225	0.85433227	0.61486065	0.5926759
capriool/noun	0.9362323	0.83583015	0.8869728	0.9516039	0.90719664	0.887006	0.0	0.8627206	0.92479086	0.8938421	0.8581639	0.9354332	0.9023843	0.94356346	0.8821017	0.94662046	0.9257783	0.9147665	0.93755984	0.86159	0.891128	0.91268164	0.9423471	0.92960155	0.8821686	0.9445105	0.92305905	0.9300282	0.943465	0.9338934	0.9197963	0.8994189	0.9123619	0.9217502	0.9196507	0.9417104	0.94607556	0.9179613	0.9296313	0.8813383	0.8467015	0.8945948	0.8601352	0.95212865	0.8840312	0.937884	0.9343488	0.8529859	0.8806069	0.9032108	0.88841075	0.8304436	0.89464027	0.91306984	0.9108985	0.95891845	0.94787836	0.9360375	0.9102711	0.93175614	0.9034698	0.8798526
dans/noun	0.9371971	0.7270993	0.8194502	0.9299537	0.81722265	0.75407934	0.8627206	0.0	0.90978706	0.84405017	0.74759245	0.9240404	0.84260833	0.8336681	0.8365009	0.91308963	0.92368937	0.71866214	0.84861356	0.78616667	0.83999085	0.8749521	0.8390609	0.91556954	0.8672055	0.7800452	0.8902084	0.8862344	0.9184368	0.8871287	0.92370325	0.8548046	0.825902	0.8760548	0.9113866	0.9496139	0.93572104	0.83428955	0.90302944	0.89009935	0.7164985	0.7275027	0.83882624	0.88742983	0.8348849	0.88248706	0.7990048	0.8964124	0.74338114	0.8876011	0.81754786	0.79475915	0.85769	0.8520946	0.76856637	0.9543939	0.82713425	0.9091305	0.7968024	0.91171664	0.8317043	0.82563245
dat/det	0.8367589	0.870968	0.77191335	0.8063619	0.8397143	0.81803465	0.92479086	0.90978706	0.0	0.80323505	0.8118711	0.8906193	0.7698901	0.7197262	0.6698476	0.8831013	0.86021274	0.93129027	0.7942531	0.8295159	0.8282937	0.8027403	0.90522534	0.84566367	0.9063775	0.8552263	0.8967907	0.85693866	0.84822536	0.86181736	0.8951158	0.91470945	0.85048765	0.8252338	0.850806	0.8481622	0.86471874	0.88920856	0.91672575	0.7393136	0.70696425	0.82317454	0.94415224	0.8056576	0.7891094	0.8932822	0.85516256	0.87991357	0.8759109	0.5813257	0.91948116	0.9159698	0.81923074	0.90957373	0.8197421	0.8937934	0.8830299	0.85300094	0.77696335	0.8122678	0.798776	0.67137456
even/adj	0.8137198	0.8169873	0.7328778	0.878863	0.8408388	0.7471428	0.8938421	0.84405017	0.80323505	0.0	0.56653625	0.9378178	0.7006997	0.8315231	0.68923056	0.92467266	0.8768071	0.84507656	0.82678455	0.77810925	0.6987222	0.82880884	0.90455115	0.9270735	0.7487854	0.8388026	0.7959799	0.88614804	0.87745595	0.8855109	0.91942215	0.84419996	0.68223226	0.8364763	0.86698914	0.91746867	0.9479817	0.84600097	0.8551613	0.84264016	0.58424485	0.87091243	0.8926488	0.8713591	0.7196995	0.9024012	0.863516	0.9195709	0.78518856	0.6338184	0.83857787	0.85381645	0.81610453	0.85131353	0.72654724	0.93558735	0.8688219	0.8556953	0.5921384	0.8912232	0.7185292	0.6147485
