	tafereel/noun	toch/adv	opdracht/noun	onderweg/adj	hoe/adj	bijzonder/adj	genoeg/adv	strijd/noun	capriool/noun	bestaan/noun	soms/adv	impasse/noun	plotseling/adj	avontuur/noun	behoorlijk/adj	het/det	zaak/noun	structuur/noun	tocht/noun	positie/noun	prognose/noun	steeds/adv	stunt_werk/noun	poging/noun	reis/noun	vergelijk/verb	oversteek/noun	onderneming/noun	sport/noun	parkoers/noun	even/adj	situatie/noun	onderwerp/noun	stand_DIM/noun	standpunt/noun	besluit/noun	toestand/noun	klus/noun	kwestie/noun	meest/adj	voorspel/verb	uiterst/adj	zo/adv	dat/det	wat/adv	onderdeel/noun	moment/noun	op/adj	dans/noun	publicitair/adj	operatie/noun	toer/noun	exercitie/noun	al/adv	koor/noun	trek_aan/verb	even/adv	zo/adj	opgaaf/noun	veiligheid_situatie/noun	rit/noun	omstandigheid/noun
tafereel/noun	0.0	0.8055909	0.8865007	0.8019943	0.7649205	0.7564608	0.8033483	0.901965	0.726923	0.8276621	0.63996226	0.84689116	0.74754035	0.7002219	0.8245597	0.8330194	0.845045	0.8072415	0.74415606	0.9023394	0.88213843	0.8263596	0.8464069	0.8647017	0.8274505	0.8780545	0.85025644	0.8978857	0.8518719	0.77536	0.8002376	0.7057979	0.7187809	0.75844926	0.8372783	0.8848516	0.7404469	0.85663235	0.8445624	0.76606846	0.8850104	0.77187014	0.7499391	0.81675076	0.77731895	0.86634666	0.7615918	0.88787055	0.73136795	0.8819854	0.84089196	0.8291188	0.84197885	0.857428	0.8081175	0.91769105	0.70551133	0.8108511	0.8928281	0.89743316	0.89176416	0.78238857
toch/adv	0.8055909	0.0	0.84082913	0.7936828	0.63284576	0.70291126	0.6165682	0.914273	0.801062	0.8485926	0.52305186	0.87672156	0.76564777	0.772356	0.63158196	0.85318375	0.8223406	0.85138804	0.88343817	0.8728791	0.8156252	0.7074482	0.8186747	0.84392834	0.8703176	0.83557904	0.88168544	0.89665055	0.81364447	0.8107513	0.574368	0.76838684	0.825157	0.8363274	0.85657156	0.8728174	0.8300688	0.74626493	0.8461746	0.7926213	0.8478744	0.772972	0.5500196	0.48790878	0.53938717	0.92904526	0.69994205	0.84382105	0.91496706	0.8095786	0.86929667	0.82395774	0.8076095	0.7327894	0.91211456	0.8325151	0.7645752	0.6835085	0.8310949	0.8690014	0.9227715	0.76051384
opdracht/noun	0.8865007	0.84082913	0.0	0.8839823	0.83062726	0.8375103	0.876817	0.8924883	0.8916313	0.8592733	0.855556	0.850855	0.9318391	0.8393703	0.8635119	0.8165742	0.7460323	0.77299786	0.8938311	0.78849816	0.8285753	0.85029596	0.8832649	0.8325725	0.87751544	0.8652551	0.8784998	0.7751882	0.8785245	0.8203008	0.8863462	0.8190869	0.78400487	0.85119134	0.79817957	0.79205656	0.863292	0.5929291	0.81806165	0.8431301	0.8552152	0.8351691	0.83710337	0.8322422	0.8780179	0.7971823	0.85083884	0.8973411	0.91523606	0.87022424	0.74559593	0.88382864	0.8589063	0.89360243	0.8782294	0.8636874	0.87265587	0.9011836	0.71122897	0.880289	0.91716796	0.7685969
onderweg/adj	0.8019943	0.7936828	0.8839823	0.0	0.8622784	0.8805485	0.8850027	0.90822875	0.85400105	0.9086371	0.74322224	0.88974506	0.72283435	0.7968571	0.8480334	0.83016074	0.9221469	0.9090713	0.6236293	0.90494317	0.91684544	0.85510266	0.89729804	0.87935805	0.63262594	0.8990581	0.7023999	0.92340946	0.87485296	0.7474552	0.74810004	0.8996694	0.8883032	0.769444	0.9308392	0.9344524	0.8826581	0.86457884	0.9089882	0.8584218	0.90753114	0.9016761	0.85163736	0.8696602	0.8089813	0.8898099	0.85676634	0.7870952	0.8735111	0.8738644	0.88368917	0.8254217	0.9028015	0.78812003	0.8943727	0.89146006	0.8022889	0.906041	0.90107656	0.90349907	0.7662493	0.87948346
hoe/adj	0.7649205	0.63284576	0.83062726	0.8622784	0.0	0.72115886	0.64489484	0.918665	0.8147169	0.84991527	0.60506576	0.8631847	0.78112316	0.8179237	0.7648906	0.8619307	0.7774292	0.80633336	0.8875913	0.8556823	0.877445	0.69535196	0.8802711	0.88137734	0.86259544	0.8094855	0.8780676	0.87673616	0.83020216	0.86253107	0.71267843	0.6897727	0.7673732	0.86646163	0.81270933	0.886657	0.79308325	0.817822	0.79203194	0.784444	0.866863	0.71411264	0.50494975	0.63653374	0.6774262	0.8994742	0.74097043	0.907206	0.8829361	0.85587406	0.8749155	0.8932187	0.85618913	0.8399075	0.91532236	0.9069452	0.7749444	0.64759386	0.86052215	0.8665613	0.96002895	0.74735105
bijzonder/adj	0.7564608	0.70291126	0.8375103	0.8805485	0.72115886	0.0	0.63447446	0.89551353	0.8243483	0.84015	0.61550677	0.8820436	0.80877656	0.7979837	0.60078025	0.83546555	0.8175162	0.7528132	0.8540331	0.8545836	0.8685303	0.7015108	0.86505073	0.8885994	0.8656769	0.83055323	0.90032494	0.8320122	0.753795	0.8078278	0.79310906	0.7787723	0.7035651	0.83381295	0.857132	0.8625214	0.8150429	0.79675233	0.8039917	0.6382714	0.8745116	0.48931235	0.6407872	0.7544123	0.6575972	0.8252679	0.7754545	0.9031899	0.7885763	0.7808596	0.84351504	0.86873806	0.7918986	0.875565	0.84431005	0.8829317	0.69118035	0.6483916	0.8596654	0.89368373	0.942894	0.77826697
genoeg/adv	0.8033483	0.6165682	0.876817	0.8850027	0.64489484	0.63447446	0.0	0.92985946	0.7974932	0.8925935	0.6219101	0.8972468	0.8280118	0.84300107	0.69446456	0.90252316	0.8261983	0.8312114	0.89322835	0.8784203	0.8891107	0.6952199	0.88828677	0.893846	0.89781135	0.9019877	0.9093396	0.89984226	0.8386835	0.8475088	0.7044004	0.78032184	0.820641	0.8607181	0.82737046	0.8851468	0.8281675	0.8048301	0.84660935	0.75809085	0.8842296	0.66929543	0.50772667	0.7034255	0.58516765	0.90833545	0.7788685	0.8873394	0.88811094	0.8266405	0.888246	0.8666271	0.8533986	0.8403215	0.90579486	0.86295635	0.6917176	0.6200286	0.8608513	0.90335834	0.94419414	0.79685473
strijd/noun	0.901965	0.914273	0.8924883	0.90822875	0.918665	0.89551353	0.92985946	0.0	0.9214238	0.8419073	0.8746743	0.79337025	0.86023587	0.8201519	0.90741897	0.8401321	0.852698	0.8709697	0.84443825	0.80731624	0.912617	0.84217733	0.92171466	0.7647084	0.84323436	0.89399135	0.89743036	0.8673228	0.88200396	0.91632	0.9195817	0.88653207	0.8638747	0.9282071	0.8521444	0.8911082	0.8925187	0.91097915	0.8157185	0.8829137	0.89186984	0.86269903	0.91474175	0.93925023	0.92047155	0.886233	0.9169055	0.920826	0.9062216	0.8749231	0.7335758	0.89380395	0.89721733	0.87166595	0.91878	0.9312749	0.8847387	0.9274887	0.9048779	0.85830534	0.87962663	0.91573894
capriool/noun	0.726923	0.801062	0.8916313	0.85400105	0.8147169	0.8243483	0.7974932	0.9214238	0.0	0.8999133	0.7170546	0.8858608	0.8038016	0.7913772	0.8314965	0.8723513	0.88500315	0.863949	0.85657036	0.8536509	0.91708463	0.83295894	0.8592836	0.86638486	0.88087076	0.86329436	0.8514191	0.8926394	0.8566491	0.86510277	0.83283883	0.81177646	0.86625516	0.8098104	0.8721692	0.8942472	0.83221173	0.8719898	0.89443296	0.8013786	0.90483576	0.8234512	0.7889848	0.8346374	0.8069492	0.900734	0.86926246	0.9193046	0.8174627	0.89287907	0.8919571	0.80779976	0.8565886	0.89285356	0.83082026	0.88725495	0.81482935	0.8306395	0.8727714	0.91934526	0.914526	0.8371613
bestaan/noun	0.8276621	0.8485926	0.8592733	0.9086371	0.84991527	0.84015	0.8925935	0.8419073	0.8999133	0.0	0.8076237	0.86106634	0.83619034	0.8043431	0.8609195	0.8380465	0.8603313	0.78891265	0.8580845	0.78908527	0.8840876	0.8085436	0.8944771	0.876403	0.85450673	0.9045308	0.8812063	0.8471206	0.85400116	0.8994313	0.8936767	0.8124668	0.85203093	0.8968023	0.8467355	0.8615348	0.82273346	0.9119033	0.8647955	0.83499163	0.8967432	0.83590925	0.8567214	0.8412126	0.8809742	0.84436935	0.856673	0.87000215	0.8672191	0.874673	0.8409848	0.89652425	0.85940015	0.87241316	0.86189663	0.93831015	0.8821182	0.89870435	0.90338916	0.84487534	0.9439689	0.8491639
soms/adv	0.63996226	0.52305186	0.855556	0.74322224	0.60506576	0.61550677	0.6219101	0.8746743	0.7170546	0.8076237	0.0	0.8555729	0.62136054	0.7376309	0.58110803	0.8292518	0.8372034	0.7738548	0.801698	0.8738074	0.8591517	0.61582136	0.82260257	0.86040366	0.83759016	0.8089831	0.8689079	0.8982412	0.8169552	0.80974066	0.596563	0.722075	0.7265581	0.80768275	0.83103216	0.8867769	0.7824826	0.7741053	0.79671395	0.725612	0.8519772	0.6436788	0.5478666	0.6044332	0.49180204	0.9027984	0.68130225	0.8844398	0.76769197	0.810657	0.83231765	0.79417974	0.77220184	0.79404634	0.829637	0.86691475	0.65422237	0.59155834	0.82398385	0.8786769	0.9170278	0.74328834
impasse/noun	0.84689116	0.87672156	0.850855	0.88974506	0.8631847	0.8820436	0.8972468	0.79337025	0.8858608	0.86106634	0.8555729	0.0	0.82086575	0.8316181	0.87363625	0.83234763	0.81536806	0.79620665	0.8646222	0.7590742	0.87209964	0.8253098	0.8852429	0.7217896	0.83843887	0.8784719	0.87676746	0.8301145	0.90360457	0.8978065	0.8973797	0.67298496	0.8176527	0.8877416	0.7580689	0.74311006	0.7198348	0.8880143	0.7395634	0.88074523	0.8698257	0.8168423	0.87971187	0.859331	0.88957995	0.87904656	0.8872429	0.9225975	0.89051867	0.8547045	0.77367187	0.83646894	0.8394715	0.872433	0.9021785	0.91558015	0.8744551	0.91471744	0.9034851	0.7920285	0.9229984	0.84146297
plotseling/adj	0.74754035	0.76564777	0.9318391	0.72283435	0.78112316	0.80877656	0.8280118	0.86023587	0.8038016	0.83619034	0.62136054	0.82086575	0.0	0.80841166	0.7528271	0.79941076	0.8686584	0.851508	0.8414156	0.85128206	0.8642105	0.67711425	0.89446044	0.8508459	0.8691815	0.88048345	0.85209656	0.87410694	0.85366654	0.8457408	0.64421713	0.8114073	0.8297983	0.85109	0.8722609	0.83948755	0.8160752	0.9046444	0.8578611	0.82087284	0.80479014	0.83586013	0.7668195	0.820345	0.73799527	0.9113542	0.72906506	0.8831104	0.861742	0.8463298	0.85447335	0.8379476	0.88060534	0.8269304	0.8816979	0.8829693	0.72997665	0.77947515	0.89087987	0.84326714	0.906851	0.82851434
avontuur/noun	0.7002219	0.772356	0.8393703	0.7968571	0.8179237	0.7979837	0.84300107	0.8201519	0.7913772	0.8043431	0.7376309	0.8316181	0.80841166	0.0	0.84486336	0.85118085	0.8824058	0.8640127	0.6986462	0.88759166	0.8910736	0.8488406	0.8423214	0.7959249	0.64692956	0.8662637	0.7769553	0.8363413	0.81234455	0.8094105	0.83479047	0.8202741	0.799266	0.80301595	0.88885516	0.8981972	0.8110865	0.8318515	0.8750996	0.8158208	0.88111424	0.82794315	0.8176223	0.84389967	0.8246366	0.88092893	0.7983261	0.89320195	0.7701367	0.8520403	0.77450824	0.81450796	0.79794925	0.8732991	0.8562387	0.89571846	0.81640524	0.862798	0.88646567	0.8916759	0.8380308	0.8670579
behoorlijk/adj	0.8245597	0.63158196	0.8635119	0.8480334	0.7648906	0.60078025	0.69446456	0.90741897	0.8314965	0.8609195	0.58110803	0.87363625	0.7528271	0.84486336	0.0	0.8105687	0.8562787	0.7761488	0.86072105	0.83880293	0.8117801	0.6553842	0.8311394	0.8776531	0.8847915	0.82630086	0.8934897	0.7945945	0.81281847	0.7716136	0.70688665	0.7898961	0.82644415	0.833718	0.8688722	0.89565486	0.7880327	0.78000957	0.8312855	0.76722765	0.813681	0.6676922	0.69268656	0.71751106	0.538435	0.8794154	0.82997984	0.90272933	0.85882425	0.81217694	0.82887495	0.8152728	0.82092977	0.7904391	0.8729069	0.852026	0.7396283	0.6400612	0.84692264	0.8895058	0.9039787	0.7807324
het/det	0.8330194	0.85318375	0.8165742	0.83016074	0.8619307	0.83546555	0.90252316	0.8401321	0.8723513	0.8380465	0.8292518	0.83234763	0.79941076	0.85118085	0.8105687	0.0	0.84003097	0.80291647	0.82824636	0.8472162	0.8261845	0.83926266	0.8972902	0.8696834	0.86031663	0.8380751	0.8617082	0.81200206	0.85243434	0.83478993	0.86773497	0.8622474	0.8591952	0.8414608	0.82585514	0.80435276	0.8129108	0.8726783	0.83596647	0.8639718	0.8272902	0.83220494	0.8760673	0.72754693	0.8574055	0.7748532	0.8922481	0.8891217	0.8351407	0.83160377	0.85647994	0.8768964	0.8728953	0.8873905	0.8555333	0.8969727	0.8530921	0.9125211	0.9018557	0.84903216	0.8924005	0.8727389
zaak/noun	0.845045	0.8223406	0.7460323	0.9221469	0.7774292	0.8175162	0.8261983	0.852698	0.88500315	0.8603313	0.8372034	0.81536806	0.8686584	0.8824058	0.8562787	0.84003097	0.0	0.76653916	0.9186903	0.8156825	0.8593423	0.8367794	0.92499256	0.83420074	0.8877577	0.9102176	0.90726435	0.7858853	0.83330256	0.8733309	0.8362454	0.6719102	0.6450913	0.8644744	0.770595	0.7571455	0.757625	0.77146304	0.5262177	0.85278994	0.8970789	0.8265396	0.809994	0.8022264	0.84192765	0.84573996	0.8378595	0.8956869	0.91497695	0.83196354	0.7933367	0.89497596	0.84205186	0.8679862	0.9366681	0.9074453	0.87319297	0.8673438	0.8593958	0.7996254	0.9581402	0.7549371
structuur/noun	0.8072415	0.85138804	0.77299786	0.9090713	0.80633336	0.7528132	0.8312114	0.8709697	0.863949	0.78891265	0.7738548	0.79620665	0.851508	0.8640127	0.7761488	0.80291647	0.76653916	0.0	0.9062395	0.7006338	0.8253662	0.77619874	0.87867755	0.87375885	0.9140501	0.82510984	0.9221819	0.6904671	0.79151005	0.7864208	0.8868586	0.67237234	0.7396536	0.8599388	0.7359763	0.80287963	0.7259691	0.83606195	0.7328187	0.8008653	0.869815	0.7493258	0.80312896	0.8163656	0.7875162	0.7128365	0.8696697	0.9006457	0.78374213	0.84865505	0.77803147	0.8471781	0.8129152	0.9037422	0.8402388	0.8581375	0.83023787	0.81730103	0.8602352	0.8116433	0.9661432	0.7322936
tocht/noun	0.74415606	0.88343817	0.8938311	0.6236293	0.8875913	0.8540331	0.89322835	0.84443825	0.85657036	0.8580845	0.801698	0.8646222	0.8414156	0.6986462	0.86072105	0.82824636	0.9186903	0.9062395	0.0	0.9229738	0.9010933	0.89804554	0.8760212	0.8566358	0.5177054	0.93753284	0.6818508	0.8829658	0.867452	0.6135694	0.83841586	0.8864008	0.886822	0.791915	0.92848873	0.9185523	0.8698762	0.8550416	0.91616386	0.8689824	0.9035345	0.85853523	0.87171566	0.916508	0.8630645	0.90829617	0.8678826	0.89174706	0.84978086	0.8827628	0.7632165	0.8012581	0.8591131	0.8144842	0.83809084	0.9454086	0.80606395	0.91021013	0.9143526	0.906302	0.6452085	0.8799226
