	ongetwijfeld/adv	word/verb	doorsta/verb	bijzonder/adj	bekom/verb	bevrijd/verb	hoe/adj	groei_cijfer/noun	nog/adv	veiligheid_situatie/noun	klus/noun	noodzakelijk/adj	regering/noun	blijk/verb	Portugees/noun	bestrijding/noun	claim/noun	knok/verb	strijd/noun	voorspel/verb	verdedig/adj	oplossing/noun	behoorlijk/adj	reconstrueer/verb	koor/noun	rit/noun	cover/noun	schets/verb	kunstenaar/noun	demonstreer/verb	ervaar/verb	lijk/verb	op/adj	operatie/noun	leer/verb	perfect/adj	bereid/adj	zee/noun	clandestien/adj	post/noun	trek_aan/verb	altijd/adv	zelfs/adv	knot_gek/adj	begrijp/verb	al/adv	zorg/verb	beloof/verb	onderdeel/noun	Koerdisch/adj	dans/noun	echter/adv	parkoers/noun	definitie/noun	aandenken/noun	impasse/noun	opgenomen/adj	breng_op/verb	deelnemer/noun	god/noun	haal_uit/verb	zo/adv	reuze/adj	zijn/adj	brandweer/noun	voed/verb	vind/verb	meest/adj	begin/verb	beleef/verb	manoeuvreer/verb	moment/noun	tocht/noun	kwestie/noun	paar/noun	tijd/noun	sport/noun	zaak/noun	breng/verb	genoeg/adv	boekdeel/noun	uitslag/noun	positie/noun	prognose/noun	opdracht/noun	sprint/noun	het/noun	uiterst/adj	bel/noun	onderneem/verb	red/verb	publicitair/adj	kan/verb	tegenstander/noun	vreemde/noun	tafereel/noun	vang/verb	automobilist/noun	gijzelaar/noun	gedicht/noun	functioneer/verb	rente/noun	vrouw/noun	dreig/verb	avontuur/noun	opgaaf/noun	omgeving/noun	regelmatig/adj	toestand/noun	film/noun	binnenlands/adj	plotseling/adj	vracht_wagen/noun	kritiek/noun	duur/verb	ga_op/verb	verkeer/verb	toch/adv	verhaal/noun	zo/adj	ben/verb	dat/noun	opnieuw/adv	soms/adv	bestaan/noun	recent/adj	stand_DIM/noun	hulp/noun	ga_uit/verb	complex/adj	asymmetrische/adj	olie_prijs/noun	bespaar/verb	financieel/adj	woon/verb	knijp_dicht/verb	gewraakt/adj	dergelijk/adj	maak/verb	omstandigheid/noun	optie/noun	poging/noun	besluit/noun	even/adv	gemeente_kas/noun	overleef/verb	zie_uit/verb	gepaard/adj	talloos/adj	krakkemikkige/adj	stap/verb	doceer/verb	steeds/adv	trek/verb	situatie/noun	volk_raadpleging/noun	tref_aan/verb	gebied/noun	muzikaal/adj	stunt_werk/noun	leid/verb	meen/verb	blijf/verb	natuurlijk/adj	ambulanciers/noun	heel/adv	overhaast/adj	beschikbaar/adj	even/adj	warenhuis/noun	huidig/adj	voorbij/adj	koers/noun	enquête/noun	toer/noun	temeer/adv	exercitie/noun	luchtvaart/noun	ouverture/noun	kussen/noun	reis/noun	oversteek/noun	schipper/noun	slachtoffer/noun	vaak/adj	club/noun	herinner/verb	buig_om/verb	lijm/verb	standpunt/noun	wat/adv	minst/adj	onvoorspelbaar/adj	Brussels/adj	onderweg/adj	kracht/noun	weliswaar/adv	structuur/noun	iets/adv	onderneming/noun	onderwerp/noun	zeker/adv	angst/noun	chauffeur/noun	lever_op/verb	capriool/noun	president/noun	doel/noun
ongetwijfeld/adv	0.0	0.77177703	0.7561057	0.6144089	0.7758746	0.9461992	0.71270216	0.83032787	0.6531467	0.8231201	0.7698536	0.7043076	0.86898893	0.8193426	0.8160876	0.8905469	0.85237277	0.8331339	0.8624126	0.82362515	0.72655237	0.8337406	0.5995703	0.74166405	0.7745144	0.91474724	0.8581175	0.77431947	0.8292666	0.8574098	0.7349769	0.71157897	0.96364474	0.70501006	0.8682885	0.80580235	0.8047968	0.81940645	0.8258443	0.8766755	0.9058852	0.62729204	0.7210258	0.6327249	0.8945604	0.87829506	0.78832287	0.7996347	0.7975099	0.89070576	0.7113265	0.5788888	0.8750027	0.63401735	0.88587487	0.7336251	0.9126772	0.8361895	0.8706029	0.9163151	0.9489352	0.72862494	0.73571193	0.8999558	0.9226998	0.7975904	0.8385864	0.6997018	0.76844275	0.67091584	0.84658515	0.5670867	0.7853596	0.87034017	0.8263459	0.7311471	0.73671794	0.81469965	0.8911898	0.7759152	0.888564	0.89684683	0.80796766	0.74391943	0.8248582	0.82119596	0.78792065	0.64546657	0.88720226	0.9073519	0.9355068	0.6371106	0.70156646	0.70548224	0.7491096	0.49734992	0.8304798	0.8697659	0.9281039	0.784988	0.9007696	0.8127105	0.89491683	0.946391	0.68274325	0.76419485	0.8004789	0.70486474	0.8160157	0.6938146	0.83366704	0.7019776	0.88519937	0.75411344	0.8820537	0.93644935	0.9479642	0.73892677	0.691164	0.7710853	0.7740521	0.7512218	0.7415265	0.5827634	0.63707244	0.7621182	0.74319196	0.9504039	0.8574405	0.67204213	0.90112567	0.72370183	0.85396206	0.7900518	0.93546045	0.8826052	0.9092468	0.6310296	0.85325366	0.74463	0.8360261	0.920455	0.8601137	0.7308574	0.8017848	0.79985213	0.8868592	0.81039655	0.6100786	0.88251466	0.9175435	0.7378819	0.7471962	0.91310626	0.69748604	0.7389376	0.86236185	0.84844065	0.65131754	0.6979054	0.8150924	0.72012323	0.7807432	0.7142148	0.934038	0.5885134	0.8248415	0.8049035	0.82588106	0.86872214	0.932906	0.7505847	0.8613028	0.7887622	0.89506257	0.6280562	0.806819	0.8281921	0.8024718	0.8276602	0.773628	0.9185967	0.7842291	0.87549824	0.5591637	0.86205006	0.75437635	0.8723537	0.83349526	0.80484307	0.8029124	0.90322685	0.6717557	0.9527544	0.79327476	0.68922913	0.7606747	0.8091929	0.7971264	0.7881841	0.71185887	0.72777706	0.70089847	0.8673495	0.71073985	0.72716904	0.88244903	0.8610108
word/verb	0.77177703	0.0	0.8478641	0.80294406	0.8639416	0.64681184	0.7025949	0.7999909	0.7525713	0.94329596	0.69716054	0.80496925	0.7982578	0.80874515	0.9037905	0.9280411	0.82762957	0.78685004	0.94584554	0.892514	0.85589653	0.91003644	0.70172155	0.9002526	0.9124315	0.8383188	0.8007891	0.8901711	0.78213584	0.91640633	0.77294147	0.83278924	0.9456984	0.7483634	0.8421241	0.8671011	0.7808119	0.8529176	0.7421396	0.7729076	0.9504814	0.8831567	0.8204987	0.9051415	0.8765871	0.82802236	0.9154414	0.77882785	0.8486226	0.8584334	0.92603636	0.7893331	0.84816563	0.8772875	0.9725485	0.66140306	0.9015103	0.84292805	0.92213464	0.8492999	0.93640417	0.7382355	0.86758476	0.96148103	0.4889077	0.7147166	0.9545493	0.8139729	0.92287534	0.8976831	0.90132445	0.8937102	0.78253204	0.9146291	0.8561059	0.820946	0.9116148	0.8051462	0.91111463	0.76151824	0.87113035	0.939483	0.72185993	0.81981987	0.83505946	0.8135444	0.8927238	0.79113233	0.9214954	0.84844434	0.6958935	0.91011995	0.57729644	0.8843896	0.8459809	0.74098665	0.66732204	0.6505811	0.58079237	0.8594605	0.9132272	0.85022414	0.5624303	0.77120894	0.83869636	0.86854416	0.7029059	0.67281795	0.61666125	0.8119143	0.89256805	0.8477387	0.691067	0.8270989	0.8737099	0.8943655	0.7973503	0.7945111	0.7176946	0.8812962	0.86347425	0.8509679	0.6519229	0.81149215	0.8526276	0.8336135	0.8955551	0.68996644	0.95089674	0.75769424	0.9613648	0.82517636	0.76505774	0.88605326	0.9083505	0.8719084	0.814416	0.697121	0.9011061	0.73860073	0.87747526	0.63471955	0.91309744	0.8584409	0.88794047	0.72816765	0.9605905	0.88694316	0.66047275	0.77595973	0.8203297	0.95376277	0.76314926	0.9630605	0.63341165	0.91039646	0.66880405	0.8169931	0.86875886	0.8879714	0.8950845	0.9088582	0.81629014	0.8291106	0.58964884	0.7934785	0.7758914	0.83607036	0.8874731	0.74850184	0.93856776	0.8349643	0.93265957	0.90383565	0.91423136	0.834377	0.8675272	0.8671427	0.848374	0.95770586	0.74913377	0.8581716	0.7011641	0.5000508	0.77063406	0.8890872	0.84561354	0.81014806	0.7259518	0.8917622	0.823089	0.9275968	0.87008345	0.8660637	0.7875705	0.74015236	0.7709581	0.8392106	0.8170985	0.78460366	0.8354589	0.8295783	0.61520773	0.61943746	0.89624566	0.8774217	0.90203756	0.8202514
doorsta/verb	0.7561057	0.8478641	0.0	0.84095895	0.64733803	0.8498635	0.85489416	0.7071158	0.8527405	0.89699703	0.846982	0.7116122	0.864887	0.81594837	0.89698225	0.94406897	0.81027085	0.8747095	0.92563117	0.7968263	0.7970033	0.9399634	0.6407814	0.6901345	0.9449615	0.82828474	0.9312958	0.8508973	0.9568399	0.8628796	0.66307414	0.75969076	0.8587801	0.7105738	0.82082045	0.86189175	0.88770163	0.81924963	0.7337686	0.923837	0.8012308	0.8617618	0.77024996	0.79087186	0.7271917	0.70981324	0.7462939	0.878873	0.7506139	0.94285697	0.92829275	0.7467911	0.83126867	0.80488765	0.7938475	0.93874633	0.94060946	0.70384455	0.8278551	0.9035679	0.87611556	0.89819837	0.8397946	0.82577515	0.9573258	0.50374734	0.86313254	0.7822177	0.64738274	0.56361926	0.85350037	0.7997213	0.73899364	0.8485225	0.8744561	0.67013854	0.8937406	0.91758406	0.92970896	0.83276856	0.68301225	0.8768632	0.898084	0.7959987	0.8917788	0.9318625	0.8987675	0.85612905	0.960925	0.7192675	0.883334	0.847795	0.75038505	0.8228384	0.6854696	0.8372347	0.78220356	0.90094924	0.9017445	0.89806044	0.6569945	0.8131281	0.9148116	0.89237875	0.65138483	0.7715665	0.89029145	0.79066014	0.8129988	0.835981	0.6852642	0.8254781	0.9279893	0.6284203	0.6276982	0.85689914	0.83767736	0.7490954	0.8500211	0.9526161	0.8522734	0.8595252	0.81615317	0.7799401	0.87900555	0.7018936	0.71268463	0.88090307	0.8514794	0.7955184	0.7831593	0.8013407	0.64605844	0.8115752	0.94994146	0.77001566	0.8154177	0.60290825	0.79757273	0.74905795	0.843898	0.91324985	0.7367745	0.8350286	0.7716065	0.5822379	0.86662483	0.6897322	0.694091	0.9086473	0.8658855	0.94836074	0.82488763	0.85743344	0.8740526	0.9360322	0.8808934	0.797497	0.73964226	0.8742376	0.66515833	0.8261511	0.9179939	0.8543693	0.84265494	0.7349332	0.8289113	0.8105234	0.88724494	0.8458159	0.79548615	0.556612	0.926102	0.91562235	0.88276076	0.7582561	0.7767811	0.74648	0.8216232	0.9851132	0.6704955	0.8603945	0.9173325	0.8653145	0.7676251	0.9215881	0.75900733	0.772693	0.8991783	0.8564178	0.8494698	0.8490592	0.80235267	0.9703776	0.7783255	0.83668625	0.76140803	0.8964546	0.85943735	0.77343595	0.83125615	0.81173587	0.66286325	0.9009284	0.63530755	0.8527374	0.8627264	0.771509
bijzonder/adj	0.6144089	0.80294406	0.84095895	0.0	0.8906128	0.8400557	0.6337524	0.95236516	0.82630926	0.83455575	0.6685798	0.7041463	0.86869776	0.81801474	0.8518082	0.92710924	0.912607	0.81771165	0.92898375	0.8660929	0.68907	0.79443634	0.59009784	0.6951412	0.77753437	0.893768	0.8693171	0.5540714	0.7012907	0.85178804	0.634073	0.69172233	0.95914227	0.8224158	0.89722675	0.5879786	0.8076151	0.869903	0.84539527	0.6907964	0.94186103	0.67219913	0.77260995	0.7058128	0.86988723	0.8676665	0.758134	0.8255415	0.8213693	0.88893485	0.7604221	0.6405492	0.7744174	0.7601572	0.9159731	0.81660074	0.753912	0.8417711	0.88829184	0.85326004	0.9629115	0.57647663	0.75098574	0.8592776	0.91090095	0.88997614	0.84994227	0.63463473	0.82824814	0.73616743	0.7250559	0.656376	0.84148854	0.8557397	0.8813255	0.8426428	0.7367667	0.76152736	0.80580294	0.67592233	0.87988865	0.93412185	0.8418267	0.847599	0.6325718	0.8538627	0.68177867	0.43909955	0.95091456	0.9511724	0.8665936	0.7638646	0.79039174	0.7971288	0.6957007	0.7919019	0.86479187	0.9139327	0.9073302	0.76777536	0.7844018	0.95320654	0.82502943	0.9042663	0.7724242	0.6779527	0.65267193	0.7257136	0.7616401	0.6954935	0.7749054	0.77450144	0.971834	0.91562843	0.92554253	0.95330024	0.7178313	0.67627084	0.65943563	0.5622227	0.7004113	0.67269695	0.75815004	0.5813424	0.8941337	0.89773834	0.74552464	0.957692	0.8852787	0.58150685	0.8673266	0.90877295	0.82216775	0.67735577	0.88026667	0.9535619	0.7802404	0.5260761	0.784907	0.7436279	0.8547938	0.9497169	0.96913457	0.68034595	0.7871082	0.8162186	0.7635135	0.877438	0.7489674	0.92684233	0.9715902	0.8042066	0.65921825	0.9500576	0.688556	0.9265272	0.7827688	0.79300606	0.6918415	0.8239883	0.79406065	0.8836879	0.67802286	0.5935973	0.92221963	0.47630352	0.90255296	0.736066	0.8270065	0.85927135	0.665689	0.84612954	0.8866098	0.8745994	0.86930174	0.5574529	0.7986587	0.6208782	0.71374637	0.94704324	0.83219266	0.884422	0.8847824	0.8700362	0.6105821	0.86783653	0.8354064	0.8400537	0.82239443	0.9400433	0.73531646	0.8574198	0.62488556	0.89290726	0.7462276	0.77043486	0.75014156	0.6837015	0.7640135	0.8071312	0.72606826	0.68583	0.85916734	0.9374026	0.7624986	0.7616643	0.8771938	0.90447545
bekom/verb	0.7758746	0.8639416	0.64733803	0.8906128	0.0	0.8968608	0.8691995	0.89580154	0.75495523	0.9604953	0.806484	0.8353398	0.95763046	0.9479612	0.65870136	0.8831703	0.74304223	0.9826087	0.93418086	0.8866576	0.9165494	0.8806668	0.873082	0.6823813	0.91549253	0.9155608	0.94739294	0.78244084	0.9634359	0.81977415	0.8841041	0.6996166	0.7418667	0.835861	0.8073273	0.84764934	0.839126	0.76817304	0.7027865	0.9198923	0.9022184	0.7476351	0.78462106	0.6102686	0.8236123	0.812156	0.78425986	0.77114666	0.9077758	0.95095265	0.9003468	0.82382476	0.78634524	0.8561016	0.6540318	0.9002496	0.96709067	0.84384596	0.8871965	0.95102584	0.8779515	0.89303416	0.7474042	0.8397868	0.8695659	0.8212428	0.9004602	0.8670366	0.637526	0.50063324	0.9258371	0.8517334	0.79141945	0.8562081	0.8613451	0.90472066	0.86935794	0.8195397	0.9206979	0.8591285	0.89699453	0.8457374	0.90300214	0.89262843	0.8696523	0.8742273	0.8665126	0.89977014	0.8917934	0.7687714	0.864151	0.7150624	0.82556874	0.93998194	0.6989808	0.7938613	0.795806	0.9125322	0.8974694	0.8417816	0.8299539	0.94121116	0.94478244	0.7935426	0.68426466	0.8583016	0.9060243	0.84303766	0.855587	0.8549436	0.907071	0.90249294	0.9549677	0.9658344	0.54043293	0.9225903	0.8599942	0.72456086	0.78166044	0.9377312	0.87866455	0.9560763	0.9188758	0.84049404	0.90246475	0.9412226	0.7117069	0.8638025	0.98303115	0.8844404	0.8301897	0.9787052	0.7232448	0.768605	0.9377496	0.6247618	0.94408894	0.7315143	0.8725258	0.81515753	0.9310123	0.9131601	0.90625274	0.8168365	0.86244464	0.69655097	0.7751995	0.77395475	0.7897866	0.81708574	0.65042055	0.9077673	0.9245663	0.7901431	0.8102174	0.90217006	0.8549851	0.8334543	0.7199874	0.85141003	0.8341842	0.8972585	0.9197771	0.7967429	0.7432308	0.8133531	0.7915428	0.90205497	0.8328785	0.92636293	0.9445149	0.68370456	0.94134563	0.91810936	0.9286362	0.76140827	0.8731564	0.8445494	0.801479	0.959898	0.7255255	0.92199737	0.9264558	0.8909886	0.8294318	0.9308493	0.72984326	0.9110444	0.83081704	0.9247235	0.83470523	0.7725589	0.7752938	0.930315	0.63421977	0.9554757	0.9104507	0.80663764	0.88225716	0.8058984	0.8846484	0.9458021	0.91747123	0.89854276	0.7148365	0.7937723	0.95882386	0.85268044
bevrijd/verb	0.9461992	0.64681184	0.8498635	0.8400557	0.8968608	0.0	0.86919755	0.9362228	0.8582051	0.93923044	0.74823415	0.86534494	0.8015598	0.9041504	0.91397107	0.84838486	0.9006557	0.8438966	0.9277249	0.93967074	0.82511586	0.84940124	0.92110914	0.7916208	0.9970643	0.837559	0.9891962	0.87363046	0.9631274	0.8685545	0.81005085	0.8430991	0.9604474	0.8662482	0.92322725	0.8924873	0.87551475	0.9172153	0.8635348	0.94951576	0.9361607	0.9455743	0.94655925	0.9253924	0.8879621	0.9072086	0.89858824	0.7264159	0.94058657	0.8318568	0.9591085	0.86839706	0.9928198	0.8975043	0.99274665	0.7101723	0.9763386	0.7864665	0.97393006	0.8664681	0.9050156	0.9484195	0.9098886	0.96951705	0.50818753	0.83741313	0.9312152	0.81233466	0.9082471	0.951861	0.65778714	0.9196662	0.9069142	0.93608296	0.90697587	0.93664855	0.9869248	0.95637035	0.72378767	0.9388182	0.91696995	0.9867711	0.78984606	0.93159914	0.9102315	0.90521634	0.9794261	0.8324488	0.9783254	0.7864528	0.39932972	0.9306479	0.7717378	0.93615925	0.8967305	0.9482827	0.685697	0.7646657	0.47704327	0.98470354	0.9063631	0.936784	0.57968	0.47412014	0.94933426	0.93784904	0.85555524	0.8715385	0.6303942	0.9756111	0.89034945	0.7915658	0.6480348	0.98390716	0.84017724	0.8873875	0.44989747	0.9392236	0.9375709	0.9356977	0.9153689	0.9336579	0.82091534	0.8910721	0.94145685	0.92814976	0.978559	0.54935896	0.9480605	0.8324661	0.84669834	0.88254553	0.9245512	0.64345735	0.90150416	0.8267261	0.87548804	0.80872965	0.8933985	0.8593674	0.9586529	0.7265073	0.95802456	0.871056	0.8795402	0.6948456	0.9346249	0.8360273	0.7849223	0.91963565	0.8745385	0.99993014	0.7716178	0.9761877	0.82002515	0.97687143	0.50930166	0.8888536	0.9299861	0.944603	0.81360185	0.89384747	0.9246771	0.9175855	0.58310556	0.9283809	0.72652453	0.83312005	0.9317667	0.88423365	0.7531812	0.95141137	0.99086523	0.970243	0.9279804	0.9425401	0.9374287	0.7744597	0.9522403	0.95501554	0.94708496	0.9362126	0.83705074	0.47657454	0.80028427	0.81712794	0.91589904	0.8131769	0.8442053	0.96379113	0.92560166	0.9560788	0.85303724	0.70696235	0.77141017	0.9153758	0.93825144	0.93352896	0.90789825	0.88204837	0.9765818	0.8668783	0.7701613	0.6645704	0.86998767	0.89372814	0.7796702	0.8476392
hoe/adj	0.71270216	0.7025949	0.85489416	0.6337524	0.8691995	0.86919755	0.0	0.90438795	0.60633117	0.7781694	0.7611821	0.7523991	0.91873837	0.83983386	0.7738789	0.9675201	0.9371873	0.74192715	0.8161255	0.80419254	0.89299893	0.80645746	0.64831066	0.70814437	0.94291174	0.915884	0.89362556	0.6996273	0.6866865	0.8660562	0.5907588	0.77087337	0.9804526	0.78176683	0.58795166	0.5668266	0.94963056	0.8534449	0.83886504	0.93181586	0.97050554	0.6764699	0.7383739	0.7182261	0.5529133	0.7863695	0.915738	0.9443592	0.8552837	0.93601334	0.81008095	0.7107655	0.82132614	0.76032054	0.967512	0.7987025	0.8803282	0.82585996	0.94203144	0.73867166	0.96069294	0.2888044	0.77703595	0.86857355	0.9250556	0.89376664	0.8225391	0.7681492	0.9190165	0.7774246	0.8252623	0.62569064	0.7754059	0.8002605	0.79543555	0.69064534	0.7496436	0.7724426	0.9139517	0.5247883	0.80425227	0.8915446	0.9123312	0.83007276	0.7886692	0.8653433	0.7192266	0.6733672	0.9663454	0.92533225	0.862485	0.8998013	0.51188564	0.8837109	0.78912425	0.6853194	0.8210215	0.87251514	0.87552005	0.7048539	0.7282635	0.94408894	0.7664703	0.8658129	0.7408405	0.76579136	0.5622754	0.8735908	0.7221313	0.69452614	0.8693374	0.6996265	0.9559847	0.72689855	0.82170975	0.9509927	0.81036687	0.6665065	0.58642745	0.5697417	0.7559414	0.8790405	0.7946675	0.59075403	0.76992697	0.8806251	0.94025743	0.8626218	0.9379697	0.6112308	0.8075274	0.86297494	0.93213826	0.80490714	0.9307173	0.9026608	0.950553	0.7090251	0.8512679	0.64431155	0.9427692	0.8546802	0.91415834	0.72565687	0.9338672	0.7799814	0.7476548	0.88945746	0.7381581	0.80446446	0.97357327	0.7442621	0.60782087	0.9844783	0.6351334	0.8903044	0.907593	0.9304118	0.8129019	0.91246533	0.8165846	0.6733075	0.75860715	0.5909133	0.89455485	0.50001615	0.92912257	0.9320385	0.6717666	0.9742132	0.7533407	0.90007126	0.885509	0.83847195	0.9416693	0.7269727	0.92563766	0.72174	0.6716217	0.9114214	0.76581866	0.75674367	0.84657484	0.84630746	0.65663874	0.9014694	0.76200014	0.8527735	0.80665034	0.79031193	0.6428547	0.8954092	0.723905	0.96164155	0.8818204	0.7767017	0.81880486	0.68955886	0.6063336	0.85338247	0.75735295	0.7837554	0.74840593	0.91278595	0.854648	0.86504334	0.92288303	0.9296351
groei_cijfer/noun	0.83032787	0.7999909	0.7071158	0.95236516	0.89580154	0.9362228	0.90438795	0.0	0.87818927	0.8001831	0.85040873	0.8264299	0.74361145	0.7601901	0.9066262	0.8728641	0.8038807	0.9609714	0.8462865	0.39255357	0.9008741	0.90919554	0.71770954	0.97339207	0.947193	0.95502365	0.9214548	0.9511418	0.96486247	0.9617335	0.9249494	0.9255544	0.99044365	0.7749733	0.9399597	0.90292144	0.8852108	0.92988986	0.95932126	0.81058913	0.8014201	0.9271177	0.744105	0.95147306	0.9712847	0.7377777	0.739468	0.945083	0.9924332	0.87951857	0.94161326	0.6972325	0.8995395	0.8301949	0.95969474	0.8089224	0.89865977	0.7940825	0.94457686	0.9630996	0.975583	0.88043916	0.91298795	0.96275014	0.96742004	0.47325867	0.94547653	0.70029354	0.9924627	0.9676392	0.9425734	0.90603966	0.9263975	0.83650964	0.9673269	0.8097565	0.95743877	0.71284246	0.9572278	0.8717315	0.7138789	0.8017639	0.9203895	0.37432337	0.90875816	0.95219165	0.94935375	0.8898217	0.9872001	0.89265066	0.9701843	0.923653	0.74701554	0.91480887	0.8560801	0.8185833	0.60512626	0.96968424	0.9334216	0.9735242	0.84987664	0.47272092	0.98958987	0.9015106	0.87300324	0.83105874	0.9281484	0.803098	0.8185123	0.9084157	0.5968373	0.86113197	0.9876506	0.61400163	0.9685299	0.9696606	0.97208315	0.8266937	0.91996074	0.96096486	0.9545515	0.81183463	0.69645494	0.91870534	0.87846214	0.5650146	0.8394767	0.9746859	0.5131352	0.90157986	0.9096718	0.3579613	0.85265964	0.8545684	0.95643437	0.8838228	0.8896042	0.77107567	0.889699	0.7902707	0.942136	0.8659778	0.76622087	0.87589	0.9589309	0.900415	0.8739046	0.7904657	0.79212934	0.9762992	0.9339976	0.95902157	0.8247955	0.9666815	0.8086478	0.8856923	0.9431078	0.81274784	0.8679059	0.8354869	0.843523	0.84618556	0.81686527	0.89018667	0.9727562	0.84398335	0.87350136	0.8803251	0.97080255	0.8560173	0.7240944	0.69748044	0.56329954	0.7780281	0.9355269	0.87862027	0.9399058	0.6653371	0.91353256	0.9963328	0.82876265	0.940061	0.9464551	0.9371972	0.9172218	0.9339416	0.9305037	0.764071	0.89450246	0.8459011	0.8996841	0.91525805	0.7931359	0.9262182	0.9440944	0.85747534	0.5322999	0.8554309	0.61834913	0.73145723	0.84468734	0.8737805	0.66402614	0.98205745	0.79329604	0.8694768	0.77763414	0.98026
nog/adv	0.6531467	0.7525713	0.8527405	0.82630926	0.75495523	0.8582051	0.60633117	0.87818927	0.0	0.8756113	0.73476267	0.8701976	0.8820027	0.8499035	0.7851604	0.895084	0.9281738	0.75636023	0.9146488	0.8567986	0.790557	0.92022294	0.7083545	0.9059003	0.9858874	0.88456136	0.85878295	0.9250308	0.92863566	0.8512909	0.85741085	0.6583085	0.92521024	0.81582844	0.8090367	0.78520536	0.81061816	0.8945348	0.92571765	0.8632301	0.9139762	0.5516002	0.65630823	0.8136904	0.8571399	0.48105252	0.90790975	0.87038875	0.9488119	0.9066745	0.9495425	0.6063595	0.9115363	0.83624303	0.95107156	0.71117127	0.8857698	0.80126405	0.93212354	0.92784595	0.82928777	0.71184087	0.78502893	0.78792346	0.8837979	0.8736172	0.91580063	0.8025809	0.86423063	0.86068165	0.94509804	0.5834079	0.78863657	0.8846137	0.55396014	0.5059741	0.88850784	0.9142873	0.8891866	0.6315206	0.90773225	0.93309146	0.8688736	0.81745154	0.92737395	0.89176023	0.7630888	0.8951682	0.8489418	0.91432935	0.7616657	0.8947952	0.5534689	0.9088498	0.7746866	0.83142674	0.83953035	0.82503605	0.83968836	0.87523454	0.8596859	0.87032187	0.8410213	0.7877327	0.81686884	0.86968607	0.8315167	0.8615433	0.8168031	0.83819	0.8977545	0.60084605	0.9311044	0.874318	0.6232743	0.84181255	0.9094808	0.508005	0.9052931	0.85667753	0.76667273	0.78383195	0.71501154	0.6918411	0.83952475	0.8676864	0.83591783	0.8793702	0.914724	0.86291945	0.8628261	0.8691937	0.86376226	0.8045186	0.8378104	0.779215	0.84934807	0.80106413	0.9461041	0.7863203	0.75495017	0.7883307	0.9359398	0.8361958	0.85955757	0.8437238	0.74182093	0.90807354	0.8264284	0.91138285	0.8266392	0.8100975	0.7400644	0.93200374	0.7313988	0.896447	0.92879736	0.9022862	0.91287977	0.8159243	0.93766487	0.74088025	0.6392165	0.79085267	0.91136056	0.6175307	0.8343059	0.7071805	0.5401837	0.9460308	0.90130395	0.7212889	0.88072014	0.87685853	0.8206617	0.86290073	0.89268446	0.8207537	0.9618373	0.8443816	0.76344067	0.855759	0.8357865	0.8462189	0.7811024	0.78404945	0.7385564	0.8780225	0.77200997	0.862759	0.6480484	0.8033876	0.85913247	0.9481499	0.77420515	0.7901596	0.6673479	0.93504715	0.6177921	0.7639573	0.9104095	0.70267797	0.9067945	0.8500521	0.8429817	0.8055729	0.9260818	0.858237
veiligheid_situatie/noun	0.8231201	0.94329596	0.89699703	0.83455575	0.9604953	0.93923044	0.7781694	0.8001831	0.8756113	0.0	0.82812035	0.7785915	0.73022044	0.81008554	0.9315311	0.8185574	0.8999289	0.9665932	0.890872	0.7895675	0.9342233	0.81099904	0.8085483	0.940545	0.9726942	0.994028	0.93238485	0.9117416	0.9375124	0.9638852	0.87245727	0.8342471	0.921729	0.7274005	0.8699523	0.77384937	0.9382598	0.8442408	0.91766965	0.8593403	0.87952685	0.6850563	0.7474128	0.9812347	0.9112067	0.8613477	0.9689634	0.9201585	0.83593595	0.85709655	0.8595675	0.58972144	0.9224131	0.6026614	0.9120567	0.7930121	0.8944769	0.953508	0.9881343	0.9633669	0.9365951	0.6769593	0.94716424	0.8878117	0.9754054	0.9581146	0.8617513	0.6590286	0.9340866	0.89557683	0.8782315	0.7691069	0.93058616	0.93640125	0.99241406	0.922242	0.76461613	0.8721247	0.95712423	0.9010738	0.85537434	0.8087933	0.8175603	0.6651633	0.91290915	0.8915216	0.7073619	0.7467352	0.98458004	0.78823173	0.988571	0.86766016	0.84437966	0.8252286	0.8569325	0.94591224	0.8672069	0.9586339	0.76481587	0.9013888	0.7528595	0.85202825	0.9693707	0.869413	0.7744929	0.8723514	0.7378745	0.87796193	0.6005266	0.8813787	0.7901846	0.90836924	0.96366006	0.68836904	0.9174246	0.9650573	0.94798565	0.82856596	0.9565538	0.7991659	0.72195196	0.89486057	0.99151933	0.5974509	0.8790785	0.8953603	0.9720599	0.9118588	0.908642	0.709705	0.9415002	0.6423147	0.8997685	0.78703856	0.8331519	0.9196789	0.90107596	0.7937185	0.8216937	0.5895645	0.891511	0.88540596	0.6205035	0.5866127	0.940298	0.88259715	0.91411227	0.9337006	0.7935418	0.9639855	1.0	0.9306393	0.7817195	0.75604403	0.6624087	0.83644676	0.9326066	0.87571377	0.80489016	0.9621824	0.7662373	0.74605304	0.66814154	0.76000553	0.98069584	0.8667784	0.70736575	0.91058636	0.8980827	0.9889091	0.874343	0.95395756	0.7168388	0.81615835	0.98467034	0.7575392	0.8111344	0.58239746	0.7820555	0.98526466	0.91133356	0.89027095	0.9667811	0.9194236	0.6272418	0.8232908	0.87771505	0.99418074	0.9799608	0.6934391	0.710955	0.9556867	0.7143519	0.99092746	0.94900393	0.83047754	0.8379129	0.721587	0.9077533	0.83894336	0.76146513	0.596622	0.90842724	0.9028192	0.9445224	0.7369484	0.72676253	0.71468604
