	's/adv	Amsterdammer/noun	Chris/name	Lance/name	Lelièvre/name	Ronaldo/name	Schneider/name	Verhaegen/name	al/adv	alleen/adv	als/comp	amper/adv	andapos;s/adv	anders/adj	angst/noun	beetje/noun	behoorlijk/adj	beton/noun	bijna/adv	binnen/adv	blijkbaar/adj	bloem/noun	bovendien/adv	concurrentie/noun	daar/adv	daarom/pp	dag/noun	dan/adv	dat/det	door/prep	eenmaal/noun	eerst/adv	eind/adv	er/adv	ertegen/pp	even/adj	evengoed/adv	evenwel/adv	geur/noun	gewoon/adj	gips/noun	golfplaat/noun	haar/pron	hem/pron	hen/pron	hier/adv	hij/pron	hitte/noun	huid/noun	ik/pron	intussen/adv	kaas/noun	karakter/noun	kind/noun	leven/noun	lucht/noun	maar/adv	makkelijk/adj	me/pron	meestal/adv	men/pron	mentaal/adj	mij/pron	nauwelijks/adv	net/adv	niet/adv	nog/adv	om/comp	ondanks/prep	overigens/adv	pijn/noun	plots/adj	provincie_raad_lid/noun	pupil/noun	simpelweg/adv	sinds/comp	snel/adj	soms/adv	speler/noun	spier_pijn/noun	stank/noun	student/noun	tegen/prep	tegenslag/noun	thuis/adv	tijdens/prep	toch/adv	toen/comp	tot/adv	twijfel/noun	uzelf/pron	vaak/adj	verdriet/noun	verhouding/noun	verschrikkelijk/adj	volgens/prep	voor/comp	wanneer/comp	wat/pron	we/pron	week/noun	weekend/noun	weer/adv	wel/adv	wereld_DIM/noun	werk/noun	wieler_sport/noun	ze/pron	zeeman/noun	zich/pron	ziel/noun	zo/adv	zodat/comp	zodra/comp	zolang/comp	zonder/prep
's/adv	0.0	0.90356016	0.90077984	0.9222137	0.9220097	0.91616607	0.92624366	0.94146615	0.86129785	0.7902581	0.7214403	0.7939147	0.463785	0.8313113	0.85692024	0.8048638	0.85298604	0.8674276	0.83509386	0.6524533	0.8508725	0.75628227	0.8544747	0.9214864	0.67728233	0.86671084	0.63444465	0.6927123	0.918315	0.7967234	0.78090113	0.74222785	0.85007066	0.75730664	0.9356707	0.6983531	0.87012935	0.8592652	0.78643626	0.7004216	0.9268378	0.8792315	0.7645823	0.82869065	0.8304602	0.6796447	0.78816366	0.77693486	0.83189195	0.7662338	0.7903431	0.82782	0.90714824	0.81467986	0.87618387	0.74361825	0.7793708	0.830117	0.8470137	0.72380066	0.8261702	0.92535037	0.845043	0.8412298	0.7855674	0.89692795	0.8627956	0.815299	0.8712815	0.8617431	0.85128844	0.7229383	0.97497934	0.9195577	0.8777369	0.87449574	0.84328055	0.7667406	0.9164503	0.90822464	0.8674964	0.83360934	0.9206523	0.91625255	0.6253656	0.783369	0.84976757	0.72156996	0.8865949	0.9442109	0.9408285	0.7810022	0.8761461	0.9060812	0.83618104	0.9277164	0.72302353	0.7205781	0.9071997	0.7942688	0.8293317	0.70456153	0.7393944	0.85950786	0.8823887	0.9213644	0.94153166	0.6537176	0.885218	0.89264274	0.8663093	0.8707795	0.73810095	0.73333216	0.86970115	0.8214463
Amsterdammer/noun	0.90356016	0.0	0.86561674	0.8742059	0.92679363	0.8780356	0.93441594	0.90294194	0.8734814	0.8396454	0.84098876	0.8459161	0.88639224	0.88557696	0.85328925	0.7930284	0.81582487	0.89226174	0.83964705	0.8684822	0.8319073	0.8972275	0.82796764	0.8699285	0.8614366	0.83414966	0.87652624	0.8502043	0.8536586	0.8353192	0.84808445	0.86015373	0.9006484	0.8915032	0.935405	0.8305551	0.88900995	0.83680606	0.8791944	0.8378418	0.92274344	0.9583317	0.83162344	0.82355785	0.8215734	0.8242911	0.7828458	0.9148971	0.89961964	0.83727425	0.84867483	0.91191167	0.8521738	0.8112516	0.86316776	0.91937846	0.83487654	0.8642848	0.8603513	0.80543524	0.8277606	0.8693591	0.85563576	0.82934296	0.8656353	0.8668944	0.8749738	0.8326476	0.8424287	0.84198666	0.88174325	0.83939904	0.94502985	0.87779915	0.8511489	0.86242795	0.8502816	0.81122625	0.79798114	0.9536157	0.9291617	0.80725706	0.8866488	0.8638294	0.870575	0.8799357	0.8193088	0.8412249	0.8553759	0.8839096	0.9026327	0.79065794	0.8666586	0.87909806	0.862194	0.90064967	0.8570055	0.8269596	0.8803925	0.8293101	0.8953933	0.84431696	0.8427104	0.8323699	0.8785931	0.90442955	0.8833642	0.7902166	0.8829787	0.8554473	0.8465253	0.80935574	0.8325496	0.84521055	0.86160874	0.83851904
Chris/name	0.90077984	0.86561674	0.0	0.8719044	0.9435595	0.88347816	0.86374867	0.8387207	0.9055376	0.8511577	0.8741118	0.8594661	0.90690464	0.92353106	0.90046805	0.87123007	0.85968244	0.95008564	0.86883044	0.9192144	0.8679255	0.8925802	0.86942714	0.87905127	0.88661027	0.8798703	0.9244893	0.89022636	0.91990006	0.8092239	0.85850763	0.85888547	0.8730733	0.9294828	0.9374264	0.8263719	0.88695836	0.86575663	0.9351404	0.89846635	0.9357331	0.9786165	0.83056194	0.83645916	0.8631277	0.8973254	0.76972324	0.9304477	0.89145935	0.8756362	0.8334741	0.93188167	0.8675146	0.9079976	0.8713876	0.91562736	0.8937919	0.8831418	0.89618	0.83196336	0.8969169	0.899252	0.8787566	0.8948189	0.8416281	0.91939086	0.89893126	0.89280397	0.85725623	0.83721125	0.8796252	0.857051	0.9439593	0.8883534	0.8816437	0.8398046	0.8923353	0.8373773	0.83706486	0.9772897	0.9467446	0.8571856	0.89996487	0.9063399	0.8761349	0.8803167	0.8602486	0.8387703	0.87313277	0.8782339	0.9641605	0.8452989	0.888958	0.89818597	0.8831706	0.8650888	0.85298	0.83711123	0.9176334	0.9183427	0.88250214	0.869923	0.9005171	0.9046071	0.8785209	0.8634633	0.90760493	0.8523052	0.9321595	0.9089135	0.8883777	0.8778183	0.8610735	0.86639404	0.88531005	0.8566651
Lance/name	0.9222137	0.8742059	0.8719044	0.0	0.9122388	0.8430364	0.89252937	0.88825387	0.90121496	0.8781706	0.8643473	0.84651315	0.907207	0.93910307	0.9016862	0.88732946	0.8954972	0.9516348	0.8908676	0.91884214	0.8681756	0.894145	0.89003	0.87562335	0.90688163	0.8863149	0.8861299	0.8882565	0.91440773	0.8446257	0.86555636	0.883422	0.9313972	0.9090803	0.95360917	0.85219765	0.9007122	0.84999734	0.92600965	0.88827115	0.95131314	0.9794137	0.8385174	0.8183667	0.8548577	0.91116035	0.78017604	0.89919174	0.9238373	0.82199997	0.8645215	0.92217207	0.91365325	0.9290468	0.89228123	0.9004937	0.8622976	0.8995817	0.86575526	0.88065857	0.90147156	0.87229604	0.8595929	0.8776981	0.870226	0.89417994	0.8907332	0.85724807	0.85791874	0.87967664	0.8800893	0.8691445	0.95840704	0.90881455	0.9123912	0.86367327	0.8931068	0.87289387	0.8369059	0.95444924	0.9425249	0.9284346	0.87290907	0.8912368	0.9080109	0.87981045	0.8594276	0.868898	0.89182204	0.92415667	0.9264582	0.8899209	0.9142142	0.93503416	0.8725933	0.94287133	0.8857453	0.8577484	0.90667593	0.87328213	0.90913445	0.8874929	0.8759445	0.8703711	0.89984757	0.92974937	0.86677366	0.8535946	0.9425141	0.9156801	0.90395504	0.8731744	0.9119822	0.8801112	0.90256333	0.85952675
Lelièvre/name	0.9220097	0.92679363	0.9435595	0.9122388	0.0	0.9426012	0.91491216	0.94887	0.9319613	0.95017153	0.9165331	0.93427306	0.89591575	0.958414	0.9428301	0.9485548	0.9543315	0.950551	0.9587964	0.9343168	0.91021025	0.96508384	0.9317685	0.97061646	0.91655314	0.92913336	0.92533314	0.9230644	0.9085233	0.91177064	0.9213717	0.9229989	0.9107679	0.91814166	0.9309893	0.92639136	0.93216807	0.9177092	0.95786035	0.93297905	0.96946	0.9679493	0.8923166	0.85642356	0.8418782	0.9182021	0.84465563	0.94082177	0.95178217	0.8907641	0.90765107	0.96781605	0.9527475	0.9388876	0.941718	0.9632808	0.91377467	0.95183027	0.90365446	0.91043496	0.9358845	0.9315952	0.9030195	0.91920424	0.95659167	0.8968768	0.9231897	0.89926964	0.9229228	0.91509014	0.9376612	0.9160358	0.9309486	0.93089545	0.9474451	0.9260857	0.95470977	0.9249771	0.95974994	0.9376178	0.9315605	0.9523694	0.91678727	0.9692408	0.9346567	0.9290991	0.91572016	0.8896768	0.93107045	0.9279895	0.9302569	0.91993695	0.9467302	0.9665299	0.9339504	0.8738048	0.9065812	0.9089311	0.9272855	0.9269129	0.93241656	0.94961137	0.93599445	0.90280485	0.9392049	0.95630777	0.9372431	0.86659795	0.9395022	0.93316734	0.95167935	0.9243039	0.94640553	0.8962749	0.91280997	0.91344756
Ronaldo/name	0.91616607	0.8780356	0.88347816	0.8430364	0.9426012	0.0	0.89092964	0.8715844	0.8799862	0.8681011	0.8658008	0.8514476	0.90220845	0.94046706	0.8985609	0.8796234	0.86774904	0.9176683	0.87535334	0.90819746	0.874775	0.8974916	0.87523943	0.90983164	0.9154809	0.90260744	0.912806	0.87356794	0.89798707	0.8622102	0.85798883	0.9012997	0.91448736	0.8960889	0.9536535	0.8461071	0.8821116	0.8440723	0.92381614	0.88924795	0.886248	0.95271516	0.8447335	0.8317738	0.8792261	0.91070414	0.7951937	0.91525763	0.8999698	0.84123075	0.8498486	0.93512976	0.9024365	0.89039046	0.88413435	0.93330276	0.8824215	0.89865816	0.86025244	0.88971883	0.90768355	0.8533151	0.86970955	0.8726134	0.8713001	0.8633442	0.8469543	0.86958957	0.8505241	0.8827136	0.8413482	0.84696305	0.9509014	0.85945094	0.8988915	0.8700273	0.8834317	0.8538148	0.7824681	0.93776655	0.9466303	0.9155823	0.884142	0.86094207	0.90469927	0.9046984	0.8454052	0.840516	0.88521355	0.916776	0.8923673	0.8692894	0.87450725	0.9103296	0.89126754	0.941031	0.9088021	0.85886866	0.92723185	0.88987875	0.88126504	0.90688145	0.83012235	0.88606787	0.89086235	0.9112575	0.8975688	0.8392422	0.9112844	0.9140946	0.8867873	0.8774013	0.8859912	0.87340105	0.8782009	0.8603076
Schneider/name	0.92624366	0.93441594	0.86374867	0.89252937	0.91491216	0.89092964	0.0	0.91779053	0.9197244	0.9236279	0.89784485	0.9253216	0.9315738	0.9429625	0.92632216	0.9254504	0.8987027	0.94280064	0.90493476	0.9254375	0.91370475	0.9362118	0.89776134	0.9194605	0.90744334	0.8974989	0.93494743	0.8968066	0.91863376	0.8607544	0.9042506	0.88647854	0.90212023	0.9246566	0.932133	0.90247196	0.89954287	0.90889925	0.9328649	0.9272567	0.95099604	0.9598149	0.8887028	0.88706714	0.8911802	0.89984757	0.8493009	0.92791474	0.9481441	0.9031233	0.8796863	0.937452	0.91978616	0.93696076	0.9056978	0.9294401	0.9037147	0.9054129	0.9121156	0.8873384	0.8994783	0.92649305	0.899336	0.9052292	0.9239645	0.91554487	0.9119639	0.8969056	0.910663	0.90627265	0.93085146	0.9069566	0.94736874	0.9083479	0.89845324	0.8930279	0.926863	0.8862583	0.921742	0.9621215	0.9431133	0.9235398	0.9268687	0.9200131	0.9081319	0.93183255	0.9091275	0.8745458	0.91154426	0.9344813	0.89570177	0.89223945	0.89404595	0.90894794	0.9375683	0.89456296	0.90171754	0.8894225	0.9220379	0.89425516	0.90840054	0.9223405	0.91666895	0.914034	0.8978473	0.9180466	0.9143952	0.88105744	0.92049503	0.9246301	0.9035234	0.91744375	0.9057006	0.88950527	0.9188335	0.9363128
Verhaegen/name	0.94146615	0.90294194	0.8387207	0.88825387	0.94887	0.8715844	0.91779053	0.0	0.90187895	0.9105972	0.92279756	0.9159202	0.92499155	0.9629462	0.9433651	0.9405133	0.9107638	0.9442283	0.9472699	0.9295721	0.9111097	0.9229391	0.9108581	0.93449265	0.9019147	0.89543104	0.9154745	0.9146198	0.952772	0.8815729	0.90918803	0.88626736	0.9227527	0.913998	0.92593807	0.8786058	0.91205335	0.8855544	0.9510954	0.9169304	0.92548805	0.9675637	0.9046478	0.88085747	0.9083067	0.9216087	0.83816123	0.9216266	0.9370122	0.8982767	0.89832366	0.9680402	0.92328125	0.935259	0.9396442	0.9555909	0.9287964	0.9272356	0.89759445	0.9268155	0.92244995	0.9037548	0.89628905	0.9213925	0.92030346	0.93942755	0.90139216	0.8971269	0.91296065	0.915651	0.931993	0.89432573	0.8989435	0.9268029	0.9126574	0.9105397	0.9108211	0.91944873	0.858728	0.94586426	0.9280634	0.93415976	0.89992476	0.90322083	0.9116477	0.9087659	0.9090418	0.86191225	0.93527436	0.94530576	0.926092	0.9281518	0.9396063	0.9381093	0.9103995	0.94928837	0.9164399	0.90196157	0.9401099	0.8831831	0.90562	0.9039751	0.9398156	0.9274498	0.9263713	0.9266732	0.91281253	0.88058484	0.94439816	0.90588117	0.9193642	0.9019251	0.90704167	0.90851045	0.9243321	0.90450287
al/adv	0.86129785	0.8734814	0.9055376	0.90121496	0.9319613	0.8799862	0.9197244	0.90187895	0.0	0.83587015	0.812219	0.78223157	0.8720552	0.873705	0.85516965	0.84165597	0.8276957	0.9303067	0.80464375	0.8795786	0.7952439	0.89731747	0.7812908	0.8745551	0.8046942	0.80529034	0.76710606	0.7675708	0.8367589	0.8246426	0.78012353	0.8102102	0.7892865	0.74852717	0.95247716	0.8137198	0.8970067	0.7915262	0.9242569	0.8594863	0.9491697	0.9562292	0.8511822	0.83478975	0.84452516	0.79637414	0.77031815	0.8722903	0.91807514	0.7836714	0.6592786	0.93054944	0.91095674	0.871738	0.8708377	0.9056262	0.79922855	0.85659844	0.8526257	0.83430684	0.7737837	0.8851092	0.83911645	0.82526356	0.8422044	0.8020706	0.68751955	0.8178734	0.7822368	0.7833534	0.8905738	0.80258554	0.94183517	0.9155377	0.8967453	0.7721386	0.77175957	0.82671434	0.8270955	0.9345198	0.9316439	0.8839371	0.90449053	0.8493378	0.845528	0.8559172	0.72222435	0.7476206	0.82507366	0.8935768	0.9439863	0.8039795	0.8828344	0.87420493	0.87386984	0.8853405	0.73295355	0.8079098	0.8523904	0.76487565	0.6979081	0.802927	0.7853035	0.76282525	0.86886585	0.89063346	0.8959862	0.7671205	0.92746496	0.86136496	0.88978636	0.7927891	0.82737654	0.7918148	0.85436225	0.8805364
alleen/adv	0.7902581	0.8396454	0.8511577	0.8781706	0.95017153	0.8681011	0.9236279	0.9105972	0.83587015	0.0	0.6918645	0.75914085	0.8333484	0.8027984	0.7332137	0.72329426	0.7453044	0.858347	0.8093567	0.7890217	0.7355809	0.7909431	0.6468353	0.80013347	0.7753726	0.717452	0.86050963	0.71905315	0.75810367	0.7560882	0.80607456	0.75468594	0.8812643	0.7800268	0.87949425	0.7798078	0.79456997	0.7600065	0.79399395	0.6971993	0.912827	0.92296576	0.77540517	0.80228245	0.7633402	0.7334385	0.7754432	0.8571782	0.8086326	0.76142216	0.78608197	0.8455623	0.7545203	0.8088791	0.8278897	0.830565	0.57986426	0.7256925	0.80617785	0.6524155	0.6990143	0.8279368	0.77905726	0.688672	0.74512446	0.7420181	0.78622985	0.7213245	0.726709	0.72846925	0.8010156	0.7656114	0.95451754	0.8850404	0.80344766	0.8088697	0.80138415	0.68125737	0.8182589	0.9469179	0.868813	0.8017668	0.82209176	0.8659251	0.7687266	0.8720598	0.7434197	0.8251555	0.80454975	0.8007406	0.8577719	0.677032	0.79578125	0.80172956	0.78092194	0.8295431	0.77095693	0.66951585	0.7880504	0.80149204	0.910992	0.86500204	0.80560374	0.738049	0.8401331	0.851328	0.8757888	0.71733373	0.8953051	0.82074314	0.8040594	0.7565945	0.6669092	0.73244834	0.70199335	0.6631378
