	Albanees/noun	Amerika/name	Amerikaan/noun	Anthuenis/noun	Arabier/noun	Bardot/name	Barend/name	Blair/name	Borms/name	Boudewijn/name	Charlie/name	Cools/name	Cézanne/name	Derksen/name	Duitser/noun	EU/name	Engelsman/noun	Frank/name	Friesland/name	Irving/name	Leys/name	Linda/name	Mona/name	Mondriaan/name	Mussolini/name	NAVO/name	Nederlander/noun	Olympische/name	Reagan/name	Schenk/name	Sperwer/name	Syriër/noun	Tutsi/noun	VS/name	Waal/noun	Wout/name	aartsvijand/noun	al/comp	alles/noun	als/comp	ander/noun	anderzijds/adv	armband/noun	baas/noun	daarna/pp	dat/det	destijds/adv	die/det	diep/adj	ding/noun	dirigent/noun	eigenlijk/adj	elkaar/pron	en/vg	erg/adj	erom/pp	etiket/noun	evenzeer/adv	fel/adj	film/noun	geit/noun	gelijkelijk/adv	genocide_wet/noun	gevoel/noun	geweld/noun	gewoon/adj	gezeik/verb	gij/pron	haar/pron	hartgrondig/adj	hartstochtelijk/adj	heb_lief/verb	hem/pron	hen/pron	het/det	hier/adv	hij/pron	hoe/noun	hoewel/comp	huis_werk/noun	iedereen/pron	ik/pron	immigrant/noun	in/adv	inmiddels/adv	intens/adj	islam/noun	je/pron	jezelf/pron	jodendom/noun	jood/noun	journalist/noun	jullie/pron	kerst/noun	kind/noun	klus/noun	kunst/noun	laconiek/adj	liefde/noun	maandag/noun	maar/vg	man/noun	me/pron	men/pron	mens/noun	meute/noun	mezelf/pron	mij/pron	misschien/adv	moeder/noun	moslim/noun	muziek/noun	namelijk/adv	natuurlijk/adj	niet/adv	om/comp	om/prep	omdat/comp	ongelijkheid/noun	ons/noun	ons/pron	oorlog/noun	oprichter/noun	overigens/adv	overzee/pp	pas/noun	perfectie/noun	platteland/noun	politiek/noun	pop_ster/noun	premier/noun	president/noun	prietpraat/noun	prostituee/noun	ras/noun	realiteit/noun	regel_DIM/noun	regelrecht/adj	sinds/comp	soms/adv	sprookje/noun	staat/noun	stad/noun	stilaan/adv	strafschop/noun	super_held/noun	systeem/noun	tegenstander/noun	tennis/noun	terwijl/comp	toch/adv	toerist/noun	tuig/noun	type/noun	u/pron	vader/noun	van/pron	vanwege/prep	vergadering/noun	vijand/noun	voetbal/noun	volk/noun	voordracht/noun	vrede/noun	vrijheid/noun	vrouw/noun	waarschijnlijk/adj	wanneer/comp	wat/pron	we/pron	wegens/prep	wereld/noun	wij/pron	winkel/verb	woord/noun	ze/pron	zichzelf/pron	zij/pron	zo/adv	zoals/comp	zozeer/adj	zwart/adj
Albanees/noun	0.0	0.70045185	0.7776852	0.9744769	0.7004905	0.8958125	0.9672724	0.85361946	0.9630464	0.95801204	0.9756881	0.86465234	0.980675	0.9572437	0.8812511	0.6813054	0.8831065	0.9770977	0.956366	0.9221209	0.968938	0.9793581	0.9749496	0.9798815	0.95348984	0.5154178	0.75129455	0.9936883	0.8817045	0.99529046	0.98223126	0.7734852	0.37284487	0.6322515	0.9182322	0.97820616	0.6659702	0.92125535	0.94800377	0.8492281	0.9768909	0.7878884	0.97348833	0.85322505	0.9131843	0.95975465	0.8904346	0.8941397	0.91287816	0.95808125	0.8976327	0.96436876	0.7016945	0.65094507	0.96184814	0.8732133	0.98111093	0.83682024	0.8241248	0.895096	0.9764093	0.6851448	0.941359	0.8682306	0.244681	0.95687985	0.85990816	0.9292274	0.8603771	0.9048809	0.9164227	0.81293064	0.90633255	0.7409501	0.90651685	0.8538982	0.91915417	0.85483295	0.79172504	0.9540625	0.81142694	0.94929284	0.7817211	0.801985	0.8495711	0.9349548	0.7732917	0.9611547	0.9402108	0.87297785	0.59891933	0.7696857	0.85345125	0.78352153	0.8018171	0.9107466	0.8677519	0.9837793	0.83114356	0.87413764	0.9368467	0.82725406	0.96327746	0.94545734	0.899984	0.74519825	0.9529758	0.9495936	0.9611926	0.86534905	0.566005	0.93201864	0.764663	0.9447267	0.9512862	0.8325205	0.87600744	0.85983306	0.8973371	0.8093633	0.88993585	0.51433885	0.9752297	0.9629558	0.8539862	0.9838226	0.95490265	0.8640077	0.8004841	0.9273508	0.8635156	0.7556433	0.9901337	0.87251955	0.7024622	0.89377964	0.9351163	0.8317345	0.54226184	0.8833141	0.95213467	0.57972145	0.8278338	0.9826304	0.9310144	0.8635126	0.9744159	0.75477684	0.9189347	0.7323179	0.95232385	0.8092626	0.88881767	0.987928	0.9743466	0.8582337	0.8498026	0.8316217	0.9457914	0.6942636	0.93934166	0.7926313	0.9623401	0.5712477	0.828297	0.827701	0.903223	0.8400346	0.91381806	0.8979993	0.7485949	0.8125838	0.772961	0.91667366	0.9039302	0.910873	0.87917495	0.740295	0.95065254	0.892766	0.82641554	0.7710629
Amerika/name	0.70045185	0.0	0.48086894	0.93440557	0.5282903	0.93233645	0.95356715	0.7482532	0.9434797	0.9415641	0.9174559	0.792459	0.965667	0.8627076	0.7336181	0.657972	0.687819	0.94587713	0.9099873	0.859552	0.98717725	0.96296567	0.93788487	0.96788126	0.8672646	0.6418054	0.6864473	0.87025565	0.5877935	0.9708953	0.89717823	0.7211298	0.6967313	0.3607599	0.93154925	0.98430383	0.7380169	0.91488564	0.865911	0.821607	0.9339193	0.7536511	0.9147073	0.7928165	0.92679715	0.90519214	0.7284934	0.7645463	0.7967405	0.9108166	0.8694273	0.79092646	0.7467773	0.6696464	0.77358425	0.7587192	0.9140654	0.7135565	0.7220783	0.69858336	0.97503245	0.89472693	0.8951525	0.8173826	0.5739857	0.87121373	0.8747921	0.86276907	0.83036226	0.8800864	0.8835816	0.88361657	0.68858117	0.7264546	0.95250374	0.7586323	0.7587305	0.89774215	0.6458773	0.9615971	0.84727323	0.9276131	0.4383906	0.6646135	0.6296452	0.8977663	0.6102648	0.8765502	0.88259506	0.7377112	0.5586478	0.82817197	0.82928646	0.8603058	0.8401145	0.85620254	0.8369794	0.91858983	0.8728863	0.90754545	0.8627128	0.88667613	0.91864014	0.75293136	0.850279	0.92779356	0.9015336	0.87491834	0.91869444	0.9391368	0.55688614	0.8048365	0.70644236	0.77098024	0.8821674	0.8447027	0.9146412	0.81943244	0.7577121	0.7586611	0.82512593	0.43870556	0.85539013	0.77408093	0.5944644	0.90775275	0.8143495	0.87489283	0.69026226	0.76709956	0.7205759	0.5305078	0.8914334	0.85416746	0.76538664	0.77166295	0.886688	0.5964438	0.5649404	0.8792862	0.8872899	0.54943585	0.877159	0.9473929	0.9765077	0.7306813	0.77151597	0.660746	0.8606181	0.7250006	0.8921395	0.78703517	0.92768854	0.9337491	0.9151812	0.77504516	0.93447256	0.772163	0.89763755	0.35522884	0.86355	0.6214827	0.9777252	0.44767058	0.6318573	0.86663735	0.8068222	0.79677916	0.88763547	0.9428193	0.7871212	0.5583222	0.8223711	0.9090452	0.86132514	0.84478104	0.70441103	0.77030617	0.8799176	0.72060496	0.71709704	0.65915954
Amerikaan/noun	0.7776852	0.48086894	0.0	0.92778295	0.550912	0.8966775	0.9787512	0.79785484	0.8111412	0.9577936	0.7643985	0.98195815	0.9729522	0.8634325	0.3988961	0.775179	0.49632955	0.7926597	0.92444617	0.6602074	0.97716755	0.89330626	0.9620745	0.9601716	0.8532903	0.67251253	0.4864018	0.90769947	0.7165264	0.950946	0.93232036	0.730432	0.86063814	0.49502736	0.76401466	0.94636893	0.7414069	0.89809716	0.86419994	0.795504	0.85203	0.89571124	0.8691225	0.7561612	0.80688065	0.89792186	0.71978354	0.7530085	0.8030847	0.8837636	0.85715103	0.85626423	0.73044986	0.6752129	0.79079753	0.7892441	0.829098	0.77972084	0.62473357	0.8391681	0.9709438	0.79329145	0.6323719	0.85908663	0.644547	0.7938694	0.8575549	0.84929454	0.772797	0.9210403	0.682985	0.86856335	0.72100794	0.6514688	0.89447844	0.7293923	0.74175763	0.88098437	0.5559502	0.9486241	0.81769	0.86054516	0.49961108	0.7654147	0.63906455	0.8576557	0.74807	0.86714375	0.8418614	0.7873632	0.4410138	0.86704165	0.7872999	0.81376016	0.8553196	0.9446853	0.8900397	0.71448475	0.84002393	0.9126235	0.8730227	0.8285171	0.8863615	0.77519	0.7890897	0.8432666	0.8640939	0.8486112	0.90438616	0.89033157	0.5670624	0.8035964	0.8663536	0.85567135	0.8789857	0.82758653	0.9049721	0.734308	0.90401685	0.74155337	0.8039291	0.5338463	0.84440434	0.78981245	0.7437111	0.91746575	0.8803196	0.89581436	0.7027833	0.90783465	0.71983093	0.6688804	0.94879603	0.8540033	0.76937973	0.8006184	0.86793053	0.8075338	0.56505907	0.8714708	0.88383657	0.707705	0.82889664	0.93782556	0.8957376	0.83194584	0.90014875	0.6547421	0.9142889	0.64352584	0.90178657	0.6580476	0.84509474	0.918102	0.87903166	0.7314067	0.9472184	0.6574961	0.89531577	0.569857	0.8944937	0.63632953	0.9697472	0.63881075	0.69095075	0.8306381	0.7254411	0.8260976	0.8838343	0.8871182	0.69739974	0.705559	0.74748385	0.84362966	0.82292354	0.78486717	0.6077386	0.70291615	0.83280015	0.60648745	0.62815905	0.6874628
Anthuenis/noun	0.9744769	0.93440557	0.92778295	0.0	0.94691604	0.9965214	0.99176544	0.95578045	0.96917635	0.8932803	0.92434835	0.97309434	0.9866467	0.9683505	0.91769326	0.9859361	0.8921505	0.92902106	0.9846254	0.83142126	0.9730621	0.99625	0.9265135	0.99009085	0.97210205	0.9665486	0.9449621	0.86088026	0.9447283	0.9340714	0.9787887	0.93277854	0.97607195	0.97243667	0.95650697	0.7964406	0.9217928	0.6665535	0.83615446	0.7871216	0.89861584	0.9271492	0.9825156	0.92767525	0.9414692	0.7152202	0.8785027	0.7823341	0.65668017	0.6593306	0.90914226	0.7933866	0.8833564	0.9467032	0.6754275	0.84769946	0.835966	0.5607197	0.90179896	0.9110481	0.994505	0.97708523	0.92615056	0.6589851	0.9365527	0.8324239	0.907395	0.95156026	0.88599575	0.9142951	0.90172285	0.85873723	0.7262007	0.92292917	0.87590075	0.7957091	0.72211134	0.90130126	0.7646651	0.91727424	0.8085385	0.6509724	0.961146	0.92806023	0.9481816	0.6368202	0.9534629	0.8257375	0.79635596	0.96514326	0.9367158	0.8807857	0.6580409	0.8887221	0.96435606	0.97508156	0.9311974	0.5257118	0.833797	0.9945723	0.642439	0.96791744	0.6034729	0.7842183	0.85099596	0.9521397	0.8358432	0.756403	0.7286797	0.931999	0.92581433	0.8541151	0.84303725	0.74960685	0.7208578	0.91096205	0.873596	0.8582387	0.8757163	0.8760453	0.7387537	0.94368845	0.937265	0.58221287	0.99627215	0.97273767	0.8994562	0.9549068	0.8903699	0.9132514	0.901459	0.9387283	0.91290534	0.98214495	0.9113654	0.87791467	0.9159162	0.916299	0.8795442	0.68489647	0.8876059	0.94116676	0.98403716	0.62831366	0.9830822	0.9201797	0.8856552	0.91969633	0.80905235	0.9205509	0.73853195	0.9514176	0.9317001	0.88824296	0.91692114	0.9407945	0.88207877	0.77618086	0.9621062	0.896989	0.66132164	0.90792775	0.856095	0.9596482	0.87115	0.9794125	0.9242022	0.8462164	0.80955404	0.7966738	0.98326254	0.9720198	0.7548322	0.9592427	0.7523728	0.7842541	0.78839326	0.8630449	0.67847013	0.882138	0.9177358	0.9368653
Arabier/noun	0.7004905	0.5282903	0.550912	0.94691604	0.0	0.8965262	0.99032	0.8569519	0.961273	0.9706832	0.9186677	0.9629399	0.96234393	0.9884295	0.59278953	0.82205504	0.69796383	0.9697061	0.9284783	0.79117626	0.99415773	0.9713486	0.90714276	0.9786329	0.8666685	0.75683904	0.72712237	0.99772704	0.889233	0.9744165	0.90596855	0.64674604	0.751942	0.6935178	0.8483685	0.97527426	0.7797447	0.9153096	0.8933808	0.8156421	0.8732791	0.6845264	0.8811608	0.9306773	0.85344255	0.8829471	0.7896422	0.8414312	0.6984776	0.86499053	0.96941453	0.87903816	0.72011805	0.6163316	0.84694076	0.7264565	0.77522856	0.59781843	0.7542065	0.90974927	0.9502789	0.75090647	0.88040423	0.7495874	0.49252552	0.8346539	0.7714806	0.84373045	0.88238645	0.8961303	0.73194075	0.8107637	0.86709607	0.72951436	0.7725229	0.7211802	0.85841954	0.8149444	0.70980585	0.88905776	0.84026134	0.919224	0.38999653	0.7983148	0.8973255	0.8392181	0.35654837	0.87581986	0.8179103	0.43790483	0.21759772	0.93218994	0.7183213	0.75868714	0.8815408	0.9679686	0.8634671	0.92642057	0.72097176	0.9971024	0.85793006	0.886762	0.91002417	0.8402166	0.8153534	0.83872855	0.89162606	0.88086766	0.8872908	0.8855743	0.24916983	0.8558235	0.86317515	0.84141755	0.8733641	0.82336146	0.8774912	0.72440994	0.80962676	0.6966415	0.77175385	0.39566785	0.979572	0.89556336	0.6112947	0.97035605	0.84840393	0.8891987	0.79484886	0.8859705	0.9644903	0.84749335	0.9203472	0.7447424	0.571355	0.76264757	0.8635601	0.8232101	0.7780985	0.8409145	0.81514716	0.44390482	0.8051467	0.87852633	0.934765	0.7988068	0.9489544	0.7416444	0.9538011	0.72537386	0.8799747	0.8604578	0.8735894	0.8827819	0.92343366	0.90867513	0.9025532	0.8082192	0.9713567	0.49687237	0.9297889	0.4875493	0.8774801	0.5085063	0.6245389	0.81594557	0.8510752	0.8262675	0.81446445	0.85461736	0.7265454	0.5656251	0.69088185	0.887844	0.8192633	0.8393722	0.6944767	0.69339514	0.81759393	0.6775895	0.8564769	0.50374454
Bardot/name	0.8958125	0.93233645	0.8966775	0.9965214	0.8965262	0.0	0.86754096	0.9534193	0.95384717	0.9787155	0.9445761	0.99104685	0.96328807	0.8138226	0.984961	0.9558077	0.98527503	0.9911113	0.97303516	0.94827455	0.96773696	0.76274335	0.41839135	0.9509453	0.91816807	0.95957917	0.9433496	1.0	0.971109	0.9871465	0.99087644	0.886073	0.9557912	0.93425405	0.95820254	0.83393973	0.9696454	0.9602174	0.959808	0.90514714	0.97914207	0.75752366	0.9033675	0.840177	0.8458218	0.9892869	0.826213	0.92844355	0.9613228	0.9700418	0.98870194	0.9710574	0.79236066	0.8034188	0.96442974	0.9603882	0.9691122	0.9156212	0.74522793	0.72850466	0.9593347	0.9472507	0.96586746	0.93095887	0.87968403	0.9642646	0.9241166	0.95811754	0.73924136	0.62856895	0.921673	0.9432303	0.7577578	0.8594084	0.9411806	0.9237442	0.8595466	0.9666387	0.8491115	0.98141015	0.90159655	0.8878904	0.9412476	0.83440167	0.6891893	0.96011513	0.8292244	0.949747	0.9926509	0.9220946	0.88663465	0.9752472	0.97289664	0.92316633	0.9256432	0.9901272	0.8396667	0.9849393	0.8781916	0.6662746	0.8418312	0.77403605	0.92604226	0.8510176	0.9305918	0.91623366	0.82933027	0.9432409	0.9562938	0.8345516	0.68630135	0.8558835	0.97875726	0.9016129	0.9653524	0.9629275	0.89680934	0.8513312	0.9381812	0.944167	0.97306794	0.91346604	0.9820636	0.9016102	0.9751209	0.9983276	0.77380633	0.976726	0.80333275	0.9032939	0.96129954	0.94596756	0.98628855	0.7967045	0.9733321	0.9313863	0.9870707	0.96741366	0.9239183	0.93264365	0.9591381	0.8840931	0.9715843	0.8614739	0.9351091	0.8932839	0.9848375	0.86803085	0.96964955	0.8342737	0.9180699	0.9833855	0.99534893	0.88581836	0.9402655	0.8910359	0.9712387	0.790252	0.82507837	0.9467344	0.9856163	0.8309436	0.9636152	0.95371985	0.9364957	0.7040732	0.8745097	0.8551387	0.9539622	0.94344467	0.94745415	0.8607063	0.9324756	0.94965047	0.9568931	0.89847016	0.7082072	0.74926937	0.83280987	0.8093373	0.9353936	0.90138483
Barend/name	0.9672724	0.95356715	0.9787512	0.99176544	0.99032	0.86754096	0.0	0.9222434	0.97883654	0.5822792	0.9390068	0.91824144	0.96781546	0.39722556	0.9781434	0.9744126	0.8816499	0.716579	0.7701517	0.96810776	0.9979987	0.8521011	0.67124414	0.9783969	0.92479926	0.9936333	0.75873214	1.0	0.9563197	0.91432333	0.9750413	0.9661459	0.9860703	0.9963708	0.9457254	0.80895656	0.988005	0.9766066	0.9764964	0.97960293	0.999094	0.98060256	0.96587694	0.8390446	0.88383406	0.97206664	0.7803767	0.9710594	0.95425075	0.9610004	0.7395587	0.926491	0.96406615	0.7136187	0.98519933	0.95036745	0.9951174	0.9687437	0.97170556	0.9261041	0.9506188	0.9745504	0.9902474	0.97581875	0.9893486	0.9741012	0.9561906	0.97496974	0.8704311	0.7356181	0.9472687	0.9473864	0.9233975	0.99257815	0.9634864	0.9790202	0.9512437	0.8055929	0.9509352	0.96693736	0.9750314	0.9754433	0.95929056	0.91371566	0.8169857	0.85911304	0.9552553	0.9846965	0.988367	0.9864663	0.9821735	0.59415275	0.92178637	0.77915335	0.947785	0.9994524	0.9826259	0.9173606	0.9604789	0.8188088	0.98754954	0.9751516	0.9825551	0.965486	0.96475327	0.80546486	0.956381	0.9851122	0.9878653	0.8607903	0.9700529	0.90311223	0.9676711	0.9509515	0.9924925	0.9830422	0.9389682	0.9631337	0.9881658	0.9287394	0.9848493	0.9855831	0.4918058	0.89794016	0.97412086	0.9384353	0.97694445	0.9909353	0.9766245	0.92653006	0.9554893	0.9776488	0.6243801	0.8543997	0.9872942	0.9816862	0.9858297	0.8005623	0.97994	0.98115385	0.95246875	0.93491226	0.9924745	0.9034751	0.98609775	0.9757572	0.9931783	0.9862682	0.9636739	0.95364606	0.9961107	0.9517062	0.997387	0.85242784	0.9345451	0.8668915	0.80306923	0.9496224	0.8640435	0.9811531	0.9880185	0.98285884	0.9360453	0.96647877	0.97531056	0.9153794	0.9622954	0.8784258	0.9636638	0.9751389	0.9810081	0.91463286	0.97086954	0.91742384	0.95127815	0.98048496	0.9327901	0.97378236	0.9834084	0.83776164	0.9025072	0.9335535
Blair/name	0.85361946	0.7482532	0.79785484	0.95578045	0.8569519	0.9534193	0.9222434	0.0	0.97109586	0.9139255	0.95899445	0.9239358	0.97705805	0.9598021	0.8756371	0.7643065	0.8485503	0.9402004	0.9876394	0.89258516	0.966167	0.588617	0.97795767	0.98388845	0.8764881	0.7095876	0.9618015	0.9972076	0.5299673	0.9871869	0.9508905	0.8396108	0.8313539	0.69546044	0.9290009	0.9025951	0.68781304	0.9524704	0.98646694	0.9281804	0.927449	0.94168663	0.9613523	0.8766032	0.91375726	0.9366893	0.69797593	0.9316428	0.94872314	0.97910076	0.9645778	0.9459952	0.85396004	0.80618393	0.914384	0.8860999	0.9704509	0.9019177	0.67778563	0.9402466	0.9074082	0.9748102	0.77657485	0.96421885	0.8620345	0.9490926	0.9080426	0.8820969	0.89809287	0.835883	0.7695819	0.8791777	0.8236021	0.95518523	0.9461814	0.93482757	0.7882557	0.90918857	0.74240506	0.955976	0.945152	0.96170765	0.8964053	0.9311693	0.8604592	0.8946881	0.8774519	0.9748806	0.9369329	0.94634104	0.9082289	0.8714051	0.91036695	0.95515335	0.96186274	0.9495199	0.895196	0.83929306	0.84266937	0.6713737	0.93254554	0.9375858	0.9812323	0.9484193	0.9758937	0.9356353	0.96849626	0.9707244	0.95750934	0.845507	0.9131383	0.92206895	0.9571061	0.91991794	0.95373666	0.92637926	0.8988448	0.9327509	0.9425176	0.9523747	0.9610513	0.6830206	0.93920785	0.8516624	0.88595784	0.9756626	0.8969979	0.967502	0.6723466	0.9306013	0.38600624	0.36756742	0.8860251	0.97005767	0.9482765	0.92785823	0.9817101	0.7763748	0.5789671	0.901404	0.9286922	0.8445606	0.96608543	0.9764198	0.912173	0.8538778	0.96296424	0.626428	0.9293418	0.8328466	0.97390866	0.93176264	0.848205	0.8306521	0.9617965	0.865396	0.9623222	0.9143843	0.93187195	0.7789765	0.9101478	0.76238704	0.8770328	0.6966232	0.85817575	0.8320211	0.9024897	0.933227	0.9754387	0.9735903	0.92189145	0.93388855	0.9338195	0.8972872	0.7857334	0.9072034	0.84304583	0.83636683	0.88566613	0.8585005	0.8433478	0.9573134
Borms/name	0.9630464	0.9434797	0.8111412	0.96917635	0.961273	0.95384717	0.97883654	0.97109586	0.0	0.8503705	0.8929571	0.8548382	0.96163	0.93138474	0.5305233	0.95402473	0.5572055	0.7317547	0.96378255	0.96041036	0.7856456	0.9775384	0.97982794	0.9585032	0.94799566	0.9586767	0.74136543	0.9989142	0.9198046	0.9761584	0.92937785	0.9486549	0.97881293	0.95837176	0.34418905	0.9705659	0.93429863	0.96285814	0.9766405	0.9488155	0.9840379	0.7388947	0.97627497	0.6459267	0.8639467	0.95051205	0.73071337	0.8907807	0.9471798	0.9594347	0.944663	0.8645631	0.91111547	0.79529047	0.8661463	0.87622344	0.99051636	0.9655719	0.84397376	0.97997314	0.966984	0.97619253	0.9977596	0.9066531	0.9684294	0.92196846	0.9749069	0.96469355	0.9536607	0.92878634	0.887823	0.9788196	0.93160826	0.9754934	0.9800931	0.9160031	0.9055873	0.9641106	0.8822193	0.9657015	0.9577992	0.9215049	0.90794957	0.99174863	0.90917903	0.95885384	0.9679659	0.9435993	0.96703833	0.9317981	0.88260937	0.9503552	0.94577163	0.9812337	0.9807151	0.9811421	0.9758881	0.89852595	0.9795774	0.9888015	0.8585525	0.89135337	0.9212382	0.8991072	0.959942	0.8996013	0.9547876	0.94815344	0.9160484	0.97360784	0.9663113	0.9789751	0.9616246	0.93217325	0.9483493	0.99078214	0.9775196	0.81284463	0.95869464	0.98064756	0.8686106	0.9071253	0.92159384	0.9638089	0.9830107	0.98577875	0.9859515	0.9396283	0.9511389	0.92748	0.97329116	0.9662091	0.9635885	0.9641265	0.9860781	0.9187185	0.93888515	0.9544917	0.9154135	0.95336396	0.9874512	0.8543332	0.99386734	0.96826476	0.47761422	0.93269384	0.9864803	0.894465	0.96619964	0.80533624	0.9307635	0.8734918	0.98035747	0.9691545	0.95862556	0.9375867	0.97295606	0.91504705	0.9990783	0.91392106	0.94905484	0.87109995	0.987227	0.91487724	0.9601262	0.9606847	0.8169146	0.92589957	0.9573148	0.91828054	0.9551096	0.9822424	0.8781519	0.97892064	0.96650803	0.9435819	0.8854368	0.90117127	0.9320162	0.8605281	0.882304	0.98909837
Boudewijn/name	0.95801204	0.9415641	0.9577936	0.8932803	0.9706832	0.9787155	0.5822792	0.9139255	0.8503705	0.0	0.86430955	0.56154406	0.932322	0.7509589	0.8568539	0.9758757	0.8858237	0.56636524	0.81302714	0.8131596	0.8916369	0.91307527	0.87761503	0.9472742	0.90385056	0.98871017	0.7824624	0.999744	0.86677647	0.5442548	0.93742025	0.96746534	0.97845745	0.97537065	0.7706125	0.88128006	0.9037583	0.9702481	0.9738055	0.9592406	0.891018	0.9864408	0.95292485	0.8378764	0.8220118	0.9613791	0.6506974	0.9115227	0.9340725	0.9708581	0.8166834	0.97773546	0.9400932	0.76489955	0.91926026	0.93090934	0.9401634	0.8952383	0.86303127	0.89281857	0.9808772	0.94461703	0.9578767	0.95214975	0.9560214	0.9456711	0.931494	0.96086127	0.82837194	0.9145855	0.90433186	0.95429605	0.8897786	0.9758548	0.97539306	0.9714569	0.8492001	0.907917	0.8921665	0.97921145	0.9753028	0.9349296	0.9127954	0.95732594	0.82184577	0.8073511	0.9638735	0.97571045	0.9565383	0.97597086	0.9407057	0.7815033	0.96287036	0.8964365	0.933741	0.98645455	0.9068919	0.7833878	0.9161239	0.94188005	0.95807254	0.91530037	0.9481531	0.923393	0.9643917	0.9323692	0.9988275	0.95947886	0.9562167	0.8369988	0.96195394	0.8497068	0.9094391	0.9745163	0.9683875	0.98246336	0.96604306	0.8909413	0.89354104	0.974591	0.93877625	0.9357133	0.7729113	0.82017905	0.9121577	0.97343147	0.9879141	0.92960304	0.9635582	0.82369924	0.88027024	0.93777686	0.9688695	0.82955325	0.96970314	0.95762753	0.8448825	0.8932867	0.94967794	0.88095254	0.895579	0.9321524	0.9645531	0.9791964	0.73861015	0.89225924	0.98546875	0.89500606	0.97475064	0.897569	0.98742896	0.9281486	0.9403091	0.8393356	0.9839097	0.6961398	0.96895415	0.9206468	0.9037362	0.9444494	0.97116876	0.93130285	0.88243103	0.92288464	0.9658331	0.9466207	0.97252774	0.9145103	0.96040934	0.98639303	0.9419955	0.82539344	0.92551434	0.9538999	0.8064687	0.9451815	0.9227614	0.94066566	0.91820556	0.7624184	0.9421752	0.90907556
