	1930/noun	Albanees/noun	Amerikaans/adj	Brits/adj	Europees/adj	LPF_minister/noun	Londens/adj	Vlaams/adj	aanvankelijk/adj	accijns/noun	administratie/noun	afkomst/noun	afkomstig/adj	alleenstaand/adj	arm/adj	arm/noun	beeld_DIM/noun	been/noun	behaal/verb	belasting/noun	bestuur_kamer/noun	binnenlands/adj	blik_DIM/noun	boer_DIM/noun	borst/noun	bovendien/adv	box/noun	college_geld/noun	daarna/adv	dan/adv	dankbaar/adj	deelstaat/noun	dringend/adj	dwingend/adj	echter/adv	eerst/adj	en/noun	enkel/adv	entree/noun	ere_burger/noun	euro/noun	even/adj	even/adv	eventueel/adj	extra/adj	feestganger/noun	fiets_rek/noun	financieel/adj	fiscus/noun	fles_DIM/noun	flink/adj	frank/noun	ga/verb	gebruik/noun	gehuld/adj	gemeente/noun	gewicht/noun	gewoon/adj	glas/noun	glas_DIM/noun	gouden/adj	grif/adj	groen/adj	hak/noun	hal/noun	hamer/noun	hand/adv	hand/noun	handpalm/noun	heer/noun	hemel/noun	her_stelling_werk/noun	het/adj	honderd/adj	hoofd/noun	hoog/adj	hoopvol/adj	huize/noun	hulpeloos/adj	immers/adv	ingevoerd/adj	inkomst_belasting/noun	inmiddels/adv	invoer_recht/noun	kan/verb	keer/noun	kerosine/noun	kerst_pakket/noun	kersvers/adj	kijk-/noun	koers_winst/noun	kop_positie/noun	land/noun	landelijk/adj	langzaam/adj	lidstaat/noun	liter/noun	lokaal/adj	loon_belasting/noun	luistergeld/noun	maandag_avond/noun	mag/verb	meen/verb	meer/adj	meest/adj	miniem/adj	ministerie/noun	moet/verb	mogelijkheid/noun	nergens/adv	netjes/adj	nieuw/adj	nu/adv	ogenblik/noun	omhoog/adv	omroepbijdrage/noun	onroerend_zaak_belasting/noun	ontbreek/adj	ook/adv	overgekomen/adj	overheid/noun	overlast/noun	overschrijding/noun	overweeg/verb	parkeer_plaats/noun	particulier/noun	pensioen_premie/noun	poot/noun	premie/noun	prinses/noun	procent/adj	procent/noun	product/noun	promotie/noun	provincie/noun	pub/noun	regering/noun	rekening/noun	rekeningrijden/noun	rente/noun	roerend/adj	sanctie/noun	schoen/noun	schouder/noun	sigaret/noun	smaak/noun	soort/noun	spaar_geld/noun	sport_wereld/noun	staal/noun	staat/noun	stad/noun	statie_geld/noun	steenkool/noun	stijg/verb	stroom/noun	stuk_DIM/noun	successie_recht/noun	taks/noun	taksen/noun	tarief/noun	te/adv	teatraal/adj	teelt/noun	tegelijk/adj	tel/noun	tentoonstelling/noun	toch/adv	toegang/noun	toegang_prijs/noun	toekomst/noun	toelage/noun	toeslag/noun	tol/noun	triomfantelijk/adj	troon/noun	verlaag/verb	vermaan/adj	vermogen/noun	verondersteld/adj	verschil/adj	verzekerd/adj	vinger/noun	vinger_DIM/noun	vlees/noun	vlucht/noun	voorheffing/noun	voortaan/adv	voortreffelijk/adj	voorwaarde/noun	vorm/noun	vriendschap/noun	vrijwel/adv	waarschuw/verb	weg/noun	wil/verb	word/verb	zal/verb	zelf/adv	zenuwachtig/adj	zondag_middag/noun	zwaar/adj
1930/noun	0.0	0.9382243	0.91018045	0.88045037	0.9660833	0.99129325	0.8777897	0.9676305	0.93154776	0.9763024	0.99256	0.94176036	0.8940287	0.9612556	0.9204041	0.9641904	0.92882663	0.9634982	0.9046954	0.9680448	0.9634087	0.96557313	0.98123115	0.98006064	0.9636389	0.96835566	0.9668722	0.9907726	0.96356547	1.0	0.96225554	0.9474854	0.9614763	0.97668636	0.9717365	0.71608925	0.95594686	0.95203966	0.9056359	0.88952696	0.96388507	0.9870392	0.89704317	0.98493147	0.9644152	0.966321	0.9819706	0.9601634	0.9736431	0.9691107	0.9554672	0.96024823	0.98617667	0.97190225	0.98613364	0.9497672	0.95985305	0.9808778	0.97705364	0.9488652	0.88737917	0.9759802	0.94580865	0.99836016	0.93181366	0.9377386	0.9869007	0.96022725	0.98413557	0.9417231	0.9435671	0.9221635	0.7215827	0.981605	0.96227163	0.979566	0.9629946	0.93767726	0.95900977	0.94501984	0.8834665	0.9574509	0.94748825	0.98032796	0.99974114	0.9642779	0.97585225	0.9692017	0.9143816	0.9877937	0.97306097	0.95343196	0.9285196	0.95214957	0.94959605	0.98390085	0.95505047	0.9591546	0.9639916	0.9823816	0.93099743	0.9746202	0.95020556	0.96964055	0.9539313	0.9710343	0.9725035	0.9829056	0.981209	0.9699024	0.95081884	0.9513839	0.9691549	0.95578426	0.97914207	0.966289	0.959319	0.9477862	0.9884982	0.98236084	0.9751883	0.99627393	0.9753393	0.9387473	0.9715943	0.9414349	0.9823246	0.954523	0.94090044	0.87770504	0.9525397	0.96943104	0.9811216	0.9488976	0.95238936	0.9652681	0.9653342	0.9637954	0.9895856	0.9679908	0.9839777	0.9736027	0.9690558	0.97524714	0.9503582	0.9446503	0.9768051	0.98779476	0.93753016	0.9778728	0.8760364	0.90292513	0.9578154	0.90434533	0.95481265	0.96070266	0.94816285	0.96325415	0.9888655	0.9754452	0.9796123	0.9990025	0.945737	0.93593824	0.9594564	0.95550394	0.83824384	0.9971441	0.9399871	0.9551964	0.9643642	0.966777	0.973616	0.9422306	0.9438394	0.84592193	0.9655336	0.9846009	0.9594868	0.9655587	0.9595811	0.94930667	0.9784589	0.98912597	0.96564347	0.9027957	0.9599461	0.9626934	0.9635054	0.97600454	0.9724563	0.9177189	0.92188406	0.9628047	0.9761223	0.98746127	0.60783494	0.9799894	0.9705146	0.968988	0.8997308	0.95266414
Albanees/noun	0.9382243	0.0	0.9452721	0.92760235	0.9630505	1.0	0.9337469	0.9504498	0.917071	0.96204996	0.96586597	0.822039	0.8396885	0.84813637	0.89886093	0.97153586	0.9307224	0.9443245	0.89038026	0.912355	0.9842775	0.9377933	0.9361155	0.981582	0.97305554	0.9613732	0.9378857	0.87029064	0.9651271	0.954159	0.94162506	0.9237403	0.96524274	0.99337775	0.9442292	0.9502159	0.9729821	0.96875846	0.9362222	0.9859909	0.8252369	0.98660344	0.94686776	0.96171594	0.8224328	0.8754327	1.0	0.9820845	0.9277323	0.8936108	0.96823347	0.80084836	0.95802855	0.96082604	0.95991474	0.89590484	0.91193116	0.95866287	0.9741945	0.9907246	0.9418131	0.8967685	0.9517775	0.9737183	0.9383906	0.93208534	0.97328776	0.9643517	0.9874042	0.96332616	0.9797235	0.95946634	0.9515021	0.9781228	0.95275754	0.93605936	0.96068984	0.9550454	0.9833629	0.96230036	0.9599956	0.9169603	0.79022115	0.98535246	0.96829623	0.9509209	0.9501378	0.9433569	0.94422704	0.93397415	0.96230674	0.96406025	0.8356874	0.94990355	0.9669729	0.9619575	0.8069141	0.96070063	0.92585415	0.9621572	0.89162046	0.96857554	0.95742154	0.7931769	0.9445405	0.97048855	0.96759194	0.95717275	0.9831106	0.9511077	0.9738769	0.9574324	0.8853112	0.8965145	0.9434504	0.99107987	0.9967751	0.95424557	0.9795717	0.91311884	0.9533947	0.96654403	0.95443004	0.95546144	0.8913222	0.90600455	0.9577553	0.9608019	0.8435898	0.9314712	0.90348643	0.9162007	0.9614777	0.9520856	0.91431874	0.9086027	0.9409917	0.9054794	0.9823377	0.9444418	0.93815595	0.9652788	0.95877963	0.9533355	0.8434311	0.9869623	0.9380229	0.8870427	0.98125285	0.90547174	0.93968785	0.89068514	0.9561399	0.9527673	0.8832602	0.8588945	0.9600939	0.94941425	0.9736569	0.9660883	0.9526518	0.9861064	0.9904903	0.93572485	0.9423674	0.9444053	0.961398	0.95743346	0.9220554	0.9655041	0.94974446	0.8396123	0.94200265	0.96626353	0.9866496	0.9657232	0.9044653	0.98139983	0.8723761	0.9420519	0.92780864	0.90848935	0.9822185	0.979535	0.9449189	0.82353354	0.91290545	0.9481868	0.9635366	0.94179976	0.99705493	0.9749317	0.9537325	0.9348889	0.94399846	0.972055	0.88831925	0.9042153	0.94100666	0.9767358	0.93565905	0.9225199
Amerikaans/adj	0.91018045	0.9452721	0.0	0.59398156	0.8469702	1.0	0.80224484	0.94287235	0.82166445	0.9797464	0.97006404	0.8818975	0.8110577	0.9277894	0.8682454	0.88976705	0.93743116	0.9198645	0.8637588	0.94574666	0.97607034	0.89098084	0.94793844	0.98679185	0.92259455	0.8641418	0.9568671	0.9819459	0.90033877	0.9768594	0.9257925	0.9301202	0.9398123	0.9511441	0.8348044	0.83356756	0.9382648	0.92015237	0.92396384	0.9520287	0.9087383	0.9196187	0.88394165	0.9026792	0.9037646	0.99412477	0.99638927	0.8177212	0.9546878	0.95509434	0.85069615	0.9159153	0.86736184	0.8719626	0.92619383	0.94206357	0.9376762	0.90928245	0.94543236	0.9586352	0.86880314	0.9430493	0.93888676	0.95806605	0.94589984	0.92978454	0.9679777	0.86338526	1.0	0.89701307	0.93296975	0.9864285	0.8453324	0.98652506	0.8673011	0.9099228	0.9435685	0.9515713	0.96447664	0.8951166	0.9336411	0.9792917	0.7988248	0.9838791	0.9808214	0.9213261	0.95278215	0.9937547	0.91489893	0.98738045	0.8948771	0.95932466	0.89132565	0.9329658	0.92747015	0.9480363	0.92619544	0.90326023	0.9929927	0.99180496	0.8759866	0.9302246	0.8565572	0.93015486	0.8896798	0.958548	0.8953288	0.95926064	0.9220748	0.92103684	0.9479165	0.8455368	0.8588516	0.92719316	0.87501734	0.9924887	0.99333644	0.96796715	0.9011386	0.9548194	0.89104456	0.97870946	0.9884953	0.8212151	0.9531698	0.93118477	0.97768515	0.89371735	0.928045	0.8925304	0.90978533	0.88983434	0.8479304	0.9291982	0.9437403	0.92115456	0.8902705	0.89715326	0.9977492	0.92876893	0.96930385	0.9326061	0.91598403	0.9467708	0.9262067	0.9355271	0.86585087	0.955524	0.9478248	0.9608492	0.7949907	0.87175435	0.99975765	0.98547816	0.8623948	0.9362865	0.9179708	0.9816724	0.9862271	0.95238733	0.93996155	0.918365	0.9485794	0.9763607	0.8968606	0.9533682	0.8942765	0.9692216	0.93923694	0.968888	0.89892197	0.9584921	0.96048	0.9308545	0.9215795	0.88645566	0.8788176	0.98291594	0.91070205	0.94560814	0.8937028	0.9425646	0.90732795	0.9967658	0.94850427	0.82713914	0.9789656	0.86751497	0.91942185	0.8801136	0.93062824	0.8899103	0.89059913	0.8087168	0.8893572	0.8966891	0.8676174	0.860669	0.8544633	0.94261986	0.94141644	0.8861772
Brits/adj	0.88045037	0.92760235	0.59398156	0.0	0.8249579	1.0	0.6999589	0.90146035	0.82441163	0.9599493	0.9575868	0.87578964	0.8171992	0.8954202	0.87623274	0.9113842	0.9292915	0.86941695	0.8308947	0.88333005	0.98248935	0.8646277	0.95951647	0.9819213	0.9380743	0.8652553	0.9333894	0.95482147	0.9101628	0.97204685	0.92254514	0.9019797	0.9153802	0.95932895	0.84091973	0.7888495	0.92372197	0.9261842	0.9179341	0.9500397	0.8367385	0.9168646	0.87338775	0.8840714	0.8486453	0.96873516	0.9953308	0.82661253	0.9333822	0.9207189	0.8385125	0.8443005	0.8636206	0.8870954	0.93740785	0.9138192	0.9008763	0.8866268	0.92689687	0.9701906	0.8874453	0.9667114	0.9187777	0.95083475	0.92336535	0.92163205	0.9539599	0.7984028	1.0	0.8850842	0.94419676	0.97404194	0.8115161	0.9919992	0.82275033	0.84757566	0.9583676	0.9441008	0.9914974	0.8454395	0.9416614	0.9731146	0.7354169	0.9707248	0.9763628	0.8906281	0.9568496	0.9846147	0.9055935	0.973442	0.8977523	0.9598356	0.8771822	0.90880513	0.89512074	0.918859	0.8740777	0.87824965	0.9768632	0.9924912	0.8686152	0.8944057	0.84470534	0.8863248	0.884104	0.9587028	0.8995083	0.9562041	0.90458333	0.9313874	0.9575151	0.83089507	0.8061217	0.9131829	0.8564298	0.9841878	0.97233903	0.9481509	0.867237	0.95293736	0.8884047	0.9707106	0.96799034	0.82727695	0.94158536	0.9148256	0.9828379	0.8793592	0.9018873	0.88889277	0.85658765	0.8377922	0.8357589	0.908309	0.88520277	0.82792795	0.8701941	0.8463812	0.9868208	0.9199563	0.9669129	0.92548877	0.9149688	0.95252985	0.9026318	0.9253418	0.8434103	0.96149004	0.9519495	0.94893277	0.8581117	0.8717213	0.9887726	0.9641957	0.8146297	0.91991705	0.89914745	0.9752955	0.96809113	0.9739364	0.9370874	0.91717684	0.9695908	0.98079133	0.8677596	0.968058	0.8698747	0.9395455	0.92859626	0.9628382	0.8917034	0.94241303	0.9440882	0.92662674	0.92568165	0.8879246	0.8640423	0.9639139	0.8758975	0.9528151	0.8839929	0.9395615	0.91770905	0.97807384	0.9166357	0.8231691	0.9449614	0.8778565	0.9433706	0.900575	0.8851157	0.88976336	0.84918445	0.8335718	0.8699432	0.880405	0.7761133	0.8587885	0.83460116	0.96368504	0.92506784	0.87234616
Europees/adj	0.9660833	0.9630505	0.8469702	0.8249579	0.0	0.9863318	0.92085856	0.8613727	0.87849265	0.9439514	0.9286085	0.9227528	0.8989674	0.9500486	0.90909314	0.94701105	0.9627017	0.94044393	0.78516865	0.8812391	0.98543555	0.8428443	0.985114	0.9836972	0.9710492	0.8245446	0.96254444	0.97412574	0.90001094	0.9174856	0.95414406	0.9561211	0.921649	0.94214624	0.85170466	0.83048934	0.9429744	0.8920764	0.9574547	0.95950776	0.8498347	0.92845744	0.89546657	0.8934148	0.84807575	0.97390616	1.0	0.8365272	0.9065167	0.9639157	0.85035944	0.8704291	0.8597982	0.8877523	0.97131115	0.8929914	0.91977096	0.9090857	0.943312	0.97437495	0.8432665	0.9882616	0.898322	0.9613075	0.93202627	0.95718753	0.9711722	0.86705333	1.0	0.90036106	0.9657495	0.9847544	0.8277378	0.9475749	0.898255	0.8306141	0.9340269	0.97121906	0.9762593	0.8419447	0.932888	0.9434467	0.8471593	0.94922817	0.91214633	0.7956321	0.95453924	0.9780335	0.9216413	0.9886538	0.8963602	0.92842525	0.81962913	0.9073745	0.912588	0.75880015	0.90314716	0.9127376	0.9847835	0.9947032	0.9408711	0.83159024	0.86989987	0.86599076	0.87765515	0.9393797	0.8952173	0.8024756	0.89708495	0.9428684	0.9681457	0.8228107	0.8567591	0.91302794	0.8711205	0.98980427	0.97693527	0.9445676	0.8936833	0.9457698	0.8694131	0.97934526	0.9542376	0.8726555	0.9696834	0.92611754	0.97104204	0.92961043	0.89482486	0.9235944	0.8986367	0.8248566	0.8278111	0.9156065	0.90449756	0.9613683	0.80127424	0.8737582	0.95549035	0.8984219	0.95160204	0.9115445	0.9261234	0.9333021	0.9347412	0.94405395	0.9055305	0.9479586	0.95717216	0.91522706	0.87089765	0.87562025	0.971697	0.9627164	0.8028	0.9333546	0.9254662	0.93845165	0.95524573	0.9810321	0.8809194	0.91309637	0.9580802	0.9773203	0.93230355	0.97381973	0.8993511	0.90076417	0.92819417	0.9828465	0.8503663	0.951927	0.954357	0.9474773	0.950645	0.93538016	0.877042	0.9802558	0.893477	0.96634024	0.8685821	0.90578485	0.9516334	0.9923696	0.93185353	0.88179	0.94058096	0.88528246	0.9567326	0.91137946	0.92304474	0.9521719	0.89481634	0.8528238	0.91615945	0.81253093	0.8598275	0.7453055	0.8909237	0.97724706	0.9493234	0.86596495
LPF_minister/noun	0.99129325	1.0	1.0	1.0	0.9863318	0.0	1.0	0.9897663	0.98528785	0.98218334	0.99893844	1.0	0.98817986	0.9976517	1.0	1.0	0.9976391	1.0	0.9936428	0.98662037	0.98706245	0.99408597	0.9714272	1.0	0.9752535	1.0	0.9929839	1.0	0.9991751	1.0	0.9929503	1.0	1.0	1.0	0.996315	0.99417526	1.0	1.0	0.96804523	1.0	0.98641044	1.0	0.9913356	1.0	0.98868746	1.0	0.99336505	0.99213946	0.99604815	0.9999849	0.9997726	0.9906763	0.99914485	1.0	1.0	0.9966358	0.9877151	1.0	0.990296	0.99801356	0.9991606	1.0	1.0	0.9884222	0.99297637	0.99007267	0.9951696	0.99801177	1.0	0.9426781	0.98958004	0.9873773	0.99779105	0.90310025	1.0	0.9977511	0.9898522	0.94505835	0.95431745	0.9982382	0.99490863	0.9805921	0.98903507	0.9773043	0.9952476	1.0	0.9926181	0.9751561	0.96676797	0.99220896	0.98713034	0.9698128	0.99657387	0.9969316	1.0	0.9825401	0.98668766	1.0	1.0	1.0	0.9772756	0.9943847	0.9621264	0.99217725	1.0	0.9961229	1.0	0.95566267	1.0	1.0	0.98252326	0.98001474	0.99730873	1.0	0.9892803	1.0	0.90617114	0.99968755	0.98680735	0.9657132	0.9981046	1.0	0.98263747	0.9639971	0.9903806	0.988649	0.9652903	1.0	0.99007523	0.98925936	0.96834826	0.97318405	1.0	0.9972322	0.9959035	0.999184	0.98798317	0.99866414	1.0	0.9978305	0.99190986	0.98850054	0.98618346	0.98204386	0.9905326	1.0	1.0	0.99717367	1.0	1.0	1.0	0.9996678	0.9537283	0.9936749	0.9842854	0.997835	1.0	0.9906796	0.99261403	0.9921328	0.9871542	1.0	1.0	1.0	1.0	0.9970629	0.99197656	1.0	0.98592365	0.97663367	1.0	0.9826369	0.9758998	0.9712912	1.0	0.9805602	0.9708502	0.983353	0.9979978	0.9980799	1.0	0.99182004	1.0	0.9390267	1.0	0.9972224	0.9900985	0.99715596	0.99862987	1.0	1.0	1.0	0.997004	0.9758684	1.0	0.9551226	0.98234206	0.95769876	0.9774975	0.98711985	0.9873641	1.0
Londens/adj	0.8777897	0.9337469	0.80224484	0.6999589	0.92085856	1.0	0.0	0.9468169	0.8923968	0.96404785	0.9846783	0.90716887	0.88180393	0.9456586	0.9139642	0.9091063	0.9210458	0.9308737	0.8796766	0.9281915	0.9573909	0.89008296	0.93449306	0.9860281	0.9387453	0.92444587	0.9544666	0.97944444	0.93503046	0.975809	0.9285954	0.94608116	0.95483434	0.9805655	0.93023056	0.8037559	0.95437706	0.9546805	0.93925554	0.96313095	0.8945276	0.95453966	0.9156972	0.9624296	0.90205866	0.9709586	0.98457366	0.90742093	0.94930613	0.95597696	0.90153277	0.9075532	0.9296352	0.94861525	0.9306582	0.95057267	0.9346715	0.9743918	0.93485874	0.9694202	0.9122754	0.9782002	0.9485891	0.96671414	0.9308631	0.92690676	0.96207106	0.91969514	0.9993812	0.9255808	0.9514695	0.97104055	0.83012843	0.99618006	0.9150344	0.8866624	0.9495578	0.91934913	0.9709751	0.9350934	0.9323667	0.93743175	0.8697535	0.97070307	0.9867016	0.9328544	0.97355205	0.9745658	0.91997254	0.95642245	0.87787396	0.9347817	0.9221307	0.93508804	0.9521891	0.9544918	0.89148766	0.9423323	0.99111986	0.9880231	0.9197544	0.94118375	0.89445174	0.9290383	0.96317047	0.9396874	0.95591545	0.9710927	0.9600116	0.9688847	0.98458433	0.9279485	0.9284101	0.9256642	0.8640219	0.96614337	0.95851547	0.95233536	0.9366001	0.9383564	0.9427264	0.99186164	0.96141684	0.9130018	0.95239305	0.92860967	0.9305206	0.94949234	0.92586184	0.9067023	0.92768806	0.8770829	0.89176893	0.92204773	0.93789005	0.90225154	0.9476378	0.9171186	0.9867816	0.9072796	0.97908366	0.96374124	0.9509837	0.9580116	0.9135464	0.9525952	0.92488056	0.93730897	0.96121556	0.9483101	0.9132422	0.9476581	0.9879843	0.9744645	0.8702474	0.9297473	0.9383642	0.98615974	0.9737928	0.98615426	0.94432855	0.9513056	0.9670085	0.982965	0.94112927	0.9798727	0.86197627	0.97742563	0.95280397	0.9578901	0.93703073	0.93538815	0.9837595	0.9653761	0.95482206	0.892194	0.8764019	0.9546597	0.905135	0.9207995	0.9526072	0.94336694	0.96208787	0.97919536	0.9550665	0.9050412	0.9708396	0.925626	0.94129807	0.96319044	0.954879	0.9508484	0.90724856	0.90026563	0.95628875	0.94459134	0.79165643	0.9590453	0.89939415	0.97143584	0.9006579	0.9506983
Vlaams/adj	0.9676305	0.9504498	0.94287235	0.90146035	0.8613727	0.9897663	0.9468169	0.0	0.8738115	0.9451735	0.7546562	0.9430691	0.8837828	0.90958244	0.9226754	0.9511061	0.93598324	0.94884306	0.82926345	0.82510024	0.9913938	0.9199882	0.97024536	0.9960714	0.9287307	0.8199858	0.95973116	0.97228384	0.901346	0.93202037	0.9592745	0.9528831	0.8629615	0.9616594	0.877306	0.91975963	0.9224433	0.84551775	0.9622175	0.9441587	0.8030356	0.91494745	0.9213855	0.88395315	0.8221267	0.98848397	0.9869886	0.89051795	0.93238664	0.9536701	0.9126684	0.79413533	0.86051273	0.886024	0.98053175	0.7648625	0.9019928	0.9214815	0.9437276	0.95939004	0.897578	0.9671224	0.8262367	0.9859809	0.91957116	0.9471383	0.9577515	0.8617983	0.99929124	0.8927456	0.95127743	0.96534413	0.8996165	0.9902962	0.90128636	0.87516665	0.94415194	0.9540216	0.98803824	0.8312699	0.95662296	0.940769	0.87457526	0.98051095	0.88864446	0.9094478	0.9448655	0.98776406	0.8602216	0.9806857	0.9454091	0.984404	0.8961841	0.8630585	0.9313091	0.9193198	0.8497105	0.83052886	0.9952148	0.9807383	0.88673496	0.857723	0.8318723	0.7998209	0.8901093	0.9419125	0.7938809	0.8605683	0.89145786	0.94355977	0.945069	0.826751	0.8323445	0.8492117	0.8862194	0.9968499	0.98314804	0.9703892	0.8735813	0.9702544	0.77937734	0.969126	0.95296764	0.87412316	0.88691646	0.9155432	0.9703691	0.91094077	0.85861856	0.9191799	0.9571557	0.84791833	0.90172267	0.8780038	0.7661756	0.9500481	0.84619665	0.8225235	0.9740358	0.9354049	0.9592208	0.9031192	0.93054175	0.9306968	0.888071	0.9479294	0.9079844	0.9694961	0.973103	0.9055207	0.89084876	0.8402698	0.98112583	0.9785053	0.8128324	0.90646076	0.9093247	0.9576699	0.9586019	0.9569628	0.91340137	0.9555239	0.9831274	0.970031	0.85372037	0.9343884	0.86254317	0.9074031	0.92125833	0.9447824	0.8820756	0.87468725	0.96854526	0.95778066	0.9593511	0.9756304	0.91757613	0.9914842	0.8879662	0.9704994	0.83274716	0.9347006	0.9273356	0.9652673	0.94284177	0.8924481	0.93419534	0.82701635	0.94565046	0.88050866	0.9220964	0.9459994	0.94504225	0.85481083	0.8913424	0.8022653	0.9031283	0.81651735	0.8909987	0.9713939	0.93796796	0.89233017
aanvankelijk/adj	0.93154776	0.917071	0.82166445	0.82441163	0.87849265	0.98528785	0.8923968	0.8738115	0.0	0.9633903	0.9226527	0.9175386	0.82875603	0.921676	0.8643112	0.9043996	0.93143463	0.9159453	0.8059696	0.85887325	0.97620356	0.91788024	0.9535225	0.98563784	0.9185847	0.8333647	0.93783635	0.955369	0.866497	0.9446366	0.91508806	0.9328325	0.90701205	0.9614791	0.78544366	0.8370336	0.91481614	0.8766663	0.91996	0.96088547	0.79569644	0.8735906	0.8739362	0.8673002	0.8122274	0.96572316	0.9923142	0.84160817	0.91023916	0.94846255	0.82436	0.8079537	0.8345046	0.89329445	0.94583976	0.8313397	0.88807386	0.888652	0.9200095	0.9735682	0.8699755	0.9574661	0.8784067	0.9838343	0.9095414	0.9425742	0.9543588	0.833565	0.9672497	0.8585176	0.93461394	0.9854667	0.8222457	0.94727683	0.8300426	0.8115188	0.9408555	0.9223179	0.95559466	0.8521222	0.95759845	0.963436	0.7860719	0.96122944	0.92116815	0.88735455	0.95020115	0.97070074	0.88125235	0.9729753	0.8729506	0.9415774	0.8836088	0.877713	0.8335388	0.9625189	0.83727413	0.87520176	0.9844433	0.98993665	0.8900841	0.86437845	0.79436374	0.8508502	0.86092454	0.90697217	0.93152934	0.8971925	0.87370974	0.92602736	0.9226749	0.8324073	0.84490967	0.8628855	0.8224827	0.9884718	0.9657333	0.9591892	0.8684002	0.9482705	0.87746257	0.95103425	0.95998	0.8553984	0.90654564	0.9239438	0.9397402	0.8929453	0.8748733	0.9300076	0.8926328	0.8168385	0.8512485	0.90497756	0.8604245	0.9585583	0.8755363	0.8572057	0.94731915	0.89242065	0.94971806	0.9268669	0.8922662	0.8878776	0.9095468	0.9146662	0.88927025	0.93767256	0.9892798	0.9255795	0.88449955	0.8724476	0.98299515	0.94893575	0.7822687	0.8866463	0.90368164	0.9773078	0.9732751	0.9770927	0.88637805	0.92301273	0.9547474	0.9607009	0.8952746	0.9562828	0.8816797	0.9002263	0.88059324	0.92015874	0.8584391	0.9233298	0.9670176	0.95454127	0.94449675	0.9261322	0.83800143	0.987809	0.83366907	0.9517567	0.87111235	0.910835	0.878685	0.9572509	0.92960715	0.89575255	0.9625146	0.8594319	0.9243704	0.9128348	0.9305508	0.9353257	0.8180183	0.83302414	0.89066315	0.8096612	0.85369116	0.8712586	0.8088853	0.9330673	0.9278138	0.870301
accijns/noun	0.9763024	0.96204996	0.9797464	0.9599493	0.9439514	0.98218334	0.96404785	0.9451735	0.9633903	0.0	0.9255544	0.98609716	0.96377856	0.9626346	0.9752598	0.99915075	0.9847741	0.99179924	0.894955	0.81103617	0.9994186	0.8848965	0.87869966	0.9954563	0.9964173	0.9702288	0.95112914	0.9786598	0.9755133	0.96419597	0.96680975	0.98107815	0.9761203	0.99422187	0.9594054	0.9727766	0.99052376	0.96968436	0.9589107	0.98454386	0.79813606	0.9806874	0.9934707	0.95078677	0.83325964	0.96517354	0.9966072	0.9574676	0.87012315	0.905833	0.9605574	0.81433475	0.9398024	0.9980065	0.99906653	0.8983307	0.86808205	0.9890117	0.9373373	0.91299796	0.9856534	0.98794323	0.96969926	0.9949094	0.97609293	0.98852104	0.99438274	0.9943359	0.99988395	0.9757985	0.98999506	0.94678265	0.9729138	0.9742371	0.9807317	0.80347496	0.9818915	0.99496377	0.9870219	0.96173984	0.9490781	0.86851317	0.90852267	0.8928352	0.9612473	0.9665254	0.9164888	0.927639	0.97661513	0.94846505	0.8173659	0.99612033	0.9464067	0.9057014	0.97904855	0.93411803	0.78604317	0.9635043	0.87128	0.9551529	0.9862344	0.96655	0.9879701	0.87640166	0.972966	0.96797717	0.9717693	0.90030104	0.9561602	0.98817086	0.9784155	0.96509635	0.9396416	0.96856797	0.80659497	0.92333436	0.9093517	0.9478326	0.99655175	0.9762598	0.8811084	0.9432893	0.9420055	0.9549049	0.95273364	0.90581745	0.91059315	0.9783895	0.8520292	0.9760891	0.9138175	0.77422416	0.9159169	0.9862158	0.89626396	0.9872172	0.9522455	0.91970897	0.9437062	0.8913631	0.9624337	0.9608263	0.98774326	1.0	0.8863034	0.9804178	0.98720086	0.93503374	0.98606056	0.9375751	0.9099681	0.9692699	0.8744221	0.97828	0.77361584	0.9139842	0.9852096	0.84166676	0.94598657	0.86925983	0.8489622	0.99754703	0.9934846	0.9858889	0.9738736	0.97038245	0.9771178	0.99980927	0.9442814	0.91585386	0.9782752	0.86512977	0.86978894	0.9307862	0.9983216	0.9647865	0.8826163	0.9964139	0.87138987	0.97648084	0.9805406	0.90135	0.9985534	0.99979687	0.9678571	0.9531067	0.9350693	0.9520637	0.9911888	0.9793553	0.9690196	0.98934674	0.97900087	0.9799084	0.9852811	0.95599806	0.9571175	0.9057888	0.97669476	0.9903917	0.98786634	0.9741714
