	plek/noun	klink/adj	belofte/noun	republiek/noun	orgasme/noun	compliment/noun	drank/noun	refrein/noun	gevoel/noun	vaderland/noun	gerecht/noun	bed/noun	patent/noun	bijstand/noun	gewaad/noun	zo/adv	uitzicht/noun	moment/noun	euforie/noun	boodschap/noun	koor/noun	werkster/noun	visioen/noun	landschap/noun	interventie/noun	passage/noun	tribunaal/noun	lichaam/noun	kroon/noun	vrede/noun	staat/noun	naam/noun	veeleer/adv	naar/adj	ruimte/noun	haast/adv	status/noun	harmonie/noun	sereniteit/noun	zij/pron	nul/noun	melodie/noun	plezier/noun	maar/adv	rijk/noun	gezang/noun	koor_DIM/noun	blauw/noun	symbool/noun	vuur/noun	dressing/noun	gewelf/noun	geluk/noun	droefheid/noun	paradijselijk/adj	gave/noun	stil/adj	afgezant/noun	voetbal_tempel/noun	herrie/noun	getal/noun	aureool/noun	rust/noun	zaak/noun	haven/noun	hulp/noun	schoonheid/noun	kunst/noun	muziek/noun	komedie/noun	paradijs/noun	stem/noun	ijl/adj	monument/noun	piano_spel/noun	tegelijk/adj	minstens/adv	ding/noun	koning/noun	pad/noun	tip/noun	gestreken/adj	menu/noun	geluid/noun	glimlach/noun	dauw/noun	vaak/adj	vader/noun	perfectie/noun	tafereel/noun	iets/noun	aardappel/noun	stad/noun	tweeling/noun	kleur/noun	het/det	missie/noun	iets/adv	sfeer/noun	tuin/noun	mandaat/noun	zaligheid/noun	maal/noun	optreden/noun	vrijheid/noun	of/vg	ervaring/noun	licht/noun	modder/noun	geschenk/noun	meest/adj	vorst/noun	sopraan/noun	zangeres/noun	lof_trompet/noun	helderheid/noun	sauna/noun	klank/noun	heerlijkheid/noun
plek/noun	0.0	0.8990726	0.5507767	0.99241227	0.77870345	0.94879395	0.8282122	0.98558027	0.77689236	0.95167047	0.9683499	0.87796164	0.9788462	0.9857449	0.9052702	0.77821106	0.4976846	0.7589935	0.7100047	0.9260084	0.9480612	0.9176489	0.53716636	0.4640324	0.91093004	0.86322737	1.0	0.7560423	0.9157459	0.8305199	0.7119007	0.92672193	0.7703992	0.94185436	0.7322639	0.6751055	0.87462866	0.86490035	0.80117476	0.905616	0.9898144	0.9445436	0.8716814	0.8057607	0.6928758	0.8348814	0.9958901	0.8958544	0.8186013	0.9334711	0.98508966	0.8705863	0.715875	0.73020303	0.5314487	0.8611513	0.39486766	0.83935684	0.73596704	0.81310093	0.9205873	0.89431006	0.5847907	0.84373593	0.7666228	0.91399205	0.6173661	0.6634402	0.8199529	0.8800126	0.63792104	0.8922357	0.87569654	0.65060705	0.93693835	0.54004985	0.68812686	0.7299481	0.87262	0.90674454	0.98404044	0.9401324	0.93811005	0.80756325	0.9713528	0.9220978	0.86195177	0.93168044	0.88274574	0.56608427	0.72747296	0.9677995	0.43064654	0.72328377	0.77867234	0.6732743	0.92168754	0.8075133	0.67049146	0.39575344	0.877447	0.9498937	0.99705046	0.9928288	0.8261969	0.7477131	0.8909828	0.7757845	0.9086315	0.9266981	0.5913147	0.93441844	0.9816838	0.9186997	0.9996251	0.8980587	0.62001747	0.8269749	0.9260452
klink/adj	0.8990726	0.0	0.77841353	0.91017765	0.9483975	0.9356807	0.6874362	0.7185243	0.750897	0.9385106	0.8456763	0.9361999	0.8715639	0.9767178	0.6499233	0.85121334	0.9249693	0.8441693	0.8835427	0.93353146	0.4572233	0.87427247	0.81231856	0.8871411	0.84837043	0.6365562	0.9849436	0.6997124	0.796246	0.7867551	0.9309164	0.6447736	0.77075267	0.7278122	0.7933426	0.6103505	0.9077883	0.65924025	0.8093898	0.876975	0.7840905	0.38693005	0.63396704	0.8529902	0.98489666	0.5182104	0.43775034	0.80309	0.8641727	0.7734388	0.93523717	0.93647623	0.9343163	0.86738914	0.91413873	0.76824033	0.72186506	0.9850372	0.86395043	0.7106135	0.718791	0.83718485	0.8842936	0.94219273	0.97194356	0.980685	0.7304102	0.7624777	0.4479841	0.9425514	0.9542294	0.35023528	0.5117868	0.70655656	0.58312917	0.81889534	0.8503162	0.90734845	0.9486517	0.821452	0.93460053	0.9004662	0.8987699	0.6173911	0.8196032	0.97642195	0.6943953	0.9470837	0.7867492	0.80992556	0.8846428	0.94397414	0.94293034	0.8414011	0.72347134	0.71647024	0.9513732	0.732737	0.71830195	0.9069953	0.9327582	0.92548364	0.85300016	0.5453824	0.9176555	0.69059134	0.75900453	0.7203227	0.8905852	0.7514232	0.7351139	0.92546844	0.49109024	0.35549158	0.99996156	0.78788304	0.91376936	0.5372892	0.92499924
belofte/noun	0.5507767	0.77841353	0.0	0.90479326	0.9824275	0.9941346	0.8718292	0.9454012	0.78281724	0.9237449	0.88896334	0.94249374	0.98169935	0.9018784	0.878656	0.8813292	0.6607425	0.8647397	0.82673705	0.82961833	0.8701578	0.9888968	0.53466755	0.6849483	0.9000341	0.75527275	0.90075165	0.950562	0.9912188	0.67508626	0.55649567	0.9059316	0.8841813	0.92863005	0.8284369	0.6753789	0.85036606	0.8187627	0.70446694	0.87591255	0.975613	0.8102207	0.7651142	0.91683286	0.64415896	0.7620207	0.7533069	0.7976457	0.814906	0.9639599	0.9827839	1.0	0.5925722	0.958525	0.6423639	0.8950144	0.76779085	0.81298065	0.9309989	0.8135966	0.9101091	0.87439823	0.5440227	0.85805047	0.9559371	0.8363463	0.7155708	0.8380315	0.7073736	0.952188	0.6971734	0.76196307	0.7078389	0.8599599	0.86513364	0.6374762	0.86644685	0.9156195	0.9839302	0.776024	0.99183387	0.9999022	0.9442939	0.8055976	0.93448794	0.99938446	0.8084778	0.9532194	0.8669135	0.5767578	0.804255	0.97284657	0.81671107	0.7986102	0.8390161	0.79726493	0.8558485	0.87957907	0.72596884	0.49639428	0.89016235	0.7756009	0.94101536	0.8440119	0.68158954	0.7941449	0.8225881	0.8047044	0.86656	0.8860726	0.8639193	0.94856375	0.9024094	0.8955976	0.9614184	0.86399966	0.74594843	0.6857748	0.97768795
republiek/noun	0.99241227	0.91017765	0.90479326	0.0	0.95820826	0.8941977	0.92112076	0.9612347	0.8823941	0.6168543	0.9964726	0.99883133	0.9576072	0.86257136	0.9639627	0.99090236	0.9140854	0.8713677	0.7279043	0.92182344	0.97175443	0.93877876	0.96630096	0.9635946	0.8798489	0.9911322	0.81700504	0.938883	0.88916636	0.6789454	0.5505545	0.9515852	0.7854853	0.99409616	0.95776206	0.87395316	0.47633082	0.89156073	0.918634	0.8568448	0.92244625	0.9653823	0.9253944	0.9826133	0.53011876	0.9344004	0.96593356	0.9604973	0.45507646	0.95005333	0.99037254	0.98503053	0.81173575	0.86599284	0.90712976	0.87271774	0.9608201	0.8630364	0.85191107	0.9722151	0.85986155	0.97204775	0.95317286	0.9997786	0.9638822	0.8012164	0.8483003	0.90151465	0.97253275	0.9784043	0.8294377	0.9172764	0.9580927	0.75700057	0.9687022	0.943593	0.9931005	0.9793535	0.47810173	0.936957	0.9788754	0.95968926	0.95406306	0.94605285	0.9248562	0.9993442	0.9207307	0.9077374	0.8746437	0.9565245	0.9938819	0.94195616	0.80368376	0.9426676	0.9080203	0.86371326	0.9374036	0.9689056	0.9594051	0.9784498	0.944627	0.86937743	0.9858029	0.9689659	0.64188004	0.8701039	0.9918576	0.9527929	0.9155392	0.5317303	0.88680494	0.39075804	0.9603108	0.9130876	0.8907088	0.8670509	0.9437039	0.9442711	0.89748263
orgasme/noun	0.77870345	0.9483975	0.9824275	0.95820826	0.0	0.97573584	0.95791286	0.9344789	0.90323985	0.9893489	0.97559667	0.65365213	0.9757403	0.8951541	0.9660303	0.9159258	0.95147115	0.6832422	0.961063	0.96113026	0.9875271	0.9180887	0.95273113	0.9442374	0.9674326	0.96404207	0.97554076	0.7800088	0.9940881	0.96279573	0.9795357	0.9721522	0.9391605	0.85187423	0.87370884	0.9369329	0.9820395	0.93557924	0.9362499	0.7717568	0.9627239	0.93616474	0.90909535	0.669109	0.96873206	0.94653136	0.97884154	0.951851	0.94068646	0.9409758	0.9511164	0.97924536	0.61366963	0.89816654	0.90699005	0.92398155	0.8928511	0.9717023	0.90519154	0.8897315	0.970782	0.9201499	0.9598988	0.9993604	0.99623275	0.83288884	0.90729994	0.759059	0.8983501	0.94165397	0.9436783	0.92547846	0.91823953	0.96223235	0.9653275	0.90535724	0.97536016	0.7944747	0.9966315	0.9723393	0.9912115	0.8775798	0.9626566	0.7387329	0.99393904	0.85000694	0.70408404	0.9401484	0.93421245	0.9538305	0.79396725	0.95549244	0.941605	0.96857214	0.92958915	0.804741	0.9996826	0.63191843	0.9622951	0.9432026	0.9838305	0.8914579	0.9930784	0.9912846	0.9341177	0.66096187	0.97257096	0.8968868	0.95937806	0.99059486	0.7798343	0.9794465	0.9681366	0.9846438	1.0	0.9321086	0.9248714	0.9343707	0.9820341
compliment/noun	0.94879395	0.9356807	0.9941346	0.8941977	0.97573584	0.0	0.8866404	0.9807864	0.8399986	0.8651561	0.8464196	0.8020885	0.9178324	0.98279405	0.89336914	0.814535	0.95305973	0.9608027	0.88990986	0.6335999	0.95761126	0.90923357	0.9903341	0.8372628	0.917189	0.7657573	0.9559154	0.96408147	0.9559969	0.94438255	0.8312162	0.9780104	0.77037096	0.9274187	0.95717525	0.89646024	0.9436378	0.918141	0.9717665	0.84754276	0.81372046	0.9412736	0.72876346	0.6600213	0.92368567	0.91529393	0.99850184	0.9541262	0.9116331	0.9841054	0.94626117	0.9678046	0.95119447	0.85642636	0.97574586	0.90258	0.93361557	1.0	0.98986137	0.9865829	0.91487473	0.99070215	0.9811558	0.9674855	0.69022775	0.9843939	0.9369923	0.9429596	0.86398035	0.93523675	0.9702662	0.9686494	0.98939866	0.9370967	0.9334054	0.91431665	0.8988306	0.87488097	0.8798814	0.96356225	0.7232794	0.77134293	0.7806663	0.842296	0.55969113	0.9951829	0.86302507	0.9946506	0.920543	0.8543912	0.8556575	0.90785027	0.9690111	0.9183495	0.97391963	0.8524567	0.980435	0.9230461	0.77346724	0.9604763	0.9804557	0.9882696	0.9105056	0.81452686	0.93008435	0.8242719	0.9083034	0.87379265	0.9596494	0.70691407	0.86011964	0.6822058	0.95313853	0.95245945	1.0	0.97585166	0.9118552	0.7864312	0.8735815
drank/noun	0.8282122	0.6874362	0.8718292	0.92112076	0.95791286	0.8866404	0.0	0.96310735	0.88384974	0.89245015	0.53157544	0.9645034	0.98973924	0.95499516	0.83050746	0.9340664	0.99067014	0.90073395	0.8474765	0.90180343	0.70990497	0.96667784	0.74214613	0.90412307	0.87149215	0.86584944	0.9862004	0.7801592	0.83012605	0.83302754	0.9307479	0.8504536	0.8548169	0.828963	0.92926407	0.6523392	0.95809275	0.8083252	0.8273938	0.9158806	0.98642546	0.7506453	0.72453797	0.86154646	0.9334469	0.57110465	0.94625634	0.96689916	0.9028116	0.7146531	0.8686786	0.9768775	0.9501232	0.88063747	0.82587993	0.8435098	0.8350886	0.98435235	0.8972681	0.5451778	0.9060104	0.84476	0.9215915	0.8390893	0.94219553	0.963624	0.78465843	0.8509715	0.5859301	0.93790114	0.8589482	0.800155	0.7154725	0.8809089	0.8385576	0.81270814	0.8133652	0.88929564	0.94648665	0.9494042	0.72402656	0.8184163	0.4445855	0.6947048	0.8868754	0.9804939	0.7684213	0.831761	0.9387885	0.83264893	0.9105492	0.67849267	0.93207353	0.7811069	0.8520548	0.6947957	0.9887866	0.76201075	0.699228	0.86251265	0.98590004	0.8903355	0.8972669	0.8371668	0.90657943	0.6625818	0.9269614	0.71364653	0.66583765	0.78951776	0.84128106	0.95079887	0.83465075	0.7682677	1.0	0.88565856	0.87226766	0.70393	0.95089984
refrein/noun	0.98558027	0.7185243	0.9454012	0.9612347	0.9344789	0.9807864	0.96310735	0.0	0.7050718	0.6950594	0.87650645	0.98193306	0.58424646	0.9777125	0.8991269	0.7710751	0.8046403	0.8744811	0.9843433	0.79365516	0.64185137	0.8422384	0.96299845	0.83818847	0.9707179	0.5508807	0.9503651	0.76151276	0.75596017	0.7912595	0.94801205	0.79047364	0.8412464	0.9071225	0.7361417	0.65585977	0.95189625	0.52285534	0.8895788	0.8553908	0.96669555	0.44380355	0.96491617	0.82825	0.96307135	0.6196631	0.6056569	0.72292763	0.8611419	0.9468879	0.97006905	0.8897516	0.90113395	0.92702746	0.9627922	0.75221777	0.8126756	1.0	0.96581817	0.64103365	0.8737012	0.9082941	0.9102053	0.9983449	0.99732894	0.9818797	0.68472445	0.8512794	0.53258	0.9194833	0.92486453	0.5150135	0.46061587	0.9768427	0.60299385	0.75952077	0.843406	0.93677473	0.8987548	0.92867905	0.9736171	0.87050617	0.9180401	0.47341597	0.935902	0.9946119	0.65452504	0.86828613	0.6797626	0.89965236	0.8023969	0.9863355	0.995415	0.96274114	0.6903986	0.7769326	0.9264986	0.86224645	0.6556374	0.9200871	0.9411974	0.727384	0.70297205	0.7663501	0.8873423	0.7537048	0.9941098	0.7886309	0.97658324	0.88357306	0.7972144	0.8961549	0.53507316	0.56942165	0.99983597	0.5706241	0.9881533	0.5577266	0.98621
gevoel/noun	0.77689236	0.750897	0.78281724	0.8823941	0.90323985	0.8399986	0.88384974	0.7050718	0.0	0.8136001	0.8665251	0.8322082	0.9590571	0.9460486	0.91422343	0.8262884	0.87283957	0.49202394	0.5104197	0.88033015	0.7755873	0.83041155	0.8059086	0.78159344	0.8901947	0.72095865	0.9667523	0.6806179	0.9403522	0.63705945	0.7366501	0.9603537	0.597576	0.6295544	0.67653286	0.64277554	0.908478	0.44693983	0.534869	0.7287652	0.89224744	0.6364758	0.61383116	0.65828955	0.87039006	0.68879116	0.84034514	0.6966119	0.6522835	0.8953642	0.93339056	0.7118577	0.42501283	0.42357713	0.778075	0.64163506	0.65246737	0.96376246	0.76528716	0.86410916	0.779359	0.87367886	0.56452125	0.81682783	0.9993126	0.96505487	0.37401015	0.65577424	0.54510665	0.82064563	0.89821005	0.73931456	0.680125	0.9233919	0.8168061	0.43539262	0.9454048	0.5698568	0.8972626	0.9541233	0.9086871	0.8742512	0.9005542	0.6966667	0.8300371	0.99373674	0.6448833	0.89685	0.43543488	0.75252134	0.4341492	0.9806134	0.87532103	0.9470006	0.6558339	0.86793935	0.9688669	0.7686737	0.39072794	0.81459236	0.9625775	0.79924506	0.92970836	0.8148768	0.61398554	0.7480777	0.67047656	0.7295773	0.9499265	0.7296814	0.73921627	0.9184972	0.81381345	0.8500924	0.69611084	0.5103109	0.78498685	0.6371974	0.8786684
vaderland/noun	0.95167047	0.9385106	0.9237449	0.6168543	0.9893489	0.8651561	0.89245015	0.6950594	0.8136001	0.0	0.9707629	0.9258253	0.65370524	0.9851678	0.88232946	0.9419286	0.8671591	0.9095606	0.92737603	0.8970508	0.9448911	0.974481	0.8559754	0.8842598	0.982545	0.87614256	0.94674015	0.8471291	0.816373	0.732347	0.7911715	0.83920956	0.7758235	0.96300024	0.894603	0.90542275	0.747407	0.8031778	0.86623085	0.8387214	0.869601	0.8098078	0.9183536	0.8979072	0.62845004	0.9047514	0.95590246	0.8369524	0.6104535	0.95622766	0.9808938	0.8909522	0.8475249	0.83454895	0.85815	0.7953224	0.94962686	0.7554082	0.97343993	0.9915311	0.8888264	0.889535	0.9386957	0.9964635	0.9669805	0.96736246	0.799469	0.81559336	0.85996425	0.86891013	0.81224036	0.86803013	0.8307523	0.9133839	0.9510954	0.7900555	0.9647331	0.86733234	0.4485811	0.9113632	0.9792967	0.95691407	0.9583867	0.87018657	0.8706094	0.9936556	0.8030454	0.4798448	0.8698144	0.83373064	0.91223156	0.96133167	0.89271283	0.72030115	0.79732484	0.777879	0.8627852	0.96574783	0.90120184	0.9288057	0.9218565	0.91699827	0.913457	0.97690105	0.6803136	0.79773355	0.95376074	0.8922088	0.83555675	0.5186125	0.8806929	0.40932858	0.9589828	0.876631	0.7871142	0.8370182	0.94584984	0.8817922	0.90919715
