	Merksemse/adj	Ten/adv	aangrijpend/adj	acht_baan/noun	alleen/adj	alleen/adv	alles/noun	altijd/adv	amper/adv	atlete/noun	atmosfeer/noun	bar/noun	bepaald/adj	bitter/adj	blijf/adj	bloed_heet/adj	carrière/noun	commotie/noun	concert/noun	context/noun	correct/adj	dag/noun	dagelijks/adj	detail/noun	duur_voort/adj	echt/adv	eens/adv	eiland/noun	er/noun	feit/noun	gebeur/verb	gebeuren/noun	gelukkig/adj	gespannen/adj	gesprek/noun	geweeklaag/noun	gisteren/adv	goed/adj	gozer/noun	graag/adv	gras/noun	herkomst/noun	heroïsch/adj	het/adj	hoe/adj	homeopathisch/adj	hoofd_redactie/noun	iemand/noun	iets/noun	ingeslagen/adj	inwoner/noun	jeugd/noun	jongeman/noun	kan/verb	kast/noun	kerst_avond/noun	kiezer/noun	kunstenares/noun	kwaad/noun	lang/adj	lezer/noun	lief/adj	liefst/adj	lui/adj	maar/adv	man/noun	meen/verb	meer/adj	meer/adv	meisje/noun	meneer/noun	mens/noun	midden/noun	misschien/adv	moment/noun	mooi/adj	muur/noun	niet/adv	niets/adv	niets/noun	niks/noun	nog/adv	nota/noun	onraad/noun	ons/noun	ooit/adv	ook/adv	oud/adj	partij_genoot/noun	periode/noun	pijnlijk/adj	plaat/noun	plaat_zaak/noun	plaquette/noun	plek/noun	politicus/noun	producer/noun	protestants/adj	riek/verb	sarcastisch/adj	schilderij/noun	schoonheid/noun	staal_industrie/noun	tekst/noun	tijd/noun	tv_kijker/noun	vaak/adj	veel/adj	veld_slag/noun	verleden/noun	verrot/adj	versregel/noun	vervallen/adj	visser_dorp/noun	voor_woord/noun	vooral/adv	voorts/adv	voorzitter/noun	vorig/adj	vroeg/adj	vroeger/adv	wanneer/adv	weer/adv	weinig/adj	word/verb	zal/verb	zelfs/adv	zo/adv	zomer/noun
Merksemse/adj	0.0	0.94560915	0.97480804	0.9719779	0.9589782	0.96398056	0.9643112	0.9592121	0.9471856	0.9804915	0.9861014	0.95159835	0.9536279	0.96336144	0.9602354	0.92823935	0.9514494	0.9544921	0.96583635	0.95756704	0.96201587	0.96116865	0.9631766	0.97477025	0.9518567	0.9496675	0.93786556	0.94968283	0.9436785	0.9681739	0.94546306	0.9709492	0.94861585	0.9680988	0.9690259	0.98763174	0.9354557	0.9666107	0.9454872	0.96675193	0.9742885	0.97920626	0.9694912	0.9789652	0.9381417	0.98526466	0.9500105	0.9501963	0.94665956	0.9643229	0.9419579	0.9577019	0.94180256	0.93048716	0.9664406	0.95691955	0.9600311	0.9560647	0.9654469	0.96285343	0.9600021	0.9518056	0.9640142	0.945079	0.9681963	0.9592035	0.9760403	0.9538464	0.9645789	0.958551	0.9625176	0.9436808	0.9696438	0.9672308	0.967478	0.9620104	0.9671804	0.9635258	0.9719812	0.95199895	0.96402216	0.93618876	0.97890383	0.9150396	0.9662618	0.95528567	0.94202065	0.93555534	0.97591996	0.978523	0.95004475	0.98460776	0.9396067	0.95130247	0.949386	0.9517762	0.9521846	0.95546055	0.97242147	0.95647085	0.9611682	0.97904277	0.95674914	0.9736408	0.9626338	0.912675	0.9420249	0.951618	0.97458154	0.97334296	0.9416653	0.94217294	0.9244726	0.9493643	0.97837687	0.9427781	0.950455	0.95553815	0.94442815	0.9344393	0.97177684	0.9515891	0.9574657	0.9576948	0.9222796	0.94598967	0.9478651	0.9540749	0.9738204
Ten/adv	0.94560915	0.0	0.9295553	0.9363978	0.82393	0.8453275	0.8880589	0.8854064	0.8975131	0.95170844	0.9026718	0.8745943	0.82928324	0.90683025	0.8589699	0.9498123	0.9205738	0.9091593	0.8984905	0.86367893	0.878471	0.87312186	0.8525157	0.8754011	0.8507267	0.91806656	0.8925791	0.85975075	0.9269166	0.8992858	0.903349	0.8963192	0.9009697	0.8772888	0.90859175	0.9559924	0.8288002	0.87535024	0.9677473	0.91618264	0.9009832	0.8679197	0.93319845	0.9123169	0.8709924	0.9440882	0.92634404	0.8903989	0.9032261	0.9259074	0.85869557	0.8968994	0.890285	0.80801773	0.89644367	0.94893366	0.8962063	0.9310344	0.89777833	0.87560815	0.8853706	0.88189995	0.91630024	0.9116178	0.8750531	0.88178766	0.8628485	0.84624135	0.8807181	0.8884636	0.9107394	0.8628712	0.87651914	0.87523055	0.91299164	0.8905019	0.8835465	0.90433955	0.905329	0.9281092	0.934925	0.893268	0.890684	0.92486584	0.87130857	0.89849734	0.81730896	0.88214576	0.91700757	0.9046786	0.88953847	0.8971687	0.93933785	0.94561327	0.8679842	0.880603	0.92576593	0.8994566	0.9107454	0.9491433	0.89832103	0.8828239	0.9560512	0.86824214	0.9097165	0.9277871	0.8483393	0.8595072	0.90528965	0.88814735	0.9449267	0.94751364	0.8908292	0.95984817	0.9202538	0.831412	0.8065864	0.92000985	0.88674134	0.8822116	0.934812	0.8755715	0.90972334	0.89045316	0.7863814	0.80005825	0.8363489	0.89070845	0.8862714
aangrijpend/adj	0.97480804	0.9295553	0.0	0.91356087	0.9002577	0.9051215	0.9189956	0.84013104	0.9304973	0.94692713	0.8656261	0.9313675	0.9015938	0.8277903	0.8970437	0.95465106	0.86120945	0.92260325	0.8105049	0.80955106	0.88490754	0.9121296	0.88829273	0.7816861	0.86192644	0.9492614	0.9456435	0.9156393	0.95221347	0.86341476	0.9495701	0.8566441	0.9118493	0.89987385	0.8488494	0.9435053	0.9263956	0.89165044	0.945189	0.9494809	0.9410615	0.9285621	0.8190863	0.941632	0.80933094	0.97720927	0.9544938	0.90465736	0.8772682	0.9524955	0.9479085	0.8527765	0.88617045	0.9426018	0.917718	0.91988474	0.93047154	0.87245715	0.91394496	0.91697705	0.80095166	0.885659	0.9129598	0.91203845	0.8734226	0.90039927	0.9357991	0.8986276	0.9332056	0.8683426	0.9123303	0.9080213	0.90686685	0.86686903	0.84298116	0.72678334	0.89859533	0.94188756	0.8856532	0.93358344	0.92434597	0.94746685	0.90222013	0.9644749	0.89860094	0.86293256	0.85717	0.8904898	0.9410852	0.8832591	0.79429924	0.79147923	0.965643	0.9302893	0.8915233	0.8966622	0.8958949	0.93855906	0.9349498	0.8501391	0.77021194	0.77953756	0.96095824	0.69008255	0.9294687	0.9253341	0.78482425	0.87468624	0.8507916	0.86701375	0.95510316	0.89188534	0.929295	0.95039856	0.8434336	0.82565403	0.88729036	0.9693035	0.9536748	0.9159151	0.92150587	0.9126314	0.91259664	0.8392484	0.9199352	0.94812423	0.87083316	0.81664157	0.9566713
acht_baan/noun	0.9719779	0.9363978	0.91356087	0.0	0.923516	0.9141484	0.9164744	0.9234925	0.9131938	0.96535325	0.92668766	0.8922211	0.9353165	0.9484475	0.9405252	0.9292295	0.92658377	0.9773572	0.95588446	0.9279011	0.96095365	0.9396697	0.92954487	0.9134118	0.9056276	0.9500004	0.9141235	0.9239056	0.9144241	0.9595549	0.94582325	0.9281421	0.9467938	0.91801596	0.95930034	0.9802442	0.9471561	0.9428858	0.9423345	0.9511987	0.93011796	0.9451412	0.91945994	0.9468656	0.8917951	0.95910686	0.9714123	0.9366218	0.93305403	0.958264	0.9485906	0.9147924	0.93966424	0.91421413	0.9323726	0.93552375	0.95529044	0.9637259	0.949262	0.9207493	0.91066295	0.9321265	0.9162202	0.94018114	0.9181352	0.9417306	0.97741103	0.92969567	0.94718784	0.90825695	0.9520005	0.9075637	0.92785096	0.92783463	0.8875756	0.90875906	0.92052615	0.95418316	0.9296941	0.957551	0.9603667	0.93024987	0.97152674	0.9760438	0.93614995	0.91098315	0.9311684	0.90539265	0.9725546	0.9465128	0.9234508	0.89295846	0.94139874	0.9580492	0.904371	0.94280833	0.9617103	0.9452913	0.9413762	0.9404732	0.9262364	0.9095613	0.9354465	0.948139	0.9340956	0.93578583	0.9095053	0.90692365	0.91928744	0.95033383	0.91271645	0.93923485	0.91287875	0.95304734	0.9819097	0.9184952	0.9358511	0.9865782	0.95112467	0.9292972	0.96729344	0.94584334	0.8997075	0.9454733	0.91863775	0.92053616	0.90221494	0.89885026	0.9225538
alleen/adj	0.9589782	0.82393	0.9002577	0.923516	0.0	0.4478039	0.77459145	0.7229388	0.7888783	0.9144562	0.8724056	0.87214386	0.6894734	0.85363	0.80536354	0.96095204	0.8732332	0.9108906	0.87945074	0.79790187	0.77274656	0.88328207	0.7767097	0.79947215	0.7538993	0.8124895	0.83497065	0.8583657	0.8704986	0.79161	0.84460056	0.8558668	0.7837207	0.86983055	0.8593437	0.93630886	0.9198262	0.79818994	0.9288787	0.8471736	0.8507776	0.8216727	0.8965881	0.82573414	0.7181109	0.8603946	0.8977014	0.7247791	0.7984749	0.9341933	0.8332562	0.8071478	0.84747946	0.66269577	0.8643847	0.91678214	0.8317168	0.9039545	0.82313496	0.8454365	0.7635927	0.72922385	0.79131955	0.8553357	0.6698077	0.79841363	0.7923846	0.72656155	0.69423115	0.82037693	0.8467606	0.73854387	0.85501134	0.7452829	0.8476546	0.82418704	0.8446771	0.67942536	0.8017323	0.7932278	0.8122028	0.80851924	0.8633118	0.9248445	0.77051306	0.7874378	0.619831	0.83008504	0.884245	0.85355574	0.8267976	0.8343942	0.93109393	0.9389644	0.79210645	0.781055	0.8729553	0.8923864	0.87130576	0.9134408	0.86163116	0.7969486	0.93259466	0.79426706	0.8651857	0.8891232	0.6774924	0.73329854	0.90463674	0.8195178	0.9139978	0.9510054	0.911815	0.92788464	0.90843165	0.63111806	0.77266407	0.9264602	0.9321383	0.8232683	0.9114069	0.755556	0.8318327	0.747351	0.7390442	0.7058531	0.7033459	0.761958	0.85796446
alleen/adv	0.96398056	0.8453275	0.9051215	0.9141484	0.4478039	0.0	0.7766369	0.714054	0.75914085	0.9194426	0.8710374	0.8458853	0.7134502	0.7869984	0.8152579	0.94276816	0.860415	0.90288293	0.8772715	0.83194137	0.7885103	0.86050963	0.7620591	0.80716026	0.7269312	0.8130221	0.7986536	0.83139396	0.8654019	0.8370942	0.8367724	0.8616923	0.7657777	0.8601369	0.874445	0.9328169	0.9027762	0.8079162	0.93605465	0.8524301	0.8183019	0.82587326	0.9017627	0.84904355	0.7452934	0.8889606	0.929901	0.7256875	0.79034734	0.9210535	0.82802075	0.7769115	0.8409839	0.70238197	0.83178467	0.92931885	0.8071778	0.9134557	0.81019497	0.82121515	0.7544578	0.71802163	0.7854718	0.8521904	0.57986426	0.804413	0.7748304	0.7107794	0.73166037	0.7907809	0.80659324	0.74931824	0.8106196	0.72121024	0.83339185	0.7641676	0.77414167	0.7420181	0.78819907	0.8002966	0.7798922	0.78622985	0.8851894	0.95881337	0.75707525	0.78686917	0.6537918	0.79691005	0.8993968	0.85582215	0.8270418	0.8186802	0.91634357	0.94323945	0.7829475	0.786702	0.9039153	0.8946392	0.84523404	0.90228724	0.8303678	0.7516252	0.9364097	0.81108457	0.8461622	0.89149165	0.677032	0.69940007	0.906706	0.8228941	0.9016653	0.95882535	0.8652812	0.940324	0.9364606	0.6189723	0.7964755	0.9321918	0.9204128	0.8026054	0.90221894	0.7550738	0.80560374	0.7324464	0.7654253	0.71879286	0.6466554	0.7565945	0.8302207
alles/noun	0.9643112	0.8880589	0.9189956	0.9164744	0.77459145	0.7766369	0.0	0.72380424	0.831768	0.9373043	0.8857843	0.86755836	0.81525284	0.8887954	0.90300375	0.93577266	0.8736095	0.9297612	0.8715935	0.8599137	0.84610426	0.8684987	0.8418094	0.7700716	0.7630987	0.82314634	0.80165106	0.8935919	0.82748014	0.85423356	0.8656659	0.84719586	0.7723491	0.9158633	0.87874395	0.9569682	0.91889447	0.80875134	0.9256047	0.88207525	0.8342054	0.9088556	0.9217643	0.87991583	0.732936	0.94573414	0.94952947	0.7588296	0.6963006	0.924993	0.89839375	0.84086794	0.89865184	0.75581956	0.80629724	0.9256817	0.8548542	0.9394046	0.8374977	0.8653515	0.807228	0.7584354	0.82377076	0.8807728	0.7288932	0.86968935	0.84593445	0.82589126	0.8125063	0.87296784	0.8661241	0.81656957	0.8818021	0.7579413	0.8239202	0.81111586	0.8211679	0.74674106	0.8319039	0.738358	0.75569636	0.8166069	0.89975786	0.9267869	0.7837027	0.8052008	0.7950258	0.8619366	0.9424982	0.8856382	0.87366265	0.8049882	0.929862	0.97597927	0.827242	0.83606935	0.9119137	0.93494195	0.8835043	0.9344509	0.851762	0.7963988	0.9681842	0.8042941	0.8571623	0.92077357	0.8078275	0.7900294	0.91629434	0.8181019	0.9282089	0.954918	0.92367136	0.95282125	0.92319745	0.82616174	0.86742604	0.9497219	0.94545037	0.8317126	0.93267983	0.82819074	0.7587862	0.82255393	0.73895097	0.78010654	0.7822957	0.70123535	0.86434716
altijd/adv	0.9592121	0.8854064	0.84013104	0.9234925	0.7229388	0.714054	0.72380424	0.0	0.8143364	0.90334445	0.85157895	0.8487778	0.777192	0.8339493	0.82129204	0.93369704	0.8410284	0.8975288	0.8311829	0.83102614	0.7594321	0.830525	0.80532277	0.79951775	0.691735	0.76669925	0.74495953	0.8743826	0.78788483	0.8306972	0.89445764	0.8412134	0.72676796	0.8304448	0.83743745	0.94574434	0.9196364	0.78172755	0.8722151	0.8412685	0.858912	0.88775015	0.8630725	0.8053968	0.66034555	0.91616863	0.91870517	0.6815764	0.714288	0.91879886	0.8713308	0.73720604	0.79685056	0.7740098	0.87395895	0.9155384	0.7938013	0.91282713	0.81207085	0.75119126	0.67870164	0.6557416	0.7886937	0.7720958	0.6340411	0.7565773	0.7982974	0.7558867	0.79610205	0.7856921	0.7722154	0.68955946	0.85239047	0.6182339	0.7618109	0.77234817	0.858091	0.67228764	0.8048935	0.7955755	0.77547514	0.7028965	0.86816424	0.92606235	0.7199043	0.7441834	0.6757867	0.8074975	0.8627689	0.85507953	0.7885951	0.79205656	0.9199543	0.95456207	0.7860456	0.7296001	0.87859195	0.8917012	0.85825086	0.87002105	0.82355154	0.74691194	0.94410545	0.7782627	0.79645306	0.86893576	0.6085379	0.6582599	0.9145534	0.7638004	0.9354373	0.9362986	0.9162785	0.9446157	0.9110319	0.68545294	0.834072	0.9240716	0.95615333	0.7602864	0.84568024	0.77208817	0.74515975	0.6905097	0.846314	0.79536134	0.68677694	0.5747448	0.859569
amper/adv	0.9471856	0.8975131	0.9304973	0.9131938	0.7888783	0.75914085	0.831768	0.8143364	0.0	0.887655	0.9005821	0.872978	0.8425107	0.8605844	0.8681356	0.90047026	0.84254384	0.91256213	0.8839257	0.9089254	0.87653357	0.8106773	0.8054288	0.8702618	0.7930128	0.8195226	0.80645037	0.8681351	0.874378	0.9008075	0.8855645	0.88165724	0.7665014	0.90458745	0.89601874	0.966364	0.8533108	0.83753103	0.9691954	0.90203077	0.8357448	0.92454773	0.9200063	0.8669354	0.8296064	0.9372421	0.94665694	0.8066531	0.82934684	0.94470483	0.81937337	0.8501626	0.8542531	0.7707245	0.8690269	0.9362635	0.8558104	0.9223928	0.9108939	0.78266776	0.84790266	0.81717485	0.8444433	0.9036538	0.7096001	0.8307028	0.86944914	0.7185921	0.7117742	0.82344145	0.8887284	0.8222231	0.856413	0.8106506	0.8486802	0.8664167	0.8359505	0.7611836	0.8577326	0.85319924	0.8280715	0.70790505	0.9265865	0.92209226	0.8066458	0.8328471	0.8252244	0.85882896	0.911582	0.8386651	0.8389008	0.86257297	0.95114887	0.95487565	0.82832104	0.8572313	0.9399967	0.9313649	0.9210027	0.95604134	0.8843864	0.8727561	0.963525	0.88755	0.85204226	0.9218372	0.7993833	0.76974934	0.93067193	0.8815671	0.9319236	0.96689516	0.8962321	0.9465275	0.95922977	0.8194152	0.8547462	0.9268258	0.8252747	0.8314785	0.9660628	0.8249519	0.7789828	0.7514202	0.818654	0.8212665	0.75923836	0.83215654	0.8347358
atlete/noun	0.9804915	0.95170844	0.94692713	0.96535325	0.9144562	0.9194426	0.9373043	0.90334445	0.887655	0.0	0.9435002	0.9339538	0.9273856	0.93774563	0.9127017	0.93215054	0.85699713	0.92250186	0.92007524	0.95459056	0.9473576	0.94265014	0.93138385	0.95908433	0.9008016	0.9160433	0.9400506	0.92325705	0.9427372	0.9379447	0.95933074	0.9300516	0.9264666	0.93426883	0.9414533	0.9658515	0.8478205	0.904438	0.953726	0.9302938	0.954734	0.9368894	0.90098584	0.9275959	0.9314609	0.9472077	0.9433593	0.90589905	0.95380235	0.9779851	0.9117717	0.8956469	0.8914385	0.8999784	0.95704406	0.9410515	0.90550774	0.82266295	0.9449897	0.90958005	0.93401307	0.9195823	0.928425	0.94882447	0.920115	0.85960674	0.92618	0.9024111	0.9090187	0.82943165	0.9500877	0.92288864	0.9326722	0.92787427	0.9291115	0.92180765	0.94051373	0.90118647	0.928169	0.9484787	0.9286164	0.90069634	0.958937	0.96584713	0.91072905	0.8732783	0.9129536	0.930936	0.93927854	0.9323553	0.91850054	0.9291018	0.94785064	0.9285927	0.928584	0.8834159	0.8787053	0.9367229	0.9186857	0.96078396	0.9435321	0.9083507	0.91669935	0.95132107	0.90335715	0.9185968	0.90937036	0.91426146	0.9268538	0.92389756	0.9506375	0.9593504	0.96225625	0.93595773	0.94771504	0.9114631	0.9195613	0.9259185	0.86329794	0.9359845	0.97654766	0.930827	0.9147634	0.9193829	0.9112841	0.9169977	0.8753936	0.9265986	0.90697163
