	kwetsuur/noun	gezag/noun	voldoende/adv	kom_terug/verb	Amsterdams/adj	cabaretier/noun	ben/verb	samenleving/noun	olie_prijs/noun	thuisploeg/noun	tijdig/adj	36-jarige/adj	onbemand/adj	laat/verb	ziekte/noun	golfer/noun	eveneens/adv	dien/verb	water_kanon/noun	krachtig/adj	enigszins/adv	kerk_toren/noun	Amerikaans/adj	meteen/adv	word/verb	waarschijnlijk/adj	Champions/noun	populatie/noun	lies_blessure/noun	water_kwaliteit/noun	aandeel_beurs/noun	help/verb	vanochtend/adv	democratie/noun	probeer/verb	nauwelijks/adv	wereld_gemeenschap/noun	misstap/noun	meer/adv	rij_richting/noun	tijd/noun	systeem/noun	bevolking_groep/noun	veiligheid/noun	naai/verb	schade/noun	doelman/noun	norm/noun	hart_operatie/noun	goed/adj	woning/noun	wonderbaarlijk/adj	politiek/noun	gemeente/noun	euvel/noun	staat/noun	wegdek/noun	veerkrachtig/adj	snel/adj	onmiddellijk/adj	weeg/verb	verbetering/noun	fiets/noun	geschonden/adj	vervolgens/adv	paars_wit/adj	moet/verb	geloof/noun	licht/adj	schouder_blessure/noun	reputatie/noun	situatie/noun	help_mee/verb	toestand/noun	gebied/noun	kosten/noun	opnieuw/adv	orde/noun	alles/noun	zodanig/adj	onafhankelijkheid/noun	oud/adj	lijk/verb	thuis/adv	afgelopen/adj	verbeter/verb	kliniek/noun	kan/verb	geraakt/adj	patiënt/noun	mogelijk/adj	gebouw/noun	wil/verb	economie/noun	bezoeker/noun	niet/adv	voorlopig/adj	trauma/noun	letsel/noun	eventueel/adj	allicht/adv	reliëf/noun	herneem/verb	beurs_fonds/noun	contract_uur/noun	consumentenvertrouwen/noun	pas_aan/verb	rust/noun	griep_aanval/noun	eer/noun	echter/adv	nog/adv	kiezer/noun	fout_DIM/noun	zuiverheid/noun	fonds/noun	evenwicht/noun	koers_val/noun	oorspronkelijk/adj	spel_maker/noun	breuk/noun	momenteel/adj	middag/noun	contact/noun	zal/verb	stijl/noun	ingreep/noun	lever_in/verb	wat/adv	voet_blessure/noun	effect_beurs/noun	operatie/noun	autonomie/noun	vanmiddag/adv	volk/noun	mede/adv	markt/noun	ere/noun	aan/adj	electrisch/adj	enkel_blessure/noun	gezondheid_probleem/noun	glorie/noun	ploeg/noun	strand/verb	knie_operatie/noun	geleidelijk/adj	helemaal/adv	op_doffer/noun	middenvelder/noun	iets/adv	net/adv	tijdelijk/adj	blijk/verb	maand/noun	weer/adv	leiding/noun	winstwaarschuwing/noun	ziekenhuis/noun	pas/adv	spectaculair/adj	laat/adj	intussen/adv	natuur/noun	opening_fase/noun	opereer/verb	gisterenavond/adv	voldoende/adj	lever/noun	terug/adv	slecht/adj	redelijk/adj	land/noun	vergeef/verb	vrijwel/adv	geloofwaardigheid/noun	geheel/adj	installatie/noun	griep/noun	bilateraal/adj	balans/noun	vanzelf/adv	sars/noun	blessure/noun	traditie/noun	kraan/noun	gisteren/adv	normaal/adj	patiënte/noun	val_partij/noun	dak/noun	termijn/noun	sluit_post/noun	muur/noun	nodig/adj	vertrouwen/noun	volledig/adj	onderhoud/verb
kwetsuur/noun	0.0	0.9454168	0.87895435	0.57331264	0.9474964	0.882978	0.7809014	0.92807204	0.8763001	0.6306088	0.618832	0.77009547	0.94359	0.69634837	0.561287	0.86958647	0.5992142	0.7639742	0.95176667	0.90043646	0.8405128	0.94666386	0.9748625	0.71999526	0.8054997	0.6564378	0.96926516	0.86381495	0.33434653	0.92016184	0.9397024	0.8726563	0.89197963	0.9718416	0.8816535	0.7391864	0.92697394	0.8941661	0.8205372	0.9467338	0.7387067	0.9018583	0.89627147	0.91379285	0.8000119	0.778886	0.46082813	0.96827656	0.77199316	0.8520344	0.90049523	0.70041317	0.93439555	0.96195596	0.80539364	0.9484749	0.8569394	0.8136271	0.75575954	0.80732787	0.74512935	0.89386004	0.78908026	0.912433	0.8219994	0.811805	0.75225174	0.9622603	0.5379975	0.24832302	0.9351224	0.9388099	0.9615996	0.868803	0.92745596	0.90155256	0.6573628	0.86810386	0.90075386	0.8762573	0.93719935	0.75907266	0.59905756	0.78729844	0.8608376	0.9302948	0.7406335	0.8247119	0.8397343	0.73138094	0.8577731	0.91890275	0.92570364	0.9277083	0.66147494	0.840158	0.7369672	0.66913426	0.45658463	0.7901784	0.6219949	0.91681194	0.7087289	0.94067556	0.74192286	0.91143584	0.8908904	0.5070646	0.6165722	0.9600097	0.705763	0.71996486	0.90475553	0.79414344	0.9620899	0.92503947	0.78795207	0.9568367	0.93009925	0.6667431	0.49058127	0.74234843	0.75886613	0.9575263	0.8808487	0.88657576	0.814581	0.890883	0.81151503	0.5290654	0.9307428	0.68109107	0.9701603	0.84490615	0.9687195	0.8178931	0.918119	0.92122614	0.83850837	0.89360595	0.44752938	0.69085705	0.8911957	0.688632	0.74951285	0.73571664	0.8433435	0.7460009	0.7417642	0.5406958	0.8337174	0.5689163	0.8138828	0.71886456	0.77687955	0.7416167	0.82862383	0.92737055	0.596804	0.57405216	0.6900972	0.7656312	0.80431724	0.8970713	0.78551704	0.63097227	0.82437813	0.5480157	0.798096	0.5617473	0.9024303	0.8484689	0.94733495	0.9067377	0.80910623	0.95904356	0.92858285	0.9619492	0.44144654	0.9539138	0.81726193	0.8319266	0.77456427	0.3598383	0.88975966	0.95263577	0.71802276	0.83389187	0.75919616	0.4647417	0.9537268	0.927346	0.7672102	0.91801417	0.8603764	0.8917918	0.72564006	0.9132079
gezag/noun	0.9454168	0.0	0.8383856	0.8953189	0.91661894	0.90034705	0.78654486	0.5767809	0.89828885	0.8936871	0.8620128	0.9638475	0.92981017	0.86854315	0.8737834	0.914013	0.9097367	0.6183487	0.8379172	0.70486116	0.8034806	0.9638471	0.74215114	0.8320262	0.7546809	0.819855	0.9711031	0.7513062	0.9160867	0.85280126	0.8946965	0.8239355	0.9164711	0.3874973	0.783082	0.82695556	0.6483592	0.89071476	0.80178785	0.93750024	0.90889204	0.71963394	0.6513115	0.60137975	0.9253207	0.7990296	0.9429113	0.69646966	0.91381	0.8841928	0.89630765	0.92125547	0.45216393	0.86214936	0.849243	0.6168729	0.91539955	0.8731738	0.87158823	0.8099192	0.9036097	0.859256	0.9591205	0.62037814	0.87024784	0.91005903	0.7460277	0.5829201	0.9387152	0.9319395	0.58696854	0.8560552	0.9049448	0.8821806	0.5556135	0.9407797	0.7992685	0.68656594	0.8585142	0.6482011	0.42662144	0.8905508	0.8662782	0.9563027	0.96074414	0.8030429	0.8770246	0.84269685	0.81027454	0.78221077	0.7737626	0.91418475	0.8008525	0.7215375	0.9620649	0.7702458	0.77857536	0.8071454	0.9212591	0.8859754	0.9022617	0.877972	0.88147867	0.86773485	0.90214646	0.8254456	0.7743442	0.84718263	0.8714528	0.7437594	0.769493	0.9231852	0.63551515	0.94376737	0.6515896	0.8723422	0.8262052	0.93369204	0.7779702	0.9658242	0.80214727	0.8643118	0.9062805	0.87203	0.74936414	0.7966392	0.7938397	0.86396384	0.83312273	0.8576435	0.9094211	0.7202855	0.6121313	0.81592476	0.5801476	0.81473875	0.7188187	0.7505848	0.82725143	0.89799994	0.89354414	0.88364995	0.8793845	0.89961565	0.93724996	0.93730646	0.77764106	0.85342795	0.9398707	0.9426781	0.9254358	0.96303564	0.7911632	0.87457454	0.95776725	0.7654284	0.77291095	0.9213553	0.89821327	0.8855193	0.91117585	0.95324373	0.8118088	0.8560551	0.9684763	0.78545207	0.9002188	0.8233406	0.86168385	0.8982802	0.84221506	0.7714048	0.5677986	0.92173636	0.8335057	0.41266072	0.6230736	0.9104235	0.90518683	0.8199641	0.8857733	0.79664576	0.77933156	0.894402	0.6563233	0.87242293	0.9065598	0.86401963	0.9033652	0.9592	0.9578634	0.8179571	0.93900853	0.97481847	0.7566239	0.53212404	0.77519614	0.8079822
voldoende/adv	0.87895435	0.8383856	0.0	0.861548	0.94817877	0.982367	0.83958936	0.79832935	0.7645265	0.8879056	0.8415786	0.979809	0.92321485	0.8314656	0.88340944	0.9332776	0.8902221	0.83171326	0.9357787	0.7800821	0.8623744	0.9667903	0.9029556	0.90050447	0.77202857	0.7584021	0.9507523	0.8695891	0.8968309	0.8795639	0.85859966	0.75300956	0.8783324	0.8302727	0.8470873	0.8374452	0.79048413	0.88405067	0.8344507	0.88509	0.9174028	0.87576306	0.8770375	0.7974423	0.93904334	0.8375707	0.88151205	0.8597607	0.8556931	0.90032274	0.9787219	0.8597069	0.793365	0.8876462	0.77178204	0.9218246	0.9208382	0.8611406	0.8064778	0.843008	0.85489994	0.8536363	0.9476941	0.82601	0.8937042	0.9404018	0.66869205	0.89146197	0.79565907	0.90120924	0.92082363	0.85470605	0.8938028	0.7673868	0.8922429	0.7383535	0.82512206	0.8079441	0.8302129	0.8730631	0.9398505	0.8630687	0.7348248	0.7497631	0.8315047	0.8545011	0.8399064	0.774289	0.93883246	0.70935374	0.80966336	0.90419215	0.85273945	0.7602782	0.9378585	0.8149768	0.8617002	0.9086883	0.760396	0.8764832	0.7891953	0.8455372	0.8191502	0.9764463	0.8418884	0.8568406	0.8413991	0.8146385	0.7684807	0.97215503	0.7620828	0.8620565	0.7574522	0.90078354	0.8671137	0.8946254	0.8663375	0.9236076	0.8496751	0.92276937	0.7762115	0.71860254	0.8739882	0.88834137	0.72514033	0.84367216	0.66003096	0.90669656	0.832099	0.7559281	0.89692265	0.6405823	0.9904167	0.8633502	0.8988213	0.9006243	0.8592352	0.9005844	0.83435625	0.9342723	0.74303114	0.80624086	0.8513382	0.9105127	0.9424074	0.71415895	0.80986947	0.8245438	0.9125869	0.84493876	0.84244734	0.87114835	0.78018814	0.84549433	0.80779064	0.7863705	0.7901614	0.88439965	0.75207114	0.6926003	0.9108975	0.82968694	0.7964474	0.8764255	0.9559174	0.68440986	0.7636155	0.766465	0.89128304	0.741394	0.9398458	0.77113324	0.9194984	0.8747455	0.86730194	0.84089243	0.81634694	0.88676715	0.86880994	0.8462761	0.84154946	0.83672845	0.87466073	0.8301424	0.7556616	0.9219824	0.8616466	0.6895701	0.6721709	0.8820983	0.9568045	0.76675963	0.7358782	0.98267484	0.60069275	0.8400631	0.7723981	0.9333558
kom_terug/verb	0.57331264	0.8953189	0.861548	0.0	0.9405044	0.9210621	0.75330204	0.8491994	0.8866678	0.7107719	0.7381242	0.8651759	0.9878111	0.7031621	0.5863875	0.89610684	0.71823525	0.7685744	0.98817426	0.91204333	0.7730632	0.94332594	0.9099864	0.74913585	0.75761783	0.63884324	0.8955702	0.82575303	0.59694624	0.97403985	0.903894	0.83118516	0.8647926	0.9166374	0.75716215	0.6396366	0.92301947	0.78183407	0.77914315	0.93685055	0.55718815	0.8437015	0.92185336	0.94023216	0.7965741	0.91348785	0.56546223	0.9599234	0.9023868	0.80787504	0.9804108	0.7992453	0.9182354	0.9735931	0.73784894	0.9476372	0.95875645	0.87434834	0.6814471	0.8387978	0.8248534	0.9320729	0.8292919	0.84308046	0.7532297	0.8545711	0.69855475	0.82906544	0.562222	0.6095437	0.95717657	0.8930937	0.9668226	0.8910014	0.8713176	0.930931	0.5451611	0.80216354	0.75221646	0.883771	0.9665933	0.74242926	0.5464784	0.7618232	0.80174243	0.90697837	0.8708096	0.6690717	0.8166418	0.7977738	0.75034827	0.9396724	0.89452547	0.73490715	0.7227925	0.7551545	0.65904236	0.8361136	0.7548495	0.84129095	0.63037395	0.9595056	0.63106513	0.95781404	0.7646593	0.8946595	0.8765326	0.54942745	0.7887466	0.8377036	0.6414655	0.63777626	0.904589	0.76619184	0.88021487	0.92728925	0.7363305	0.92499334	0.9110886	0.727708	0.7508148	0.65302175	0.700827	0.94725585	0.68899405	0.9056705	0.7930417	0.89719486	0.7344554	0.79279715	0.9193752	0.6793221	0.9581602	0.84158504	0.8062674	0.723312	0.83098507	0.87831	0.80576766	0.93133104	0.70866036	0.8395487	0.86492026	0.6703576	0.7973848	0.74582684	0.7949814	0.6334444	0.6167977	0.6268472	0.70168257	0.59165514	0.83998364	0.591846	0.6196481	0.5584436	0.9097835	0.89715946	0.6825577	0.44178683	0.87592775	0.7179629	0.7850324	0.8359679	0.66385233	0.7522473	0.88445634	0.68435085	0.85804117	0.3881517	0.8897283	0.87189865	0.9407287	0.8546937	0.81382895	0.9498986	0.8673812	0.98033345	0.5833284	0.9838839	0.88225394	0.7152226	0.8430763	0.57939297	0.9554984	0.8873912	0.8194896	0.6939882	0.866379	0.5929978	0.9649303	0.85173905	0.9124514	0.87405664	0.80279845	0.8072352	0.703575	0.95678025
Amsterdams/adj	0.9474964	0.91661894	0.94817877	0.9405044	0.0	0.8464556	0.88272846	0.88376987	0.6512803	0.97940916	0.8557446	0.86768126	0.9438935	0.81172585	0.9578664	0.7439225	0.5902325	0.8446937	0.8615475	0.86349	0.6771718	0.97986394	0.46361476	0.9222694	0.8805595	0.8947107	0.8698931	0.8446908	0.9630377	0.9929374	0.543774	0.93848157	0.2772985	0.92917013	0.9522094	0.6806973	0.9257373	0.9849303	0.973738	0.9936809	0.93144435	0.98646104	0.95411724	0.9579539	0.914174	0.8752276	0.9585801	0.94634265	0.9461589	0.89810276	0.93496585	0.91181344	0.8996306	0.96159995	0.954163	0.936793	0.9813231	0.91843355	0.93746877	0.8885473	0.84468657	0.92160594	0.9923396	0.8633212	0.85662675	0.9294144	0.88905597	0.9224343	0.76975405	0.96636474	0.97096395	0.90293	0.8031131	0.89336574	0.9099721	0.961809	0.73650086	0.95621836	0.98408276	0.8751784	0.9556503	0.9177778	0.76410306	0.96915334	0.6128454	0.8935998	0.90870434	0.970998	0.8286324	0.93752307	0.92559624	0.95696825	0.9470623	0.78758866	0.98874205	0.98106027	0.87674654	0.96903765	0.9550559	0.9472372	0.95255315	0.98313904	0.88806003	0.30851388	0.92271906	0.80782175	0.9546743	0.9726444	0.9618988	0.93755233	0.9064435	0.91188955	0.951077	0.98118603	0.9580659	0.32620728	0.87076706	0.3489377	0.95463103	0.91154706	0.9128588	0.87520057	0.83307403	0.9756641	0.8971356	0.9261091	0.9474028	0.39624536	0.9481713	0.932732	0.4187867	0.8847142	0.9501564	0.49708533	0.9640199	0.6881817	0.6178174	0.91148865	0.95562726	0.95662856	0.92257607	0.9803413	0.9716396	0.97193134	0.8311373	0.9580886	0.77977455	0.9701421	0.96245795	0.93008196	0.71839994	0.94580257	0.784011	0.8110613	0.8307068	0.7919318	0.93382984	0.38320625	0.90334284	0.89161545	0.80679965	0.9262558	0.8400229	0.95384634	0.9684974	0.79974705	0.9646173	0.9007777	0.95269275	0.9648167	0.7337114	0.82644784	0.8770208	0.9810829	0.57894075	0.9190119	0.85374856	0.95648074	0.945912	0.9737201	0.93073916	0.90610796	0.9438477	0.9619036	0.93799835	0.92845935	0.47507328	0.91652673	0.9078136	0.9695932	0.9037885	0.91699314	0.9127698	0.9548847	0.93119586	0.8147296	0.93349266	0.94836074
cabaretier/noun	0.882978	0.90034705	0.982367	0.9210621	0.8464556	0.0	0.8853802	0.91320515	0.9525242	0.96594995	0.9243349	0.70176524	0.96776253	0.9264943	0.90070933	0.8023571	0.8682629	0.90489006	0.9648794	0.92244947	0.94156456	0.99162453	0.9808976	0.97354156	0.8720279	0.95243204	0.98963535	0.8205367	0.9899004	0.90561783	0.88787794	0.9768495	0.8910806	0.93017364	0.9712588	0.90773904	0.9617126	0.99696535	0.92812186	0.98776054	0.9636091	0.86077636	0.9110431	0.9716796	0.99422044	0.96121544	0.8711831	0.9929826	0.97527266	0.964568	0.8989399	0.8427198	0.93174946	0.9821644	0.90434057	0.93314797	0.98151267	0.9681995	0.9750571	0.9526915	0.9372723	0.9991079	0.9196188	0.92508227	0.94459754	0.95712847	0.9683761	0.9947947	0.94529164	0.97439617	0.850488	0.89926136	0.9765145	0.91978675	0.97566867	0.9795481	0.9529725	0.9167947	0.8929172	0.7276183	0.9904973	0.96815234	0.9347567	0.9876965	0.9308058	0.9068791	0.95979494	0.9655787	0.98087347	0.93356514	0.9682958	0.9757646	0.9836094	0.93721783	0.9482227	0.9300364	0.98618406	0.9611771	0.96395254	0.99037474	0.9231765	0.96385086	0.96058804	0.91300035	0.98914194	0.8977212	0.8494252	0.992216	0.9912235	0.86417407	0.8998672	0.9500771	0.94248015	0.98090863	0.9527915	0.88642806	0.8979906	0.93174195	0.976556	0.8200289	0.9975525	0.90380585	0.94148713	0.9621189	0.939171	0.94710565	0.98815143	0.9396908	0.9626309	0.8486693	0.8660555	0.95749724	0.9973484	0.8549468	0.9439492	0.9321092	0.94980264	0.9660489	0.9359952	0.8700554	0.9726349	0.9178501	0.87370825	0.96091276	0.8473644	0.97639287	0.9524614	0.9500288	0.9981371	0.8541534	0.8783229	0.96820605	0.956007	0.95455986	0.9778843	0.90577835	0.9094196	0.9344955	0.93329906	0.9441548	0.9859195	0.9357031	0.9222243	0.97985107	0.9861678	0.93099666	0.96408486	0.99126846	0.87194103	0.9617754	0.9550085	0.9347353	0.94753665	0.8952902	0.84883153	0.9348002	0.92757976	0.93273526	0.9605233	0.98903567	0.957746	0.7844368	0.95095134	0.9168738	0.94971085	0.8749392	0.8695105	0.9228475	0.8363239	0.9642623	0.9628089	0.9580267	0.7572454	0.9627811	0.9834516	0.9364904	0.95836824	0.89468473
ben/verb	0.7809014	0.78654486	0.83958936	0.75330204	0.88272846	0.8853802	0.0	0.78501576	0.78777134	0.8378949	0.7002039	0.8302668	0.91409314	0.8428107	0.84775937	0.89010155	0.8088943	0.7421174	0.88275373	0.66885173	0.7479454	0.91611874	0.84474236	0.78003454	0.7204894	0.6727855	0.92428124	0.61293566	0.76272905	0.63117605	0.7730144	0.8012631	0.84578305	0.8064516	0.6879345	0.6986678	0.808868	0.7461371	0.6389024	0.82416177	0.54259384	0.72891253	0.73233724	0.6459042	0.93057835	0.851852	0.846144	0.76358527	0.61329067	0.6964457	0.8699533	0.84002644	0.8452431	0.8807986	0.69168067	0.79643863	0.7811271	0.8797283	0.5905775	0.7894299	0.6923615	0.730986	0.84424293	0.8212358	0.8194041	0.8110918	0.7509136	0.825786	0.7272723	0.7514363	0.82192403	0.64715815	0.8423384	0.7519586	0.7450057	0.7902472	0.64547765	0.6388203	0.6239754	0.7311205	0.9021655	0.8476888	0.38886648	0.7484199	0.81959206	0.7034724	0.8915363	0.648862	0.87941766	0.7716685	0.75652933	0.7911121	0.7753588	0.6362304	0.9193742	0.5446487	0.66660595	0.8975758	0.8425258	0.7459825	0.832254	0.83178276	0.6907495	0.82412535	0.879107	0.79724973	0.7022846	0.7710941	0.70905507	0.94940317	0.532565	0.5138124	0.68036985	0.77969384	0.8690903	0.70801115	0.77381885	0.864205	0.84826076	0.85336274	0.7814764	0.7343366	0.8115324	0.87023187	0.59659207	0.7639135	0.6507009	0.87338734	0.7289448	0.812848	0.87761796	0.7518444	0.88219523	0.7965936	0.749999	0.78020185	0.7543265	0.86428237	0.79642445	0.90595835	0.7237092	0.74719197	0.88485223	0.66944814	0.87246835	0.76065975	0.7040191	0.601688	0.8506161	0.8685563	0.63809246	0.712499	0.7651298	0.3857476	0.7678387	0.58308816	0.87951595	0.8557005	0.79319096	0.75066614	0.7583712	0.7983331	0.66748726	0.62148654	0.8082505	0.79296875	0.88136303	0.7359458	0.80133927	0.7440967	0.7422992	0.67284703	0.7867315	0.8032758	0.7414203	0.8637849	0.7119964	0.8542501	0.8039546	0.87144256	0.75053895	0.7236786	0.8516744	0.73714507	0.8335985	0.8396114	0.8828553	0.49601358	0.86051977	0.8392401	0.90603924	0.62475955	0.8159571	0.89545286	0.7898502	0.69981456	0.77248585	0.83829004
samenleving/noun	0.92807204	0.5767809	0.79832935	0.8491994	0.88376987	0.91320515	0.78501576	0.0	0.8994678	0.93090916	0.83361495	0.9597663	0.8907523	0.8977902	0.89302415	0.826842	0.83254445	0.59446585	0.90884835	0.6965757	0.64324725	0.97210693	0.66076857	0.9615626	0.7771101	0.89703655	0.87666434	0.75223184	0.98113674	0.79108864	0.8584574	0.72609097	0.9396924	0.39024305	0.71668184	0.7487791	0.5995228	0.9465637	0.8048243	0.92499703	0.85803264	0.63055146	0.5271275	0.6129747	0.9216892	0.8405561	0.9687442	0.49633068	0.9504253	0.7917814	0.8683522	0.83602214	0.45566285	0.87620693	0.8568803	0.5981093	0.829265	0.73934174	0.7560259	0.8312937	0.8694412	0.8461918	0.9626262	0.6621876	0.80922306	0.85214496	0.67881095	0.40937418	0.8733394	0.9527837	0.8163033	0.75417805	0.7772098	0.7955742	0.5873592	0.8675877	0.8547591	0.66703975	0.8346794	0.56733346	0.76552296	0.84040266	0.8054321	0.97125906	0.8991471	0.7307782	0.85873085	0.7591165	0.854914	0.84613824	0.8257092	0.83394885	0.80655634	0.46328968	0.91735643	0.82120264	0.87354743	0.7994206	0.92174774	0.85380924	0.9280367	0.86022395	0.9120427	0.8708536	0.9031274	0.7622874	0.70099354	0.89369106	0.9463561	0.90460074	0.8237006	0.9040449	0.60609925	0.9397785	0.6649225	0.8702923	0.67105556	0.93241894	0.74334085	0.90138614	0.8513617	0.92606914	0.93003166	0.7866459	0.79092515	0.7449358	0.881767	0.94824326	0.7789862	0.9521585	0.8896162	0.8676091	0.7525921	0.86695206	0.49632406	0.83327174	0.6818553	0.78807914	0.93243986	0.91831756	0.9172342	0.94652855	0.91846836	0.80454636	0.9410245	0.96851975	0.7579912	0.9066991	0.9595253	0.9596591	0.7512702	0.8891088	0.8796153	0.8059766	0.9790652	0.79890394	0.8394	0.8926715	0.9118936	0.9559819	0.8937363	0.9801432	0.81877905	0.6666086	0.95450044	0.84976494	0.9693714	0.83621997	0.8089577	0.8974069	0.85600376	0.6694973	0.5733525	0.95242	0.7290083	0.593154	0.612622	0.8360018	0.9544126	0.7205596	0.68435675	0.7547997	0.88167703	0.9402057	0.5879854	0.93245876	0.9325657	0.77706987	0.9487343	0.93349344	0.9495601	0.7630741	0.81143904	0.8806023	0.8139777	0.58692193	0.85752994	0.8402921
olie_prijs/noun	0.8763001	0.89828885	0.7645265	0.8866678	0.6512803	0.9525242	0.78777134	0.8994678	0.0	0.8706819	0.8544395	0.91992027	0.8846239	0.81983745	0.9396194	0.8794154	0.6648927	0.87058794	0.9155743	0.683627	0.70042056	0.9558518	0.5913057	0.87946266	0.7303841	0.7212291	0.9424098	0.866835	0.81542027	0.8600611	0.45006222	0.7308934	0.49920475	0.88780814	0.86809564	0.74488974	0.85684395	0.9542613	0.91152364	0.9221228	0.7949068	0.8674391	0.928431	0.9129493	0.9563785	0.8000257	0.91350573	0.96153647	0.88831544	0.85436076	0.9439705	0.73992074	0.8698868	0.8613751	0.7855124	0.88546926	0.8967056	0.75080115	0.71829796	0.8478992	0.51637244	0.69590765	0.9150509	0.7983247	0.83195	0.90635145	0.7459921	0.92447174	0.7116338	0.89867437	0.88937896	0.81248134	0.6961028	0.83368915	0.9620818	0.7591672	0.6663919	0.86173487	0.90651786	0.8285176	0.9474027	0.8603692	0.68727463	0.8353589	0.5129038	0.69205695	0.967602	0.78734475	0.87179375	0.911874	0.809306	0.91303456	0.79333013	0.5277872	0.94481224	0.9288306	0.871698	0.9295341	0.8542651	0.8467198	0.79874474	0.87641966	0.74424595	0.61089	0.7587594	0.43094724	0.81653166	0.889674	0.73736066	0.9366017	0.7776647	0.7630397	0.92075866	0.9195514	0.95161724	0.40843213	0.78982013	0.4969175	0.90734	0.88929415	0.930409	0.8299811	0.6894754	0.9235521	0.6774548	0.8855547	0.8223937	0.56758356	0.74616724	0.72392404	0.46675432	0.84433573	0.9325351	0.6372778	0.9392047	0.6662562	0.46434265	0.92280936	0.7971498	0.9133564	0.7454388	0.82849383	0.8867609	0.926808	0.82969785	0.77604693	0.70081	0.9141597	0.87893033	0.91765356	0.60623145	0.910074	0.7704504	0.73970944	0.5761864	0.687009	0.8457905	0.3446843	0.92998874	0.7900436	0.6895293	0.75846505	0.7608	0.8962788	0.8558682	0.8675474	0.8448658	0.8806201	0.92310894	0.8836262	0.7488798	0.68019265	0.8698569	0.9454373	0.7846204	0.9194161	0.90794146	0.8901445	0.85130554	0.88623494	0.78558606	0.86130613	0.8568128	0.76198447	0.9332381	0.8551904	0.53134084	0.7329876	0.94535005	0.9086733	0.9304646	0.67733073	0.8948511	0.9716328	0.8771547	0.753982	0.88861436	0.9436632
thuisploeg/noun	0.6306088	0.8936871	0.8879056	0.7107719	0.97940916	0.96594995	0.8378949	0.93090916	0.8706819	0.0	0.8669721	0.7996312	0.96855783	0.54230416	0.9178361	0.90624326	0.77724755	0.84527147	0.8861902	0.8659416	0.66851115	0.9582689	0.98671174	0.44813693	0.80057555	0.79808533	0.80773675	0.86300963	0.7423553	0.92869234	0.92632806	0.89199495	0.8869501	0.9610403	0.74027747	0.7079653	0.9250941	0.7130363	0.7342664	0.9583319	0.81322396	0.8653813	0.87089187	0.8548895	0.91695696	0.8017485	0.4291302	0.9431428	0.92156893	0.76467013	0.97356784	0.8433114	0.96158	0.98037386	0.7614602	0.9806889	0.9383082	0.8461356	0.6990621	0.7425498	0.86161345	0.8721398	0.8910422	0.85774696	0.7647667	0.5576844	0.79415905	0.9670499	0.7954531	0.7655103	0.8069567	0.8928261	0.9104963	0.9197136	0.9542973	0.9427462	0.63318247	0.74333876	0.84136665	0.87130034	0.959124	0.90632993	0.69096595	0.8244505	0.8828823	0.89671904	0.9474905	0.7369778	0.7534275	0.92901915	0.8364159	0.9626781	0.86695904	0.8611618	0.23965293	0.7792028	0.7451478	0.90555185	0.8068955	0.90505934	0.6570187	0.9120551	0.74500155	0.9505735	0.73106194	0.9336258	0.8716124	0.32823092	0.7935905	0.87803715	0.55042505	0.6725746	0.897512	0.49436957	0.86775446	0.96254385	0.56473833	0.9285634	0.8897029	0.60898936	0.8692422	0.8034048	0.7996006	0.8869133	0.8320474	0.89934444	0.9022527	0.81437707	0.6685221	0.75218034	0.8890482	0.87459004	0.9358444	0.8779583	0.9674563	0.83784497	0.8550818	0.9280627	0.7745977	0.92574364	0.6651902	0.9103134	0.8091729	0.37087035	0.65782106	0.70642245	0.7394582	0.75344193	0.31860924	0.6787654	0.76512444	0.50158286	0.92390156	0.7635727	0.874379	0.6208925	0.8369093	0.95970094	0.9196439	0.62736523	0.807037	0.7697006	0.8446546	0.7724147	0.63809407	0.8424463	0.7359463	0.7568086	0.85632783	0.72645724	0.86528635	0.7046565	0.9420491	0.78138417	0.82228166	0.9125674	0.9346895	0.9590387	0.8548505	0.8995592	0.71346146	0.7965389	0.95956457	0.6515112	0.8978231	0.9031804	0.7673595	0.75915396	0.9826623	0.8757722	0.9446126	0.8984696	0.89739877	0.9261931	0.75546706	0.81677103	0.80278206	0.9545418
