	Al/det	Belgisch/adj	Francesco/name	afloop/noun	al/adv	alle/det	alles/noun	ballast/noun	beetje/noun	bel_af/verb	belangstellende/noun	ben/verb	benzine/noun	besta/verb	beterschap/noun	bevat/verb	bevrediging/noun	bied/verb	blijf/verb	blijk/verb	boodschap/noun	breng/verb	conflict/noun	daarmee/pp	dag/noun	de/det	die/det	ding/noun	doe/verb	droom/noun	druk_in/verb	druk_uit/verb	een/det	einde/noun	ellende/noun	en/vg	enig/adj	enig/det	ervaring/noun	flauw/adj	geduld/noun	geef/verb	geef_op/verb	geef_uit/verb	geen/det	geld/noun	gelijkmaker/noun	geloof/noun	geluk/noun	gelul/verb	genees_middel/noun	genezing/noun	gezeur/noun	gloor/verb	goed/adj	gooi/verb	groei/verb	groot/adj	haar/det	heb/verb	heb_op/verb	heel/adj	hele/adj	herstel/noun	herstructurering/noun	horizon/noun	hulpverlener/noun	hun/det	ijdel/adj	in/prep	in/verb	incasseringsvermogen/noun	injecteer/verb	inspireer/adj	kabaal/noun	kennis/noun	kind_DIM/noun	koers_stijging/noun	koester/verb	koop/verb	krijg/verb	laat/adj	laat/verb	leef_op/verb	leer/verb	leven_DIM/noun	licht_DIM/noun	liefde/noun	lig/verb	lijk/verb	loop_mis/verb	loot/noun	materiaal/noun	meer/det	mens/noun	mijn/det	nauwelijks/det	nieuw/adj	ondanks/prep	ons/det	ontleen/verb	ontneem/verb	onzin/noun	op/prep	oppositie/noun	overlast/noun	overleving/noun	pelgrim/noun	plaats_DIM/noun	poen/noun	pril/adj	puin/noun	put/verb	rechtvaardig/verb	redding/noun	renner/noun	rente/noun	reëel/adj	rijs/verb	rommel/noun	rotzooi/noun	rumoer/noun	rust/noun	scheel/verb	schenk/verb	schep/verb	schiet_af/verb	slordig/adj	solidariteit/noun	sprankje/noun	spreek_uit/verb	staal/noun	staar/verb	stang/noun	stel/verb	sterf/verb	sterk/verb	stil/adj	teken/noun	telefoon_gesprek/noun	terug_match/noun	tijd/noun	toekomst/noun	toepassing/noun	troost/noun	tussen/prep	uit_weg/noun	vaag/adj	vals/adj	veeg/verb	veel/adj	veel/det	verandering/noun	verbetering/noun	verdriet/noun	verg/verb	verlies/verb	verlossing/noun	vertrouwen/noun	verwachting/noun	vestig/verb	vod/noun	voor/prep	vooral/adv	vrede/noun	vrede_regeling/noun	vrees/noun	vreugde/noun	vurig/adj	waai_over/verb	waarheid/noun	wanhoop/noun	wat/det	weer/adv	weinig/adj	weinig/det	wek_op/verb	werk/noun	zegen/noun	zet/verb	zie_tegemoet/verb	zijn/det	zonder/prep	één/num
Al/det	0.0	0.8393121	0.89620423	0.8821311	0.9156229	0.8217699	0.91812986	0.927016	0.88102806	0.9331266	0.89555377	0.84305453	0.92677647	0.8475882	0.9186252	0.8686616	0.9302871	0.8585336	0.87886006	0.90552187	0.91122055	0.891684	0.89070475	0.8667306	0.90682733	0.8107737	0.83730376	0.9301925	0.9244981	0.88535684	0.8960168	0.86949104	0.7782196	0.9301475	0.9020964	0.78616565	0.843287	0.8458903	0.8829911	0.89527255	0.8994875	0.8796348	0.8746699	0.89671063	0.8436193	0.92180383	0.92328966	0.8636582	0.89004457	0.95339644	0.92473185	0.9041769	0.91327655	0.93527764	0.8822898	0.9008501	0.91067916	0.89358556	0.8406098	0.8854737	0.8868331	0.8774099	0.9150836	0.9074599	0.90190095	0.88747215	0.8867459	0.8187374	0.8887753	0.88031363	0.890292	0.9466729	0.94380796	0.8797875	0.9239112	0.8769298	0.88435125	0.8981092	0.860078	0.8927135	0.9018008	0.8878858	0.91739655	0.9216539	0.88862884	0.89556617	0.91523856	0.85495913	0.9214521	0.8729123	0.8890487	0.9401366	0.8896035	0.88662934	0.89916813	0.87543654	0.8750059	0.8590761	0.87774223	0.81679964	0.87045074	0.87072	0.8808934	0.90078276	0.9034902	0.905456	0.9445773	0.8858907	0.9215456	0.95000297	0.8810773	0.9258638	0.8767021	0.8685754	0.89913785	0.8938968	0.9300651	0.89249474	0.8976222	0.9144717	0.89167106	0.94180584	0.9303338	0.9155355	0.86314714	0.8881464	0.8871098	0.8922198	0.8941451	0.9546726	0.89190906	0.9113542	0.8943381	0.92624825	0.888889	0.909318	0.9190989	0.9044642	0.90145993	0.89974666	0.9391049	0.9098262	0.9112615	0.90613794	0.8604994	0.8797901	0.9103911	0.8618448	0.8886364	0.90497214	0.88319516	0.8627455	0.91693616	0.90597904	0.8752945	0.87765396	0.9292672	0.8971213	0.91851985	0.9274174	0.91392636	0.9363446	0.8059386	0.84773505	0.891087	0.923362	0.8924343	0.8702942	0.8841226	0.9283236	0.89450175	0.87824416	0.86413395	0.8829723	0.871957	0.88207287	0.89153606	0.86247534	0.89442897	0.92821425	0.90292466	0.8364825	0.8556391	0.8555426
Belgisch/adj	0.8393121	0.0	0.9129374	0.89500743	0.8803165	0.7828897	0.9405307	0.95981205	0.9138182	0.9592909	0.91474426	0.88580954	0.9174602	0.829936	0.9272838	0.8522762	0.96491957	0.8371871	0.86778545	0.86010116	0.89183307	0.86444294	0.8516117	0.77576077	0.9122332	0.62996644	0.8572221	0.94932497	0.93107957	0.8955168	0.9343042	0.90467185	0.79605216	0.87452394	0.92103225	0.77996373	0.8024658	0.85742825	0.8616005	0.93847567	0.9052186	0.91004133	0.80558836	0.81028384	0.88334876	0.8533432	0.94492936	0.91183907	0.9356984	0.9516964	0.88427657	0.9614	0.95432264	0.9128541	0.8922789	0.8969495	0.82037735	0.7987547	0.8523642	0.83636063	0.87491536	0.84519637	0.94891036	0.85983855	0.8375766	0.9292966	0.8738085	0.7897397	0.9356862	0.7753447	0.8553845	0.9631417	0.91052735	0.93052816	0.9646752	0.8655067	0.9116369	0.9136665	0.870554	0.7937254	0.880019	0.8877177	0.883549	0.9308674	0.88883245	0.96273404	0.9455083	0.9233856	0.89020526	0.8738606	0.8145127	0.94173616	0.8897961	0.8422524	0.9292091	0.92391795	0.8908086	0.80045366	0.8255011	0.7733008	0.8978166	0.8837573	0.91659945	0.8532388	0.8678674	0.93252623	0.95638394	0.928022	0.8562846	0.94718456	0.87267244	0.9313554	0.88148046	0.8759384	0.90023655	0.85532665	0.87562	0.8897317	0.88850665	0.9256561	0.94280905	0.9308634	0.94671893	0.93168896	0.84062326	0.88191706	0.9241351	0.91999096	0.8983701	0.9631802	0.84577733	0.87585753	0.9342034	0.96747327	0.87134016	0.88385904	0.90265805	0.892418	0.8882442	0.89763016	0.93959296	0.9166861	0.8594456	0.8844816	0.92123795	0.84779286	0.8881678	0.89862096	0.8475913	0.9206141	0.900699	0.8568444	0.8773607	0.8816993	0.9462367	0.87385976	0.8395371	0.96036476	0.88619804	0.8338789	0.77100134	0.96211225	0.7768556	0.7964041	0.88925034	0.9702589	0.8546833	0.9159498	0.92248	0.89600915	0.93716574	0.9258907	0.890612	0.9091989	0.895102	0.8638118	0.91706574	0.88688457	0.87592185	0.9207989	0.8956801	0.8377632	0.84865105	0.8340191
Francesco/name	0.89620423	0.9129374	0.0	0.9249296	0.9431115	0.92076194	0.9489876	0.9393821	0.94153523	0.960517	0.9390217	0.91897035	0.97175986	0.9560744	0.9462464	0.93278944	0.9827578	0.96398896	0.9233993	0.94726205	0.94099605	0.935694	0.93828464	0.914428	0.95433825	0.8328686	0.92026275	0.9576948	0.9745981	0.94683486	0.9721304	0.9362976	0.88070977	0.9385463	0.939128	0.8715272	0.9145413	0.9268021	0.9255693	0.9584647	0.9420512	0.9522779	0.92451435	0.9447012	0.93890756	0.96924907	0.90157545	0.928841	0.9455194	0.9805922	0.96580577	0.9492311	0.9639975	0.9310122	0.9611446	0.94363683	0.9620043	0.91340005	0.8965017	0.9266519	0.93373954	0.94778824	0.9429243	0.95865864	0.9552891	0.93233305	0.918673	0.90974087	0.90550137	0.9151584	0.92738646	0.97456276	0.9609556	0.9079145	0.96074796	0.91884404	0.9151057	0.9483882	0.8792822	0.94931144	0.93901265	0.900616	0.94748676	0.96002775	0.95137596	0.9450438	0.930809	0.9394761	0.9376216	0.91454023	0.9554704	0.97181994	0.9200883	0.9669326	0.9495332	0.9165547	0.9218526	0.9388612	0.9103965	0.9328436	0.9221073	0.9469081	0.9401217	0.9104976	0.92356247	0.9620861	0.98147976	0.9290839	0.9340541	0.98319906	0.93365693	0.93478394	0.9302091	0.945262	0.9200151	0.86901	0.9736192	0.9618622	0.9479168	0.96766657	0.970041	0.95623875	0.8982319	0.96970004	0.94219345	0.9458487	0.9544936	0.9289363	0.9506868	0.98604405	0.9351867	0.93693656	0.9330927	0.9603599	0.93092513	0.9267265	0.9406998	0.9275157	0.95591813	0.92588353	0.94703174	0.9288519	0.9504622	0.94820964	0.946039	0.93048126	0.9631863	0.926484	0.91744816	0.92068255	0.9395854	0.9440885	0.9662933	0.9779938	0.94727725	0.9326131	0.92474395	0.9613313	0.94802296	0.9711754	0.9315937	0.9667866	0.91571015	0.9231474	0.94006556	0.9895995	0.94002855	0.9251102	0.9062112	0.9701973	0.92588174	0.93429023	0.9278232	0.9421203	0.9504069	0.9504167	0.94532365	0.882608	0.9263159	0.9330007	0.94833773	0.8607395	0.9181752	0.9167464
afloop/noun	0.8821311	0.89500743	0.9249296	0.0	0.8672625	0.84362423	0.85842973	0.9474058	0.7636155	0.9238602	0.87871	0.80240846	0.95102686	0.9183038	0.8571681	0.88639647	0.9553609	0.8895288	0.8676252	0.86420155	0.8640208	0.8999432	0.8742469	0.8901181	0.82389677	0.8348219	0.8274372	0.8712516	0.9052322	0.87275404	0.9176192	0.8602991	0.74698234	0.83126915	0.84216034	0.77536994	0.8816835	0.83231735	0.8546094	0.86713433	0.88904923	0.85665333	0.8637577	0.92392284	0.8375131	0.9407822	0.867686	0.90658647	0.8360504	0.9468837	0.9357053	0.8779362	0.89537275	0.9092013	0.9085903	0.8616323	0.91521966	0.913234	0.7846776	0.8606883	0.87476426	0.80968785	0.9438215	0.9063432	0.9356305	0.90195566	0.85218656	0.8196336	0.89202654	0.8679839	0.8886885	0.9544955	0.94686264	0.88707316	0.89639294	0.8926833	0.8607085	0.94424	0.8774734	0.9205782	0.8402901	0.84559196	0.83069944	0.9218204	0.8911195	0.9332387	0.8949797	0.81939477	0.8867324	0.81498396	0.87978625	0.9556927	0.9164129	0.91589385	0.839941	0.7956688	0.9078218	0.93060035	0.7975404	0.85365605	0.919111	0.89277184	0.86481565	0.8572876	0.83414775	0.9254835	0.95614994	0.8836328	0.9150915	0.95533884	0.90155756	0.87887114	0.8932759	0.8848551	0.8798037	0.83504343	0.95081925	0.9212443	0.8964034	0.9097389	0.8989019	0.905059	0.83365357	0.8637965	0.8419031	0.87878686	0.9058802	0.90466976	0.90287673	0.9325691	0.84658754	0.9161342	0.81236637	0.94964576	0.90852785	0.86305517	0.9048907	0.8069884	0.85500264	0.8928853	0.9275865	0.89362174	0.87187827	0.93248475	0.8564081	0.8924236	0.8840657	0.8812003	0.8605467	0.8745467	0.85913956	0.8621362	0.89813375	0.9206071	0.84208167	0.91649264	0.9050031	0.9130647	0.9076286	0.88006485	0.92537093	0.9180789	0.8290282	0.8596187	0.8618521	0.9487529	0.885984	0.80336094	0.86469185	0.91130036	0.86577016	0.8432039	0.8218405	0.79888785	0.84633815	0.86332697	0.88162374	0.9312762	0.92452765	0.9017449	0.88662845	0.78604484	0.8304053	0.88118225
al/adv	0.9156229	0.8803165	0.9431115	0.8672625	0.0	0.8357378	0.8476258	0.9348628	0.84165597	0.9105899	0.8893558	0.7494644	0.9424686	0.9004743	0.8710557	0.91381437	0.95710886	0.9252497	0.7844211	0.83078265	0.88815325	0.9026199	0.8623286	0.8109722	0.76710606	0.8442476	0.8098747	0.85730845	0.8787879	0.8493802	0.9194847	0.9339251	0.830083	0.85760736	0.86903214	0.86686426	0.8901548	0.7889807	0.8708276	0.900846	0.9069407	0.9157619	0.8684006	0.9112681	0.87631494	0.90267867	0.8929826	0.9060541	0.89422035	0.9476595	0.9106044	0.9217288	0.9192694	0.9431355	0.8730823	0.9124473	0.8941318	0.9039014	0.8576421	0.78067285	0.9085182	0.81678605	0.9388049	0.8579652	0.8604629	0.9314644	0.86822844	0.8391877	0.9120191	0.84747195	0.8859825	0.971483	0.96071625	0.932819	0.9194054	0.8965251	0.8697854	0.9045939	0.89391726	0.90880567	0.8662083	0.7868016	0.8632577	0.9101434	0.87562376	0.90727603	0.89194643	0.88791645	0.88101184	0.79295594	0.87079096	0.9336481	0.8985517	0.87420565	0.84029186	0.86009216	0.87946606	0.85783625	0.7822368	0.8619565	0.9327827	0.91679174	0.895628	0.86605966	0.8750252	0.889596	0.9486302	0.8981428	0.89718926	0.89371294	0.837358	0.9008891	0.9107817	0.9106047	0.88080484	0.85355204	0.9039818	0.8967204	0.8914218	0.9075759	0.92309856	0.9269779	0.8610103	0.8809841	0.91961396	0.9138081	0.9428653	0.8951442	0.9050566	0.9298987	0.9006618	0.93998015	0.91995275	0.9460624	0.90929276	0.874184	0.9052442	0.86804414	0.89589876	0.9209863	0.92127544	0.7159919	0.87915105	0.9124879	0.9252142	0.88146687	0.93157065	0.8803774	0.8792616	0.9176682	0.8327335	0.84901446	0.88050437	0.90181476	0.8828344	0.88257957	0.8945561	0.93677753	0.9044765	0.87773585	0.91298944	0.92721266	0.86701715	0.843049	0.89137423	0.9237975	0.8723029	0.8903502	0.9246665	0.9139207	0.8998359	0.92157805	0.81344974	0.7853035	0.8705629	0.87870276	0.8982953	0.89063346	0.941095	0.9030124	0.9119593	0.84641165	0.8805364	0.86079615
alle/det	0.8217699	0.7828897	0.92076194	0.84362423	0.8357378	0.0	0.7735357	0.8905727	0.8660631	0.9210898	0.85137117	0.7737925	0.8610779	0.69734406	0.8989303	0.69138837	0.92633134	0.73833144	0.8482959	0.7614487	0.8137741	0.8216636	0.8120458	0.76966393	0.8713939	0.6639488	0.6508074	0.8437752	0.90241295	0.8685163	0.87513	0.85550916	0.7427601	0.8933959	0.8473229	0.6696054	0.7090492	0.7313815	0.83926344	0.8912216	0.83151805	0.8071569	0.8164585	0.7883905	0.74476784	0.83383745	0.9257556	0.8063195	0.8795838	0.9379331	0.8210938	0.9016593	0.8828294	0.9302182	0.82589	0.82125556	0.8341292	0.7599193	0.8156928	0.8081785	0.8695781	0.7558304	0.8537972	0.8678138	0.87166804	0.9057091	0.79753757	0.65937966	0.88556176	0.7940977	0.8076318	0.9408041	0.90214944	0.88043636	0.8999395	0.7715751	0.88609874	0.9144749	0.8354487	0.7983379	0.80197096	0.84923893	0.8247727	0.89572126	0.81530684	0.9340629	0.9052765	0.83196163	0.84674615	0.81631243	0.8566923	0.8953414	0.7663071	0.6683293	0.8114302	0.85050523	0.7972137	0.74569166	0.77179414	0.73462	0.8296074	0.80924577	0.8341116	0.8144095	0.83231944	0.8460976	0.921716	0.8664147	0.8600396	0.9077877	0.85080993	0.87606317	0.84124094	0.8146021	0.8821947	0.8311262	0.9017394	0.82860374	0.8363764	0.8705901	0.8675835	0.8818776	0.8910829	0.8435862	0.8162178	0.80305034	0.88737774	0.85646623	0.80486	0.9532758	0.8053049	0.8363389	0.88923794	0.92633885	0.8013229	0.85706663	0.8736404	0.8562783	0.8464611	0.8619862	0.94254214	0.87315077	0.8233571	0.776357	0.86773163	0.7667297	0.8706391	0.8117589	0.77347267	0.8511737	0.7652745	0.6563556	0.84555674	0.84089315	0.8643583	0.7758019	0.88212055	0.8988221	0.8703909	0.86256266	0.8483885	0.9406722	0.6951734	0.7443756	0.84398687	0.925131	0.84684837	0.87236756	0.87572473	0.88636625	0.83038795	0.85658145	0.74567044	0.82315564	0.79373085	0.74283946	0.8265131	0.8400827	0.85378283	0.8489245	0.90673244	0.81294984	0.7204005	0.69536245
alles/noun	0.91812986	0.9405307	0.9489876	0.85842973	0.8476258	0.7735357	0.0	0.92772657	0.7509701	0.9707511	0.94646156	0.73706603	0.9205472	0.87605566	0.9259305	0.8804148	0.8995197	0.89140666	0.8282794	0.86356425	0.81968623	0.8624346	0.8802834	0.8468027	0.8684987	0.8876778	0.71824276	0.61907893	0.881608	0.8049272	0.9166762	0.8580374	0.84089506	0.9169553	0.8643214	0.7326473	0.90321195	0.8580259	0.8489961	0.8773544	0.884827	0.9187808	0.89980084	0.9186208	0.85738075	0.86477655	0.93059486	0.80260944	0.8151611	0.9377062	0.9075502	0.90223294	0.9095353	0.96190655	0.80875134	0.85596776	0.8905417	0.9078874	0.8192489	0.8412082	0.917672	0.6832229	0.9518504	0.91698354	0.9172978	0.89737666	0.903546	0.78930044	0.9047709	0.8616971	0.88281655	0.9507443	0.947402	0.91774565	0.9365653	0.85583043	0.89139813	0.9593624	0.8592098	0.8849927	0.934826	0.90313876	0.77699184	0.9117568	0.8118981	0.8968538	0.91091657	0.7712551	0.8714498	0.74003005	0.9283286	0.9362882	0.79587454	0.8648996	0.81656957	0.7888043	0.9004825	0.9222064	0.85694814	0.8043978	0.91397536	0.92142946	0.8588098	0.901593	0.898623	0.9335327	0.9571149	0.9270508	0.9178363	0.90405667	0.89852345	0.87985224	0.9114257	0.9208059	0.8715392	0.8813917	0.9347416	0.91067517	0.89832217	0.87157923	0.8884656	0.9373994	0.875052	0.8895089	0.8970006	0.83867514	0.95803195	0.8879405	0.87791455	0.9378879	0.90136	0.8813053	0.882163	0.93708324	0.9204391	0.9004211	0.9278526	0.85748917	0.88165325	0.9320177	0.9652606	0.8571623	0.84836054	0.88797295	0.9050206	0.89829403	0.92650527	0.86430526	0.8979441	0.88134664	0.7900294	0.83245516	0.866035	0.91512054	0.8523277	0.8704838	0.91329193	0.9297713	0.88390964	0.90392196	0.9448424	0.91011226	0.884016	0.82616174	0.8548738	0.9421434	0.8717591	0.87945336	0.8950231	0.9402627	0.7881582	0.88616055	0.8155111	0.7587862	0.82255393	0.84985197	0.8807506	0.8569323	0.9391785	0.90955573	0.9541629	0.8191968	0.84536874	0.8898871
ballast/noun	0.927016	0.95981205	0.9393821	0.9474058	0.9348628	0.8905727	0.92772657	0.0	0.9208805	0.9803944	0.9356114	0.8925717	0.945805	0.9060613	0.9186034	0.9007756	0.91277575	0.93872684	0.9250643	0.9370547	0.91701937	0.93520004	0.9426729	0.9349346	0.9617772	0.9060657	0.8532015	0.9050635	0.9725474	0.9245421	0.9313889	0.91189116	0.8852234	0.9347285	0.91282594	0.8879329	0.9485595	0.92176795	0.86760676	0.9310638	0.95078075	0.94539547	0.9375305	0.96255463	0.93228513	0.91545606	0.96594226	0.90088767	0.91575027	0.9503814	0.9400868	0.94208205	0.922609	0.9349567	0.95591927	0.8979854	0.94014513	0.922535	0.9166148	0.9274052	0.9235941	0.89977837	0.914267	0.9252367	0.9451183	0.9098839	0.93934864	0.88173676	0.8909107	0.92228943	0.9348407	0.9451616	0.9325284	0.891485	0.92196363	0.87154794	0.94625217	0.9193862	0.9022483	0.96575516	0.96765393	0.95364493	0.94004667	0.94905835	0.93580717	0.94346976	0.9460256	0.92278963	0.9530599	0.9132645	0.9539864	0.95460266	0.8820664	0.9148476	0.90598094	0.9156823	0.9312037	0.9372532	0.9247442	0.90597224	0.90083903	0.9487619	0.90756464	0.93598783	0.95135266	0.92467326	0.93993014	0.9260633	0.9575461	0.9443674	0.9225254	0.9052938	0.91864276	0.93911076	0.9161161	0.95639175	0.95517856	0.94239944	0.9510336	0.89041287	0.88952047	0.9418476	0.9340476	0.9028122	0.96090806	0.910745	0.95578694	0.9567583	0.94389725	0.96028554	0.9484361	0.93368596	0.95048314	0.93531114	0.96540976	0.96023977	0.9286843	0.9348478	0.91744006	0.9596729	0.96111786	0.93598205	0.9528322	0.94743544	0.9180093	0.9211813	0.9540054	0.9327852	0.9384239	0.9368911	0.8963144	0.89294827	0.90873194	0.9257344	0.9045579	0.92275256	0.93507123	0.89965284	0.9579373	0.9501845	0.9511007	0.939905	0.9304823	0.90419984	0.9525573	0.9684897	0.9641317	0.92729187	0.94119763	0.9422477	0.9150474	0.9232457	0.8850436	0.9046554	0.9273396	0.91409045	0.94530255	0.9079398	0.9384748	0.9293374	0.9331608	0.90667415	0.9097614	0.9372121
beetje/noun	0.88102806	0.9138182	0.94153523	0.7636155	0.84165597	0.8660631	0.7509701	0.9208805	0.0	0.93820584	0.93848014	0.6966249	0.91365343	0.8619764	0.9191839	0.8424723	0.8989918	0.84158766	0.77471626	0.86346465	0.78888744	0.8621633	0.8900055	0.8323554	0.86334336	0.8747436	0.7362173	0.7056149	0.8023018	0.78196996	0.9031979	0.8182721	0.76171297	0.87685454	0.7947505	0.6234561	0.85597867	0.6963612	0.79569894	0.72239107	0.8350925	0.8439683	0.87412757	0.9250971	0.7866761	0.9181208	0.8957283	0.80370414	0.780387	0.8709967	0.9280784	0.92115474	0.8489971	0.90816545	0.85377026	0.83301127	0.87238884	0.8688176	0.7511007	0.8055767	0.89069563	0.7583846	0.9461746	0.8870325	0.95045084	0.85458905	0.8791348	0.7825967	0.8068105	0.8806168	0.8503444	0.9420279	0.9065724	0.880783	0.90621436	0.8278398	0.85131013	0.9511287	0.79620445	0.9019807	0.8741724	0.9068823	0.77133805	0.89143866	0.78839	0.86535215	0.81164783	0.7106352	0.8803385	0.663607	0.91504973	0.95610917	0.85775733	0.8147855	0.760798	0.74203396	0.85388863	0.93233514	0.768982	0.79631674	0.86581635	0.8597252	0.7991112	0.8764178	0.8757732	0.8989446	0.95828044	0.91327596	0.90746653	0.9216131	0.87675	0.92020404	0.88092333	0.91131604	0.90746635	0.8429739	0.94273156	0.9145278	0.88556397	0.8984055	0.8545297	0.91378146	0.8242247	0.8291762	0.86262614	0.78560925	0.9264059	0.83013695	0.8698865	0.8954415	0.8791664	0.86419	0.77815974	0.910838	0.9027155	0.859856	0.8982445	0.76048666	0.8113444	0.93562174	0.960446	0.8072884	0.8534383	0.9052424	0.82869625	0.86934423	0.87692547	0.7841954	0.84157753	0.8651422	0.68164706	0.73926044	0.8745335	0.9298924	0.76759666	0.84878814	0.85238427	0.8869209	0.8441875	0.8617265	0.9255946	0.91582423	0.8701099	0.7367568	0.88128066	0.97208077	0.8510008	0.8180718	0.8818909	0.9155634	0.8062108	0.839159	0.6348233	0.72577226	0.7636086	0.7836719	0.8295878	0.893847	0.9180503	0.8624319	0.93517476	0.76377404	0.7660637	0.89258665
bel_af/verb	0.9331266	0.9592909	0.960517	0.9238602	0.9105899	0.9210898	0.9707511	0.9803944	0.93820584	0.0	0.90844524	0.9461659	0.97685254	0.96292806	0.9279358	0.9677265	0.96656966	0.95859087	0.9323824	0.9661449	0.93883187	0.9571262	0.9738742	0.96744764	0.89787453	0.9332981	0.923929	0.9581545	0.94066525	0.96518016	0.9353832	0.9676724	0.9193411	0.98115784	0.94836944	0.9080967	0.94514245	0.949925	0.960694	0.97770506	0.93062764	0.93861276	0.93097246	0.940767	0.9355854	0.96827	0.96942025	0.9640024	0.9400069	0.9636213	0.9451979	0.9511323	0.93371236	0.97263443	0.9608589	0.95171636	0.97267157	0.95569557	0.9223981	0.9079379	0.93655014	0.9244309	0.9221063	0.9644331	0.9555746	0.97127265	0.9343051	0.90069634	0.9422794	0.9367042	0.9735816	0.9774114	0.96039194	0.96002537	0.96067643	0.9522915	0.9108342	0.95967704	0.95329016	0.95534813	0.88897383	0.9506272	0.9432621	0.9557454	0.9419009	0.9522209	0.9725306	0.94460714	0.9238695	0.96053696	0.9316999	0.9693559	0.9722026	0.9438703	0.911409	0.8963704	0.9291794	0.9632252	0.9370929	0.9166371	0.9705898	0.96658564	0.9713612	0.91630834	0.95858717	0.95201886	0.96738344	0.9280504	0.9529629	0.9423319	0.9667001	0.946592	0.9744839	0.93553	0.9471612	0.9351639	0.98313266	0.97979254	0.9671316	0.9588214	0.9376217	0.9550992	0.9592985	0.9626796	0.94706696	0.9665028	0.9591692	0.97308123	0.97189385	0.96292144	0.97101927	0.9730645	0.96933323	0.95717734	0.96573156	0.9437054	0.9567906	0.94000274	0.94767237	0.95102733	0.96032894	0.96793926	0.952097	0.9794877	0.95024776	0.9417933	0.94149053	0.93504006	0.9568659	0.9477724	0.938379	0.92668706	0.97369474	0.9642507	0.93749505	0.94845283	0.9688787	0.95881796	0.9674626	0.97374076	0.95252943	0.95356584	0.9200593	0.9283905	0.9530682	0.9627982	0.95924973	0.9654012	0.95964956	0.9670007	0.9623959	0.9460436	0.92643356	0.9547448	0.9571507	0.9618745	0.9609359	0.9636674	0.9408246	0.9437634	0.97385424	0.9321767	0.91173434	0.93697035
