	aardappel/noun	afgezant/noun	aureool/noun	bed/noun	belofte/noun	bijstand/noun	blauw/noun	boodschap/noun	compliment/noun	dauw/noun	ding/noun	drank/noun	dressing/noun	droefheid/noun	ervaring/noun	euforie/noun	gave/noun	geluid/noun	geluk/noun	gerecht/noun	geschenk/noun	gestreken/adj	getal/noun	gevoel/noun	gewaad/noun	gewelf/noun	gezang/noun	glimlach/noun	haast/adv	harmonie/noun	haven/noun	heerlijkheid/noun	helderheid/noun	herrie/noun	het/det	hulp/noun	iets/adv	iets/noun	ijl/adj	interventie/noun	klank/noun	kleur/noun	klink/adj	komedie/noun	koning/noun	koor/noun	koor_DIM/noun	kroon/noun	kunst/noun	landschap/noun	lichaam/noun	licht/noun	lof_trompet/noun	maal/noun	maar/adv	mandaat/noun	meest/adj	melodie/noun	menu/noun	minstens/adv	missie/noun	modder/noun	moment/noun	monument/noun	muziek/noun	naam/noun	naar/adj	nul/noun	of/vg	optreden/noun	orgasme/noun	pad/noun	paradijs/noun	paradijselijk/adj	passage/noun	patent/noun	perfectie/noun	piano_spel/noun	plek/noun	plezier/noun	refrein/noun	republiek/noun	rijk/noun	ruimte/noun	rust/noun	sauna/noun	schoonheid/noun	sereniteit/noun	sfeer/noun	sopraan/noun	staat/noun	stad/noun	status/noun	stem/noun	stil/adj	symbool/noun	tafereel/noun	tegelijk/adj	tip/noun	tribunaal/noun	tuin/noun	tweeling/noun	uitzicht/noun	vaak/adj	vader/noun	vaderland/noun	veeleer/adv	visioen/noun	voetbal_tempel/noun	vorst/noun	vrede/noun	vrijheid/noun	vuur/noun	werkster/noun	zaak/noun	zaligheid/noun	zangeres/noun	zij/pron	zo/adv
aardappel/noun	0.0	1.0	0.9075674	0.96373445	0.97284657	0.9473187	0.8475468	0.9563683	0.90785027	0.96882343	0.9630194	0.67849267	0.31130505	0.98000896	0.99119896	0.9812454	0.96159536	0.9695368	0.98588306	0.2986042	0.9239344	0.9831111	0.96289766	0.9806134	0.9195557	0.9507416	0.90066457	0.99454767	0.815112	0.8793385	0.9864382	0.9596845	0.9415814	0.9368206	0.7447304	0.9785955	0.63004977	0.9260143	0.9463173	0.9439958	0.9235933	0.8082399	0.94397414	0.9529241	0.9621191	0.9139666	0.98075485	0.96581066	0.9428767	0.959314	0.96621937	0.95512277	1.0	0.94053996	0.93377644	0.98788023	0.95148844	0.9561827	0.3579322	0.8948454	0.9957844	0.806479	0.9953164	0.9483204	0.9462874	0.9736079	0.9581709	0.9652639	0.5708402	0.9001075	0.95549244	0.93245953	0.94223404	0.9439213	0.9534275	0.9959524	0.9940761	0.9945131	0.9677995	0.9763417	0.9863355	0.94195616	0.9852988	0.8730989	0.99799144	0.8295097	0.96888345	0.96677	0.9550657	0.95236593	0.99375075	0.9807585	0.87011695	0.9634656	0.9899263	0.9088011	0.9681444	0.91536295	0.46448457	0.96367073	0.8399451	0.97523224	0.9417676	0.87770677	0.9778256	0.96133167	0.9352945	0.95388705	0.983385	0.93590534	0.99051833	0.98255	0.6308155	0.95636374	0.84355855	0.88937825	0.9625801	0.93137866	0.9646553
afgezant/noun	1.0	0.0	0.97980815	0.99960196	0.81298065	1.0	1.0	0.9340992	1.0	1.0	0.9803014	0.98435235	1.0	0.9020887	0.9557186	0.99971366	0.81384665	0.999719	0.9434848	1.0	0.7442628	1.0	1.0	0.96376246	0.9602288	1.0	0.9952894	1.0	0.9874459	1.0	0.98131686	0.98275054	0.9530698	0.9700368	0.8332139	1.0	1.0	1.0	1.0	0.8764678	1.0	1.0	0.9850372	0.9664354	0.75186646	1.0	1.0	0.8090432	0.9807333	0.9299313	0.9610029	0.98271465	1.0	0.96978164	0.95115006	0.59685755	0.91098446	1.0	1.0	0.9647894	0.4906106	1.0	0.98494595	0.90652436	0.9987399	0.9956106	0.90297616	0.96696275	0.95058745	0.9803766	0.9717023	0.904545	0.6835184	0.95953685	0.92039406	0.9995899	1.0	0.98519725	0.83935684	0.9924084	1.0	0.8630364	0.7187518	0.9547328	0.9616151	0.9720461	0.971573	0.9811222	0.97139186	1.0	1.0	0.9017702	0.84741825	0.95335686	0.964192	0.8816321	0.94401836	0.8839012	0.955563	0.7576909	0.8365635	1.0	0.8629224	0.96549034	0.8466888	0.7554082	0.9815179	0.79799753	0.94390523	0.7982554	0.7961589	0.9681829	1.0	0.9975017	1.0	1.0	1.0	0.8748218	0.9756273
aureool/noun	0.9075674	0.97980815	0.0	0.9407228	0.87439823	0.9711433	0.9475794	0.8401238	0.99070215	0.9556597	0.91769373	0.84475994	0.8834545	0.89807785	0.9109915	0.8905975	0.8529218	0.7574088	0.8543037	0.8261998	0.80552095	0.9485406	0.8329669	0.87367886	0.71593857	0.75784755	0.7684229	0.8255645	0.7752569	0.7525754	0.99008304	0.95914066	0.812061	0.8598813	0.8417073	0.99399304	0.84088993	0.8989267	0.86278236	0.97395486	0.8128357	0.8720776	0.8371848	0.77408844	0.8749234	0.8623856	0.803507	0.7166836	0.82455385	0.69872624	0.75747955	0.86288536	1.0	0.8662095	0.92868185	0.9308106	0.74217284	0.82838976	0.84282744	0.9302896	0.85253084	0.9668487	0.8580657	0.83083093	0.7540747	0.67072946	0.86936533	0.8840705	0.8446697	0.92596966	0.9201499	0.9200425	0.92033154	0.75763595	0.8613113	0.957404	0.8239891	0.803534	0.89431006	0.92446464	0.9082941	0.9720477	0.9298274	0.84615844	0.8428654	0.8975347	0.82737017	0.87587476	0.8581358	0.8728959	0.9189764	0.8322901	0.72876155	0.83617884	0.8200865	0.7211066	0.8080884	0.8736242	0.9088185	0.9445355	0.92490524	0.7507045	0.8331503	0.8092421	0.753669	0.88953495	0.80244553	0.8168082	0.9082893	0.96880513	0.8736301	0.87205064	0.81983227	0.96780866	0.9402132	0.89928085	0.8953815	0.8923937	0.8726005
bed/noun	0.96373445	0.99960196	0.9407228	0.0	0.94249374	0.93088466	0.8229495	0.7464006	0.80208844	0.7277274	0.7463336	0.9645034	0.96449196	0.9640974	0.7134335	0.96841395	0.9437211	0.8030735	0.87675047	0.989811	0.9893788	0.88283753	0.90106183	0.8322082	0.9184604	0.9589164	0.9381647	0.98651105	0.9294274	0.91092324	0.5810926	0.9553382	0.94247997	0.9585755	0.8791619	0.8959259	0.8486397	0.8301393	0.9223889	0.9833063	0.846653	0.8879633	0.9361999	0.8699516	0.9773855	0.9536666	0.97102886	0.9898091	0.91599315	0.7339903	0.86818266	0.7863933	1.0	0.9935586	0.7671895	0.94459796	0.8877189	0.94181395	0.93846697	0.75431514	0.9919686	0.9392204	0.8446168	0.9835541	0.917894	0.9665899	0.6210467	0.9619488	0.55912614	0.99303144	0.65365213	0.6478435	0.99174553	0.9662657	0.8029206	0.9888127	0.8707026	0.97994006	0.87796164	0.9279233	0.98193306	0.99883133	0.9606514	0.859408	0.9284718	0.79481375	0.9373172	0.89523983	0.82958263	0.99864674	0.90599066	0.88584346	0.9736843	0.9861625	0.88025737	0.9420357	0.90356666	0.9532976	0.9655838	0.99048907	0.91140807	0.95829517	0.9028606	0.88914126	0.8809906	0.9258253	0.8631103	0.96929324	0.9943121	0.97668827	0.98115784	0.96986264	0.96999955	0.8684414	0.9813383	0.98678774	0.98022807	0.63846505	0.86203986
belofte/noun	0.97284657	0.81298065	0.87439823	0.94249374	0.0	0.9018784	0.7976457	0.82961833	0.9941346	0.99938446	0.9156195	0.8718293	0.9827839	0.958525	0.82258815	0.82673705	0.8950144	0.80559766	0.5925722	0.88896334	0.8860725	0.9999022	0.9101091	0.78281724	0.878656	1.0	0.76202065	0.93448794	0.6753789	0.8187627	0.9559371	0.97768795	0.86399966	0.8135966	0.79726493	0.8363463	0.87957907	0.804255	0.7078389	0.90003407	0.6857748	0.839016	0.77841353	0.952188	0.9839302	0.8701578	0.7533069	0.9912188	0.8380315	0.6849483	0.950562	0.8047044	0.9614184	0.94101536	0.91683286	0.89016235	0.8639193	0.8102207	0.9442939	0.86644685	0.8558485	0.86656	0.8647397	0.8599599	0.7073737	0.9059316	0.92863005	0.975613	0.7941449	0.8440119	0.9824275	0.7760239	0.6971735	0.6423639	0.75527275	0.98169935	0.8669135	0.86513364	0.5507768	0.7651141	0.9454012	0.90479326	0.64415896	0.8284369	0.5440227	0.7459484	0.71557087	0.70446694	0.72596896	0.9024094	0.55649567	0.81671107	0.85036606	0.761963	0.7677908	0.814906	0.5767577	0.6374762	0.99183387	0.90075165	0.49639434	0.7986102	0.6607425	0.8084778	0.9532194	0.9237449	0.8841813	0.5346675	0.9309989	0.94856375	0.67508626	0.6815896	0.9639599	0.9888968	0.85805047	0.7756009	0.8955976	0.87591255	0.8813292
bijstand/noun	0.9473187	1.0	0.9711433	0.93088466	0.9018784	0.0	0.9486241	0.90980965	0.98279405	0.9443044	0.92746025	0.95499516	0.9611492	0.96890694	0.9012662	0.9657132	0.9694596	0.97873896	0.9724882	0.98406017	0.98654175	0.9772047	0.9731716	0.9460486	0.9781422	0.9937759	0.97592396	0.9970301	0.9910942	0.98832947	0.9998815	0.98107946	0.92921066	0.94233114	0.8332006	0.20615345	0.87084746	0.8920864	0.9856373	0.71924883	0.982337	0.9725507	0.9767178	0.9072354	0.90507615	0.98324096	0.9784164	0.9727448	0.94698715	0.98835444	0.9938263	0.9886246	1.0	0.9446241	0.92428553	0.8124918	0.98215955	0.97515744	0.97108537	0.96656495	0.9423519	0.96360236	0.9772833	0.97128546	0.9781886	0.98924184	0.9090998	0.9493939	0.6964625	0.93328625	0.8951541	0.97505563	0.9339141	0.89101636	0.97692496	0.9898063	0.98275685	0.96722895	0.9857449	0.9928646	0.9777125	0.86257136	0.65532625	0.99181837	1.0	0.9507035	0.9930335	0.9844666	0.9839718	0.97748876	0.85965955	0.92007977	0.87528634	0.9859927	0.9870322	0.9452832	0.9746628	0.96962166	0.9821075	0.5522785	0.9725216	0.9804057	0.99594766	0.7642955	0.9557548	0.9851678	0.9568058	0.9614273	0.9948142	0.8875464	0.947009	0.9419048	0.9759616	0.7465507	0.90468395	0.9825614	0.9895481	0.5402131	0.9288347
blauw/noun	0.8475468	1.0	0.9475794	0.8229495	0.7976457	0.9486241	0.0	0.91431737	0.9541262	0.84593546	0.9011014	0.96689916	0.83029014	0.8731176	0.94527984	0.87959504	0.92356765	0.6680523	0.831674	0.9005909	0.8899119	0.8794341	0.7739744	0.6966119	0.49878907	0.87082964	0.6498181	0.8565067	0.7512973	0.6026908	0.9342064	0.9252418	0.5771061	0.80082214	0.8257002	0.9606203	0.88886654	0.8216094	0.6851932	0.95913404	0.67466235	0.3466909	0.8030899	0.9140101	0.93058664	0.77130795	0.81543887	0.88106847	0.83739686	0.6678446	0.64671826	0.6046228	0.9904104	0.85675526	0.8517029	0.98050356	0.8742132	0.7688969	0.9246072	0.95566636	0.983198	0.7095833	0.88300383	0.8778051	0.7032805	0.9597167	0.7965766	0.9097449	0.6101837	0.93577695	0.951851	0.92698425	0.9047233	0.83602566	0.84302074	0.943143	0.6880526	0.84678596	0.8958544	0.90731704	0.7229276	0.96049726	0.9379948	0.7121	0.74091303	0.75121677	0.6181643	0.6759858	0.54835653	0.7847166	0.9736548	0.9219819	0.9579657	0.84683824	0.7606701	0.74151933	0.7166755	0.7324743	0.96544087	0.98854005	0.7642725	0.9873699	0.76282275	0.7967299	0.8754777	0.8369524	0.80676484	0.89502543	0.8465835	0.87497765	0.8099294	0.91934896	0.92970467	0.88503855	0.76006407	0.7862444	0.8456454	0.8726095	0.9163542
boodschap/noun	0.9563683	0.9340992	0.8401238	0.7464006	0.82961833	0.90980965	0.91431737	0.0	0.6335999	0.97868145	0.8323956	0.90180343	0.9642825	0.9270842	0.87269986	0.9952072	0.8498854	0.67568517	0.84506047	0.9602342	0.94456434	0.87183964	0.8799964	0.88033015	0.96472853	0.94911504	0.7588787	0.93500197	0.79466534	0.721325	0.6083861	0.9816127	0.78172994	0.8860432	0.92408717	0.9423851	0.84821093	0.82572246	0.77146655	0.8283163	0.6377988	0.83323824	0.93353146	0.8096186	0.98369706	0.8397076	0.9814036	0.94352204	0.75613296	0.7267171	0.8925787	0.7104168	0.95093775	0.8665058	0.76164347	0.7877784	0.9381034	0.8130577	0.9619937	0.9485631	0.6421704	0.9566556	0.86122555	0.9420853	0.7577452	0.97863144	0.9075399	0.97128373	0.7789086	0.9733352	0.96113026	0.82920796	0.8208614	0.8566252	0.60847545	0.84473443	0.76136506	0.89190257	0.9260084	0.925269	0.79365516	0.92182344	0.9154562	0.80524707	0.80035895	0.9392222	0.7421546	0.79440695	0.6549144	0.88840926	0.73642856	0.9795734	0.8225436	0.81513584	0.87381303	0.7490085	0.83206785	0.82567644	0.9434775	0.85479397	0.91486067	0.96253866	0.83537304	0.81140184	0.9534208	0.8970508	0.8887795	0.7615932	0.9714517	0.93117917	0.60702854	0.7009505	0.96720487	0.9450243	0.90808123	0.7346802	0.8913921	0.7741828	0.67025137
compliment/noun	0.90785027	1.0	0.99070215	0.80208844	0.9941346	0.98279405	0.9541262	0.6335999	0.0	0.9951829	0.8748809	0.8866404	0.94626117	0.85642636	0.9083034	0.88990986	0.90258	0.842296	0.95119447	0.8464196	0.70691407	0.77134293	0.91487473	0.8399986	0.89336914	0.9678046	0.91529393	0.55969113	0.8964602	0.918141	0.69022775	0.8735815	0.97585166	0.9865829	0.8524567	0.9843939	0.9230461	0.8556575	0.98939866	0.917189	0.7864312	0.97391963	0.9356806	0.93523675	0.8798814	0.9576112	0.99850184	0.9559969	0.9429596	0.83726287	0.96408147	0.87379265	1.0	0.9105056	0.6600213	0.9804557	0.86011964	0.9412736	0.7806663	0.8988306	0.980435	0.95964944	0.9608027	0.9370967	0.86398035	0.9780104	0.9274187	0.81372046	0.8242719	0.8145268	0.97573584	0.96356225	0.9702662	0.97574586	0.7657573	0.9178324	0.920543	0.9334054	0.94879395	0.72876346	0.9807864	0.8941977	0.92368567	0.95717525	0.9811558	0.9118552	0.9369923	0.9717665	0.7734673	0.95313853	0.8312162	0.9690111	0.9436378	0.9686494	0.93361557	0.911633	0.8543912	0.91431665	0.7232795	0.9559154	0.9604763	0.9183495	0.95305973	0.86302507	0.9946506	0.8651561	0.77037096	0.9903341	0.98986137	0.6822058	0.94438255	0.93008435	0.9841054	0.90923357	0.9674855	0.9882696	0.95245945	0.8475428	0.814535
dauw/noun	0.96882343	1.0	0.9556597	0.7277274	0.99938446	0.9443044	0.84593546	0.97868145	0.9951829	0.0	0.99804723	0.9804939	0.99005497	0.99106836	0.9834626	1.0	0.9860118	0.96439564	0.9914042	0.99573433	0.96367705	0.6393999	0.99602884	0.99373674	0.9939005	0.9900791	0.99521786	0.9998883	0.9172297	0.976429	0.8105298	0.88002074	0.99915135	0.9074068	0.8065002	0.96093005	0.9926732	0.9701859	0.9429011	0.9933819	0.98620504	0.92750335	0.97642195	0.9507629	0.9972929	0.99892235	0.98852885	0.98471	0.9351276	0.8781836	0.9031396	0.9096631	0.9998397	0.9013606	0.93052864	0.93103296	0.98936546	0.9861031	0.9904794	0.94217306	0.89347	0.7988049	0.86307704	0.77594894	0.9953785	0.9976972	0.7388493	0.97508234	0.79805756	1.0	0.85000694	0.75881207	0.94420886	0.8752712	0.9774741	0.9550353	0.9797101	0.89183193	0.9220978	0.9675982	0.9946119	0.9993442	0.9850695	0.87040895	0.9653762	0.8862109	0.9047571	0.99713343	0.95107025	0.9967789	0.99516565	0.79597443	0.98422205	0.9896141	0.8624444	0.95052534	0.8845626	0.975071	0.9111745	1.0	0.80812407	0.9834782	0.6560314	0.8470952	0.89595723	0.9936556	0.9253953	0.8931179	0.9145445	0.95091474	0.89554036	0.9882572	0.9928142	0.8357035	0.9991371	1.0	0.9649147	0.8364532	0.836381
