	5-1/num	Blok/name	Bram/name	Charlotte/name	Clinton/name	Croes/name	Eddy/name	Frank/name	Gerard/name	Grosjean/name	Hewitt/name	Ids/name	Lamine/name	Lily/name	Madonna/name	Marja/name	Michiels/name	Mike/name	Nationaal/name	Ria/name	Rijkaard/name	Robert/name	Rosenmöller/name	SP/name	Ten/adv	The/name	Tomislav/name	VVD'er/noun	Von/name	aan/prep	acht_baan/noun	achteraf/pp	alleen/adj	alleen/adv	alles/noun	als/prep	alsof/comp	altijd/adv	amper/adv	atlete/noun	begin_periode/noun	bewindsman/noun	bitter/adj	blijf/adj	café_bezoeker/noun	concert/noun	correct/adj	daaraan/pp	dag/noun	dagelijks/adj	dat/det	detail/noun	die/det	discussie/noun	documentaire/noun	dokter/noun	duur_voort/adj	eens/adv	eraan/pp	feit/noun	foto/noun	geleden/adj	gelukkig/adj	gesprek/noun	geweeklaag/noun	goed/adj	graag/adv	haar/pron	hem/pron	het/adj	hij/pron	iedereen/pron	iets/noun	ik/pron	inwoner/noun	je/pron	kast/noun	kerst_avond/noun	klassieker/noun	laat/adj	lang/adj	leraar/noun	les/noun	levendig/adj	lezer/noun	lief/adj	maar/adv	magie/noun	man/noun	me/pron	meer/adj	meisje/noun	men/pron	mens/noun	mentor/noun	mij/pron	minister-president/noun	misschien/adv	muziek/noun	niemand/pron	niet/adv	niets/adv	niets/noun	niks/noun	nog/adv	nota/noun	ons/noun	ons/pron	ook/adv	opeens/adv	partij_genoot/noun	passage/noun	periode/noun	plaat/noun	plek/noun	politicus/noun	producer/noun	publiek/noun	satire/noun	song/noun	tekst/noun	toen/adv	toen/comp	tv_kijker/noun	u/pron	uit/prep	vaak/adj	veel/adj	veld_slag/noun	versregel/noun	vooral/adv	voorman/noun	voornaam/noun	voorts/adv	voorzitter/noun	we/pron	weer/adv	weinig/adj	werk_dag/noun	wie/pron	wij/pron	woord/noun	ze/pron	zelfs/adv	zich/pron	zij/pron	zo/adv
5-1/num	0.0	0.9674602	0.95754004	0.9802744	0.9585033	0.9405707	0.97476506	0.97474045	0.9494578	0.8518305	0.832144	0.9436023	0.9683766	0.96965766	0.9556556	0.9611444	0.9302804	0.96402335	0.96935695	0.968496	0.93400246	0.9463499	0.94759744	0.9540661	0.96011513	0.97183794	0.9333304	0.96959525	0.97654265	0.96197075	0.9832482	0.93690526	0.9749467	0.9771712	0.9641404	0.9609713	0.9442187	0.93213326	0.92978746	0.9226568	0.953786	0.9695536	0.9457218	0.96252954	0.97423875	0.9720662	0.9404977	0.9360758	0.95155454	0.9559011	0.9303987	0.95016587	0.9249705	0.9641759	0.9649727	0.98096615	0.94486433	0.9630456	0.95394146	0.9704688	0.9819313	0.9409246	0.9434011	0.9519559	0.97321606	0.96072555	0.9389917	0.9503788	0.94714373	0.9530127	0.94520193	0.9587073	0.9522383	0.9541754	0.9814964	0.9306497	0.9470492	0.9689325	0.9537415	0.9086664	0.95745385	0.97885674	0.96514595	0.9550459	0.9665235	0.947531	0.9656897	0.97839653	0.9620161	0.94299304	0.96434724	0.96262246	0.94752324	0.97854996	0.97633773	0.95131385	0.9805297	0.9427427	0.9790478	0.9666654	0.950772	0.96695846	0.9766815	0.97599167	0.9143778	0.966289	0.93615043	0.935624	0.95829326	0.9361557	0.955511	0.96822584	0.9285507	0.966006	0.9456476	0.96822304	0.9676426	0.9538863	0.96203333	0.9556334	0.96062	0.942751	0.9123729	0.97067183	0.9556928	0.959393	0.96429944	0.97126114	0.9507495	0.9867418	0.95994693	0.96683747	0.9678355	0.97086275	0.9703487	0.88587606	0.9314126	0.952175	0.9511589	0.96439105	0.9309808	0.95733476	0.9489584	0.9127824	0.9539375	0.9537305	0.93071747
Blok/name	0.9674602	0.0	0.9318326	0.9201835	0.81816083	0.9294915	0.8579702	0.893657	0.8936875	0.9616298	0.9211131	0.94570684	0.8844832	0.9605924	0.9008893	0.95593756	0.9161575	0.91955876	0.8725175	0.92852104	0.8818582	0.9001717	0.8533245	0.6882908	0.89192027	0.9335537	0.9431479	0.8416672	0.90936273	0.91140604	0.9672077	0.84442544	0.83837616	0.81694275	0.89441735	0.8239728	0.8593552	0.8519	0.89414304	0.94362366	0.93259794	0.857255	0.8638637	0.86455137	0.9651134	0.929874	0.85646015	0.86838114	0.9287502	0.8902836	0.8350832	0.90951186	0.79786956	0.81158197	0.9266277	0.9176302	0.8153468	0.88641196	0.9150531	0.85879904	0.90977556	0.8986413	0.90947574	0.89053863	0.9522898	0.9160145	0.9227668	0.8457082	0.8238119	0.9028855	0.812199	0.8380447	0.905897	0.8993505	0.8823022	0.8779399	0.9248174	0.93616396	0.9351549	0.9135746	0.89851934	0.8788157	0.9049799	0.9025921	0.85152847	0.8738511	0.8694986	0.9251402	0.9066482	0.8710113	0.8715795	0.9129837	0.8101337	0.8884565	0.92405933	0.84382963	0.823409	0.8656726	0.9132713	0.8317449	0.8759863	0.8806577	0.8978647	0.8982306	0.90051997	0.88091165	0.85778743	0.83643633	0.8435124	0.84685373	0.7981654	0.87473387	0.90950924	0.91572654	0.91010314	0.72216177	0.932515	0.85848874	0.9003543	0.91786927	0.8531388	0.8561888	0.8859692	0.9285649	0.87071764	0.9081746	0.848823	0.86799836	0.9185436	0.9837774	0.8289292	0.8382362	0.93738127	0.845589	0.85613114	0.8762238	0.89022094	0.86218065	0.91050273	0.86324644	0.80318624	0.866835	0.8180455	0.78501284	0.84523755	0.7626162	0.8461343
Bram/name	0.95754004	0.9318326	0.0	0.8932364	0.8745185	0.8811126	0.81215465	0.7752141	0.8160067	0.9171151	0.88791955	0.89129186	0.8993355	0.9251803	0.9051121	0.9477171	0.83463544	0.7707247	0.9111318	0.893812	0.85125303	0.8273503	0.8856811	0.9249111	0.9341653	0.88248825	0.9283605	0.91574603	0.88198644	0.9034413	0.9674831	0.862787	0.8964325	0.88977087	0.92911744	0.80205894	0.8692195	0.8821665	0.87486297	0.8912279	0.9322981	0.90034276	0.89962375	0.9163289	0.96328765	0.88949394	0.8992011	0.9315621	0.9178241	0.92478484	0.9102901	0.9031238	0.87557673	0.93792796	0.90487546	0.8777392	0.8842255	0.88404906	0.93736976	0.92477596	0.9208089	0.9017799	0.87781376	0.9089345	0.95936704	0.92792535	0.89568645	0.8540465	0.8500101	0.92801327	0.78785896	0.8596951	0.92898595	0.85757864	0.9458782	0.88738626	0.91038394	0.9479406	0.8671187	0.88003296	0.9100459	0.8612893	0.88842446	0.8700664	0.8759519	0.8928365	0.9010587	0.9358784	0.8684954	0.8918194	0.9208505	0.8596244	0.91090524	0.9096707	0.90819496	0.8686484	0.88786924	0.8673874	0.8810737	0.9007728	0.90303564	0.90024364	0.9350112	0.91311264	0.890616	0.93531257	0.8906744	0.9154273	0.8846503	0.8789095	0.89044595	0.9010963	0.93099463	0.885198	0.9068524	0.87613297	0.8693683	0.88092065	0.9167362	0.87387705	0.8959711	0.8456655	0.85365266	0.95453614	0.89272946	0.89048755	0.8800714	0.90709925	0.94615126	0.97489	0.88394284	0.8984865	0.928426	0.8692206	0.901663	0.9085902	0.89110124	0.886652	0.93127185	0.86788595	0.9079183	0.92322516	0.8614603	0.8617722	0.9153152	0.8574379	0.91101134
Charlotte/name	0.9802744	0.9201835	0.8932364	0.0	0.88935727	0.9277583	0.8991608	0.85392	0.86836725	0.9159533	0.929405	0.9750829	0.94689935	0.8441852	0.8108835	0.89549524	0.89336604	0.8820004	0.9239447	0.8767769	0.9025584	0.84524345	0.94240165	0.9400473	0.9297589	0.83915514	0.9788942	0.9509012	0.86042774	0.93311584	0.93410236	0.91525424	0.90511966	0.89777356	0.9227792	0.82556576	0.8690413	0.8937579	0.891167	0.9033514	0.9565401	0.94249034	0.86734015	0.92077243	0.9604839	0.89395845	0.93317354	0.9422837	0.93371034	0.9101254	0.9438016	0.8731859	0.8966867	0.9507213	0.85227334	0.889689	0.87847173	0.91953003	0.93003	0.9292711	0.8303007	0.92968285	0.8673308	0.89306414	0.97031844	0.92647564	0.9235386	0.81390184	0.8920907	0.9333327	0.8609866	0.9013668	0.9189089	0.8877031	0.9469627	0.8974472	0.9172141	0.94217384	0.87078077	0.92234296	0.9149857	0.8751077	0.9217401	0.85403955	0.8714782	0.8465973	0.9103142	0.93901646	0.87363553	0.9275234	0.9335586	0.8103946	0.91015565	0.91090035	0.9211352	0.9217942	0.92717534	0.8980745	0.8432262	0.9339131	0.93604976	0.91692734	0.9409735	0.93568647	0.94284874	0.9414595	0.9137361	0.939633	0.91008204	0.8904168	0.919029	0.854529	0.94433576	0.87586415	0.9209411	0.90120023	0.8655945	0.8611313	0.91215456	0.8573624	0.86741537	0.8897317	0.90017784	0.9402104	0.89855254	0.85775393	0.85890234	0.91911733	0.9274848	0.95724845	0.8857962	0.9366931	0.9211513	0.8852495	0.94538045	0.91575086	0.9117939	0.92816395	0.9797622	0.85372627	0.918107	0.90260154	0.8166932	0.87501466	0.92611134	0.81886095	0.896203
Clinton/name	0.9585033	0.81816083	0.8745185	0.88935727	0.0	0.9113045	0.8588432	0.82501113	0.8416968	0.951961	0.8707144	0.9284557	0.8666527	0.90252644	0.8625497	0.93736315	0.9145962	0.879229	0.9151451	0.8881475	0.82210463	0.80698705	0.8233206	0.80727476	0.8948973	0.8846978	0.9412276	0.8333663	0.86137366	0.86588645	0.9568829	0.81541634	0.85081273	0.82643366	0.867833	0.7645254	0.83123314	0.83596385	0.89669675	0.900965	0.9398788	0.74247175	0.83715993	0.84409475	0.9614672	0.892373	0.85669374	0.8665112	0.88256997	0.8702444	0.87647504	0.86975074	0.8283152	0.84871006	0.8698059	0.84584886	0.8075117	0.86170065	0.8922278	0.8415774	0.9027965	0.84365773	0.8853362	0.79407525	0.96672755	0.9119278	0.8769805	0.7704402	0.72261524	0.90354156	0.699337	0.8325047	0.89392865	0.8721671	0.8808244	0.8979591	0.901013	0.9164324	0.9026061	0.87712836	0.903404	0.85314685	0.90398586	0.90509427	0.8196641	0.8332701	0.86242944	0.9052452	0.83061326	0.86891186	0.8972023	0.85992295	0.81986177	0.88068795	0.89315134	0.83093137	0.75850254	0.85207945	0.9001375	0.8396318	0.8769875	0.8349465	0.9037892	0.89215696	0.9118508	0.88303757	0.81950176	0.8443605	0.86053824	0.84391737	0.72342575	0.8607664	0.8951122	0.8951523	0.916669	0.6817951	0.8873936	0.830943	0.8730498	0.8935992	0.87039566	0.82828647	0.8147901	0.9355762	0.8480357	0.8679453	0.8295275	0.87243485	0.880054	0.96862376	0.83259106	0.8117461	0.9127758	0.80974656	0.7879361	0.8925876	0.8663308	0.8665812	0.92786753	0.83228076	0.83727777	0.8390318	0.80333596	0.76337653	0.83804256	0.7125124	0.8255913
Croes/name	0.9405707	0.9294915	0.8811126	0.9277583	0.9113045	0.0	0.8916963	0.8982701	0.893097	0.90469366	0.91904044	0.8923759	0.8872257	0.9730758	0.92567843	0.95104295	0.8952226	0.9081291	0.9240261	0.9008616	0.891291	0.90918756	0.9154973	0.90341127	0.9323512	0.95244014	0.9418718	0.89180976	0.9018394	0.92618865	0.94967353	0.9081986	0.93168396	0.9293084	0.9518331	0.86091846	0.9453581	0.92170686	0.9240068	0.89429706	0.92474985	0.8788674	0.93170357	0.9241032	0.96263796	0.95037216	0.9328999	0.95396715	0.95844734	0.95478135	0.9269563	0.94251287	0.8949847	0.94104576	0.9644898	0.9276602	0.92118704	0.9102813	0.9415763	0.94868267	0.9392869	0.933169	0.9202712	0.92848957	0.9342934	0.92616594	0.92899597	0.9091648	0.9045477	0.92654073	0.84685844	0.9316678	0.95295274	0.8869158	0.962643	0.9124061	0.9556117	0.94508547	0.9306484	0.9231972	0.9361185	0.94358337	0.95884645	0.945078	0.9171628	0.92354834	0.92667806	0.95302385	0.9493652	0.9228138	0.95306754	0.95754886	0.91960025	0.95405245	0.935532	0.9203455	0.8775176	0.923359	0.96345663	0.9438164	0.9162036	0.94038403	0.9447762	0.93685293	0.90146554	0.9396438	0.932674	0.92430747	0.912854	0.91954875	0.8883222	0.9285185	0.938285	0.9450979	0.9540087	0.90188676	0.92814636	0.9533881	0.9604012	0.9441823	0.9453353	0.9215788	0.90996665	0.93929625	0.924768	0.91217643	0.9221089	0.9318712	0.92867017	0.96621037	0.93332404	0.9440966	0.9373191	0.89665616	0.8675822	0.88577646	0.9148112	0.9250828	0.94962275	0.92702127	0.89419824	0.9537207	0.8968581	0.9032271	0.92929536	0.8728169	0.9278842
Eddy/name	0.97476506	0.8579702	0.81215465	0.8991608	0.8588432	0.8916963	0.0	0.65467894	0.76607275	0.9313163	0.89863616	0.9231013	0.9020832	0.9085307	0.87837744	0.92483133	0.82664514	0.78237534	0.9274495	0.8708079	0.85366374	0.7726417	0.91287225	0.8890154	0.9089913	0.86840504	0.91257304	0.91649336	0.8798787	0.87772864	0.9701514	0.8282854	0.8770276	0.847309	0.9039726	0.757385	0.8213762	0.85133004	0.8469413	0.8843721	0.95434177	0.8988733	0.89301777	0.9233119	0.9730179	0.8895998	0.9019498	0.9106997	0.8843654	0.8923473	0.928047	0.8987309	0.88094556	0.928976	0.86712205	0.8398694	0.85310847	0.85680026	0.8892869	0.88930905	0.8766341	0.8911392	0.88888514	0.8886763	0.9760048	0.90195143	0.93130463	0.8330559	0.8167628	0.9323326	0.7297603	0.8578684	0.9144728	0.85393065	0.88269734	0.8954271	0.9211827	0.94138867	0.85596824	0.8615752	0.9146231	0.83192664	0.8878651	0.91308695	0.8637483	0.8468908	0.8835372	0.9403801	0.8584165	0.88822615	0.9226795	0.89017797	0.8718469	0.9100162	0.91098475	0.8645332	0.89166796	0.8713891	0.9040954	0.85966057	0.90578336	0.89441127	0.9196929	0.888541	0.87760603	0.9321597	0.8446252	0.88198847	0.8755947	0.8759169	0.8404961	0.897904	0.92737323	0.8732165	0.90067995	0.8678185	0.8434561	0.8695273	0.92012835	0.886053	0.89232737	0.8225266	0.84008694	0.94050246	0.8706158	0.87227213	0.8750435	0.90076935	0.93855125	0.9623004	0.87731373	0.9257604	0.8865518	0.8416987	0.83712596	0.9032751	0.8520588	0.8825559	0.9447012	0.84167707	0.8961508	0.8974292	0.82919943	0.8096562	0.897041	0.8367209	0.88445354
Frank/name	0.97474045	0.893657	0.7752141	0.85392	0.82501113	0.8982701	0.65467894	0.0	0.7208797	0.91682804	0.88321036	0.92772925	0.88799036	0.9215034	0.84650445	0.94085014	0.8363772	0.75272477	0.91563225	0.8692019	0.7976198	0.6673464	0.90205026	0.88566124	0.9148874	0.7720442	0.9245658	0.9182216	0.85670394	0.91244864	0.97503936	0.8421408	0.86530256	0.84547275	0.9130691	0.7177224	0.8275439	0.8455094	0.86415344	0.90241563	0.941568	0.87541324	0.89199024	0.92184246	0.9804853	0.8406925	0.89942795	0.91981626	0.8947352	0.8763331	0.90587515	0.87026215	0.88138705	0.8968898	0.83636963	0.84660286	0.840835	0.8381512	0.88898486	0.8851815	0.8284939	0.86809206	0.86768085	0.8344406	0.9845217	0.90611225	0.92487484	0.80856323	0.7785215	0.915483	0.7198659	0.8473669	0.9112607	0.8593897	0.9143303	0.889709	0.90547156	0.9576877	0.8323461	0.8726838	0.8867814	0.83313197	0.8987971	0.89231044	0.82691026	0.832754	0.8696916	0.92984426	0.8458911	0.87680984	0.9203182	0.84871024	0.84653413	0.9181531	0.89803916	0.84918976	0.8795022	0.8757397	0.85374665	0.851534	0.8936785	0.88886464	0.90512496	0.87804186	0.901956	0.9136211	0.84915173	0.88415515	0.8670722	0.8760176	0.84429026	0.8666325	0.9169928	0.8600141	0.8941365	0.830565	0.8046775	0.84702	0.9075031	0.8610847	0.8483182	0.8016349	0.81867415	0.93377614	0.88969517	0.84818447	0.8554036	0.9045285	0.9274688	0.9490935	0.8638818	0.89760274	0.9063615	0.8221662	0.8311174	0.9093777	0.8646194	0.9043372	0.9557987	0.81392276	0.88259083	0.86317563	0.8235945	0.798573	0.8936938	0.82830495	0.8772269
Gerard/name	0.9494578	0.8936875	0.8160067	0.86836725	0.8416968	0.893097	0.76607275	0.7208797	0.0	0.94917977	0.917271	0.9325303	0.91035134	0.9154999	0.84481865	0.9197078	0.8627697	0.8104876	0.90234846	0.8831136	0.863093	0.70874345	0.9076089	0.8770519	0.9288535	0.83167946	0.93611526	0.90144944	0.8565669	0.8925574	0.96969813	0.8325314	0.8921253	0.87978035	0.89207256	0.7593598	0.8326385	0.8503498	0.8984573	0.91774523	0.93285656	0.88463306	0.878792	0.9048352	0.94999254	0.85701674	0.8857389	0.9215694	0.9250344	0.88302004	0.9233948	0.8482219	0.88035846	0.9068617	0.84503126	0.85360986	0.84635794	0.86911076	0.8936701	0.8909569	0.8615463	0.8569717	0.87040555	0.85408366	0.9623146	0.9258194	0.90945816	0.8195425	0.809729	0.9064173	0.7537626	0.86470914	0.90998995	0.8449248	0.8938999	0.8711986	0.91721123	0.94390464	0.8499765	0.8677893	0.8942102	0.83738124	0.921966	0.86549926	0.8151539	0.84475034	0.8973865	0.9386932	0.83074206	0.8743273	0.92795116	0.85595703	0.87810814	0.8930384	0.8768503	0.8536169	0.85057485	0.8690317	0.85935736	0.8995993	0.9294344	0.9044678	0.9208928	0.9028593	0.90660334	0.9084597	0.87605536	0.8988854	0.8741791	0.86102766	0.8829542	0.838282	0.9156874	0.8651419	0.88818055	0.8459909	0.8717177	0.8634024	0.8914821	0.8603421	0.8036344	0.85109854	0.83854795	0.93156815	0.8631927	0.85993385	0.83386636	0.8997606	0.91656417	0.9247192	0.86792123	0.88337773	0.9024646	0.8542092	0.83344126	0.8948914	0.89488703	0.897673	0.94185865	0.8397428	0.8822779	0.8476694	0.8329629	0.81159246	0.8883599	0.84921134	0.8645255
Grosjean/name	0.8518305	0.9616298	0.9171151	0.9159533	0.951961	0.90469366	0.9313163	0.91682804	0.94917977	0.0	0.70203793	0.92309546	0.94969404	0.9376112	0.94285697	0.969657	0.918558	0.92166287	0.98170537	0.94289774	0.85539114	0.9320369	0.9482432	0.95324564	0.96057737	0.9632995	0.91578627	0.9356308	0.9345607	0.94988275	0.9807529	0.9190335	0.93861645	0.9358258	0.9445915	0.89340657	0.9384383	0.91402125	0.9231491	0.8779798	0.96397626	0.926105	0.94802564	0.95374393	0.96836823	0.9601659	0.94498265	0.94578993	0.96310943	0.9645713	0.93979657	0.93282795	0.9243051	0.952495	0.95617247	0.9450285	0.9428627	0.93063706	0.9484121	0.9464146	0.9664197	0.9220907	0.9421114	0.9391074	0.9594488	0.91199064	0.9398744	0.90755427	0.9019592	0.9471705	0.85203165	0.91748095	0.93579	0.8826783	0.9523854	0.9326407	0.95943415	0.9483067	0.92787147	0.91072166	0.9421999	0.9531301	0.94486886	0.9430396	0.92337835	0.9235358	0.928885	0.9317417	0.9456671	0.9139963	0.9434441	0.9199997	0.93087554	0.9510289	0.944355	0.90864563	0.9491481	0.8967312	0.96714866	0.9365274	0.91431487	0.9336411	0.9492779	0.95240414	0.8979261	0.96605605	0.9297302	0.8990049	0.9178241	0.93671465	0.9500774	0.95412076	0.96404344	0.9662288	0.95514375	0.926735	0.94923824	0.93271536	0.94761974	0.9558235	0.94460595	0.9041996	0.93071175	0.9543162	0.943495	0.9520825	0.94554603	0.919745	0.9376832	0.9704868	0.92040324	0.96891963	0.9381987	0.9328443	0.96476114	0.89416975	0.9023511	0.92741686	0.9606939	0.94741565	0.8932275	0.9572833	0.90148854	0.9113258	0.9364375	0.9024218	0.91966003
