	Jong/name	Zwitser/noun	aanvankelijk/adj	achterkant/noun	arrangement/noun	bak/noun	beeld_merk/noun	begeleiding/noun	benadering/noun	beweging/noun	bijzonder/adj	blik/noun	bocht/noun	body/noun	breakdance/noun	carrosserie/noun	choreografie/noun	compositie/noun	constructie/noun	dan_pas_DIM/noun	dance/noun	decolleté/noun	des/adv	die/det	eenzijdig/adj	eerder/adj	elleboog/noun	en/vg	even/adj	even/adv	figuur/noun	film/noun	fysiek/noun	gebaar/noun	gebouw/noun	gelaat/noun	gelaat_trek/noun	geluid/noun	generaal/noun	gezicht/noun	gitaar/noun	glas/noun	grafiek/noun	grooves/noun	handschrift/noun	hartstochtelijk/adj	heftigheid/noun	heup/noun	hoofd/noun	iets/noun	ietwat/adv	interview/noun	jongen/noun	kaak/noun	kant_DIM/noun	kap_DIM/noun	karakter/noun	kassei/noun	kast_DIM/noun	klank/noun	koets_werk/noun	kop/noun	korrel/noun	la/noun	landschap/noun	lekker/adj	letter/noun	lichaam/noun	lichaam_taal/noun	lied/noun	lied_DIM/noun	lijn/noun	look/noun	manier/noun	mengsel/noun	minder/adj	model/noun	mooi/adj	motoriek/noun	muziek/noun	nogal/adv	one-liners/noun	opgebouwd/adj	opgetrokken/adj	patroon/noun	persoonlijkheid/noun	pixels/noun	raam/noun	ritme/noun	ritmiek/noun	rock/noun	ronding/noun	schouder/noun	slurf/noun	snavel/noun	snuit/noun	speelstijl/noun	steeds/adv	steen/noun	stekel/noun	stijl/noun	symbool/noun	taal/noun	tafel/noun	tamelijk/adj	te/adv	thema/noun	tred/noun	trek/noun	trouwring/noun	uitgestoken/adj	uitspanning/noun	uitwerking/noun	vaas/noun	veel/adj	veelal/adv	verfilming/noun	verzorger/noun	vijver/noun	viool/noun	volume/noun	vorm/noun	wat/adv	weg_net/noun	wolkenkrabber/noun	woonkamer/noun	ze/pron	zeer/adv	zo/adj	zo/adv
Jong/name	0.0	0.88376135	0.84203136	0.9249126	0.9280666	0.9044411	0.95766133	0.90191305	0.9058388	0.86819196	0.86860526	0.86413646	0.9037182	0.96130294	0.97457844	0.9645457	0.9064908	0.89896345	0.90930337	0.93790287	0.93984187	0.9593658	0.896983	0.8581617	0.8976326	0.8502997	0.91380566	0.79848266	0.85824287	0.8617352	0.871478	0.8793018	0.9290451	0.8575615	0.93889296	0.90056634	0.96433425	0.89819914	0.8734732	0.8475558	0.9125175	0.9209705	0.94912696	0.976313	0.9250698	0.9002226	0.9576744	0.8931747	0.87143576	0.93102497	0.85521305	0.85388964	0.8822012	0.91909355	0.94067115	0.9735835	0.8740449	0.9341709	0.952764	0.91673434	0.96138436	0.8958181	0.951648	0.90033793	0.9205959	0.9064166	0.9221235	0.9030741	0.9341492	0.8875985	0.88834953	0.89796495	0.9372124	0.8988695	0.9443023	0.9068088	0.8815144	0.8856796	0.9423205	0.89378434	0.8557378	0.9647223	0.9157833	0.93338794	0.91783696	0.8751635	0.9821241	0.8964063	0.91308683	0.9535759	0.9190431	0.9780098	0.8759401	0.97349375	0.96178544	0.9722624	0.94230497	0.8657196	0.90585095	0.968732	0.87399125	0.9010368	0.89655435	0.8969911	0.86614084	0.8965342	0.8808286	0.92746097	0.8948301	0.9722357	0.93075335	0.95852023	0.9127734	0.9463575	0.88995767	0.8607188	0.90148044	0.91797006	0.925803	0.9251727	0.9422821	0.90364563	0.879686	0.975111	0.9498397	0.93451387	0.8458278	0.87586224	0.89085597	0.8846076
Zwitser/noun	0.88376135	0.0	0.81589067	0.9428209	0.9305816	0.9298959	0.9758853	0.9272921	0.91339004	0.8985937	0.9036524	0.90962476	0.8933506	0.9532093	0.9505547	0.9493186	0.92637074	0.92641425	0.8993038	0.964576	0.9439927	0.9357509	0.88039	0.85343474	0.8896135	0.8727257	0.9208961	0.83541495	0.8831718	0.8627207	0.8882633	0.9391413	0.90189713	0.9037523	0.92098594	0.902448	0.9517127	0.9362924	0.8779381	0.92692906	0.92605937	0.9233196	0.9338867	0.9620268	0.94054484	0.8968982	0.96914846	0.9123479	0.9137682	0.91031635	0.88435245	0.908654	0.8521299	0.94192815	0.94488174	0.96228945	0.91212183	0.9093255	0.9233933	0.9144074	0.94799036	0.9055405	0.9344965	0.9296816	0.9104302	0.9228844	0.92112565	0.90767485	0.9574301	0.90868664	0.92845124	0.90443385	0.9336315	0.8955654	0.9511319	0.89308405	0.91404957	0.91593146	0.9396845	0.9293844	0.8762179	0.936799	0.9196938	0.9354904	0.8984621	0.8928371	0.96871185	0.91012686	0.9059016	0.95474774	0.9349699	0.9600066	0.9265773	0.9664247	0.9431572	0.94897735	0.9123762	0.86023575	0.8951413	0.97449553	0.88453996	0.9064468	0.91111165	0.89779776	0.8859697	0.8898927	0.92587703	0.8935756	0.90603775	0.94619703	0.95314556	0.9381623	0.92159337	0.93346727	0.88314396	0.8514625	0.9345707	0.9170332	0.9338956	0.9372201	0.9204291	0.91293323	0.8905006	0.92554706	0.938594	0.935375	0.8521628	0.8767615	0.9022485	0.86183727
aanvankelijk/adj	0.84203136	0.81589067	0.0	0.9095824	0.8844759	0.8756198	0.9534075	0.85492986	0.827149	0.78182983	0.80130863	0.7799777	0.83033323	0.92549247	0.9410809	0.91786814	0.88507205	0.83289	0.8333713	0.93435496	0.91246736	0.93215936	0.7942231	0.74215317	0.816671	0.6803121	0.9057589	0.69292074	0.7373378	0.7352947	0.79776675	0.8285186	0.9087812	0.8105117	0.856604	0.8806458	0.93259	0.79752797	0.81231654	0.8157745	0.86983323	0.8613579	0.9008519	0.92849565	0.91067773	0.83011985	0.9338947	0.8688233	0.8472072	0.8274442	0.7688712	0.83642334	0.7961163	0.9042436	0.914215	0.96731234	0.7949916	0.9106121	0.9035958	0.8279657	0.92396516	0.8247229	0.9249964	0.8483718	0.83493245	0.8626661	0.86368465	0.80842924	0.9037342	0.8346666	0.8486758	0.8145139	0.9235692	0.8148899	0.89907265	0.73448724	0.80815935	0.85756135	0.91518044	0.8278238	0.71479166	0.9131191	0.8784299	0.8992047	0.83631194	0.82912165	0.9691573	0.869419	0.811565	0.9036525	0.85945904	0.9525812	0.8498279	0.9464555	0.9487267	0.93698096	0.87112427	0.68756324	0.84578586	0.9633483	0.7967667	0.8455074	0.81699014	0.84126806	0.7531655	0.77505016	0.83716834	0.88836503	0.848724	0.950416	0.9208682	0.9461772	0.84010273	0.9091365	0.7479798	0.744828	0.8802245	0.90225106	0.89111614	0.8877107	0.87311566	0.7913316	0.7285019	0.9304739	0.8898511	0.90286934	0.7458539	0.7663265	0.7733859	0.73262256
achterkant/noun	0.9249126	0.9428209	0.9095824	0.0	0.9125426	0.8212043	0.9240761	0.9399482	0.91189456	0.8862998	0.89055955	0.7941853	0.79957384	0.9128249	0.9537161	0.79359215	0.91304517	0.8613515	0.77981067	0.91900533	0.9391266	0.89107615	0.90010065	0.8508653	0.9311701	0.9311558	0.83482224	0.74964905	0.8505459	0.8316323	0.85022956	0.90780026	0.94692045	0.8768927	0.7126524	0.8469869	0.91441387	0.85839725	0.92791563	0.79350555	0.8892687	0.7370928	0.8971841	0.9490584	0.87605315	0.9215923	0.97395873	0.83519024	0.82186973	0.9032732	0.83454126	0.91204	0.8894381	0.85997957	0.89225495	0.845417	0.88204795	0.8133029	0.8436686	0.8848461	0.8065267	0.82748723	0.8932365	0.9082338	0.82276356	0.8776372	0.7825071	0.815313	0.93414736	0.91857296	0.8944288	0.8417801	0.89721346	0.88397384	0.8830985	0.89733315	0.81526756	0.8025782	0.9265751	0.8948136	0.8407706	0.96045107	0.8634918	0.80881155	0.85214025	0.8825541	0.9439622	0.67842937	0.89507246	0.9389257	0.8931474	0.8722223	0.8067557	0.90470266	0.89818746	0.88873607	0.9370259	0.8772001	0.772911	0.9140535	0.84943473	0.8613794	0.91248333	0.82941115	0.85678744	0.86937827	0.89874935	0.87621385	0.9003548	0.926387	0.9046107	0.90143627	0.91706693	0.850738	0.9111095	0.864808	0.9339248	0.92382205	0.83818066	0.9055201	0.8612182	0.85280824	0.8384198	0.9344354	0.819171	0.7887101	0.835664	0.87261343	0.88185114	0.8771197
arrangement/noun	0.9280666	0.9305816	0.8844759	0.9125426	0.0	0.9107169	0.93797237	0.81275916	0.83886135	0.8609843	0.7723514	0.86798537	0.9152014	0.899641	0.9283694	0.90906554	0.7445874	0.6487818	0.83405197	0.8697531	0.7931037	0.8900088	0.90142477	0.8706952	0.9098608	0.9079144	0.93756056	0.7647376	0.8710166	0.7963699	0.83158463	0.806682	0.9266173	0.8577596	0.88004285	0.91029376	0.9425418	0.7642194	0.9518373	0.8952646	0.7306441	0.8589975	0.8985164	0.7787218	0.8879838	0.87542504	0.96051896	0.9315032	0.9333175	0.8559025	0.8336668	0.8937988	0.90651643	0.947172	0.8823129	0.95010895	0.7971043	0.9393153	0.8911373	0.713104	0.892646	0.91973364	0.9198009	0.8316732	0.8078143	0.83881253	0.86471736	0.8926821	0.89154553	0.7791965	0.7074311	0.8638791	0.8667207	0.8181465	0.86534	0.86772406	0.8111343	0.75413585	0.89451057	0.6850749	0.8070198	0.92868775	0.83874464	0.9071913	0.82161105	0.83076274	0.92347616	0.9050984	0.71278524	0.75554365	0.73179936	0.91043556	0.9284928	0.937489	0.9629856	0.9446194	0.8139116	0.8733175	0.89685625	0.96704495	0.68530333	0.88579404	0.82290584	0.8970126	0.80361474	0.86723965	0.8071251	0.90256447	0.8638196	0.9388225	0.95656025	0.93550986	0.8448143	0.8885315	0.86922204	0.83008945	0.82920223	0.9301841	0.9138572	0.79000115	0.8651315	0.8375271	0.8301945	0.9104925	0.8944417	0.91896117	0.9088532	0.7996853	0.86972773	0.83791685
bak/noun	0.9044411	0.9298959	0.8756198	0.8212043	0.9107169	0.0	0.9259514	0.9044874	0.9256165	0.87462467	0.89588034	0.7477931	0.84657407	0.88321525	0.94486827	0.8651901	0.91784036	0.8546425	0.76364774	0.9124924	0.89673346	0.8848038	0.8853316	0.8548173	0.93998975	0.9239447	0.89009535	0.67477167	0.8004894	0.84875643	0.8629488	0.9249027	0.9324706	0.87266016	0.81538546	0.8966385	0.92129385	0.81958365	0.94395536	0.8148748	0.8277663	0.61769533	0.920225	0.93796897	0.90125954	0.93089956	0.9739273	0.89578277	0.8021836	0.90479267	0.85664237	0.9322345	0.8712392	0.9002599	0.9323083	0.8469999	0.88395935	0.83666825	0.8217036	0.82497925	0.88907754	0.781172	0.80785185	0.86170965	0.86245286	0.7344845	0.83745414	0.8321468	0.92952144	0.8903887	0.85638267	0.86715984	0.87016255	0.9033103	0.7712821	0.85724056	0.84410685	0.82950544	0.92864937	0.8602624	0.8687063	0.9301747	0.86036795	0.83286273	0.85316914	0.9252216	0.94459134	0.7043668	0.85587853	0.94482386	0.8917172	0.9004422	0.87203753	0.8986157	0.8575662	0.9183421	0.9539244	0.8697723	0.7069286	0.9051285	0.8664851	0.87939113	0.90517396	0.69445086	0.86073124	0.862425	0.8842905	0.87124246	0.8831778	0.93073446	0.9334325	0.93088293	0.9469796	0.780082	0.87748253	0.83569205	0.9488924	0.9287992	0.7774716	0.8940928	0.8180858	0.8463067	0.8261955	0.96503156	0.85622597	0.8097573	0.7915591	0.9037501	0.8847394	0.8836453
beeld_merk/noun	0.95766133	0.9758853	0.9534075	0.9240761	0.93797237	0.9259514	0.0	0.9485205	0.94681925	0.9333197	0.9405051	0.9623309	0.9673526	0.94975543	0.96150875	0.9276256	0.9513462	0.9102681	0.92364216	0.9489718	0.9486503	0.9455228	0.9521098	0.89896643	0.9678214	0.968743	0.9546358	0.91980267	0.9644706	0.94774777	0.9193405	0.93745154	0.9489558	0.94650847	0.9312217	0.9467411	0.8794305	0.950985	0.9802	0.92420876	0.95345014	0.94067	0.96091795	0.96038485	0.88675296	0.9312892	0.9026498	0.9483936	0.95694804	0.9610474	0.93605006	0.96550155	0.9474595	0.95991325	0.9474447	0.9108603	0.92808855	0.94249666	0.9212075	0.9441677	0.93017703	0.95278484	0.9517602	0.9401056	0.9301755	0.9422544	0.8979475	0.95175546	0.9299359	0.93777627	0.92859155	0.94146436	0.9043807	0.9406111	0.9632923	0.9506175	0.9072057	0.8889828	0.9580157	0.94051915	0.95144284	0.9568409	0.92989224	0.9255408	0.9272723	0.9212574	0.94802266	0.9357486	0.9481504	0.9377876	0.949903	0.92849076	0.9526313	0.9027695	0.9440737	0.92798865	0.94708645	0.94612265	0.9390275	0.9143132	0.90623856	0.9193003	0.9198	0.9490819	0.96320665	0.9594114	0.9373905	0.9673086	0.92067426	0.90442115	0.94756126	0.9216207	0.9508829	0.87561834	0.9475607	0.943841	0.94358265	0.97447234	0.9462741	0.94710517	0.9508911	0.9437388	0.96140647	0.937693	0.93402493	0.9111346	0.9382907	0.95346075	0.95111907	0.9320594
begeleiding/noun	0.90191305	0.9272921	0.85492986	0.9399482	0.81275916	0.9044874	0.9485205	0.0	0.7838254	0.84672016	0.8040465	0.86863554	0.92548937	0.9222521	0.9026315	0.9295764	0.8699584	0.8075187	0.8658006	0.88571143	0.8662419	0.92505705	0.8715322	0.86929935	0.868992	0.8810507	0.9461516	0.6832918	0.876313	0.8279586	0.8791158	0.89157516	0.9199307	0.8658272	0.86677754	0.90818834	0.95164293	0.81019574	0.8957016	0.8840029	0.7831948	0.89240795	0.9293494	0.89852136	0.9129911	0.91048574	0.9426226	0.9316195	0.88491315	0.89993364	0.84612453	0.9016925	0.8449073	0.93762493	0.9462865	0.95095223	0.83534276	0.9377376	0.9165103	0.7968127	0.94334406	0.917356	0.9577336	0.89825785	0.8854933	0.88116246	0.9130243	0.85471714	0.9247565	0.8410642	0.82917476	0.88677907	0.9122401	0.8131988	0.89942867	0.827455	0.86908364	0.8543097	0.8887852	0.77477986	0.82758534	0.94610596	0.8670812	0.92748684	0.88027257	0.85387707	0.9734841	0.9118605	0.8109176	0.83120286	0.83254766	0.9418794	0.9147824	0.9718079	0.96835625	0.9424441	0.9035932	0.8226773	0.9088593	0.971401	0.8258331	0.89189196	0.8579865	0.90420055	0.8479477	0.86275256	0.8192512	0.9033326	0.8722993	0.97058475	0.964212	0.9487957	0.83571464	0.9267479	0.837558	0.7536551	0.91898537	0.85934293	0.91028917	0.8062969	0.8975374	0.79955804	0.8662876	0.93968546	0.9410126	0.895868	0.86420584	0.782676	0.86757445	0.88235235
benadering/noun	0.9058388	0.91339004	0.827149	0.91189456	0.83886135	0.9256165	0.94681925	0.7838254	0.0	0.7699176	0.7406099	0.8085458	0.89786065	0.8902582	0.92954904	0.9233032	0.7812499	0.7511639	0.7700391	0.9227945	0.8700615	0.93800783	0.8329536	0.7781453	0.75830334	0.85677874	0.94567835	0.7134008	0.85722524	0.73869926	0.7543455	0.7822205	0.9038664	0.82140416	0.8948512	0.87243956	0.9105196	0.8062309	0.88698685	0.84145355	0.86787856	0.9099185	0.8635557	0.88805884	0.87252665	0.8700013	0.92017585	0.9198557	0.91145414	0.7937006	0.77781546	0.8536133	0.89751065	0.9265674	0.8573742	0.9534733	0.6354991	0.948402	0.91934633	0.7696528	0.89312935	0.88996357	0.91574097	0.88035715	0.7980331	0.8866248	0.86094165	0.85832226	0.8737059	0.8378439	0.8277099	0.80279654	0.8533417	0.6284182	0.88898706	0.78270507	0.7534221	0.83167696	0.8429017	0.76286435	0.69233763	0.94398576	0.81627303	0.9120784	0.7918997	0.7487707	0.9384313	0.9329534	0.8053801	0.86339545	0.8107403	0.9205027	0.9137017	0.9469435	0.948914	0.9120308	0.77514404	0.7904315	0.9071892	0.9622702	0.6703552	0.8214469	0.7400727	0.9136877	0.7059348	0.75283915	0.7070191	0.8735442	0.8399176	0.95685107	0.9369838	0.96435714	0.80358964	0.8764597	0.7921437	0.75887907	0.8684314	0.91654944	0.9094409	0.8610127	0.86216676	0.7035941	0.76272035	0.9331849	0.9172612	0.93607044	0.8662747	0.66293895	0.8225301	0.7532711
beweging/noun	0.86819196	0.8985937	0.78182983	0.8862998	0.8609843	0.87462467	0.9333197	0.84672016	0.7699176	0.0	0.7739769	0.7474694	0.83404934	0.86629915	0.8846324	0.9094445	0.7529882	0.7492515	0.7878271	0.82515657	0.87689316	0.8901061	0.80498993	0.7610996	0.82921183	0.8242655	0.8579036	0.6494698	0.81026727	0.7276881	0.67213166	0.8025247	0.90090495	0.73649967	0.87212765	0.82378626	0.8761226	0.67577237	0.8049252	0.7639916	0.8140191	0.8479007	0.85788614	0.8866917	0.8694105	0.8384582	0.9045455	0.81816995	0.8239661	0.8175844	0.777478	0.8317474	0.83623546	0.8880851	0.8603046	0.9239065	0.676425	0.9149005	0.9038663	0.73000276	0.8802598	0.82702947	0.8870529	0.83486915	0.7496386	0.84441006	0.8171554	0.7151669	0.81467354	0.76631033	0.8025822	0.7379874	0.89866525	0.7267488	0.82989395	0.8120261	0.75064594	0.7963561	0.7820152	0.71622896	0.72197354	0.8997832	0.81031734	0.8691009	0.7464695	0.7486867	0.9163292	0.86667407	0.690902	0.78773224	0.8095837	0.89393365	0.8121778	0.93039316	0.9219398	0.9100034	0.831008	0.75487363	0.83254296	0.9332348	0.69510657	0.7186984	0.73991835	0.8803389	0.7620643	0.81272876	0.7308002	0.8166692	0.77277803	0.9455308	0.8890167	0.95657676	0.8399507	0.89288485	0.82110643	0.7407588	0.88922167	0.89231193	0.86231554	0.8512724	0.8279326	0.70214033	0.76046705	0.91812646	0.8798604	0.9065324	0.8257793	0.7408875	0.7875875	0.774984
