	ABVV/name	Bodson/name	Buurmeijer/name	Christian/name	Cédric/name	De/name	Declercq/name	Dekker/name	Demol/name	Europees/adj	Faber/name	Freddy/name	Gerets/name	Hezbollah/name	Koffrie/name	Magda/name	Midden-Oosten/name	Polen/name	Priscilla/name	Rob/name	Standaard/name	Swatch/name	Van/name	Wall/name	Wijk/name	Winter/name	Wotte/name	aanblik/noun	aangeschaft/adj	aanpak/noun	aanvang/noun	afkomst/noun	afloop/noun	analist/noun	auteur/noun	begin/noun	bevolking/noun	bewoording/noun	bijzonder/adj	blik/noun	boek/noun	boodschap/noun	brief/noun	buis/noun	buitengewoon/adj	buurtbewoner/noun	coach/noun	commentaar/noun	constatering/noun	dag/noun	dansbare/adj	dat/comp	dat/det	debuut/noun	dichter/noun	discussie/noun	dit/det	doorbraak/noun	dorp_DIM/noun	droef/adj	echt/adj	einde/noun	erg/adj	even/adj	feestganger/noun	film/noun	gegeven/noun	gelijkspel/noun	geluid/noun	gericht/adj	geschiedenis/noun	gesprek/noun	gestemd/adj	geval/noun	glorieus/adj	hacker/noun	herdershond/noun	herstel/noun	het/noun	hij/pron	iedereen/pron	iets/adv	ik/pron	indicator/noun	integratie/noun	kansloos/adj	kant/noun	kwartaal/noun	liberalisering/noun	luchtig/adj	markt/noun	me/pron	men/pron	mevrouw/noun	mij/pron	minder/adj	moment/noun	mond/noun	nog/adv	ondertitel/noun	ontwikkeling/noun	ontzettend/adj	opgewekt/adj	oplossing/noun	opnieuw/adv	oppositie/noun	optimistisch/adj	ouder/noun	perspectief/noun	positief/adj	reactie/noun	realiteit/noun	rest/noun	resultaat/noun	rots/noun	sarcastisch/adj	seizoen/noun	signaal/noun	steeds/adv	strohalm/noun	student/noun	team/noun	tegelijk/adj	teken/noun	tendens/noun	teneur/noun	terugkeer/noun	titelstrijd/noun	toekomst/noun	tolk/noun	trip/noun	u/pron	uitlating/noun	uitslag/noun	veel/noun	verandering/noun	verklaring/noun	vermager/verb	vertrouwen/noun	vertwijfeld/adj	verwachting/noun	vlak/noun	voorbeeld/noun	vrolijk/adj	wanhoop/noun	wat/pron	we/pron	wedloop/noun	week/noun	weekeinde/noun	weinig/adj	wel/adv	wending/noun	wij/pron	woordvoerder/noun	ze/pron	zeer/adv	zege/noun	zo/adv	zomermaand/noun
ABVV/name	0.0	0.50150263	0.8844561	0.6573924	0.7807284	0.6113137	0.40479392	0.8760701	0.94117963	0.96847385	0.943877	0.41088432	0.8480308	0.96505564	0.93983245	0.65563285	0.93260354	0.97067946	0.98233736	0.71652585	0.64621246	0.95873636	0.6918852	0.85851127	0.69060415	0.85191125	0.9261265	0.93954176	0.9670791	0.865684	0.7744331	0.9977447	0.8331557	0.85518825	0.84926975	0.9488504	0.9793618	0.8819938	0.8799502	0.9041722	0.9271391	0.87150335	0.8798473	0.983001	0.8441757	0.9010972	0.8242856	0.6669159	0.8132834	0.9579183	0.99339753	0.9111607	0.9718472	0.8789151	0.7428522	0.8809561	0.963371	0.85012007	0.9988945	0.90835506	0.9292532	0.9147788	0.84643114	0.8757142	0.87301	0.9408772	0.9553486	0.7886605	0.9171031	0.9824962	0.9497994	0.7888372	0.91106814	0.9523768	0.97307485	0.9688903	1.0	0.9687855	0.9664006	0.84683776	0.9556154	0.9270858	0.94961065	0.92807174	0.9455188	0.9895288	0.86732656	0.899238	0.97154427	0.970994	0.9645784	0.98960376	0.9259206	0.83752894	0.98993826	0.8685987	0.9193212	0.8285447	0.9782854	0.9745529	0.8971379	0.9491663	0.9148096	0.93149394	0.972547	0.9007038	0.82122326	0.9693406	0.92559034	0.8594147	0.6623436	0.89071006	0.97138417	0.9357369	0.98843956	0.77337253	0.92697746	0.9238634	0.9783436	0.99663407	0.9668386	0.8335381	0.9110978	0.95607436	0.9151888	0.8488709	0.8519941	0.85360754	0.8764967	0.94092417	0.95803505	0.9229053	0.70129	0.6888047	0.8259033	0.95052516	0.8807391	0.9545228	0.9407709	0.9266339	0.91480505	0.9393319	0.8847237	0.9456454	0.8670801	0.9769954	0.9424502	0.9865766	0.92037666	0.8932484	0.86276066	0.9634387	0.92432785	0.9475605	0.77578807	0.9698799	0.82502437	0.9563128	0.9658929	0.9339568
Bodson/name	0.50150263	0.0	0.6574395	0.9422594	0.9876067	0.78511137	0.81927264	0.89084065	0.9333219	0.9146913	0.92836773	0.79714274	0.8105956	0.94842243	0.6943849	0.9750656	0.9086495	0.96706444	0.9890988	0.88441634	0.6117832	0.9202811	0.9215405	0.7133012	0.85197943	0.93662715	0.84071434	0.93154895	0.96482474	0.9206716	0.90729886	0.97084445	0.8149128	0.72961694	0.83859223	0.937293	0.90038604	0.72152835	0.7512853	0.9293234	0.9494813	0.9216616	0.8830466	0.96233106	0.83286214	0.9094524	0.8616072	0.711614	0.8993918	0.89948165	0.92629033	0.83611596	0.9336759	0.9217751	0.95121485	0.720067	0.8842922	0.8703093	0.99633616	0.87254745	0.93645567	0.92348903	0.84931636	0.94309276	0.98263294	0.9522114	0.9399991	0.88269717	0.8676239	0.8470035	0.91576886	0.76496905	0.7426939	0.9251259	0.82945454	0.9189621	1.0	0.79151464	0.9020598	0.84202975	0.8877805	0.8487031	0.87780684	0.89796627	0.8589713	0.94787765	0.9558214	0.78414977	0.9644745	0.9023832	0.9111055	0.92807037	0.79347223	0.9342245	0.91101146	0.88362193	0.95497143	0.8167634	0.8913307	0.9746856	0.8325224	0.90345246	0.86506796	0.8931557	0.8359853	0.8494473	0.68963337	0.9446834	0.813397	0.73462164	0.6313783	0.9212448	0.89871895	0.84736854	0.97765416	0.7988106	0.94248366	0.8788612	0.92900145	0.957273	0.9934193	0.7228542	0.9085582	0.91762304	0.9205661	0.69069064	0.79070854	0.9436514	0.69531834	0.85937244	0.8902152	0.86413926	0.5044795	0.8301503	0.86404246	0.88952863	0.7750169	0.9719456	0.7784455	0.9205682	0.7846448	0.90461683	0.9222763	0.92313987	0.97279394	0.93193185	0.83375406	0.9390761	0.85043687	0.84581894	0.70334893	0.88137364	0.8885944	0.84763455	0.85151494	0.9363369	0.742245	0.9079877	0.8850454	0.996549
Buurmeijer/name	0.8844561	0.6574395	0.0	0.99618626	1.0	0.9524148	0.98591566	0.80104625	0.99801946	0.970402	0.8596462	1.0	0.8754076	0.95178324	0.85204434	0.9979807	0.9119972	0.9913365	1.0	0.98278475	0.9577191	0.9773491	0.9272667	0.89064	0.844782	0.95069885	0.93986005	0.9943207	0.9967681	0.9724691	0.9757568	0.99970144	0.92733157	0.8861928	0.89968175	0.9201418	0.958142	0.7904463	0.8467137	0.9453844	0.90453696	0.95052236	0.76622516	0.92722744	0.5973854	0.8701416	0.99998397	0.829857	0.956179	0.9407989	0.98948985	0.85962474	0.9187802	0.9772879	0.98165303	0.7708305	0.863793	0.8955256	0.99319214	0.788818	0.9175104	0.8210691	0.9046925	0.9454845	0.98722976	0.94306386	0.94310796	0.97248846	0.98057437	0.81994736	0.9756572	0.89545596	0.9734967	0.8726387	0.89046925	0.9795407	0.9910178	0.9595726	0.8444693	0.80695754	0.92816246	0.9576369	0.90435815	0.97708225	0.87553495	0.99739784	0.9880364	0.9097545	0.89994794	0.92525744	0.9728582	0.91242635	0.9264691	0.87338674	0.85695803	0.9705427	0.8668159	0.9364357	0.8618468	0.98216933	0.95729697	0.8931152	0.9387463	0.9266224	0.87783027	0.7789517	0.7993214	0.87993413	0.8504736	0.7885586	0.657286	0.9724969	0.99510884	0.85256183	1.0	0.84281504	0.89003336	0.8708785	0.95277	0.96255004	0.99552894	0.97857255	0.9696769	0.9547798	0.9802937	0.65336263	0.99994546	0.9418973	0.92393064	0.8687899	0.98837286	0.91532964	0.67010903	0.9679492	0.9524672	0.91289926	0.8644953	0.9625461	0.93490535	0.84313786	0.92197025	0.95448583	0.96564126	0.9389149	0.9867556	0.92626077	0.8789687	0.9354672	0.83215064	0.7889573	0.9196456	0.8849768	0.82252073	0.9286244	0.82284486	0.93729603	0.796559	0.99676555	0.96663785	0.9976618
Christian/name	0.6573924	0.9422594	0.99618626	0.0	0.42167884	0.46625078	0.3675475	0.8776413	0.8285195	0.99367857	0.6312431	0.4774086	0.7637722	0.93727803	0.98223454	0.47621828	0.9666693	0.86445355	0.9489773	0.6545998	0.7478864	0.94305354	0.3819276	0.9407005	0.7125937	0.5994232	0.86279696	0.98662686	0.95315754	0.9776946	0.89386964	0.93944323	0.8378666	0.93470794	0.7181983	0.9338947	0.99922055	0.81529474	0.91056657	0.9828526	0.8598987	0.8845036	0.73504794	0.9895067	0.9599154	0.89685374	0.786104	0.7668137	0.90997607	0.9810213	1.0	0.92704666	0.9289684	0.86996603	0.5406697	0.8545809	0.9712804	0.96620893	1.0	0.9804897	0.9894721	0.9793055	0.99601233	0.97462994	0.9564249	0.9445396	0.98172635	0.98009866	1.0	0.9967401	0.98584473	0.7668846	0.97339	0.9945121	0.98303014	0.97090644	0.9986563	0.99888444	0.9848381	0.9283788	1.0	0.8993486	0.9938564	0.99980724	0.95538026	0.78989863	0.99718636	1.0	0.9913596	0.92239285	0.9958441	0.98049533	0.9949724	0.6454777	0.97852725	0.95557135	0.996693	0.93214494	0.9935341	0.9586662	0.99617434	0.9987828	0.9623892	0.99173456	0.95287675	0.8246573	0.8460748	0.9893701	0.99225616	0.9079203	0.7793346	0.96081084	0.98860216	0.9926196	0.98881584	0.92459834	0.93927586	0.99439436	0.91737723	0.97715515	0.95061576	0.8907658	0.9662696	0.99882245	0.99526954	0.79760975	0.9130471	0.897924	0.99142915	0.9119584	0.9464104	0.9715127	0.78680515	0.9204769	0.9501377	0.9988829	0.79356384	1.0	0.9477543	0.9027915	0.9774793	0.98682606	0.9429224	0.9260735	0.8613659	0.95092386	0.9917458	0.9997787	0.9344249	0.93216807	0.9542266	0.9754831	0.9707343	0.99513924	0.6043463	0.9956166	0.90890753	0.8710885	0.8953173	0.9383832
Cédric/name	0.7807284	0.9876067	1.0	0.42167884	0.0	0.7109301	0.5434933	0.596789	0.94946146	0.98720825	0.9590282	0.7101238	0.81694514	0.99812675	1.0	0.64139074	0.9997723	0.7945125	0.94112206	0.8592718	0.92667973	1.0	0.50286627	0.974201	0.80354357	0.83837026	0.8756895	0.9789323	0.99656016	0.9883177	0.96775764	0.96873415	0.9203438	0.9987169	0.9387108	0.9793689	0.99680096	0.92623806	0.9929323	0.9798863	0.9976435	1.0	0.9898945	1.0	0.99550825	0.98645097	0.7918481	0.9730696	0.9940987	0.9975279	0.9995129	0.99447757	1.0	0.9846986	0.8005928	0.9865086	0.9798775	0.97479385	1.0	0.9823081	1.0	0.97640836	0.99849606	0.94146085	0.9826149	0.9983059	0.9993162	0.8187696	0.98355514	0.9920605	0.98199683	0.9574041	0.98697	0.9997497	0.88185203	0.9912829	1.0	1.0	0.999978	0.9204865	0.9420546	0.989121	0.9679691	0.99043286	0.97237635	0.5479755	1.0	0.99930966	0.9902448	0.9987195	0.9984454	0.9773247	0.9902484	0.86202335	0.99528044	0.98016137	0.9919302	0.8581212	0.98292637	0.9925274	0.9997391	0.9873185	0.96976286	1.0	0.8647198	0.89466053	0.9639439	0.97524107	0.90557027	0.98366976	0.9694352	1.0	0.97280014	0.9966512	1.0	0.9553858	0.88178307	0.9999024	0.9845151	0.8866725	0.83602536	0.8415172	0.9892931	0.99393356	0.97959787	0.93992054	0.98474807	0.8366113	0.9998764	0.95880014	0.9442609	0.9998343	0.9335617	0.83286583	0.9643887	0.99598557	0.9842026	0.98508835	0.95275986	0.9473879	0.97724086	0.99717253	0.9981415	0.9777113	0.9226766	0.99693775	0.8689144	0.9639201	0.9661243	0.9000279	0.99626964	0.99768007	0.9973156	0.9239075	0.81483436	0.96474725	0.99485266	0.6558583	0.9826996	0.9513934
De/name	0.6113137	0.78511137	0.9524148	0.46625078	0.7109301	0.0	0.5550014	0.82712865	0.64113003	0.9945188	0.78671247	0.376552	0.8327345	0.9769966	0.98317975	0.43961674	0.95881104	0.9760001	0.9635269	0.55406	0.48231137	0.97890735	0.3467996	0.9749754	0.6631652	0.46400917	0.90126765	0.97006565	0.92394304	0.9347383	0.9152514	0.98791593	0.85886246	0.95101464	0.76048434	0.97254175	1.0	0.7083122	0.98608035	0.99451333	0.9265877	0.9885393	0.9325012	0.9392653	0.9731337	0.92249507	0.7652758	0.8228612	0.8795472	0.90413946	0.9893304	0.97371155	0.99555105	0.8337406	0.77018076	0.98522985	0.9898581	0.9607565	0.9982441	0.9474581	0.9936937	0.9862137	0.993917	0.96790946	0.94620943	0.9800105	0.99643105	0.8691275	0.9958991	0.99198	0.92180055	0.68761885	0.9835518	0.9905562	0.9623461	0.8911675	1.0	1.0	0.9990337	0.9763865	0.9981515	0.98371017	0.99061453	1.0	0.980592	0.7677208	1.0	1.0	0.98530555	0.9834595	0.9982186	0.9616523	1.0	0.6356591	0.96918863	0.9982017	0.99616903	0.9443062	0.9962795	0.95138913	0.9928778	0.9936338	0.93012005	0.9900464	0.94819856	0.95005757	0.88750345	0.98584604	0.9840401	0.96305436	0.8646377	0.9805695	1.0	0.98288035	1.0	0.8403849	0.892064	0.98012006	0.99965966	0.9717116	0.98218805	0.8673918	0.9804384	1.0	0.9983848	0.92488664	0.89659053	0.9216597	0.99287355	0.9400576	0.93111604	0.7549699	0.80997443	0.9202934	0.8661875	0.9982395	0.95704716	0.99977195	0.9573704	0.91698927	0.99278975	0.96414363	0.9027844	0.9688851	0.8858965	0.99244785	0.985951	0.99871397	0.8785082	0.9221002	0.9993814	0.99907666	0.97107446	0.9900834	0.735095	0.99546796	0.9842726	0.8589852	0.98667794	0.936793
Declercq/name	0.40479392	0.81927264	0.98591566	0.3675475	0.5434933	0.5550014	0.0	0.9348532	0.76730186	0.8947165	0.8594486	0.33501786	0.68251693	0.9911523	0.9514437	0.3991058	0.96087795	0.91377866	0.98314106	0.819218	0.8098293	0.9561243	0.50584596	0.96601945	0.88977987	0.8756992	0.94323224	0.92017376	0.9969755	0.9715597	0.87431675	0.94013333	0.8145163	0.9611954	0.85102546	0.96387446	0.9781331	0.90374005	0.9273147	0.94500685	0.9645565	0.9620967	0.9553341	0.9923302	0.9556619	0.88296443	0.6906655	0.96242815	0.91799533	0.97143584	0.9687082	0.9689805	0.9954929	0.803699	0.5464724	0.9854079	0.9885256	0.8905752	0.9950328	0.95377254	0.96358764	0.9857322	0.95674676	0.95460135	0.9728719	0.9853319	0.9949127	0.8678293	0.9452793	0.9994572	0.9805589	0.8512165	0.92661625	1.0	0.9892239	0.96327704	0.9985167	0.9749082	0.9894393	0.9423213	0.96841353	0.95403695	0.9748667	0.986431	0.98026884	0.76659375	0.9050228	0.9821078	0.9989916	0.9444348	0.9840474	0.96822846	0.9767488	0.89919245	0.980206	0.9609533	0.95421845	0.960787	0.94983935	0.9616144	0.97127837	0.96447283	0.9366948	0.9736018	0.85168743	0.9929709	0.8708515	0.9149746	0.9583471	0.9372621	0.8966693	0.92636234	0.9717825	0.9839909	0.9873918	0.8722257	0.8878521	0.98213375	0.9803886	0.98171276	0.96078336	0.80903167	0.92146075	0.9346345	0.9900032	0.9150163	0.95302564	0.74364734	0.9470114	0.93787706	0.96667165	0.9836734	0.8605975	0.8159368	0.9307786	0.989978	0.91890895	1.0	0.89603186	0.9317572	0.9465966	0.9787564	0.8989284	0.90144897	0.6579305	0.98527473	0.9709954	0.9910947	0.9261783	0.8760692	0.9670925	0.98445296	0.9149691	0.96681696	0.85074323	0.9709302	0.9375099	0.80642396	0.96848583	0.9152415
Dekker/name	0.8760701	0.89084065	0.80104625	0.8776413	0.596789	0.82712865	0.9348532	0.0	0.9131972	0.89844495	0.8847765	0.91097975	0.80462766	0.98450124	0.97100717	0.9271172	0.93692106	0.8502471	0.99271923	0.7332489	0.9368182	0.95573807	0.7399652	0.89558864	0.74283785	0.7840414	0.7837554	0.77189034	0.8879948	0.96503645	0.9298706	0.99220276	0.8101864	0.8935651	0.8299382	0.8677801	0.9733475	0.8229222	0.8608986	0.90227646	0.9721797	0.92832637	0.8723063	0.95359546	0.8331872	0.9827328	0.82918334	0.80490685	0.94102263	0.769506	0.95595205	0.9097465	0.913804	0.7938385	0.9463746	0.8797929	0.85817057	0.9005311	0.99391526	0.7681947	0.9487399	0.84169436	0.9234044	0.7653315	0.8758701	0.9627746	0.9947358	0.7426679	0.81789166	0.9217932	0.8084415	0.88495725	0.8702123	0.9733468	0.74527955	0.97210234	0.99189234	0.83426285	0.9528536	0.7317046	0.8342466	0.8658315	0.8843466	0.93800896	0.9177853	0.49487597	0.89386576	0.94467014	0.8838481	0.89045346	0.933106	0.8800078	0.95044833	0.6251623	0.92019737	0.8405235	0.76086587	0.8386598	0.9261811	0.9372334	0.93566895	0.90432435	0.73416084	0.961679	0.807509	0.80243236	0.80705273	0.98191935	0.7149999	0.8754403	0.85444295	0.982231	0.9441474	0.8915098	0.8554258	0.85565233	0.81894207	0.97162956	0.96463084	0.894688	0.9680404	0.8033001	0.8961372	0.96579975	0.95300364	0.8599681	0.6840018	0.8341501	0.76197034	0.8868955	0.9074182	0.8989646	0.7615817	0.7586406	0.8631294	0.8748942	0.8855306	0.9269181	0.8621415	0.82493824	0.86928034	0.9319856	0.94412863	0.8359157	0.944764	0.94275	0.809198	0.9152749	0.90627056	0.7686932	0.774104	0.92745286	0.89339626	0.8973913	0.83708405	0.86855334	0.89647037	0.5622206	0.82035685	0.97975725
Demol/name	0.94117963	0.9333219	0.99801946	0.8285195	0.94946146	0.64113003	0.76730186	0.9131972	0.0	0.9099978	0.84321105	0.6744223	0.4358406	0.90330154	0.9965717	0.55880034	0.75538653	0.9844952	0.9966877	0.86974484	0.871964	1.0	0.704598	0.9976874	0.9290962	0.6575968	0.7326441	0.94056284	0.97999704	0.71211106	0.8542	0.9962813	0.64847934	0.99043864	0.93564284	0.93449605	0.94691503	0.90647554	0.94091034	0.94270253	0.97464776	0.99718237	0.9970001	1.0	0.99776936	0.96540993	0.4302035	0.9057754	0.8204684	0.9903045	0.9485998	0.94227207	0.9329106	0.76640475	0.96778095	0.9028507	0.89956075	0.8629682	1.0	0.927586	0.9802294	0.9120887	0.9607248	0.8694496	0.95836306	0.9975923	0.9989017	0.8237386	0.9700737	0.8908707	0.95027155	0.8730783	0.97476107	0.99579316	0.9638062	0.9819987	0.99619037	0.98054475	0.97104377	0.8581831	0.847193	0.96797836	0.907767	0.9413878	0.90201426	0.76028055	0.9481273	0.9977275	0.97627175	0.9451726	0.9857001	0.8601987	0.923023	0.8922309	0.9315653	0.9611199	0.97328365	0.7489978	0.9318381	0.98355246	0.91021377	0.9540377	0.92866546	0.92500675	0.8551116	0.97634524	0.88937634	0.99129546	0.9501614	0.9470856	0.95064193	0.9382175	0.79817146	0.94967115	0.989855	0.8830938	0.729686	0.95166206	0.9866522	0.93420404	0.99681807	0.55319226	0.9773437	0.9815318	0.9962671	0.9503772	0.9090448	0.87842107	0.94113	0.9311139	0.842031	0.9883952	0.9105977	0.97570705	0.96231765	0.92915773	0.8467063	0.9958015	0.6950128	0.8276076	0.9706373	0.8189658	0.8703298	0.9778329	0.8597614	0.9783479	0.8998927	0.97175634	0.96032447	0.9071896	0.9350714	0.97112226	0.94721526	0.93069094	0.9507558	0.9202122	0.9216659	0.7573098	0.9888177	0.97021276
Europees/adj	0.96847385	0.9146913	0.970402	0.99367857	0.98720825	0.9945188	0.8947165	0.89844495	0.9099978	0.0	0.98449266	0.94885427	0.9150213	0.9445007	0.8842999	0.9698697	0.68417984	0.590204	0.9897213	0.9850488	0.9725941	0.90981627	0.99001825	0.794971	0.9525053	0.95256126	0.9139691	0.9498096	0.9522828	0.80172163	0.92618066	0.91679513	0.8793605	0.84081507	0.8908817	0.7663963	0.7787265	0.9262298	0.7848508	0.88026875	0.94454086	0.93398005	0.9726445	0.99810094	0.8794525	0.9857094	0.84801555	0.944629	0.93165874	0.8822136	0.8941146	0.8963728	0.8326068	0.7648221	0.9333589	0.6828401	0.81978625	0.55924356	0.96966845	0.9134079	0.8642988	0.8286275	0.93072	0.97903734	0.9395897	0.90721107	0.9305716	0.7599673	0.9376508	0.674752	0.738786	0.96196336	0.8391822	0.9849276	0.83913106	0.9755689	0.99941474	0.7315012	0.9869024	0.94302624	0.97885644	0.923894	0.97409314	0.58192945	0.4384486	0.8167656	0.7970922	0.928739	0.40001243	0.8770593	0.56779397	0.98473155	0.8804079	0.9740164	0.96667564	0.8316782	0.94578934	0.9056666	0.8923864	0.9129991	0.4769969	0.9628596	0.89828897	0.85902333	0.7046921	0.91152346	0.8083838	0.9528465	0.5985403	0.7528059	0.9306573	0.8568943	0.7782078	0.8782221	0.9288304	0.9217746	0.8866894	0.78791636	0.8163187	0.9263673	0.9239874	0.81826323	0.85766184	0.65792894	0.6025876	0.9266783	0.70695424	0.65040934	0.77311003	0.9313916	0.76402193	0.98744386	0.91531897	0.8558815	0.86860037	0.6731459	0.93536305	0.9424565	0.7395749	0.93190557	0.7191732	0.5572268	0.5958795	0.91840327	0.97497684	0.9708951	0.8925141	0.6946703	0.8039814	0.7208017	0.78952885	0.9417121	0.64648414	0.8703412	0.95720047	0.9924217	0.840031	0.7495145	0.9721014	0.9216133
