	46/num	Japan/det	Waals/adj	aangekocht/adj	acht/num	afdeling/noun	alle/det	allerlei/det	als/prep	ambachtelijk/adj	analyseer/verb	bedek/verb	ben/verb	berg/noun	blijk/verb	boven/prep	boven_haal/verb	buitenlands/adj	chirurgisch/adj	dat/pron	deel_uit/verb	die/det	die/pron	dik/adj	door/prep	doorboor/verb	een/det	eis/verb	elk/det	enkel/det	gebruikelijk/adj	gelakt/adj	gemanipuleerd/adj	genomen/adj	gepantserd/adj	geïmporteerd/adj	goedkoop/adj	hard/adj	het/det	hoeveelheid/noun	hoogwaardig/adj	hoop/noun	importeer/verb	in/prep	kilo/noun	klein/adj	krijg_binnen/verb	lading/noun	licht/adj	lichtgewicht/adj	maak/verb	magnetisch/adj	meer/det	met/adv	met/prep	minder/adj	minder/det	naar/prep	neem/verb	nieuw/adj	onderzoek/verb	op/prep	pak/noun	per/prep	plat/adj	positief/adj	produceer/verb	puur/adj	representatief/adj	roest_vrij/adj	rond/adj	ruw/adj	slinger_rond/adj	stel_vrij/verb	stuk/noun	ton/noun	uit/prep	val_samen/verb	van/prep	verbrand/adj	verdacht/adj	verroest/adj	verschil/adj	verwrongen/adj	vier/num	vloeibaar/adj	voor/prep	waar/adv	waardoor/pp	waarin/pp	waarvan/pp	word/verb	zacht/adj	zoals/comp	zoals/prep	zuiver/adj
46/num	0.0	0.9556488	0.9055763	0.960858	0.8927202	0.8897245	0.94180524	0.94513	0.9064761	0.97189337	0.9375109	0.968191	0.97676176	0.9332926	0.9342391	0.85356075	0.93786824	0.9124523	0.96622014	0.9441031	0.9254089	0.98143274	0.9455148	0.92088646	0.8665768	0.9741431	0.9773875	0.8920728	0.96149296	0.89716023	0.9106453	0.9908286	0.98888165	0.96400696	0.9869348	0.9887379	0.90335035	0.9170392	0.9799738	0.9503915	0.97664404	0.91729295	0.9726078	0.939844	0.82878363	0.9346262	0.9138884	0.9480906	0.84644884	0.9568836	0.93587774	0.9731698	0.9184252	0.9294617	0.87383294	0.8845748	0.89795256	0.89004356	0.88966244	0.94259655	0.9352067	0.9287882	0.93382436	0.83852684	0.9323902	0.90186614	0.92411095	0.9357404	0.96764725	0.9866187	0.8853017	0.9471589	0.98462445	0.9515376	0.8948464	0.86410224	0.89493144	0.9489094	0.9063554	0.9630895	0.9091051	0.97373444	0.939619	0.962928	0.91647756	0.9504929	0.917394	0.9392073	0.8930424	0.9212711	0.8288039	0.9689267	0.89793146	0.9180923	0.9321858	0.92697054
Japan/det	0.9556488	0.0	0.9538503	0.97167844	0.9835542	0.9760221	0.9383007	0.9579437	0.9723028	0.99972874	0.997631	0.9997722	0.9930343	0.98698306	0.9922559	0.9856363	0.99996096	0.92311615	0.97133714	0.98177946	0.99439055	1.0	0.97308296	0.9834657	0.9782337	0.9585549	0.99755967	0.97593105	0.9705264	0.9914158	0.97725	0.99309194	0.9445592	0.9966431	0.9869078	0.9399547	0.9756463	0.99973017	0.9953683	0.99938506	0.9974076	0.9997714	0.93446815	0.93509966	0.94325465	0.99406	0.9851277	0.97851676	0.9951311	0.9778526	0.9957548	1.0	0.9628972	0.9654346	0.9961668	0.9803844	0.9756005	0.9709346	0.99847573	0.98665386	0.99808854	0.96949977	0.9957942	0.9529769	0.9986779	0.94892	0.9393932	0.99127805	0.9929476	0.9968133	0.9881931	0.96208966	0.99413884	0.9373598	0.9781372	0.9678258	0.9625782	0.95410174	0.9598697	0.99261826	0.9925104	0.9961832	0.96209663	1.0	0.99604964	0.96975213	0.97973776	0.9755575	0.98079264	0.988346	0.96012896	0.93642914	0.9547517	0.9815811	0.98046315	0.9864045
Waals/adj	0.9055763	0.9538503	0.0	0.9630478	0.89470965	0.9048751	0.9482287	0.98204505	0.9087267	0.97669315	0.92534906	0.9683478	0.94360393	0.9612352	0.8928883	0.89865375	0.953171	0.91556823	0.9910421	0.90282613	0.9102857	0.9510104	0.894172	0.92656505	0.90471303	0.97360283	0.93442774	0.88349193	0.9292388	0.895718	0.9785538	0.99849606	0.99750346	0.94389546	0.976073	0.98348933	0.91593766	0.95761955	0.9100237	0.9359366	0.9867163	0.9338305	0.93506765	0.84333336	0.8949578	0.9548454	0.9638337	0.94899446	0.88932633	0.98546416	0.9590403	0.9578806	0.924963	0.94241625	0.8609783	0.8365557	0.92607576	0.8346247	0.90310585	0.93570155	0.91829157	0.88834614	0.94398427	0.8942104	0.9610811	0.8920218	0.8865552	0.92834395	0.9510434	0.9998232	0.8998802	0.9321579	0.97931945	0.9688698	0.9058947	0.88031006	0.8487766	0.9659778	0.80543995	0.96776825	0.9329411	0.99644685	0.91364235	0.99098915	0.9038931	0.97250444	0.8934052	0.91009986	0.90476334	0.9366941	0.87420607	0.90333873	0.97200996	0.90623975	0.9683382	0.9255388
aangekocht/adj	0.960858	0.97167844	0.9630478	0.0	0.94039863	0.93648976	0.93224794	0.97897965	0.9351527	0.93236065	0.9664413	0.98974484	0.98597676	0.98350537	0.9625642	0.91605675	0.96770436	0.938393	0.9942343	0.91378623	0.95380616	0.99939877	0.9380047	0.93741643	0.9232313	0.97895885	0.98523843	0.91946256	0.9396877	0.97213894	0.9899469	0.9796289	0.93192506	0.94928443	0.9806018	0.9528142	0.92049694	0.9944948	0.97487515	0.9707919	0.96607524	0.9859102	0.9004128	0.9205128	0.8812538	0.9630427	0.9495584	0.94935626	0.9549502	0.9854726	0.95490295	0.9874304	0.8639492	0.94783103	0.9294107	0.8915608	0.93408114	0.93214667	0.94859326	0.9431057	0.96033853	0.93629587	0.96628565	0.8778439	0.9959667	0.96849674	0.90361786	0.9888473	0.985708	0.99361795	0.93913525	0.9204638	0.99002755	0.9827854	0.9179616	0.8740737	0.93428004	0.99187356	0.8878592	0.9658697	0.9671672	0.96724284	0.9650598	0.9919901	0.95474625	0.95385295	0.8903697	0.94647753	0.93747646	0.94383174	0.85700375	0.9175053	0.9975294	0.9380969	0.9567831	0.98893464
acht/num	0.8927202	0.9835542	0.89470965	0.94039863	0.0	0.88568586	0.81403655	0.89166707	0.82724714	0.9434666	0.8969252	0.94955254	0.9058162	0.909071	0.8315413	0.8288759	0.9522457	0.8860584	0.9605204	0.79857093	0.8621869	0.9009679	0.8206365	0.834376	0.8367931	0.9502242	0.872445	0.83120626	0.8530535	0.8532414	0.93745875	0.9656138	0.9909097	0.93270665	0.9322395	0.96836627	0.8550138	0.86048687	0.891218	0.9038614	0.9728164	0.8811609	0.88515455	0.77306557	0.81053096	0.860345	0.9114963	0.933042	0.8683517	0.94479537	0.8625757	0.97138643	0.8159551	0.8928965	0.8215	0.8136154	0.86543655	0.75980556	0.8051285	0.8559406	0.84970456	0.85766876	0.8997519	0.7779738	0.9208379	0.86488116	0.8165715	0.91554517	0.9123625	0.9717281	0.8540493	0.9056827	0.9941173	0.9429698	0.8012749	0.8017274	0.79352313	0.9309952	0.75106907	0.9612224	0.8564926	0.9916445	0.84596443	0.98541886	0.7398954	0.93775797	0.79464316	0.7613591	0.8216779	0.79527473	0.74471414	0.8468936	0.8961522	0.8345357	0.87026453	0.93402696
afdeling/noun	0.8897245	0.9760221	0.9048751	0.93648976	0.88568586	0.0	0.8682344	0.91467583	0.87985647	0.96817386	0.92714465	0.97147185	0.96124357	0.9157788	0.871653	0.8866467	0.9484125	0.8563419	0.9620429	0.7969403	0.8622989	0.95588094	0.91221714	0.89844435	0.826969	0.98770255	0.9513327	0.8375997	0.92018354	0.8714693	0.9391052	0.99124956	0.95373654	0.92720294	0.97856027	0.9902391	0.8932221	0.918112	0.77878535	0.93738896	0.93804914	0.91611314	0.9447932	0.81884974	0.9062761	0.89504653	0.88823473	0.95568085	0.89810514	0.95261306	0.928229	0.96527976	0.90666485	0.9040647	0.900657	0.86084485	0.89029056	0.851798	0.87629634	0.8538595	0.80078053	0.92074776	0.93295586	0.8877191	0.911372	0.863523	0.8866781	0.92982924	0.9411623	0.99242765	0.8701501	0.9379828	0.980599	0.9552319	0.90221304	0.89931625	0.8349233	0.92762095	0.706956	0.9771054	0.91744196	1.0	0.8702854	0.9831628	0.89864755	0.9545	0.84612894	0.8514469	0.86111486	0.8746948	0.84545094	0.9106282	0.941624	0.853644	0.8594605	0.9350922
alle/det	0.94180524	0.9383007	0.9482287	0.93224794	0.81403655	0.8682344	0.0	0.89317214	0.86641806	0.99596465	0.91831124	0.9542928	0.90142155	0.9369573	0.81390005	0.82868665	0.9757404	0.8781201	0.9902108	0.871466	0.89409643	0.87137	0.7745627	0.8868537	0.8904763	0.9904359	0.9279043	0.8672387	0.813604	0.7945348	0.92666143	0.99726886	0.9846408	0.9224213	0.9551911	0.94765455	0.8439839	0.93155414	0.9081605	0.93637836	0.95418876	0.8611479	0.9140467	0.8946546	0.87336063	0.8606246	0.9158036	0.94063336	0.9112223	0.97004974	0.9159663	0.98695385	0.7668594	0.8703281	0.87152475	0.78513974	0.85098326	0.84986603	0.8538794	0.8419293	0.8602624	0.92897725	0.90565085	0.8015873	0.9423203	0.87789166	0.870669	0.90438217	0.9196681	0.9962425	0.88105536	0.9218106	0.9985676	0.90968025	0.8559742	0.83259875	0.90642613	0.96030664	0.76891613	0.9772949	0.8758188	1.0	0.836603	0.99115235	0.78891736	0.94749093	0.7157544	0.85413444	0.85529983	0.88381445	0.78536475	0.9050447	0.91753066	0.86952484	0.8891421	0.9295758
allerlei/det	0.94513	0.9579437	0.98204505	0.97897965	0.89166707	0.91467583	0.89317214	0.0	0.84758353	0.9860332	0.9576116	0.9888617	0.8909542	0.9411543	0.91094863	0.92936844	0.9864099	0.9180089	0.9892093	0.89839256	0.95079404	0.9732152	0.90312797	0.9366627	0.8865038	0.99845624	0.9057373	0.9270407	0.8945242	0.9412223	0.9778517	1.0	0.9921857	0.97392267	0.9741077	0.95928085	0.92314476	0.92807794	0.94691145	0.9257377	0.9724272	0.8976145	0.9722969	0.9172056	0.9344628	0.93844974	0.967321	0.96041036	0.9207367	0.9952569	0.88958824	1.0	0.9032744	0.9405883	0.92537105	0.9393214	0.93413854	0.9093323	0.89959455	0.8984919	0.91317517	0.95037556	0.95702946	0.9270985	0.9548251	0.9086126	0.8854585	0.91549796	0.9474514	1.0	0.957833	0.96991503	1.0	0.95342106	0.8705349	0.9258962	0.9033981	0.9537057	0.8640722	0.97278255	0.94263417	0.98912764	0.87240386	1.0	0.92321825	0.9519031	0.9100026	0.89826345	0.90611255	0.89104843	0.8966285	0.922636	0.92915225	0.85679615	0.9054558	0.9474116
als/prep	0.9064761	0.9723028	0.9087267	0.9351527	0.82724714	0.87985647	0.86641806	0.84758353	0.0	0.9463211	0.87195146	0.9352017	0.8692071	0.8856997	0.80842054	0.882603	0.9524779	0.8296349	0.9723237	0.6759153	0.877061	0.8610319	0.6264076	0.86157346	0.6011734	0.9667626	0.8153948	0.8343612	0.8987478	0.8373805	0.88255894	0.98707277	0.9638763	0.8802327	0.9778334	0.9482989	0.89413536	0.7923633	0.9096087	0.9463762	0.9342597	0.82575417	0.9391172	0.746647	0.9684741	0.8673442	0.94843054	0.9337483	0.8671337	0.9641924	0.67545116	0.97995603	0.9021913	0.802872	0.77137697	0.9165087	0.8994405	0.87175953	0.7739823	0.77446866	0.8378472	0.8135637	0.873419	0.9844948	0.9142855	0.8693013	0.82347965	0.81446964	0.93579453	0.98948044	0.8589914	0.91151214	0.9946055	0.97482896	0.853328	0.9631891	0.69307685	0.8820495	0.6544275	0.95681673	0.8903799	0.9914387	0.8804953	0.9631283	0.8470942	0.9509631	0.8795918	0.76945734	0.8746946	0.6003977	0.8639456	0.7217847	0.8700512	0.49999475	0.632881	0.8984003
ambachtelijk/adj	0.97189337	0.99972874	0.97669315	0.93236065	0.9434666	0.96817386	0.99596465	0.9860332	0.9463211	0.0	0.9791183	0.9726356	0.99392635	0.9536674	0.96371514	0.95129395	0.9827312	0.972748	0.98649156	0.94529366	0.9741429	0.99898595	0.9562583	0.96822584	0.9297117	0.99172634	0.9718737	0.96190363	0.9666246	0.98428786	0.964423	0.99647754	0.9846932	0.96846515	0.97888124	0.95138395	0.9518932	0.9962194	0.9689369	0.9962784	0.9996968	0.9659118	0.97026443	0.9197377	0.9526564	0.96997947	0.951901	0.9602893	0.9452007	0.9581919	0.9708591	0.9608952	0.96062374	0.9853228	0.9715217	0.9730337	0.97266483	0.9679057	0.9652149	0.9309078	0.9593291	0.9716273	0.9727677	0.96045256	0.96374	0.969164	0.9265219	0.9554191	0.98339623	0.98654264	0.9313409	0.96301156	0.9920964	0.9792026	0.9521711	0.9524086	0.90158194	0.98326105	0.921764	0.99099845	0.9700347	0.9987782	0.9703378	0.9990379	0.9752364	0.96233654	0.9564011	0.9256759	0.97681344	0.96740866	0.9453743	0.9153694	0.9778482	0.957198	0.9619447	0.9935197
